A case for end system multicast (keynote address),Yang-hua Chu; Sanjay G Rao; Hui Zhang,Abstract The conventional wisdom has been that IP is the natural protocol layer forimplementing multicast related functionality. However; ten years after its initial proposal; IPMulticast is still plagued with concerns pertaining to scalability; network management;deployment and support for higher layer functionality such as error; flow and congestioncontrol. In this paper; we explore an alternative architecture for small and sparse groups;where end systems implement all multicast related functionality including membershipmanagement and packet replication. We call such a scheme End System Multicast. Thisshifting of multicast support from routers to end systems has the potential to address mostproblems associated with IP Multicast. However; the key concern is the performance penaltyassociated with such a model. In particular; End System Multicast introduces duplicate …,ACM SIGMETRICS Performance Evaluation Review,2000,2470
Configuration management at massive scale: system design and experience,William Enck; Thomas Moyer; Patrick McDaniel; Subhabrata Sen; Panagiotis Sebos; Sylke Spoerel; Albert Greenberg; Yu-Wei Eric Sung; Sanjay Rao; William Aiello,The development and maintenance of network device configurations is one of the centralchallenges faced by large network providers. Current network management systems fail tomeet this challenge primarily because of their inability to adapt to rapidly evolving customerand provider-network needs; and because of mismatches between the conceptual models ofthe tools and the services they must support. In this paper; we present the Prestoconfiguration management system that attempts to address these failings in acomprehensive and flexible way. Developed for and used during the last 5 years within alarge ISP network; Presto constructs device-native configurations based on the compositionof configlets representing different services or service options. Configlets are compiled byextracting and manipulating data from external systems as directed by the Presto …,IEEE Journal on Selected Areas in Communications,2009,110
Towards systematic design of enterprise networks,Yu-Wei Eric Sung; Xin Sun; Sanjay G Rao; Geoffrey G Xie; David A Maltz,Abstract Enterprise networks are important; with size and complexity even surpassing carriernetworks. Yet; the design of enterprise networks remains ad hoc and poorly understood. Inthis paper; we show how a systematic design approach can handle two key areas ofenterprise design: virtual local area networks (VLANs) and reachability control. We focus onthese tasks given their complexity; prevalence; and time-consuming nature. Ourcontributions are threefold. First; we show how these design tasks may be formulated interms of network-wide performance; security; and resilience requirements. Our formulationscapture the correctness and feasibility constraints on the design; and they model each taskas one of optimizing desired criteria subject to the constraints. The optimization criteria mayfurther be customized to meet operator-preferred design strategies. Second; we develop …,IEEE/ACM Transactions on Networking (TON),2011,104
Towards systematic design of enterprise networks,Yu-Wei Eric Sung; Xin Sun; Sanjay G Rao; Geoffrey G Xie; David A Maltz,Abstract Enterprise networks are important; with size and complexity even surpassing carriernetworks. Yet; the design of enterprise networks remains ad hoc and poorly understood. Inthis paper; we show how a systematic design approach can handle two key areas ofenterprise design: virtual local area networks (VLANs) and reachability control. We focus onthese tasks given their complexity; prevalence; and time-consuming nature. Ourcontributions are threefold. First; we show how these design tasks may be formulated interms of network-wide performance; security; and resilience requirements. Our formulationscapture the correctness and feasibility constraints on the design; and they model each taskas one of optimizing desired criteria subject to the constraints. The optimization criteria mayfurther be customized to meet operator-preferred design strategies. Second; we develop …,IEEE/ACM Transactions on Networking (TON),2011,104
Enabling contribution awareness in an overlay broadcasting system,Yu-Wei Sung; Michael Bishop; Sanjay Rao,Abstract We consider the design of bandwidth-demanding broadcasting applications usingoverlays in environments characterized by hosts with limited and asymmetric bandwidth;and significant heterogeneity in outgoing bandwidth. Such environments are critical toconsider to extend the applicability of overlay multicast to mainstream Internet environmentswhere insufficient bandwidth exists to support all hosts; but have not received adequateattention from the research community. We leverage the multi-tree framework and designheuristics to enable it to consider host contribution and operate in bandwidth-scarceenvironments. Our extensions seek to simultaneously achieve good utilization of systemresources; performance to hosts commensurate to their contributions; and consistentperformance. We have implemented the system and conducted an Internet evaluation on …,ACM SIGCOMM Computer Communication Review,2006,97
The impact of heterogeneous bandwidth constraints on DHT-based multicast protocols,Ashwin R Bharambe; Sanjay G Rao; Venkata N Padmanabhan; Srinivasan Seshan; Hui Zhang,Abstract In this paper; we consider support for bandwidth-demanding applications such asvideo broadcasting using DHTs. Our investigations focus on the impact of heterogeneity inthe outgoing bandwidth capabilities of nodes on Scribe; a representative and relativelymature DHT-based multicast protocol. We expose important issues that arise due to themismatch between the ID space that underlies the DHT and the outgoing bandwidthconstraints on nodes.,International Workshop on Peer-to-Peer Systems,2005,78
Modeling and understanding end-to-end class of service policies in operational networks,Yu-Wei Eric Sung; Carsten Lund; Mark Lyn; Sanjay G Rao; Subhabrata Sen,Abstract Business and economic considerations are driving the extensive use of servicedifferentiation in Virtual Private Networks (VPNs) operated for business enterprises today.The resulting Class of Service (CoS) designs embed complex policy decisions based on thedescribed priorities of various applications; extent of bandwidth availability; and costconsiderations. These inherently complex high-level policies are realized through low-levelrouter configurations. The configuration process is tedious and error-prone given the highlyintertwined nature of CoS configuration; the multiple router configurations over which thepolicies are instantiated; and the complex access control lists (ACLs) involved. Ourcontributions include (i) a formal approach to modeling CoS policies from routerconfiguration files in a precise manner;(ii) a practical and computationally efficient tool …,ACM SIGCOMM Computer Communication Review,2009,49
DDoS attacks by subverting membership management in P2P systems,Xin Sun; Ruben Torres; Sanjay Rao,We show that malicious participants in a peer-to-peer system can subvert its membershipmanagement mechanisms to create large-scale DDoS attacks on nodes not even part of theoverlay system. The attacks exploit many fundamental design choices made by peer-to-peersystem designers such as (i) use of push-based mechanisms;(ii) use of distinct logicalidentifier (eg IDs in a DHT) corresponding to the same physical identifier (eg; IP address);typically to handle hosts behind NATs; and (iii) inadequate or poorly designed mechanismsto validate membership information. We demonstrate the significance of the attacks in thecontext of mature and extensively deployed peer-to-peer systems with representative andcontrasting membership management algorithms-DHT-based Kad and gossip-based ESM.,Secure Network Protocols; 2007. NPSec 2007. 3rd IEEE Workshop on,2007,42
Inferring undesirable behavior from P2P traffic analysis,Ruben D Torres; Mohammad Y Hajjat; Sanjay G Rao; Marco Mellia; Maurizio M Munafò,Abstract While peer-to-peer (P2P) systems have emerged in popularity in recent years; theirlarge-scale and complexity make them difficult to reason about. In this paper; we argue thatsystematic analysis of traffic characteristics of P2P systems can reveal a wealth ofinformation about their behavior; and highlight potential undesirable activities that suchsystems may exhibit. As a first step to this end; we present an offline and semi-automatedapproach to detect undesirable behavior. Our analysis is applied on real traffic tracescollected from a Point-of-Presence (PoP) of a national-wide ISP in which over 70% of thetotal traffic is due to eMule [19]; a popular P2P file-sharing system. Flow-level measurementsare aggregated into" samples" referring to the activity of each host during a time interval. Wethen employ a clustering technique to automatically and coarsely identify similar behavior …,ACM SIGMETRICS Performance Evaluation Review,2009,40
A systematic approach for evolving VLAN designs,Xin Sun; Yu-Wei Sung; Sunil D Krothapalli; Sanjay G Rao,Enterprise networks are large and complex; and their designs must be frequently altered toadapt to changing organizational needs. The process of redesigning and reconfiguringenterprise networks is ad-hoc and error-prone; and configuration errors could cause seriousissues such as network outages. In this paper; we take a step towards systematic evolutionof network designs in the context of virtual local area networks (VLANs). We focus on VLANsgiven their importance and prevalence; the frequent need to change VLAN designs; and thetime-consuming and error-prone process of making changes. We present algorithms forcommon design tasks encountered in evolving VLANs such as deciding which VLAN a newhost must be assigned to. Our algorithms trade off multiple criteria such as broadcast trafficcosts; and costs associated with maintaining spanning trees for each VLAN in the network …,INFOCOM; 2010 Proceedings IEEE,2010,38
Characterizing VLAN usage in an operational network,Prashant Garimella; Yu-Wei Eric Sung; Nan Zhang; Sanjay Rao,Abstract In this paper; we present one of the first studies characterizing VLAN usage in alarge operational network. Our study employs a" white-box" approach; based on analysis ofswitch and router configuration files; and interactions with network operators. Our findingsare:(i) VLANs are extensively used to enable users at physically disparate locations to betreated as a group;(ii) the performance inefficiencies resulting from such usage is significant;and (iii) the inefficiencies are exacerbated by sub-optimal placement policies. Finally; weidentify potential sources of errors that may arise with VLAN configurations; and demonstratetheir prevalence.,Proceedings of the 2007 SIGCOMM workshop on Internet network management,2007,38
Fast techniques for the optimal smoothing of stored video,Sanjay G Rao; SV Raghavan,Abstract. Work-ahead smoothing is a technique whereby a server; transmitting storedcompressed video to a client; utilizes client buffer space to reduce the rate variability of thetransmitted stream. The technique requires the server to compute a schedule of transferunder the constraints that the client buffer neither overflows nor underflows. Recent workestablished an optimal off-line algorithm (which minimizes peak; variance and rate variabilityof the transmitted stream) under the assumptions of fixed client buffer size; known worst casenetwork jitter; and strict playback of the client video. In this paper; we examine the practicalconsiderations of heterogeneous and dynamically variable client buffer sizes; variable worstcase network jitter estimates; and client interactivity. These conditions require on-linecomputation of the optimal transfer schedule. We focus on techniques for reducing on-line …,Multimedia Systems,1999,37
A survey of virtual LAN usage in campus networks,Minlan Yu; Jennifer Rexford; Xin Sun; Sanjay Rao; Nick Feamster,VLANs are widely used in today's enterprise networks to improve Ethernet scalability andsupport network policies. However; manuals and textbooks offer very little information abouthow VLANs are actually used in practice. Through discussions with network administratorsand analysis of configuration data; we describe how three university campuses and oneacademic department use VLANs to achieve a variety of goals. We argue that VLANs are ill-suited to some of these goals (eg; VLANs are often used to realize access control policies;but constrain the types of policies that can be expressed). Furthermore; the use of VLANsleads to significant complexity in the configuration of network devices.,IEEE Communications Magazine,2011,33
PARCEL: Proxy assisted browsing in cellular networks for energy and latency reduction,Ashiwan Sivakumar; Shankaranarayanan Puzhavakath Narayanan; Vijay Gopalakrishnan; Seungjoon Lee; Sanjay Rao; Subhabrata Sen,Abstract Today's web page download process is ill suited to cellular networks resulting inhigh page load times and radio energy usage. While there have been notable prior attemptsat tackling the challenge with assistance from proxies (cloud); achieving a responsive andenergy efficient browsing experience remains an elusive goal. In this paper; we make afresh attempt at addressing the challenge by proposing PARCEL. PARCEL splitsfunctionality between the mobile device and the proxy based on their strengths; and in amanner distinct from both traditional browsers and existing cloud-heavy approaches. Weconduct extensive evaluations over an operational LTE network using a prototypeimplementation of PARCEL. Our results show that PARCEL reduces page load times by49.6%; and radio energy consumption by 65% compared to traditional mobile web …,Proceedings of the 10th ACM International on Conference on emerging Networking Experiments and Technologies,2014,28
Performance sensitive replication in geo-distributed cloud datastores,PN Shankaranarayanan; Ashiwan Sivakumar; Sanjay Rao; Mohit Tawarmalani,Modern web applications face stringent requirements along many dimensions includinglatency; scalability; and availability. In response; several geo-distributed cloud data storeshave emerged in recent years. Customizing data stores to meet application SLAs ischallenging given the scale of applications; and their diverse and dynamic workloads. In thispaper; we tackle these challenges in the context of quorum-based systems (eg AmazonDynamo; Cassandra); an important class of cloud storage systems. We present models thatoptimize percentiles of response time under normal operation and under a data-center (DC)failure. Our models consider factors like the geographic spread of users; DC locations;consistency requirements and inter-DC communication costs. We evaluate our models usingreal-world traces of three applications: Twitter; Wikipedia and Go Walla on a Cassandra …,Dependable Systems and Networks (DSN); 2014 44th Annual IEEE/IFIP International Conference on,2014,26
Cloud is not a silver bullet: A case study of cloud-based mobile browsing,Ashiwan Sivakumar; Vijay Gopalakrishnan; Seungjoon Lee; Sanjay Rao; Subhabrata Sen; Oliver Spatscheck,Abstract In recent years; there has been growing interest in both industry and academia inaugmenting mobile web browsing with support from the cloud [4; 1; 3; 16; 18]). These effortsare motivated by the goals of lowering costs of data transfer; and reducing web latenciesand device energy consumption. While these efforts have adopted different approaches tocloud-based browsing; there isn't a systematic understanding of the rich design space due tothe proprietary nature of many of the solutions. In this paper; we take a step towardsobtaining a better understanding by evaluating an extreme point in the design space thatinvolves cloud support for most browsing functionality including execution of JavaScript (JS);and for compaction of data (eg; image transcoding and compression). Our study isconducted in the context of Cloud Browser (CB); a popular commercially available …,Proceedings of the 15th Workshop on Mobile Computing Systems and Applications,2014,24
Extracting network-wide correlated changes from longitudinal configuration data,Yu-Wei Eric Sung; Sanjay Rao; Subhabrata Sen; Stephen Leggett,Abstract IP network operators face the challenge of making and managing routerconfiguration changes to serve rapidly evolving user and organizational needs. Changesare expressed in low-level languages; and often impact multiple parts of a configuration fileand multiple routers. These dependencies make configuration changes difficult for operatorsto reason about; detect problems in; and troubleshoot. In this paper; we present amethodology to extract network-wide correlations of changes. From longitudinal snapshotsof low-level router configuration data; our methodology identifies syntactic configurationblocks that changed; applies data mining techniques to extract correlated changes; andhighlights changes of interest via operator feedback. Employing our methodology; weanalyze an 11-month archive of router configuration data from 5 different large-scale …,International Conference on Passive and Active Network Measurement,2009,23
On the feasibility of exploiting P2P systems to launch DDoS attacks,Xin Sun; Ruben Torres; Sanjay G Rao,Abstract We show that malicious nodes in a peer-to-peer (P2P) system may impact theexternal Internet environment; by causing large-scale distributed denial of service (DDoS)attacks on nodes not even part of the overlay system. This is in contrast to attacks that disruptthe normal functioning; and performance of the overlay system itself. We demonstrate thesignificance of the attacks in the context of mature and extensively deployed P2P systemswith representative and contrasting membership management algorithms—Kad; a DHT-based file-sharing system; and ESM; a gossip-based video broadcasting system. We thenpresent an evaluation study of three possible mitigation schemes and discuss their strengthand weakness. These schemes include (i) preferring pull-based membership propagationover push-based;(ii) corroborating membership information through multiple sources; and …,Peer-to-peer networking and applications,2010,19
The internet-wide impact of p2p traffic localization on isp profitability,Jeff Seibert; Ruben Torres; Marco Mellia; Maurizio M Munafo; Cristina Nita-Rotaru; Sanjay Rao,Abstract We conduct a detailed simulation study to examine how localizing P2P traffic withinnetwork boundaries impacts the profitability of an ISP. A distinguishing aspect of our work isthe focus on Internet-wide implications; ie; how adoption of localization within an ISP affectsboth itself and other ISPs. Our simulations are based on detailed models that estimate inter-autonomous system (AS) P2P traffic and inter-AS routing; localization models that predict theextent to which P2P traffic is reduced; and pricing models that predict the impact of changesin traffic on the profit of an ISP. We evaluate our models by using a large-scale crawl ofBitTorrent containing over 138 million users sharing 2.75 million files. Our results show thatthe benefits of localization must not be taken for granted. Some of our key findings include:1) residential ISPs can actually lose money when localization is employed; and some of …,IEEE/ACM Transactions on Networking (TON),2012,17
A toolkit for automating and visualizing vlan configuration,Sunil D Krothapalli; Xin Sun; Yu-Wei E Sung; Suan Aik Yeo; Sanjay G Rao,Abstract Virtual Local Area Networks (VLANs) are extensively used in enterprise networks.However; their configuration remains an ad-hoc; complex and error-prone process today.We believe that to eliminate these difficulties; there is need for automation tools; and alsoneed for visualization tools. In this paper; we report on our experience building a VLANmanagement toolkit; which automates and visualizes common VLAN configuration tasks. Webegin by describing common misconfigurations; and their impact on network performanceand security. We next present a set of algorithms that automate the VLAN configurationtasks. These algorithms form the back end of the toolkit. The front end of the toolkit consistsof an interactive graphical user interface which provides visualization of VLAN operations atmultiple granularities; and can be accessed remotely from a web browser. We are in the …,Proceedings of the 2nd ACM workshop on Assurable and usable security configuration,2009,17
Dealer: application-aware request splitting for interactive cloud applications,Mohammad Hajjat; David Maltz; Sanjay Rao; Kunwadee Sripanidkulchai,Abstract Deploying interactive applications in the cloud is a challenge due to the highvariability in performance of cloud services. In this paper; we present Dealer--a system thathelps geo-distributed; interactive and multi-tier applications meet their stringentrequirements on response time despite such variability. Our approach is motivated by thefact that; at any time; only a small number of application components of large multi-tierapplications experience poor performance. Dealer abstracts application structure as acomponent graph; with nodes being application components and edges capturing inter-component communication patterns. Dealer continually monitors the performance ofindividual component replicas and communication latencies between replica pairs. Inserving any given user request; Dealer seeks to minimize user response times by picking …,Proceedings of the 8th international conference on Emerging networking experiments and technologies,2012,14
Preventing DDoS attacks on internet servers exploiting P2P systems,Xin Sun; Ruben Torres; Sanjay Rao,Abstract Recently; there has been a spurt of work [1–7] showing that a variety of extensivelydeployed P2P systems may be exploited to launch DDoS attacks on web and other Internetservers; external to the P2P system. In this paper; we dissect these attacks and categorizethem based on the underlying cause for attack amplification. We show that the attacks stemfrom a violation of three key principles:(i) membership information must be validated beforeuse;(ii) innocent participants must only propagate validated information; and (iii) the systemmust protect against multiple references to the victim. We systematically explore theeffectiveness of an active probing approach to validating membership information inthwarting such DDoS attacks. The approach does not rely on centralized authorities formembership verification; and is applicable to both structured (DHT-based) and …,Computer Networks,2010,14
Enabling contribution awareness in an overlay broadcasting system,Yu-Wei Eric Sung; Michael A Bishop; Sanjay G Rao,We consider the design of bandwidth-demanding broadcasting applications using overlaysin environments characterized by hosts with limited and asymmetric bandwidth; andsignificant heterogeneity in upload bandwidth. Such environments are critical to consider toextend the applicability of overlay multicast to mainstream Internet environments whereinsufficient bandwidth exists to support all hosts; but have not received adequate attentionfrom the research community. We leverage the multitree framework and design heuristics toenable it to consider host contribution and operate in bandwidth-scarce environments. Ourextensions seek to simultaneously achieve good utilization of system resources;performance to hosts commensurate to their contributions; and consistent performance. Wehave implemented the system and conducted an Internet evaluation on PlanetLab using …,IEEE Transactions on Multimedia,2007,13
Modeling complexity of enterprise routing design,Xin Sun; Sanjay G Rao; Geoffrey G Xie,Abstract Enterprise networks often have complex routing designs given the need to meet awide set of resiliency; security and routing policies. In this paper; we take the position thatminimizing design complexity must be an explicit objective of routing design. We take a firststep to this end by presenting a systematic approach for modeling and reasoning aboutcomplexity in enterprise routing design. We make three contributions. First; we present aframework for precisely defining objectives of routing design; and for reasoning about how acombination of routing design primitives (eg routing instances; static routes; and route filtersetc.) will meet the objectives. Second; we show that it is feasible to quantitatively measurethe complexity of a routing design by modeling individual routing design primitives; andleveraging configuration complexity metrics [5]. Our approach helps understand how …,Proceedings of the 8th international conference on Emerging networking experiments and technologies,2012,12
Preventing DDoS attacks with P2P systems through robust membership management,Xin Sun; Ruben Torres; Sanjay Rao,ABSTRACT We show that malicious nodes in a peer-to-peer system may impact the externalInternet environment; by causing largescale distributed denial of service attacks on nodesnot even part of the overlay system. This is in contrast to attacks that disrupt the normalfunctioning; and performance of the overlay system itself. We formulate several principlescritical to the design of membership management protocols robust to such attacks. We showthat (i) pull-based mechanisms are preferable to push-based mechanisms;(ii) it is critical tovalidate membership information received by a node; and even simple probe-basedtechniques can be quite effective;(iii) validating information by requiring corroboration frommultiple sources can provide good security properties with insignificant performancepenalties; and (iv) it is important to bound the number of distinct logical identifier (eg IDs …,The 3rd Workshop on Secure Network Protocols (NPSec 2007),2007,12
Reducing latency through page-aware management of web objects by content delivery networks,Shankaranarayanan Puzhavakath Narayanan; Yun Seong Nam; Ashiwan Sivakumar; Balakrishnan Chandrasekaran; Bruce Maggs; Sanjay Rao,Abstract As popular web sites turn to content delivery networks (CDNs) for full-site delivery;there is an opportunity to improve the end-user experience by optimizing the delivery ofentire web pages; rather than just individual objects. In particular; this paper explores page-structure-aware strategies for placing objects in CDN cache hierarchies. The key idea is thatthe objects in a web page that have the largest impact on page latency should be served outof the closest or fastest caches in the hierarchy. We present schemes for identifying theseobjects and develop mechanisms to ensure that they are served with higher priority by theCDN; while balancing traditional CDN concerns such as optimizing the delivery of popularobjects and minimizing bandwidth costs. To establish a baseline for evaluatingimprovements in page latencies; we collect and analyze publicly visible HTTP headers …,ACM SIGMETRICS Performance Evaluation Review,2016,10
Application-specific configuration selection in the cloud: impact of provider policy and potential of systematic testing,Mohammad Hajjat; Ruiqi Liu; Yiyang Chang; TS Eugene Ng; Sanjay Rao,Provider policy (eg; bandwidth rate limits; virtualization; CPU scheduling) can significantlyimpact application performance in cloud environments. This paper takes a first step towardsunderstanding the impact of provider policy and tackling the complexity of selectingconfigurations that can best meet the cost and performance requirements of applications.We make three contributions. First; we conduct a measurement study spanning a 19 monthsperiod of a wide variety of applications on Amazon EC2 to understand issues involved inconfiguration selection. Our results show that provider policy can impact communication andcomputation performance in unpredictable ways. Moreover; seemingly sensible rules ofthumb are inappropriate-eg; VMs with latest hardware or larger VM sizes do not alwaysprovide the best performance. Second; we systematically characterize the overheads and …,Computer Communications (INFOCOM); 2015 IEEE Conference on,2015,10
A cost-benefit framework for judicious enterprise network redesign,Xin Sun; Sanjay G Rao,Recent works; have shown the benefits of a systematic approach to designing enterprisenetworks. However; these works are limited to the design of greenfield (newly deployed)networks; or to incremental evolution of existing networks without altering prior designdecisions. In this paper; we focus on redesigning existing networks; allowing for changes toexisting decisions. Such redesign (migration) may be desirable from the perspective ofimproved network performance or lower complexity. However; the key challenge is that thecosts of redesign may be high due to the presence of complex dependencies betweennetwork configurations. We consider these issues in the context of virtual local areanetworks (VLANs); an important area of enterprise network design. We make threecontributions. First; we present a model to capture VLAN redesign costs. Such costs may …,INFOCOM; 2011 Proceedings IEEE,2011,9
