Top-k query evaluation with probabilistic guarantees,Martin Theobald; Gerhard Weikum; Ralf Schenkel,Abstract Top-k queries based on ranking elements of multidimensional datasets are afundamental building block for many kinds of information discovery. The best known general-purpose algorithm for evaluating top-k queries is Fagin's threshold algorithm (TA). Since theuser's goal behind top-k queries is to identify one or a few relevant and novel data items; it isintriguing to use approximate variants of TA to reduce run-time costs. This paper introducesa family of approximate top-k algorithms based on probabilistic arguments. When scanningindex lists of the underlying multidimensional data space in descending order of localscores; various forms of convolution and derived bounds are employed to predict when it issafe; with high probability; to drop candidate items and to prune the index scans. Theprecision and the efficiency of the developed methods are experimentally evaluated …,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,283
Rankreduce-processing k-nearest neighbor queries on top of mapreduce,Aleksandar Stupar; Sebastian Michel; Ralf Schenkel,ABSTRACT We consider the problem of processing K-Nearest Neighbor (KNN) queries overlarge datasets where the index is jointly maintained by a set of machines in a computingcluster. The proposed RankReduce approach uses locality sensitive hashing (LSH) togetherwith a MapReduce implementation; which by design is a perfect match as the hashingprinciple of LSH can be smoothly integrated in the mapping phase of MapReduce. The LSHalgorithm assigns similar objects to the same fragments in the distributed file system whichenables a effective selection of potential candidate neighbors which get then reduced to theset of K-Nearest Neighbors. We address problems arising due to the different characteristicsof MapReduce and LSH to achieve an efficient search process on the one hand and highLSH accuracy on the other hand. We discuss several pitfalls and detailed descriptions on …,Proceedings of the 8th Workshop on Large-Scale Distributed Systems for Information Retrieval,2010,92
Language-model-based ranking for queries on RDF-graphs,Shady Elbassuoni; Maya Ramanath; Ralf Schenkel; Marcin Sydow; Gerhard Weikum,Abstract The success of knowledge-sharing communities like Wikipedia and the advances inautomatic information extraction from textual and Web sources have made it possible tobuild large" knowledge repositories" such as DBpedia; Freebase; and YAGO. Thesecollections can be viewed as graphs of entities and relationships (ER graphs) and can berepresented as a set of subject-property-object (SPO) triples in the Semantic-Web datamodel RDF. Queries can be expressed in the W3C-endorsed SPARQL language or bysimilarly designed graph-pattern search. However; exact-match query semantics often fallshort of satisfying the users' needs by returning too many or too few results. Therefore; IR-style ranking models are crucially needed. In this paper; we propose a language-model-based approach to ranking the results of exact; relaxed and keyword-augmented graph …,Proceedings of the 18th ACM conference on Information and knowledge management,2009,86
Exploiting Structure; Annotation; and Ontological Knowledge for Automatic Classification of XML Data.,Martin Theobald; Ralf Schenkel; Gerhard Weikum,ABSTRACT This paper investigates how to automatically classify schemaless XML data intoa user-defined topic directory. The main focus is on constructing appropriate feature spaceson which a classifier operates. In addition to the usual text-based term frequency vectors; westudy XML twigs and tag paths as extended features that can be combined with text termoccurrences in XML elements. Moreover; we show how to leverage ontological backgroundinformation; more specifically; the WordNet thesaurus; for the construction of moreexpressive feature spaces. For efficiency our implementation computes featuresincrementally and caches ontology entries. Our experiments demonstrate the improvedaccuracy of automatic classification based on the enhanced feature spaces.,WebDB,2003,86
Efficient and self-tuning incremental query expansion for top-k query processing,Martin Theobald; Ralf Schenkel; Gerhard Weikum,Abstract We present a novel approach for efficient and self-tuning query expansion that isembedded into a top-k query processor with candidate pruning. Traditional query expansionmethods select expansion terms whose thematic similarity to the original query terms isabove some specified threshold; thus generating a disjunctive query with much higherdimensionality. This poses three major problems: 1) the need for hand-tuning the expansionthreshold; 2) the potential topic dilution with overly aggressive expansion; and 3) thedrastically increased execution cost of a high-dimensional query. The method developed inthis paper addresses all three problems by dynamically and incrementally merging theinverted lists for the potential expansion terms with the lists for the original query terms. Apriority queue is used for maintaining result candidates; the pruning of candidates is …,Proceedings of the 28th annual international ACM SIGIR conference on Research and development in information retrieval,2005,82
Efficient text proximity search,Ralf Schenkel; Andreas Broschart; Seungwon Hwang; Martin Theobald; Gerhard Weikum,Abstract In addition to purely occurrence-based relevance models; term proximity has beenfrequently used to enhance retrieval quality of keyword-oriented retrieval systems. Whilethere have been approaches on effective scoring functions that incorporate proximity; therehas not been much work on algorithms or access methods for their efficient evaluation. Thispaper presents an efficient evaluation framework including a proximity scoring functionintegrated within a top-k query engine for text retrieval. We propose precomputed andmaterialized index structures that boost performance. The increased retrieval effectivenessand efficiency of our framework are demonstrated through extensive experiments on a verylarge text benchmark collection. In combination with static index pruning for the proximitylists; our algorithm achieves an improvement of two orders of magnitude compared to a …,International Symposium on String Processing and Information Retrieval,2007,74
FedX: a federation layer for distributed query processing on linked open data,Andreas Schwarte; Peter Haase; Katja Hose; Ralf Schenkel; Michael Schmidt,Abstract Driven by the success of the Linked Open Data initiative today's Semantic Web isbest characterized as a Web of interlinked datasets. Hand in hand with this structure newchallenges to query processing are arising. Especially queries for which more than one datasource can contribute results require advanced optimization and evaluation approaches; themajor challenge lying in the nature of distribution: Heterogenous data sources have to beintegrated into a federation to globally appear as a single repository. On the query level;though; techniques have to be developed to meet the requirements of efficient querycomputation in the distributed setting. We present FedX; a project which extends theSesame Framework with a federation layer that enables efficient query processing ondistributed Linked Open Data sources. We discuss key insights to its architecture and …,Extended Semantic Web Conference,2011,70
Intelligent search on XML data: applications; languages; models; implementations; and benchmarks,Henk Blanken,Recently; we have seen a steep increase in the popularity and adoption of XML; in areassuch as traditional databases; e-business; the scientific environment; and on the web.Querying XML documents and data efficiently is a challenging issue; this book approachessearch on XML data by combining content-based methods from information retrieval andstructure-based XML query methods and presents the following parts: applications; querylanguages; retrieval models; implementing intelligent XML systems; and evaluation. Toappreciate the book; basic knowledge of traditional database technology; informationretrieval; and XML is needed. The book is ideally suited for courses or seminars at thegraduate level as well as for education of research and development professionals workingon Web applications; digital libraries; database systems; and information retrieval.,*,2003,64
Overview of the INEX 2009 ad hoc track,Shlomo Geva; Jaap Kamps; Miro Lethonen; Ralf Schenkel; James A Thom; Andrew Trotman,Abstract This paper gives an overview of the INEX 2009 Ad Hoc Track. The main goals of theAd Hoc Track were three-fold. The first goal was to investigate the impact of the collectionscale and markup; by using a new collection that is again based on a the Wikipedia but isover 4 times larger; with longer articles and additional semantic annotations. For this reasonthe Ad Hoc track tasks stayed unchanged; and the Thorough Task of INEX 2002–2006returns. The second goal was to study the impact of more verbose queries on retrievaleffectiveness; by using the available markup as structural constraints—now using both theWikipedia's layout-based markup; as well as the enriched semantic markup—and by the useof phrases. The third goal was to compare different result granularities by allowing systemsto retrieve XML elements; ranges of XML elements; or arbitrary passages of text. This …,International Workshop of the Initiative for the Evaluation of XML Retrieval,2009,60
Searching RDF Graphs with SPARQL and Keywords.,Shady Elbassuoni; Maya Ramanath; Ralf Schenkel; Gerhard Weikum,Abstract The proliferation of knowledge-sharing communities like Wikipedia and theadvances in automated information extraction from Web pages enable the construction oflarge knowledge bases with facts about entities and their relationships. The facts can berepresented in the RDF data model; as so-called subject-property-object triples; and canthus be queried by structured query languages like SPARQL. In principle; this allows precisequerying in the database spirit. However; RDF data may be highly diverse and queries mayreturn way too many results; so that ranking by informativeness measures is crucial to avoidoverwhelming users. Moreover; as facts are extracted from textual contexts or havecommunity-provided annotations; it can be beneficial to consider also,IEEE Data Eng. Bull.,2010,59
Social Wisdom for Search and Recommendation.,Ralf Schenkel; Tom Crecelius; Mouna Kacimi; Thomas Neumann; Josiane Xavier Parreira; Marc Spaniol; Gerhard Weikum,Abstract Social-tagging communities offer great potential for smart recommendation and“socially enhanced” searchresult ranking. Beyond traditional forms of collaborativerecommendation that are based on the item-user matrix of the entire community; a specificopportunity of social communities is to reflect the different degrees of friendships and mutualtrust; in addition to the behavioral similarities among users. This paper presents a frameworkfor harnessing such social relations for search and recommendation. The framework isimplemented in the SENSE prototype system; and its usefulness is demonstrated inexperiments with an excerpt of the librarything community data.,IEEE Data Eng. Bull.,2008,49
Partout: a distributed engine for efficient RDF processing,Luis Galárraga; Katja Hose; Ralf Schenkel,Abstract The increasing interest in Semantic Web technologies has led not only to a rapidgrowth of semantic data on the Web but also to an increasing number of backendapplications relying on efficient query processing. Confronted with such a trend; existingcentralized state-of-the-art systems for storing RDF and processing SPARQL queries are nolonger sufficient. In this paper; we introduce Partout; a distributed engine for fast RDFprocessing in a cluster of machines. We propose an effective approach for fragmenting RDFdata sets based on a query log and allocating the fragments to hosts in a cluster ofmachines. Furthermore; Partout's query optimizer produces efficient query execution plansfor ad-hoc SPARQL queries.,Proceedings of the 23rd International Conference on World Wide Web,2014,48
Structural feedback for keyword-based XML retrieval,Ralf Schenkel; Martin Theobald,Abstract Keyword-based queries are an important means to retrieve information from XMLcollections with unknown or complex schemas. Relevance Feedback integrates relevanceinformation provided by a user to enhance retrieval quality. For keyword-based XMLqueries; feedback engines usually generate an expanded keyword query from the content ofelements marked as relevant or nonrelevant. This approach that is inspired by text-based IRcompletely ignores the semistructured nature of XML. This paper makes the important stepfrom pure content-based to structural feedback. It presents a framework that expands akeyword query into a full-fledged content-and-structure query. Extensive experiments withthe established INEX benchmark and our TopX search engine show the feasibility of ourapproach.,European Conference on Information Retrieval,2006,48
WARP: Workload-aware replication and partitioning for RDF,Katja Hose; Ralf Schenkel,With the increasing popularity of the Semantic Web; more and more data becomes availablein RDF with SPARQL as a query language. Data sets; however; can become too big to bemanaged and queried on a single server in a scalable way. Existing distributed RDF storesapproach this problem using data partitioning; aiming at limiting the communication betweenservers and exploiting parallelism. This paper proposes a distributed SPARQL engine thatcombines a graph partitioning technique with workload-aware replication of triples acrosspartitions; enabling efficient query execution even for complex queries from the workload.Furthermore; it discusses query optimization techniques for producing efficient executionplans for ad-hoc queries not contained in the workload.,Data Engineering Workshops (ICDEW); 2013 IEEE 29th International Conference on,2013,47
Overview of the INEX 2010 ad hoc track,Paavo Arvola; Shlomo Geva; Jaap Kamps; Ralf Schenkel; Andrew Trotman; Johanna Vainio,Abstract This paper gives an overview of the INEX 2010 Ad Hoc Track. The main goals of theAd Hoc Track were three-fold. The first goal was to study focused retrieval under resourcerestricted conditions such as a small screen mobile device or a document summary on a hit-list. This leads to variants of the focused retrieval tasks that address the impact of resultlength/reading effort; thinking of focused retrieval as a form of “snippet” retrieval. The secondgoal was to extend the ad hoc retrieval test collection on the INEX 2009 Wikipedia Collectionwith additional topics and judgments. For this reason the Ad Hoc track topics andassessments stayed unchanged. The third goal was to examine the trade-off betweeneffectiveness and efficiency by continuing the Efficiency Track as a task in the Ad Hoc Track.The INEX 2010 Ad Hoc Track featured four tasks: the Relevant in Context Task; the …,International Workshop of the Initiative for the Evaluation of XML Retrieval,2010,47
Semantic similarity search on semistructured data with the XXL search engine,Ralf Schenkel; Anja Theobald; Gerhard Weikum,Abstract Query languages for XML such as XPath or XQuery support Boolean retrieval: aquery result is a (possibly restructured) subset of XML elements or entire documents thatsatisfy the search conditions of the query. This search paradigm works for highly schematicXML data collections such as electronic catalogs. However; for searching information inopen environments such as the Web or intranets of large corporations; ranked retrieval ismore appropriate: a query result is a ranked list of XML elements in descending order of(estimated) relevance. Web search engines; which are based on the ranked retrievalparadigm; do; however; not consider the additional information and rich annotationsprovided by the structure of XML documents and their element names. This article presentsthe XXL search engine that supports relevance ranking on XML data. XXL is particularly …,Information Retrieval,2005,47
Federated transaction management with snapshot isolation,Ralf Schenkel; Gerhard Weikum; Norbert Weißenberg; Xuequn Wu,Abstract Federated transaction management (also known as multidatabase transactionmanagement in the literature) is needed to ensure the consistency of data that is distributedacross multiple; largely autonomous; and possibly heterogeneous component databasesand accessed by both global and local transactions. While the global atomicity of suchtransactions can be enforced by using a standardized commit protocol like XA or its CORBAcounterpart OTS; global serializability is not self-guaranteed as the underlying componentsystems may use a variety of potentially incompatible local concurrency control protocols.The problem of how to achieve global serializability; by either constraining the componentsystems or implementing additional global protocols at the federation level; has beenintensively studied in the literature; but did not have much impact on the practical side. A …,*,2000,47
Feedback-driven structural query expansion for ranked retrieval of XML data,Ralf Schenkel; Martin Theobald,Abstract Relevance Feedback is an important way to enhance retrieval quality by integratingrelevance information provided by a user. In XML retrieval; feedback engines usuallygenerate an expanded query from the content of elements marked as relevant ornonrelevant. This approach that is inspired by text-based IR completely ignores thesemistructured nature of XML. This paper makes the important step from content-based tostructural feedback. It presents an integrated solution for expanding keyword queries withnew content; path; and document constraints. An extensible framework evaluates suchquery conditions with existing keyword-based XML search engines while allowing to easilyintegrate new dimensions of feedback. Extensive experiments with the established INEXbenchmark show the feasibility of our approach.,International Conference on Extending Database Technology,2006,43
TopX and XXL at INEX 2005,Martin Theobald; Ralf Schenkel; Gerhard Weikum,Abstract We participated with two different and independent search engines in this year'sINEX round: The XXL Search Engine and the TopX engine. As this is the first participation forTopX; this paper focuses on the design principles; scoring; query evaluation and results ofTopX. We shortly discuss the results with XXL afterwards.,International Workshop of the Initiative for the Evaluation of XML Retrieval,2005,42
The notion of diversity in graphical entity summarisation on semantic knowledge graphs,Marcin Sydow; Mariusz Pikuła; Ralf Schenkel,Abstract Given an entity represented by a single node q in semantic knowledge graph D; theGraphical Entity Summarisation problem (GES) consists in selecting out of D a very smallsurrounding graph S that constitutes a generic summary of the information concerning theentity q with given limit on size of S. This article concerns the role of diversity in this quitenovel problem. It gives an overview of the diversity concept in information retrieval; andproposes how to adapt it to GES. A measure of diversity for GES; called ALC; is defined andtwo algorithms presented; baseline; diversity-oblivious PRECIS and diversity-awareDIVERSUM. A reported experiment shows that DIVERSUM actually achieves higher valuesof the ALC diversity measure than PRECIS. Next; an objective evaluation experimentdemonstrates that diversity-aware algorithm is superior to the diversity-oblivious one in …,Journal of Intelligent Information Systems,2013,39
Database foundations for scalable RDF processing,Katja Hose; Ralf Schenkel; Martin Theobald; Gerhard Weikum,Abstract As more and more data is provided in RDF format; storing huge amounts of RDFdata and efficiently processing queries on such data is becoming increasingly important.The first part of the lecture will introduce state-of-the-art techniques for scalably storing andquerying RDF with relational systems; including alternatives for storing RDF; efficient indexstructures; and query optimization techniques. As centralized RDF repositories havelimitations in scalability and failure tolerance; decentralized architectures have beenproposed. The second part of the lecture will highlight system architectures and strategiesfor distributed RDF processing. We cover search engines as well as federated queryprocessing; highlight differences to classic federated database systems; and discussefficient techniques for distributed query processing in general and for RDF data in …,Proceedings of the 7th international conference on Reasoning web: semantic technologies for the web of data,2011,33
Relevance feedback for structural query expansion,Ralf Schenkel; Martin Theobald,Abstract Keyword-based queries are an important means to retrieve information from XMLcollections with unknown or complex schemas. Relevance Feedback integrates relevanceinformation provided by a user to enhance retrieval quality. For keyword-based XMLqueries; feedback engines usually generate an expanded keyword query from the content ofelements marked as relevant or nonrelevant. This approach that is inspired by text-based IRcompletely ignores the semistructured nature of XML. This paper makes the important stepfrom pure content-based to structural feedback. It presents two independent approaches thatinclude structural dimensions in a feedback-driven query evaluation: The first approachreranks the result list of a keyword-based search engine; using structural features derivedfrom results with known relevance. The second approach expands a keyword query into a …,International Workshop of the Initiative for the Evaluation of XML Retrieval,2005,31
Best-effort top-k query processing under budgetary constraints,Michal Shmueli-Scheuer; Chen Li; Yosi Mass; Haggai Roitman; Ralf Schenkel; Gerhard Weikum,We consider a novel problem of top-k query processing under budget constraints. Weprovide both a framework and a set of algorithms to address this problem. Existingalgorithms for top-k processing are budget-oblivious; ie; they do not take budget constraintsinto account when making scheduling decisions; but focus on the performance to computethe final top-k results. Under budget constraints; these algorithms therefore often returnresults that are a lot worse than the results that can be achieved with a clever; budget-awarescheduling algorithm. This paper introduces novel algorithms for budget-aware top-kprocessing that produce results that have a significantly higher quality than those of state-of-the-art budget-oblivious solutions.,Data Engineering; 2009. ICDE'09. IEEE 25th International Conference on,2009,30
Index maintenance for time-travel text search,Avishek Anand; Srikanta Bedathur; Klaus Berberich; Ralf Schenkel,Abstract Time-travel text search enriches standard text search by temporal predicates; sothat users of web archives can easily retrieve document versions that are consideredrelevant to a given keyword query and existed during a given time interval. Different indexstructures have been proposed to efficiently support time-travel text search. None of them;however; can easily be updated as the Web evolves and new document versions are addedto the web archive. In this work; we describe a novel index structure that efficiently supportstime-travel text search and can be maintained incrementally as new document versions areadded to the web archive. Our solution uses a sharded index organization; bounds thenumber of spuriously read index entries per shard; and can be maintained using small in-memory buffers and append-only operations. We present experiments on two large-scale …,Proceedings of the 35th international ACM SIGIR conference on Research and development in information retrieval,2012,28
Integrating snapshot isolation into transactional federations,Ralf Schenkel; Gerhard Weikum,Abstract This Paper reconsiders the Problem of transactional federations; more specificallythe concurrency control issue; with particular consideration of component Systems thatprovide only snapshot isolation; which is the default setting in Oracle and widely used inpractice. The Paper derives criteria and practical protocols for guaranteeing globalserializability at the federation level. The Paper generalizes the well-known ticket methodand develops novel federation-level graph testing methods to incorporate sub-serializabilitycomponent Systems like Oracle. These contributions are embedded in a practical projectthat built a CORBA-based federated database architecture suitable for modern Internet-orIntranet-based applications such as electronie commerce. This prototype System; whichincludes a federated transaction manager coined Trafic (Transactional Federation of …,International Conference on Cooperative Information Systems,2000,26
Towards benefit-based RDF source selection for SPARQL queries,Katja Hose; Ralf Schenkel,Abstract The Linked Data cloud consists of a great variety of data provided by an increasingnumber of sources. Selecting relevant sources is therefore a core ingredient of efficientquery processing. So far; this is either done with additional indexes or by iterativelyperforming lookups for relevant URIs. None of the existing methods takes additional aspectsinto account such as the degree of overlap between the sources; resulting in unnecessaryrequests. In this paper; we propose a sketch-based query routing strategy that takes sourceoverlap into account. The proposed strategy uses sketches and can be tuned towards eitherretrieving as many results as possible for a given budget or minimizing the number ofrequests necessary to retrieve all or a certain fraction of the results. Our experiments showsignificant improvements over state-of-the-art but overlap-ignorant methods for source …,Proceedings of the 4th International Workshop on Semantic Web Information Management,2012,23
Temporal index sharding for space-time efficiency in archive search,Avishek Anand; Srikanta Bedathur; Klaus Berberich; Ralf Schenkel,Abstract Time-travel queries that couple temporal constraints with keyword queries areuseful in searching large-scale archives of time-evolving content such as the web archivesor wikis. Typical approaches for efficient evaluation of these queries involve slicing either theentire collection [20] or individual index lists [10] along the time-axis. Both these methods arenot satisfactory since they sacrifice compactness of index for processing efficiency makingthem either too big or; otherwise; too slow. We present a novel index organization schemethat shards each index list with almost zero increase in index size but still minimizes the costof reading index entries during query processing. Based on the optimal sharding thusbtained; we develop a practically efficient sharding that takes into account the different costsof random and sequential accesses. Our algorithm merges shards from the optimal …,Proceedings of the 34th international ACM SIGIR conference on Research and development in Information Retrieval,2011,23
Distributed top-k aggregation queries at large,Thomas Neumann; Matthias Bender; Sebastian Michel; Ralf Schenkel; Peter Triantafillou; Gerhard Weikum,Abstract Top-k query processing is a fundamental building block for efficient ranking in alarge number of applications. Efficiency is a central issue; especially for distributed settings;when the data is spread across different nodes in a network. This paper introduces noveloptimization methods for top-k aggregation queries in such distributed environments. Theoptimizations can be applied to all algorithms that fall into the frameworks of the prior TPUTand KLEE methods. The optimizations address three degrees of freedom: 1) hierarchicallygrouping input lists into top-k operator trees and optimizing the tree structure; 2) computingdata-adaptive scan depths for different input sources; and 3) data-adaptive sampling of asmall subset of input sources in scenarios with hundreds or thousands of query-relevantnetwork nodes. All optimizations are based on a statistical cost model that utilizes local …,Distributed and Parallel Databases,2009,23
Efficient temporal keyword search over versioned text,Avishek Anand; Srikanta Bedathur; Klaus Berberich; Ralf Schenkel,Abstract Modern text analytics applications operate on large volumes of temporal text datasuch as Web archives; newspaper archives; blogs; wikis; and micro-blogs. In these settings;searching and mining needs to use constraints on the time dimension in addition to keywordconstraints. A natural approach to address such queries is using an inverted index whoseentries are enriched with valid-time intervals. It has been shown that these indexes have tobe partitioned along time in order to achieve efficiency. However; when the temporalpredicate corresponds to a long time range; requiring the processing of multiple partitions;naive query processing incurs high cost of reading of redundant entries across partitions.We present a framework for efficient approximate processing of keyword queries over atemporally partitioned inverted index which minimizes this overhead; thus speeding up …,Proceedings of the 19th ACM international conference on Information and knowledge management,2010,22
GeoSphereSearch: Context-Aware Geographic Web Search.,Jens Graupmann; Ralf Schenkel,ABSTRACT This paper presents the GeoSphereSearch engine for contextaware geographicqueries on the Web. It facilitates the formulation of geographic queries and the visualpresentation of discrete or aggregated query results in an intuitive manner. In contrast toother approaches it does not assign geographic footprints to documents; but considerscontext-aware geographic information on the fly; allowing a fine-grained query evaluation onthe level of document fragments; not complete documents.,GIR,2006,20
