Kernels for small molecules and the prediction of mutagenicity; toxicity and anti-cancer activity,S Joshua Swamidass; Jonathan Chen; Jocelyne Bruand; Peter Phung; Liva Ralaivola; Pierre Baldi,Abstract Motivation: Small molecules play a fundamental role in organic chemistry andbiology. They can be used to probe biological systems and to discover new drugs and otheruseful compounds. As increasing numbers of large datasets of small molecules becomeavailable; it is necessary to develop computational methods that can deal with molecules ofvariable size and structure and predict their physical; chemical and biological properties.Results: Here we develop several new classes of kernels for small molecules using their 1D;2D and 3D representations. In 1D; we consider string kernels based on SMILES strings. In2D; we introduce several similarity kernels based on conventional or generalizedfingerprints. Generalized fingerprints are derived by counting in different ways subpathscontained in the graph of bonds; using depth-first searches. In 3D; we consider similarity …,Bioinformatics,2005,173
Internal medicine resident computer usage: an electronic audit of an inpatient service,David Ouyang; Jonathan H Chen; Jason Hom; Jeffrey Chi,Methods Our institution uses the EPIC EHR system. In March 2015 we retrospectivelyanalyzed all time-stamped electronic actions logged between June 25; 2013 and June 29;2014; by internal medicine house staff at a large academic university hospital by institutionalEHR audit. Actions corresponded to behaviors performed on the EHR; recording activities asclinicians move through various parts of the medical chart. These included; but were notlimited to; reviewing medical charts; placing orders; accessing laboratory results; andgenerating notes. Data were extracted with our institutional informatics platform 3 and linkedwith residency scheduling information. Bedside computers are reserved for nursing dutieswhile physician workstations are located in separate workrooms. This study was reviewedand approved by the Stanford Administrative Panel on Human Subjects in Medical …,JAMA internal medicine,2016,4
Data-mining electronic medical records for clinical order recommendations: wisdom of the crowd or tyranny of the mob?,Jonathan H Chen; Russ B Altman,Abstract Uncertainty and variability is pervasive in medical decision making with insufficientevidence-based medicine and inconsistent implementation where established knowledgeexists. Clinical decision support constructs like order sets help distribute expertise; but areconstrained by knowledge-based development. We previously produced a data-driven orderrecommender system to automatically generate clinical decision support content fromstructured electronic medical record data on> 19K hospital patients. We now present the firststructured validation of such automatically generated content against an objective externalstandard by assessing how well the generated recommendations correspond to ordersreferenced as appropriate in clinical practice guidelines. For example scenarios of chestpain; gastrointestinal hemorrhage; and pneumonia in hospital patients; the automated …,AMIA Summits on Translational Science Proceedings,2015,4
Predicting inpatient clinical order patterns with probabilistic topic models vs conventional order sets,Jonathan H Chen; Mary K Goldstein; Steven M Asch; Lester Mackey; Russ B Altman,Objective: Build probabilistic topic model representations of hospital admissions processesand compare the ability of such models to predict clinical order patterns as compared topreconstructed order sets. Materials and Methods: The authors evaluated the first 24 hoursof structured electronic health record data for> 10 K inpatients. Drawing an analogy betweenstructured items (eg; clinical orders) to words in a text document; the authors performedlatent Dirichlet allocation probabilistic topic modeling. These topic models use initial clinicalinformation to predict clinical orders for a separate validation set of> 4 K patients. Theauthors evaluated these topic model-based predictions vs existing human-authored ordersets by area under the receiver operating characteristic curve; precision; and recall forsubsequent clinical orders. Results: Existing order sets predict clinical orders used within …,Journal of the American Medical Informatics Association,2017,3
Effect of opioid prescribing guidelines in primary care,Jonathan H Chen; Jason Hom; Ilana Richman; Steven M Asch; Tanya Podchiyska; Nawal Atwan Johansen,Abstract Long-term opioid use for noncancer pain is increasingly prevalent yet controversialgiven the risks of addiction; diversion; and overdose. Prior literature has identified theproblem and proposed management guidelines; but limited evidence exists on the actualeffectiveness of implementing such guidelines in a primary care setting.,Medicine,2016,3
Dynamically evolving clinical practices and implications for predicting medical decisions,Jonathan H Chen; Mary K Goldstein; Steven M Asch; Russ B Altman,Automatically data-mining clinical practice patterns from electronic health records (EHR) canenable prediction of future practices as a form of clinical decision support (CDS). Ourobjective is to determine the stability of learned clinical practice patterns over time and whatimplication this has when using varying longitudinal historical data sources towardspredicting future decisions. We trained an association rule engine for clinical orders (eg;labs; imaging; medications) using structured inpatient data from a tertiary academic hospital.Comparing top order associations per admission diagnosis from training data in 2009 vs.2012; we find practice variability from unstable diagnoses with rank biased overlap (RBO)<0.35 (eg; pneumonia) to stable admissions for planned procedures (eg; chemotherapy;surgery) with comparatively high RBO> 0.6. Predicting admission orders for future (2013) …,*,2016,3
Improving and sustaining a reduction in iatrogenic pneumothorax through a multifaceted quality‐improvement approach,Lisa Shieh; Minjoung Go; Daniel Gessner; Jonathan H Chen; Joseph Hopkins; Paul Maggio,BACKGROUND The Agency for Healthcare Research and Quality has adopted iatrogenicpneumothorax (IAP) as a Patient Safety Indicator. In 2006; in response to a low performanceranking for IAP rate from the University Healthsystem Consortium (UHC); the authorsestablished a multidisciplinary team to reduce our institution's IAP rate. Root-cause analysisfound that subclavian insertion of central venous catheterization (CVC) was the mostcommon procedure associated with IAP OBJECTIVE Our short-term goal was a 50%reduction of both CVC-associated and all-cause IAP rates within 18 months; with long-termgoals of sustained reduction. DESIGN,Journal of hospital medicine,2015,2
Reaction explorer: towards a knowledge map of organic chemistry to support dynamic assessment and personalized instruction,Jonathan H Chen; Matthew A Kayala; Pierre Baldi,Computer-based learning systems enable interactive learning opportunities that are notpossible in a traditional teaching setting. We have previously developed Reaction Exploreran interactive tutorial system for organic chemistry; synthesis; and mechanisms at thecollege level. The tutorial is powered by an underlying organic chemistry expert systemcomprising over 1;500 reaction rules; allowing it to generate a virtually infinite collection ofproblems; and has been used by students at our University for the past three years. Thework presented here seeks to develop novel intelligent modules to optimize and personalizestudent learning trajectories by monitoring each step in a student's progress and learning topropose optimal individualized problems that are at the boundary of a student's knowledge.Specifically; the system is being upgraded with modules for computer-based dynamic …,*,2010,2
Decaying relevance of clinical data towards future decisions in data-driven inpatient clinical order sets,Jonathan H Chen; Muthuraman Alagappan; Mary K Goldstein; Steven M Asch; Russ B Altman,Abstract Objective Determine how varying longitudinal historical training data can impactprediction of future clinical decisions. Estimate the “decay rate” of clinical data sourcerelevance. Materials and methods We trained a clinical order recommender system;analogous to Netflix or Amazon's “Customers who bought A also bought B...” productrecommenders; based on a tertiary academic hospital's structured electronic health recorddata. We used this system to predict future (2013) admission orders based on differentsubsets of historical training data (2009 through 2012); relative to existing human-authoredorder sets. Results Predicting future (2013) inpatient orders is more accurate with modelstrained on just one month of recent (2012) data than with 12 months of older (2009) data(ROC AUC 0.91 vs. 0.88; precision 27% vs. 22%; recall 52% vs. 43%; all P< 10− 10) …,International journal of medical informatics,2017,1
The patient you least want to see,Jonathan H Chen,Signing my first orders as a medical intern was distinctly disconcerting. Wait; I can just signthis order and it will happen? Are we sure this is safe? Safe or not; new physician traineessuddenly wield the power to administer medications that can be lifesaving or life-ending.Pharmacists corrected my orders for excessive doses of insulin or potassium; while seniorphysicians guided my selection of vasopressor infusions and antibiotics. When it came tointravenous opioids; however; those same pharmacists never hesitated to approve myorders; and I found little structured guidance from supervising physicians. With no questionsasked; I included “as needed” acetaminophen; oxycodone; and IV morphine in my standardorder set for every patient I admitted. I congratulated myself on a time-saving trick toanticipate patient and nursing needs that would spare me an extra page to respond to …,Jama,2016,1
Reversals and limitations on high-intensity; life-sustaining treatments,Gustavo Chavez; Ilana B Richman; Rajani Kaimal; Jason Bentley; Lee Ann Yasukawa; Russ B Altman; Vyjeyanthi S Periyakoil; Jonathan H Chen,Importance Critically ill patients often receive high-intensity life sustaining treatments (LST)in the intensive care unit (ICU); although they can be ineffective and eventually undesired.Determining the risk factors associated with reversals in LST goals can improve patient andprovider appreciation for the natural history and epidemiology of critical care and informdecision making around the (continued) use of LSTs. Methods This is a single institutionretrospective cohort study of patients receiving life sustaining treatment in an academictertiary hospital from 2009 to 2013. Deidentified patient electronic medical record data wascollected via the clinical data warehouse to study the outcomes of treatment limiting ComfortCare and do-not-resuscitate (DNR) orders. Extended multivariable Cox regression modelswere used to estimate the association of patient and clinical factors with subsequent …,PloS one,2018,*
Impact of problem-based charting on the utilization and accuracy of the electronic problem list,Ron C Li; Trit Garg; Tony Cun; Lisa Shieh; Gomathi Krishnan; Daniel Fang; Jonathan H Chen,Objective Problem-based charting (PBC) is a method for clinician documentation incommercially available electronic medical record systems that integrates note writing andproblem list management. We report the effect of PBC on problem list utilization andaccuracy at an academic intensive care unit (ICU). Materials and Methods An interruptedtime series design was used to assess the effect of PBC on problem list utilization; which isdefined as the number of new problems added to the problem list by clinicians per patientencounter; and of problem list accuracy; which was determined by calculating the recall andprecision of the problem list in capturing 5 common ICU diagnoses. Results In total; 3650and 4344 patient records were identified before and after PBC implementation at StanfordHospital. An increase of 2.18 problems (> 50% increase) in the mean number of new …,Journal of the American Medical Informatics Association,2018,*
High-Volume Prescribers Do Not Drive Medicare Prescriptions of Schedule II Opioids,Jonathan H Chen; Keith Humphreys; Nigam H Shah; Anna Lembke,Methods We examined individual prescriber data from the 2013 Medicare Part D(prescription drug coverage) claims dataset created by the Centers for Medicare andMedicaid Services. 5 Part D covers~ 68% of the~ 50 million people on Medicare; the federalinsurance program for Americans who have certain disabilities or are 65 or older.,JAMA internal medicine,2016,*
Reaction Explorer: Organic chemistry tutorial system with inherent predictive power and collaborative learning support,Jonathan H Chen; Pierre Baldi,*,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,2011,*
Reaction prediction as ranking molecular orbital interactions,Matthew A Kayala; Chloe A Azencott; Jonathan H Chen; Pierre Baldi,*,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,2011,*
OrbDB: A database of molecular orbital interactions,Matthew A Kayala; Chloe A Azencott; Jonathan H Chen; Pierre F Baldi,*,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,2010,*
Reaction simulation expert system for synthetic organic chemistry,Jonathan H Chen; Pierre Baldi,*,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,2009,*
Synthesis Explorer: Organic chemistry tutorial system for multistep synthesis and mechanism problems with personalized assessment and adaptive problem generat...,Jonathan H Chen; Pierre Baldi,*,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,2009,*
CINF 79-Reaction mechanism prediction by transformation rules and general principles,Jonathan H Chen; Pierre Baldi,*,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,2008,*
CINF 78-Reaction prediction; classification; and retro-synthesis using a rule-based reaction expert system,Jonathan H Chen; Qian-Nan Hu; Pierre Baldi,*,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,2008,*
CHED 1605-Synthesis explorer: Organic chemistry tutorial system for multistep synthesis design and reaction mechanism prediction,Jonathan H Chen; Pierre Baldi,*,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,2008,*
Synthesis Explorer: Dynamically generated reaction and synthesis problems for organic chemistry education,Jonathan Chen; Peter Phung; Pierre F Baldi,*,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,2007,*
OrbDB: Ranking Molecular Orbital Interactions,Matthew A Kayala; Chloé-Agathe Azencott; Jonathan H Chen; Pierre Baldi,*,*,*,*
