LOF: identifying density-based local outliers,Markus M Breunig; Hans-Peter Kriegel; Raymond T Ng; Jörg Sander,Abstract For many KDD applications; such as detecting criminal activities in E-commerce;finding the rare instances or the outliers; can be more interesting than finding the commonpatterns. Existing work in outlier detection regards being an outlier as a binary property. Inthis paper; we contend that for many scenarios; it is more meaningful to assign to eachobject a degree of being an outlier. This degree is called the local outlier factor (LOF) of anobject. It is local in that the degree depends on how isolated the object is with respect to thesurrounding neighborhood. We give a detailed formal analysis showing that LOF enjoysmany desirable properties. Using real-world datasets; we demonstrate that LOF can be usedto find outliers which appear to be meaningful; but can otherwise not be identified withexisting approaches. Finally; a careful performance evaluation of our algorithm confirms …,ACM sigmod record,2000,3507
Probabilistic logic programming,Raymond Ng; Venkatramanan Siva Subrahmanian,Abstract Of all scientific investigations into reasoning with uncertainty and chance;probability theory is perhaps the best understood paradigm. Nevertheless; all studiesconducted thus far into the semantics of quantitative logic programming have restrictedthemselves to non-probabilistic semantic characterizations. In this paper; we take a fewsteps towards rectifying this situation. We define a logic programming language that issyntactically similar to the annotated logics of Blair and Subrahmanian (Theoret. Comput.Sci. 68 (1987); 35–54; J. Non-Classical Logic5 (1988); 45–73) but in which the truth valuesare interpreted probabilistically. A probabilistic model theory and fixpoint theory isdeveloped for such programs. This probabilistic model theory satisfies the requirementsproposed by Fenstad (in “Studies in Inductive Logic and Probabilities”(RC Jeffrey; Ed.) …,Information and computation,1992,366
Indexing spatio-temporal trajectories with Chebyshev polynomials,Yuhan Cai; Raymond Ng,Abstract In this paper; we attempt to approximate and index a d-dimensional (d≥ 1) spatio-temporal trajectory with a low order continuous polynomial. There are many possible waysto choose the polynomial; including (continuous) Fourier transforms; splines; non-linearregressino; etc. Some of these possiblities have indeed been studied beofre. Wehypothesize that one of the best possibilities is the polynomial that minimizes the maximumdeviation from the true value; which is called the minimax polynomial. Minimaxapproximation is particularly meaningful for indexing because in a branch-and-boundsearch (ie; for finding nearest neighbours); the smaller the maximum deviation; the morepruning opportunities there exist. However; in general; among all the polynomials of thesame degree; the optimal minimax polynomial is very hard to compute. However; it has …,Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,335
The New Jersey data reduction report,Daniel Barbar'a; William DuMouchel; Christos Faloutsos; Peter J Haas; Joseph M Hellerstein; Yannis Ioannidis; HV Jagadish; Theodore Johnson; Raymond Ng; Viswanath Poosala; Kenneth A Ross; Kenneth C Sevcik,Abstract this paper we describe and evaluate several popular techniques for data reduction.Historically; the primary need for data reduction has been internal to a database system; in acost-based query optimizer. The need is for the query optimizer to estimate the cost ofalternative query plans cheaply--clearly the effort required to do so must be much smallerthan the effort of actually executing the query; and yet the cost of executing any query plandepends strongly upon the numerosity of specified attribute values and the selectivities ofspecified predicates. To address these query optimizer needs; many databases keepsummary statistics. Sampling techniques have also been proposed. More recently; there hasbeen an explosion of interest in the analysis of data in warehouses. Data warehouses canbe extremely large; yet obtaining answers quickly is important. Often; it is quite acceptable …,IEEE Data Engineering Bulletin,1997,321
Fast Computation of 2-Dimensional Depth Contours.,Theodore Johnson; Ivy Kwok; Raymond T Ng,Abstract" One person's noise is another person's signal." For many applications; includingthe detection of credit card frauds and the monitoring of criminal activities in electroniccommerce; an important knowledge discovery problem is the detection ofexceptional/outlying events. In computational statistics; one well-known approach to detectoutlying data points in a 2-D dataset is to assign a depth to each data point. Based on theassigned depths; the data points are organized in layers in the 2-D space; with theexpectation that shallow layers are more likely to contain outlying points than are the deeplayers. One robust notion of depth; called depth contours; was introduced by Tukey 17; 18].ISODEPTH; developed by Ruts and Rousseeuw 16]; is an algorithm that computes 2-Ddepth contours. In this paper; we give a fast algorithm; called FDC; for computing 2-D …,KDD,1998,281
Constraint-based; multidimensional data mining,Jiawei Han; Laks VS Lakshmanan; Raymond T Ng,Although many data-mining methodologies and systems have been developed in recentyears; the authors contend that by and large; present mining models lack humaninvolvement; particularly in the form of guidance and user control. They believe that datamining is most effective when the computer does what it does best-like searching largedatabases or counting-and users do what they do best; like specifying the current miningsession's focus. This division of labor is best achieved through constraint-based mining; inwhich the user provides restraints that guide a search. Mining can also be improved byemploying a multidimensional; hierarchical view of the data. Current data warehousesystems have provided a fertile ground for systematic development of this multidimensionalmining. Together; constraint-based and multidimensional techniques can provide a more …,Computer,1999,234
Optics-of: Identifying local outliers,Markus M Breunig; Hans-Peter Kriegel; Raymond T Ng; Jörg Sander,Abstract For many KDD applications finding the outliers; ie the rare events; is moreinteresting and useful than finding the common cases; eg detecting criminal activities in E-commerce. Being an outlier; however; is not just a binary property. Instead; it is a propertythat applies to a certain degree to each object in a data set; depending on how 'isolated'thisobject is; with respect to the surrounding clustering structure. In this paper; we formallyintroduce a new notion of outliers which bases outlier detection on the same theoreticalfoundation as density-based cluster analysis. Our notion of an outlier is 'local'in the sensethat the outlier-degree of an object is determined by taking into account the clusteringstructure in a bounded neighborhood of the object. We demonstrate that this notion of anoutlier is more appropriate for detecting different types of outliers than previous …,European Conference on Principles of Data Mining and Knowledge Discovery,1999,224
Optimization of constrained frequent set queries with 2-variable constraints,Laks VS Lakshmanan; Raymond Ng; Jiawei Han; Alex Pang,Abstract Currently; there is tremendous interest in providing ad-hoc mining capabilities indatabase management systems. As a first step towards this goal; in [15] we proposed anarchitecture for supporting constraint-based; human-centered; exploratory mining of variouskinds of rules including associations; introduced the notion of constrained frequent setqueries (CFQs); and developed effective pruning optimizations for CFQs with 1-variable (1-var) constraints. While 1-var constraints are useful for constraining the antecedent andconsequent separately; many natural examples of CFQs illustrate the need for constrainingthe antecedent and consequent jointly; for which 2-variable (2-var) constraints areindispensable. Developing pruning optimizations for CFQs with 2-var constraints is thesubject of this paper. But this is a difficult problem because:(i) in 2-var constraints; both …,ACM SIGMOD Record,1999,220
Extracting knowledge from evaluative text,Giuseppe Carenini; Raymond T Ng; Ed Zwart,Abstract Capturing knowledge from free-form evaluative texts about an entity is achallenging task. New techniques of feature extraction; polarity determination and strengthevaluation have been proposed. Feature extraction is particularly important to the task as itprovides the underpinnings of the extracted knowledge. The work in this paper introducesan improved method for feature extraction that draws on an existing unsupervised method.By including user-specific prior knowledge of the evaluated entity; we turn the task of featureextraction into one of term similarity by mapping crude (learned) features into a user-definedtaxonomy of the entity's features. Results show promise both in terms of the accuracy of themapping as well as the reduction in the semantic redundancy of crude features.,Proceedings of the 3rd international conference on Knowledge capture,2005,206
Constraint-based clustering in large databases,Anthony KH Tung; Jiawei Han; Laks VS Lakshmanan; Raymond T Ng,Abstract Constrained clustering—finding clusters that satisfy user-specified constraints—ishighly desirable in many applications. In this paper; we introduce the constrained clusteringproblem and show that traditional clustering algorithms (eg; k-means) cannot handle it. Ascalable constraint-clustering algorithm is developed in this study which starts by finding aninitial solution that satisfies user-specified constraints and then refines the solution byperforming confined object movements under constraints. Our algorithm consists of twophases: pivot movement and deadlock resolution. For both phases; we show that finding theoptimal solution is NP-hard. We then propose several heuristics and show how ouralgorithm can scale up for large data sets using the heuristic of micro-cluster sharing. Byexperiments; we show the effectiveness and efficiency of the heuristics.,International Conference on Database Theory,2001,205
Counting twig matches in a tree,Zhiyuan Chen; HV Jagadish; Flip Korn; Nick Koudas; S Muthukrishnan; Raymond Ng; Divesh Srivastava,Describes efficient algorithms for accurately estimating the number of matches of a smallnode-labeled tree; ie a twig; in a large node-labeled tree; using a summary data structure.This problem is of interest for queries on XML and other hierarchical data; to provide queryfeedback and for cost-based query optimization. Our summary data structure scalablyrepresents approximate frequency information about twiglets (ie small twigs) in the data tree.Given a twig query; the number of matches is estimated by creating a set of query twiglets;and combining two complementary approaches: set hashing; used to estimate the number ofmatches of each query twiglet; and maximal overlap; used to combine the query twigletestimates into an estimate for the twig query. We propose several estimation algorithms thatapply these approaches on query twiglets formed using variations on different twiglet …,Data Engineering; 2001. Proceedings. 17th International Conference on,2001,166
A semantical framework for supporting subjective and conditional probabilities in deductive databases,Raymond Ng; Venkatramanan Siva Subrahmanian,Abstract We present a theoretical basis for supporting subjective and conditionalprobabilities in deductive databases. We design a language that allows a user greaterexpressive power than classical logic programming. In particular; a user can express the factthat A is possible (ie A has non-zero probability); B is possible; but (A⋀ B) as a whole isimpossible. A user can also freely specify probability annotations that may contain variables.The focus of this paper is to study the semantics of programs written in such a language inrelation to probability theory. Our model theory which is founded on the classical onecaptures the uncertainty described in a probabilistic program at the level of Herbrandinterpretations. Furthermore; we develop a fixpoint theory and a proof procedure for suchprograms and present soundness and completeness results. Finally we characterize the …,Journal of Automated Reasoning,1993,149
Patient-derived first generation xenografts of non–small cell lung cancers: promising tools for predicting drug responses for personalized chemotherapy,Xin Dong; Jun Guan; John C English; Julia Flint; John Yee; Kenneth Evans; Nevin Murray; Calum MacAulay; Raymond T Ng; Peter W Gout; Wan L Lam; Janessa Laskin; Victor Ling; Stephen Lam; Yuzhuo Wang,Purpose: Current chemotherapeutic regimens have only modest benefit for non–small celllung cancer (NSCLC) patients. Cumulative toxicities/drug resistance limit chemotherapygiven after the first-line regimen. For personalized chemotherapy; clinically relevant NSCLCmodels are needed for quickly predicting the most effective regimens for therapy withcurative intent. In this study; first generation subrenal capsule xenografts of primary NSCLCswere examined for (a) determining responses to conventional chemotherapeutic regimensand (b) selecting regimens most effective for individual patients. Experimental Design:Pieces (1× 3× 3 mm 3) of 32 nontreated; completely resected patients9 NSCLCs weregrafted under renal capsules of nonobese diabetic/severe combined immunodeficient miceand treated with (A) cisplatin+ vinorelbine;(B) cisplatin+ docetaxel;(C) cisplatin+ …,Clinical Cancer Research,2010,136
Parametric query optimization,Yannis E Ioannidis; Raymond T Ng; Kyuseok Shim; Timos K Sellis,Abstract In most database systems; the values of many important run-time parameters of thesystem; the data; or the query are unknown at query optimization time. Parametric queryoptimization attempts to identify several execution plans; each one of which is optimal for asubset of all possible values of the run-time parameters. We present a general formulation ofthis problem and study it primarily for the bu er size parameter. We adopt randomizedalgorithms as the main approach to this style of optimization and enhance them with asideways information passing feature that increases their e ectiveness in the new task.Experimental results of these enhanced algorithms show that they optimize queries for largenumbers of bu er sizes in the same time needed by their conventional versions for a singlebu er size; without much sacri ce in the output quality.,VLDB,1992,134
Message from the “Island Group”: What is literacy in science literacy?,Brian M Hand; Donna E Alvermann; James Gee; Barbara J Guzzetti; Stephen P Norris; Linda M Phillips; Vaughan Prain; Larry D Yore,© 2003 Wiley Periodicals; Inc. divergent research groups dealing with language andscience learning; and to stimulate the development of the next generation of researchersand collaborative research efforts in this multidisciplinary area. The conference emphasizedthe need to bridge the gap between literacy practices and teaching and learning of sciencein school classrooms and between researchbased claims and educational policies;instructional decisions; and teaching and assessment practices. Importantly; the need fordifferent groups to engage in meaningful dialogue about implementing more informedstudies that incorporate various disciplines was highlighted as a means to promote a muchricher version of Science Literacy for All and a higher-quality science education experience.This concept of border crossing builds on the US Federal Government push for …,Journal of Research in Science Teaching,2003,132
Integrating copy number polymorphisms into array CGH analysis using a robust HMM,Sohrab P Shah; Xiang Xuan; Ron J DeLeeuw; Mehrnoush Khojasteh; Wan L Lam; Raymond Ng; Kevin P Murphy,Abstract Motivation: Array comparative genomic hybridization (aCGH) is a pervasivetechnique used to identify chromosomal aberrations in human diseases; including cancer.Aberrations are defined as regions of increased or decreased DNA copy number; relative toa normal sample. Accurately identifying the locations of these aberrations has manyimportant medical applications. Unfortunately; the observed copy number changes are oftencorrupted by various sources of noise; making the boundaries hard to detect. One popularcurrent technique uses hidden Markov models (HMMs) to divide the signal into regions ofconstant copy number called segments; a subsequent classification phase labels eachsegment as a gain; a loss or neutral. Unfortunately; standard HMMs are sensitive to outliers;causing over-segmentation; where segments erroneously span very short regions …,Bioinformatics,2006,131
Finding aggregate proximity relationships and commonalities in spatial data mining,Edwin M Knorr; Raymond T Ng,Studies two spatial knowledge discovery problems involving proximity relationshipsbetween clusters and features. The first problem is: given a cluster of points; how can weefficiently find features (represented as polygons) that are closest to the majority of points inthe cluster? We measure proximity in an aggregate sense due to the nonuniform distributionof points in a cluster (eg houses on a map); and the different shapes and sizes of features(eg natural or man-made geographic features). The second problem is: given n clusters ofpoints; how can we extract the aggregate proximity commonalities (ie features) that apply tomost; if not all; of the n clusters? Regarding the first problem; the main contribution of thepaper is the development of Algorithm CRH (Circle; Rectangle and Hull); which usesgeometric approximations (ie encompassing circles; isothetic rectangles and convex hulls …,IEEE Transactions on Knowledge and Data Engineering,1996,128
Genome-wide profiling of follicular lymphoma by array comparative genomic hybridization reveals prognostically significant DNA copy number imbalances,K-John J Cheung; Sohrab P Shah; Christian Steidl; Nathalie Johnson; Thomas Relander; Adele Telenius; Betty Lai; Kevin P Murphy; Wan Lam; Abdulwahab J Al-Tourah; Joseph M Connors; Raymond T Ng; Randy D Gascoyne; Douglas E Horsman,The secondary genetic events associated with follicular lymphoma (FL) progression are notwell defined. We applied genome-wide BAC array comparative genomic hybridization to106 diagnostic biopsies of FL to characterize regional genomic imbalances. Using ananalytical approach that defined regions of copy number change as intersections betweenvisual annotations and a Hidden Markov model–based algorithm; we identified 71 regionalalterations that were recurrent in at least 10% of cases. These ranged in size fromapproximately 200 kb to 44 Mb; affecting chromosomes 1; 5; 6; 7; 8; 10; 12; 17; 18; 19; and22. We also demonstrated by cluster analysis that 46.2% of the 106 cases could be sub-grouped based on the presence of+ 1q;+ 6p/6q−;+ 7; or+ 18. Survival analysis showed that21 of the 71 regions correlated significantly with inferior overall survival (OS). Of these 21 …,Blood,2009,109
Mixed integer programming methods for computing nonmonotonic deductive databases,Colin Bell; Anil Nerode; Raymond T Ng; VS Subrahmanian,Abstract Though the declarative semantics of both explicit and nonmonotonic negation inlogic programs has been studied extensively; relatively little work has been done oncomputation and implementation of these semantics. In this paper; we study three differentapproaches to computing stable models of logic programs based on mixed integer linearprogramming methods for automated deduction introduced by R. Jeroslow. Wesubsequently discuss the relative efficiency of these algorithms. The results of experimentswith a prototype compiler implemented by us tend to confirm our theoretical discussion. Incontrast to resolution; the mixed integer programming methodology is both fully declarativeand handles reuse of old computations gracefully. We also introduce; compare; implement;and experiment with linear constraints corresponding to four semantics for “explicit” …,Journal of the ACM (JACM),1994,107
Stable semantics for probabilistic deductive databases,Raymond Ng; VS Subrahmanian,Abstract In this paper we study the semantics of non-monotonic negation in probabilisticdeductive databases. Based on the stable semantics for classical logic programming; weexamine three natural notions of stability: stable formula functions; stable families ofprobabilistic interpretations; and stable probabilistic models. We show that stable formulafunctions are minimal fixpoints of operators associated with probabilistic logic programs. Wealso prove that each member in a stable family of probabilistic interpretations is aprobabilistic model of the program. Then we show that stable formula functions and stablefamilies behave as duals of each other; tying together elegantly the fixpoint and modeltheories for probabilistic logic programs with negation. Furthermore; since a probabilisticlogic program may not necessarily have a stable family of probabilistic interpretations; we …,Information and computation,1994,107
Semantic compression and pattern extraction with fascicles,HV Jagadish; Jason Madar; Raymond T Ng,Abstract Often many records in a database share similar values for several attributes. If oneis able to identify and group together records that share similar values for some—even if notall—at—tributes; one can both obtain a more parsimo—nious representation of the data; andgain useful insight into the data from a mining perspective. In this paper; we introduce thenotion of fasci-cles. A fascicle F (k; t) is a subset of records that have If compact attributes. Anattribute A of a collection F of records is compact if the width of the range of A—values (fornumeric attributes) or the number of distinct A—values (for categorical attributes) of all therecords in F does not ex—ceed t. We introduce and study two problems re—lated tofascicles. First; we consider how to ﬁnd fascicles such that the total storage of the rela—tionis minimized. Second; we study how best to extract fascicles whose sizes exceed a given …,VLDB,1999,106
Summarizing email conversations with clue words,Giuseppe Carenini; Raymond T Ng; Xiaodong Zhou,Abstract Accessing an ever increasing number of emails; possibly on small mobile devices;has become a major problem for many users. Email summarization is a promising way tosolve this problem. In this paper; we propose a new framework for email summarization. Onenovelty is to use a fragment quotation graph to try to capture an email conversation. Thesecond novelty is to use clue words to measure the importance of sentences in conversationsummarization. Based on clue words and their scores; we propose a method called CWS;which is capable of producing a summary of any length as requested by the user. Weprovide a comprehensive comparison of CWS with various existing methods on the Enrondata set. Preliminary results suggest that CWS provides better summaries than existingmethods.,Proceedings of the 16th international conference on World Wide Web,2007,104
Flexible buffer allocation based on marginal gains,Raymond Ng; Christos Faloutsos; Timos Sellis,Abstract Previous works on buflcx allocation are based f~ il $ lwr exclusively on theavailability of buffers at r {ll) timc or on the access pat teras of queries. In this paperWeprepose a unified approach for buffer allocation in which both of these considerations aretaken into accou at. Our approach is based on the notion of marginal y~~ ins which specifythe expected reduction cm page faults in allocating extra buffers to a query. Simulationresults show that our approach is promising; and allocation algorithms based on marginalgains perform cousidwably better than existing on'es.,ACM SIGMOD Record,1991,99
Inference of transcriptional regulation relationships from gene expression data,Andrew T Kwon; Holger H Hoos; Raymond Ng,Abstract We propose a new method for finding potential regulatory relationships betweenpairs of genes from microarray time series data and apply it to expression data for cell-cyclerelated genes in yeast. We compare our algorithm; dubbed the event method; with theearlier correlation method and the edge detection method by Filkov et al. When tested onknown transcriptional regulation genes; all three methods are able to find similar numbers oftrue positives. The results indicate that our algorithm is able to identify true positive pairs thatare different from those found by the two other methods. We also compare the correlationand the event methods using synthetic data and find that typically; the event method obtainsbetter results.,Proceedings of the 2003 ACM symposium on Applied computing,2003,98
Iceberg-cube computation with PC clusters,Raymond T Ng; Alan Wagner; Yu Yin,Abstract In this paper; we investigate the approach of using low cost PC cluster to parallelizethe computation of iceberg-cube queries. We concentrate on techniques directed towardsonline querying of large; high-dimensional datasets where it is assumed that the total cubehas net been precomputed. The algorithmic space we explore considers trade-offs betweenparallelism; computation and I/0. Our main contribution is the development and acomprehensive evaluation of various novel; parallel algorithms. Specifically:(1) AlgorithmRP is a straightforward parallel version of BUC [BR99];(2) Algorithm BPP attempts to reduceI/0 by outputting results in a more efficient way;(3) Algorithm ASL; which maintains cells in acuboid in a skiplist; is designed to put the utmost priority on load balancing; and (4)alternatively; Algorithm PT load-balances by using binary partitioning to divide the cube …,ACM SIGMOD Record,2001,94
Maximizing buffer and disk utilizations for news on-demand,Raymond T Ng; Jinhai Yang,Abstract In this paper; we study the problem of how to maximize the throughput of amultimedia system; given a fixed amount of buffer space and disk bandwidth both pm-determined at design-time. Our approach is to maximize the utilizations of disk and buffers.We propose doing so in two ways. First; we analyze a scheme that allows multiple streamsto share buffers. Our analysis and preliminary simulation results indicate that buffer sharingcould lead to as much as 50% reduction in total buffer requirements. Second; we developtwo prefetching strategies: SP and IP. As will be demonstrated by SP; straightforwardprefetching is not effective at all. In contrast; IP; which prefetches more intelligently than doesSP; could be valuable in maximizing the effective use of buffers and disk. Our preliminarysimulation results show that IP could lead to a 40% improvement in throughput.,VLDB,1994,91
Effect of active smoking on the human bronchial epithelium transcriptome,Raj Chari; Kim M Lonergan; Raymond T Ng; Calum MacAulay; Wan L Lam; Stephen Lam,Lung cancer is the most common cause of cancer-related deaths. Tobacco smoke exposureis the strongest aetiological factor associated with lung cancer. In this study; using serialanalysis of gene expression (SAGE); we comprehensively examined the effect of activesmoking by comparing the transcriptomes of clinical specimens obtained from current;former and never smokers; and identified genes showing both reversible and irreversibleexpression changes upon smoking cessation. Twenty-four SAGE profiles of the bronchialepithelium of eight current; twelve former and four never smokers were generated andanalyzed. In total; 3;111;471 SAGE tags representing over 110 thousand potentially uniquetranscripts were generated; comprising the largest human SAGE study to date. We identified1;733 constitutively expressed genes in current; former and never smoker transcriptomes …,BMC genomics,2007,87
