Roles of continuous neurogenesis in the structural and functional integrity of the adult forebrain,Itaru Imayoshi; Masayuki Sakamoto; Toshiyuki Ohtsuka; Keizo Takao; Tsuyoshi Miyakawa; Masahiro Yamaguchi; Kensaku Mori; Toshio Ikeda; Shigeyoshi Itohara; Ryoichiro Kageyama,Abstract Neurogenesis occurs continuously in the forebrain of adult mammals; but thefunctional importance of adult neurogenesis is still unclear. Here; using a genetic labelingmethod in adult mice; we found that continuous neurogenesis results in the replacement ofthe majority of granule neurons in the olfactory bulb and a substantial addition of granuleneurons to the hippocampal dentate gyrus. Genetic ablation of newly formed neurons inadult mice led to a gradual decrease in the number of granule cells in the olfactory bulb;inhibition of increases in the granule cell number in the dentate gyrus and impairment ofbehaviors in contextual and spatial memory; which are known to depend on hippocampus.These results suggest that continuous neurogenesis is required for the maintenance andreorganization of the whole interneuron system in the olfactory bulb; the modulation and …,Nature neuroscience,2008,833
Mice expressing only monosialoganglioside GM3 exhibit lethal audiogenic seizures,Hiromichi Kawai; Maria Laura Allende; Ryuichi Wada; Mari Kono; Kazunori Sango; Chuxia Deng; Tsuyoshi Miyakawa; Jacqueline N Crawley; Norbert Werth; Uwe Bierfreund; Konrad Sandhoff; Richard L Proia,Abstract Gangliosides are a family of glycosphingolipids that contain sialic acid. Althoughthey are abundant on neuronal cell membranes; their precise functions and importance inthe central nervous system (CNS) remain largely undefined. We have disrupted the geneencoding GD3 synthase (GD3S); a sialyltransferase expressed in the CNS that isresponsible for the synthesis of b-series gangliosides. GD3S−/− mice; even with an absenceof b-series gangliosides; appear to undergo normal development and have a normal lifespan. To further restrict the expression of gangliosides; the GD3S mutant mice werecrossbred with mice carrying a disrupted GalNAcT gene encoding β1; 4-N-acetylgalactosaminyltransferase. These double mutant mice expressed GM3 as their majorganglioside. In contrast to the single mutant mice; the double mutants displayed a sudden …,Journal of Biological Chemistry,2001,201
M2 muscarinic acetylcholine receptor knock-out mice show deficits in behavioral flexibility; working memory; and hippocampal plasticity,Thomas Seeger; Irina Fedorova; Fang Zheng; Tsuyoshi Miyakawa; Elena Koustova; Jesus Gomeza; Anthony S Basile; Christian Alzheimer; Jürgen Wess,Muscarinic acetylcholine receptors are known to play key roles in facilitating cognitiveprocesses. However; the specific roles of the individual muscarinic receptor subtypes (M 1-M5) in learning and memory are not well understood at present. In the present study; we usedwild-type (M2+/+) and M 2 receptor-deficient (M2-/-) mice to examine the potential role of M 2receptors in learning and memory and hippocampal synaptic plasticity. M2-/-mice showedsignificant deficits in behavioral flexibility and working memory in the Barnes circular mazeand the T-maze delayed alternation tests; respectively. The behavioral deficits of M2-/-micewere associated with profound changes in neuronal plasticity studied at the Schaffer-CA1synapse of hippocampal slices. Strikingly; short-term potentiation (STP) was abolished; andlong-term potentiation (LTP) was drastically reduced after high-frequency stimulation of …,Journal of Neuroscience,2004,198
Ischemia-induced neurogenesis of neocortical layer 1 progenitor cells,Koji Ohira; Takahiro Furuta; Hiroyuki Hioki; Kouichi C Nakamura; Eriko Kuramoto; Yasuyo Tanaka; Nobuo Funatsu; Keiko Shimizu; Takao Oishi; Motoharu Hayashi; Tsuyoshi Miyakawa; Takeshi Kaneko; Shun Nakamura,Abstract Adult mammalian neurogenesis occurs in the hippocampus and the olfactory bulb;whereas neocortical adult neurogenesis remains controversial. Several occurrences ofneocortical adult neurogenesis in injured neocortex were recently reported; suggesting thatneural stem cells (NSCs) or neuronal progenitor cells (NPCs) that can be activated by injuryare maintained in the adult brain. However; it is not clear whether or where neocorticalNSCs/NPCs exist in the brain. We found NPCs in the neocortical layer 1 of adult rats andobserved that their proliferation was highly activated by global forebrain ischemia. Usingretrovirus-mediated labeling of layer 1 proliferating cells with membrane-targeted greenfluorescent protein; we found that the newly generated neurons were GABAergic and thatthe neurons were functionally integrated into the neuronal circuitry. Our results suggest …,Nature neuroscience,2010,194
Alpha-CaMKII deficiency causes immature dentate gyrus; a novel candidate endophenotype of psychiatric disorders,Nobuyuki Yamasaki; Motoko Maekawa; Katsunori Kobayashi; Yasushi Kajii; Jun Maeda; Miho Soma; Keizo Takao; Koichi Tanda; Koji Ohira; Keiko Toyama; Kouji Kanzaki; Kohji Fukunaga; Yusuke Sudo; Hiroshi Ichinose; Masashi Ikeda; Nakao Iwata; Norio Ozaki; Hidenori Suzuki; Makoto Higuchi; Tetsuya Suhara; Shigeki Yuasa; Tsuyoshi Miyakawa,Elucidating the neural and genetic factors underlying psychiatric illness is hampered bycurrent methods of clinical diagnosis. The identification and investigation of clinicalendophenotypes may be one solution; but represents a considerable challenge in humansubjects. Here we report that mice heterozygous for a null mutation of the alpha-isoform ofcalcium/calmodulin-dependent protein kinase II (alpha-CaMKII+/-) have profoundlydysregulated behaviours and impaired neuronal development in the dentate gyrus (DG).The behavioral abnormalities include a severe working memory deficit and an exaggeratedinfradian rhythm; which are similar to symptoms seen in schizophrenia; bipolar mooddisorder and other psychiatric disorders. Transcriptome analysis of the hippocampus ofthese mutants revealed that the expression levels of more than 2000 genes were …,Molecular brain,2008,183
Selective impairment of working memory in a mouse model of chronic cerebral hypoperfusion,Masunari Shibata; Nobuyuki Yamasaki; Tsuyoshi Miyakawa; Rajesh N Kalaria; Youshi Fujita; Ryo Ohtani; Masafumi Ihara; Ryosuke Takahashi; Hidekazu Tomimoto,Background and Purpose—We recently designed a mouse model of chronic cerebralhypoperfusion; in which the cerebral white matter is damaged without significant gray matterlesions. The behavioral characteristics of these mice were studied using a test battery forneurological and cognitive functions. Methods—Adult C57Bl/6 male mice were subjected toeither sham-operation or bilateral common carotid artery stenosis (BCAS) using microcoilswith an internal diameter of 0.18 mm. At 30 days after BCAS; 70 animals were divided into 3groups and subjected to behavioral test batteries. The first group underwent comprehensivebehavioral test; including the neurological screen; prepulse inhibition; hot plate; open field;light/dark transition; Porsolt forced swim and contextual and cued fear conditioning (BCASn= 13; sham-operated n= 11). The second group was for the working memory task of the …,Stroke,2007,165
Neurogranin null mutant mice display performance deficits on spatial learning tasks with anxiety related components,Tsuyoshi Miyakawa; Edom Yared; Jhang Ho Pak; Freesia L Huang; Kuo‐Ping Huang; Jacqueline N Crawley,Abstract Neurogranin/RC3 is a protein that binds calmodulin and serves as a substrate forprotein kinase C. Neuronally distributed in the hippocampus and forebrain; neurogranin ishighly expressed in dendritic spines of hippocampal pyramidal cells; implicating this proteinin long-term potentiation and in learning and memory processes. Null mutation of theneurogranin gene Ng generated viable knockout mice for analysis of the behavioralphenotype resulting from the absence of neurogranin protein. Ng−/− mice were normal onmeasures of general health; neurological reflexes; sensory abilities; and motor functions; ascompared to wild type littermate controls. On the Morris water task; Ng−/− mice failed toreach acquisition criterion on the hidden platform test and did not show selective search onthe probe trial. In the Barnes circular maze; another test for spatial navigation learning; Ng …,Hippocampus,2001,153
Elevated plus maze for mice,Munekazu Komada; Keizo Takao; Tsuyoshi Miyakawa,Abstract Although the mouse genome is now completely sequenced; the functions of most ofthe genes expressed in the brain are not known. The influence of a given gene on a specificbehavior can be determined by behavioral analysis of mutant mice. If a target gene isexpressed in the brain; behavioral phenotype of the mutant mice could elucidate the geneticmechanism of normal behaviors. The elevated plus maze test is one of the most widely usedtests for measuring anxiety-like behavior. The test is based on the natural aversion of micefor open and elevated areas; as well as on their natural spontaneous exploratory behavior innovel environments. The apparatus consists of open arms and closed arms; crossed in themiddle perpendicularly to each other; and a center area. Mice are given access to all of thearms and are allowed to move freely between them. The number of entries into the open …,Journal of visualized experiments: JoVE,2008,150
Loss of cadherin-11 adhesion receptor enhances plastic changes in hippocampal synapses and modifies behavioral responses,Toshiya Manabe; Hideru Togashi; Naoshige Uchida; Sachihiro C Suzuki; Yoshizumi Hayakawa; Masaru Yamamoto; Hiroki Yoda; Tsuyoshi Miyakawa; Masatoshi Takeichi; Osamu Chisaka,Cadherins organize symmetrical junctions between the pre-and postsynaptic membranes incentral synapses. One of them; cadherin-11 (cad11); is expressed in the limbic system of thebrain; most strongly in the hippocampus. Immunohistochemical studies of the hippocampusshowed that cad11 proteins were densely distributed in its synaptic neuropil zones; incultured hippocampal neurons; their distribution often overlapped with that of synaptophysin;and also occasionally with that of GluR1 at spines. To assess the role of cad11 in synapticformation and/or function; we analyzed brains of cad11-deficient mice. In these mice; long-term potentiation (LTP) in the CA1 region of the hippocampus was; unexpectedly; enhanced;and the level of LTP saturation was increased. In behavioral tests; the mutant mice showedreduced fear-or anxiety-related responses. These results suggest that the cad11 …,Molecular and Cellular Neuroscience,2000,147
Tight junctions in Schwann cells of peripheral myelinated axons: a lesson from claudin-19–deficient mice,Tatsuo Miyamoto; Kazumasa Morita; Daisuke Takemoto; Kosei Takeuchi; Yuka Kitano; Tsuyoshi Miyakawa; Kiyomi Nakayama; Yasushi Okamura; Hiroyuki Sasaki; Yoshiki Miyachi; Mikio Furuse; Shoichiro Tsukita,Tight junction (TJ)–like structures have been reported in Schwann cells; but their molecularcomposition and physiological function remain elusive. We found that claudin-19; a novelmember of the claudin family (TJ adhesion molecules in epithelia); constituted thesestructures. Claudin-19–deficient mice were generated; and they exhibited behavioralabnormalities that could be attributed to peripheral nervous system deficits.Electrophysiological analyses showed that the claudin-19 deficiency affected the nerveconduction of peripheral myelinated fibers. Interestingly; the overall morphology of Schwanncells lacking claudin-19 expression appeared to be normal not only in the internodal regionbut also at the node of Ranvier; except that TJs completely disappeared; at least from theouter/inner mesaxons. These findings have indicated that; similar to epithelial cells …,J Cell Biol,2005,143
Sept4; a component of presynaptic scaffold and Lewy bodies; is required for the suppression of α-synuclein neurotoxicity,Masafumi Ihara; Nobuyuki Yamasaki; Akari Hagiwara; Ai Tanigaki; Ayumi Kitano; Rie Hikawa; Hidekazu Tomimoto; Makoto Noda; Masashi Takanashi; Hideo Mori; Nobutaka Hattori; Tsuyoshi Miyakawa; Makoto Kinoshita,In Parkinson disease (PD); α-synuclein aggregates called Lewy bodies often involve andsequester Septin4 (Sept4); a polymerizing scaffold protein. However; the pathophysiologicalsignificance of this phenomenon is unclear. Here; we show the physiological association ofSept4 with α-synuclein; the dopamine transporter; and other presynaptic proteins indopaminergic neurons; mice lacking Sept4 exhibit diminished dopaminergicneurotransmission due to scarcity of these presynaptic proteins. These data demonstrate animportant role for septin scaffolds in the brain. In transgenic mice that express human α-synucleinA53T (a mutant protein responsible for familial PD); loss of Sept4 significantlyenhances neuropathology and locomotor deterioration. In this PD model; insoluble depositsof Ser129-phosphorylated α-synucleinA53T are negatively correlated with the dosage of …,Neuron,2007,139
Abnormalities in brain structure and behavior in GSK-3alpha mutant mice,Oksana Kaidanovich-Beilin; Tatiana V Lipina; Keizo Takao; Matthijs van Eede; Satoko Hattori; Christine Laliberté; Mustafa Khan; Kenichi Okamoto; John W Chambers; Paul J Fletcher; Katrina MacAulay; Bradley W Doble; Mark Henkelman; Tsuyoshi Miyakawa; John Roder; James R Woodgett,Glycogen synthase kinase-3 (GSK-3) is a widely expressed and highly conservedserine/threonine protein kinase encoded by two genes that generate two related proteins:GSK-3α and GSK-3β. Mice lacking a functional GSK-3α gene were engineered in ourlaboratory; they are viable and display insulin sensitivity. In this study; we havecharacterized brain functions of GSK-3α KO mice by using a well-established battery ofbehavioral tests together with neurochemical and neuroanatomical analysis. Similar to thepreviously described behaviours of GSK-3β+/-mice; GSK-3α mutants display decreasedexploratory activity; decreased immobility time and reduced aggressive behavior. However;genetic inactivation of the GSK-3α gene was associated with: decreased locomotion andimpaired motor coordination; increased grooming activity; loss of social motivation and …,Molecular brain,2009,138
Reversal of hippocampal neuronal maturation by serotonergic antidepressants,Katsunori Kobayashi; Yumiko Ikeda; Atsushi Sakai; Nobuyuki Yamasaki; Eisuke Haneda; Tsuyoshi Miyakawa; Hidenori Suzuki,Abstract Serotonergic antidepressant drugs have been commonly used to treat mood andanxiety disorders; and increasing evidence suggests potential use of these drugs beyondcurrent antidepressant therapeutics. Facilitation of adult neurogenesis in the hippocampaldentate gyrus has been suggested to be a candidate mechanism of action of antidepressantdrugs; but this mechanism may be only one of the broad effects of antidepressants. Here weshow a distinct unique action of the serotonergic antidepressant fluoxetine in transformingthe phenotype of mature dentate granule cells. Chronic treatments of adult mice withfluoxetine strongly reduced expression of the mature granule cell marker calbindin. Thefluoxetine treatment induced active somatic membrane properties resembling immaturegranule cells and markedly reduced synaptic facilitation that characterizes the mature …,Proceedings of the National Academy of Sciences,2010,123
Behavioral profiles of three C57BL/6 substrains,Naoki Matsuo; Keizo Takao; Kazuo Nakanishi; Nobuyuki Yamasaki; Koichi Tanda; Tsuyoshi Miyakawa,C57BL/6 inbred strains of mice are widely used in knockout and transgenic research. Toevaluate the loss-of-function and gain-of-function effects of the gene of interest; animalbehaviors are often examined. However; an issue of C57BL/6 substrains that is not alwaysappreciated is that behaviors are known to be strongly influenced by genetic background. Toinvestigate the behavioral characteristics of C57BL/6 substrains; we subjected C57BL/6J;C57BL/6N; and C57BL/6C mice to a behavior test battery. We performed both a regular-scale analysis; in which experimental conditions were tightly-controlled; and meta-analysisfrom large number of behavioral data that we have collected so far through thecomprehensive behavioral test battery applied to 700-2;200 mice in total. Significantdifferences among the substrains were found in the results of various behavioral tests …,Frontiers in behavioral neuroscience,2010,117
Enhanced cocaine responsiveness and impaired motor coordination in metabotropic glutamate receptor subtype 2 knockout mice,Yosuke Morishima; Tsuyoshi Miyakawa; Tomoyuki Furuyashiki; Yasuhiro Tanaka; Hiroshi Mizuma; Shigetada Nakanishi,Abstract Extensive pharmacological studies have recently emerged indicating that group 2metabotropic glutamate receptors (mGluRs) comprising mGluR2 and mGluR3 subtypes areassociated with several neurological and psychiatric disorders. mGluR2 is widely distributedboth presynaptically and postsynaptically in a variety of neuronal cells; but the physiologicalrole of mGluR2 in brain function is poorly understood. This investigation involves acomprehensive behavioral analysis of mGluR2–/–knockout (KO) mice to explore thephysiological role of mGluR2 in brain function. Although; under general observation;mGluR2–/–KO mice appeared to have no behavioral abnormalities; they exhibited severallines of behavioral alterations in the enforcing and defined behavioral tests. They showed asignificant increase in locomotor sensitization and conditioned place preference in …,Proceedings of the National Academy of Sciences of the United States of America,2005,117
Impaired long-term memory retention and working memory in sdy mutant mice with a deletion in Dtnbp1; a susceptibility gene for schizophrenia,Keizo Takao; Keiko Toyama; Kazuo Nakanishi; Satoko Hattori; Hironori Takamura; Masatoshi Takeda; Tsuyoshi Miyakawa; Ryota Hashimoto,Schizophrenia is a complex genetic disorder caused by multiple genetic and environmentalfactors. The dystrobrevin-binding protein 1 (DTNBP1: dysbindin-1) gene is a majorsusceptibility gene for schizophrenia. Genetic variations in DTNBP1 are associated withcognitive functions; general cognitive ability and memory function; and clinical features ofpatients with schizophrenia including negative symptoms and cognitive decline. Sincereduced expression of dysbindin-1 has been observed in postmortem brains of patients withschizophrenia; the sandy (sdy) mouse; which has a deletion in the Dtnbp1 gene andexpresses no dysbindin-1 protein; could be an animal model of schizophrenia. To addressthis issue; we have carried out a comprehensive behavioral analysis of the sdy mouse in thisstudy. In a rotarod test; sdy mice did not exhibit motor learning whilst the wild type mice …,Molecular brain,2008,111
Dissection of hippocampal dentate gyrus from adult mouse,Hideo Hagihara; Keiko Toyama; Nobuyuki Yamasaki; Tsuyoshi Miyakawa,Abstract The hippocampus is one of the most widely studied areas in the brain because of itsimportant functional role in memory processing and learning; its remarkable neuronal cellplasticity; and its involvement in epilepsy; neurodegenerative diseases; and psychiatricdisorders. The hippocampus is composed of distinct regions; the dentate gyrus; whichcomprises mainly granule neurons; and Ammon's horn; which comprises mainly pyramidalneurons; and the two regions are connected by both anatomic and functional circuits. Manydifferent mRNAs and proteins are selectively expressed in the dentate gyrus; and thedentate gyrus is a site of adult neurogenesis; that is; new neurons are continually generatedin the adult dentate gyrus. To investigate mRNA and protein expression specific to thedentate gyrus; laser capture microdissection is often used. This method has some …,Journal of visualized experiments: JoVE,2009,109
