MonetDB/X100: Hyper-Pipelining Query Execution.,Peter A Boncz; Marcin Zukowski; Niels Nes,Abstract Database systems tend to achieve only low IPC (instructions-per-cycle) efficiencyon modern CPUs in compute-intensive application areas like decision support; OLAP andmultimedia retrieval. This paper starts with an in-depth investigation to the reason why thishappens; focusing on the TPC-H benchmark. Our analysis of various relational systems andMonetDB leads us to a new set of guidelines for designing a query processor. The secondpart of the paper describes the architecture of our new X100 query engine for the MonetDBsystem that follows these guidelines. On the surface; it resembles a classical Volcano-styleengine; but the crucial difference to base all execution on the concept of vector processingmakes it highly CPU efficient. We evaluate the power of MonetDB/X100 on the 100GBversion of TPC-H; showing its raw execution power to be between one and two orders of …,Cidr,2005,523
Optimizing database architecture for the new bottleneck: memory access,Stefan Manegold; Peter A Boncz; Martin L Kersten,Abstract In the past decade; advances in the speed of commodity CPUs have far out-pacedadvances in memory latency. Main-memory access is therefore increasingly a performancebottleneck for many computer applications; including database systems. In this article; weuse a simple scan test to show the severe impact of this bottleneck. The insights gained aretranslated into guidelines for database architecture; in terms of both data structures andalgorithms. We discuss how vertically fragmented data structures optimize cacheperformance on sequential data access. We then focus on equi-join; typically a random-access operation; and introduce radix algorithms for partitioned hash-join. The performanceof these algorithms is quantified using a detailed analytical model that incorporates memoryaccess cost. Experiments that validate this model were performed on the Monet database …,The VLDB Journal—The International Journal on Very Large Data Bases,2000,146
Generic database cost models for hierarchical memory systems,Stefan Manegold; Peter Boncz; Martin L Kersten,This chapter proposes a generic technique to create accurate cost functions for databaseoperations. Accurate prediction of operator execution time is a prerequisite for databasequery optimization. Although extensively studied for conventional disk-based DBMSs; costmodeling in main memory DBMSs is still an open issue. Recent database research hasdemonstrated that memory access is more and more becoming a significant—if not themajor—cost component of database operations. If used properly; fast but small cachememories—usually organized in cascading hierarchy between CPU and main memory—can help to reduce memory access costs. However; they make the cost estimation problemmore complex. Database cost models provide the foundation for query optimizers to derivean efficient execution plan. Such models consist of two parts; a logical and a physical …,*,2002,140
MonetDB/X100-A DBMS In The CPU Cache.,Marcin Zukowski; Peter A Boncz; Niels Nes; Sándor Héman,Abstract X100 is a new execution engine for the MonetDB system; that improves executionspeed and overcomes its main memory limitation. It introduces the concept of in-cachevectorized processing that strikes a balance between the existing column-at-a-time MILexecution primitives of MonetDB and the tuple-at-a-time Volcano pipelining model; avoidingtheir drawbacks: intermediate result materialization and large interpretation overhead;respectively. We explain how the new query engine makes better use of cache memories aswell as parallel computation resources of modern super-scalar CPUs. MonetDB/X100 canbe one to two orders of magnitude faster than commercial DBMSs and close to hand-codedC programs for computationally intensive queries on in-memory datasets. To address largerdisk-based datasets with the same efficiency; a new ColumnBM storage layer is …,IEEE Data Eng. Bull.,2005,135
Cooperative scans: dynamic bandwidth sharing in a DBMS,Marcin Zukowski; Sándor Héman; Niels Nes; Peter Boncz,Abstract This paper analyzes the performance of concurrent (index) scan operations in bothrecord (NSM/PAX) and column (DSM) disk storage models and shows that existingscheduling policies do not fully exploit data-sharing opportunities and therefore result inpoor disk bandwidth utilization. We propose the Cooperative Scans framework thatenhances performance in such scenarios by improving data-sharing between concurrentscans. It performs dynamic scheduling of queries and their data requests; taking into accountthe current system situation. We first present results on top of an NSM/PAX storage layout;showing that it achieves significant performance improvements over traditional policies interms of both the number of I/Os and overall execution time; as well as latency of individualqueries. We provide benchmarks with varying system parameters; data sizes and query …,Proceedings of the 33rd international conference on Very large data bases,2007,128
The design and implementation of modern column-oriented database systems,Daniel Abadi; Peter Boncz; Stavros Harizopoulos; Stratos Idreos; Samuel Madden,Abstract In this article; we survey recent research on column-oriented database systems; orcolumn-stores; where each attribute of a table is stored in a separate file or region onstorage. Such databases have seen a resurgence in recent years with a rise in interest inanalytic queries that perform scans and aggregates over large portions of a few columns of atable. The main advantage of a column-store is that it can access just the columns needed toanswer such queries. We specifically focus on three influential research prototypes;MonetDB [46]; MonetDB/X100 [18]; and C-Store [86]. These systems have formed the basisfor several well-known commercial column-store implementations. We describe theirsimilarities and differences and discuss their specific architectural features for compression;late materialization; join processing; vectorization and adaptive indexing (database …,Foundations and Trends® in Databases,2013,124
Monet. An impressionist sketch of an advanced database system,Peter A Boncz; Martin L Kersten,Abstract Monet is a customizable database system developed at CWI and University ofAmsterdam; intended to be used as the database backend for widely varying applicationdomains. It is designed to get maximum database performance out of today's workstationsand multiprocessor systems. It has already achieved considerable success in supporting aData Mining application [12; 13]; and work is well under way in a project where it is used in ahigh-end GIS application. Monet is a type-and algebra-extensible database system andemploys shared memory parallelism. In this paper; we give the goals and motivation ofMonet; and outline its architectural features; including its use of the Decomposed StorageModel (DSM); emphasis on bulk operations; use of main virtual-memory and servercustomization. As a case example; we discuss some issues on how to build a GIS on top …,In Proc. IEEE BIWIT workshop,1994,121
Flattening an object algebra to provide performance,Peter Boncz; AN Wilshut; Martin L Kersten,Algebraic transformation and optimization techniques have been the method of choice inrelational query execution; but applying them in object-oriented (OO) DBMSs is difficult dueto the complexity of OO query languages. This paper demonstrates that the problem can besimplified by mapping an OO data model to the binary relational model implemented byMonet; a state-of-the-art database kernel. We present a generic mapping scheme to flattendata models and study the case of straightforward OO model. We show how flatteningenabled us to implement a query algebra; using only a very limited set of simple operations.The required primitives and query execution strategies are discussed; and their performanceis evaluated on the 1-GByte TPC-D (Transaction-processing Performance Council'sBenchmark D); showing that our divide-and-conquer approach yields excellent results.,Data Engineering; 1998. Proceedings.; 14th International Conference on,1998,100
Linked stream data processing engines: Facts and figures,Danh Le-Phuoc; Minh Dao-Tran; Minh-Duc Pham; Peter Boncz; Thomas Eiter; Michael Fink,Abstract Linked Stream Data; ie; the RDF data model extended for representing stream datagenerated from sensors social network applications; is gaining popularity. This hasmotivated considerable work on developing corresponding data models associated withprocessing engines. However; current implemented engines have not been thoroughlyevaluated to assess their capabilities. For reasonable systematic evaluations; in this workwe propose a novel; customizable evaluation framework and a corresponding methodologyfor realistic data generation; system testing; and result analysis. Based on this evaluationenvironment; extensive experiments have been conducted in order to compare the state-of-the-art LSD engines wrt. qualitative and quantitative properties; taking into account theunderlying principles of stream processing. Consequently; we provide a detailed analysis …,International Semantic Web Conference,2012,96
Morsel-driven parallelism: a NUMA-aware query evaluation framework for the many-core age,Viktor Leis; Peter Boncz; Alfons Kemper; Thomas Neumann,Abstract With modern computer architecture evolving; two problems conspire against thestate-of-the-art approaches in parallel query execution:(i) to take advantage of many-cores;all query work must be distributed evenly among (soon) hundreds of threads in order toachieve good speedup; yet (ii) dividing the work evenly is difficult even with accurate datastatistics due to the complexity of modern out-of-order cores. As a result; the existingapproaches for plan-driven parallelism run into load balancing and context-switchingbottlenecks; and therefore no longer scale. A third problem faced by many-core architecturesis the decentralization of memory controllers; which leads to Non-Uniform Memory Access(NUMA). In response; we present the morsel-driven query execution framework; wherescheduling becomes a fine-grained run-time task that is NUMA-aware. Morsel-driven …,Proceedings of the 2014 ACM SIGMOD international conference on Management of data,2014,93
The LDBC social network benchmark: Interactive workload,Orri Erling; Alex Averbuch; Josep Larriba-Pey; Hassan Chafi; Andrey Gubichev; Arnau Prat; Minh-Duc Pham; Peter Boncz,Abstract The Linked Data Benchmark Council (LDBC) is now two years underway and hasgathered strong industrial participation for its mission to establish benchmarks; andbenchmarking practices for evaluating graph data management systems. The LDBCintroduced a new choke-point driven methodology for developing benchmark workloads;which combines user input with input from expert systems architects; which we outline. Thispaper describes the LDBC Social Network Benchmark (SNB); and presents databasebenchmarking innovation in terms of graph query functionality tested; correlated graphgeneration techniques; as well as a scalable benchmark driver on a workload with complexgraph dependencies. SNB has three query workloads under development: Interactive;Business Intelligence; and Graph Algorithms. We describe the SNB Interactive Workload …,Proceedings of the 2015 ACM SIGMOD International Conference on Management of Data,2015,90
What happens during a join? Dissecting CPU and memory optimization effects,Stefan Manegold; Peter A Boncz; Martin L Kersten,*,Proceedings of the 26th international conference on very large data bases,2000,78
Heuristics-based query optimisation for SPARQL,Petros Tsialiamanis; Lefteris Sidirourgos; Irini Fundulaki; Vassilis Christophides; Peter Boncz,Abstract Query optimization in RDF Stores is a challenging problem as SPARQL queriestypically contain many more joins than equivalent relational plans; and hence lead to a largejoin order search space. In such cases; cost-based query optimization often is not possible.One practical reason for this is that statistics typically are missing in web scale setting suchas the Linked Open Datasets (LOD). The more profound reason is that due to the absence ofschematic structure in RDF; join-hit ratio estimation requires complicated forms of correlatedjoin statistics; and currently there are no methods to identify the relevant correlationsbeforehand. For this reason; the use of good heuristics is essential in SPARQL queryoptimization; even in the case that are partially used with cost-based statistics (ie; hybridquery optimization). In this paper we describe a set of useful heuristics for SPARQL query …,Proceedings of the 15th International Conference on Extending Database Technology,2012,77
Positional update handling in column stores,Sándor Héman; Marcin Zukowski; Niels J Nes; Lefteris Sidirourgos; Peter Boncz,Abstract In this paper we investigate techniques that allow for on-line updates to columnardatabases; leaving intact their high read-only performance. Rather than keeping differentialstructures organized by the table key values; the core proposition of this paper is that thiscan better be done by keeping track of the tuple position of the modifications. Not only doesthis minimize the computational overhead of merging in differences into read-only queries;but this makes the differential structure oblivious of the value of the order keys; allowing it toavoid disk I/O for retrieving the order keys in read-only queries that otherwise do not needthem-a crucial advantage for a column-store. We describe a new data structure formaintaining such positional updates; called the Positional Delta Tree (PDT); and describedetailed algorithms for PDT/column merging; updating PDTs; and for using PDTs in …,Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,2010,70
AmbientDB: relational query processing in a P2P network,Peter Boncz; Caspar Treijtel,Abstract A new generation of applications running on a network of nodes; that share data onan ad-hoc basis; will benefit from data management services including powerful queryingfacilities. In this paper; we introduce the goals; assumptions and architecture of AmbientDB;a new peer-to-peer (P2P) DBMS prototype developed at CWI. Our focus is on the queryprocessing facilities of AmbientDB; that are based on a three-level translation of a globalquery algebra into multi-wave stream processing plans; distributed over an ad-hoc P2Pnetwork. We illustrate the usefulness of our system by outlining how it eases construction ofa music player that generates intelligent playlists with collaborative filtering over distributedmusic logs. Finally; we show how the use of Distributed Hash Tables (DHT) at the basis ofAmbientDB allows applications like the P2P music player to scale to large amounts of …,International Workshop on Databases; Information Systems; and Peer-to-Peer Computing,2003,65
XIRAF–XML-based indexing and querying for digital forensics,Wouter Alink; RAF Bhoedjang; Peter A Boncz; Arjen P de Vries,Abstract This paper describes a novel; XML-based approach towards managing andquerying forensic traces extracted from digital evidence. This approach has beenimplemented in XIRAF; a prototype system for forensic analysis. XIRAF systematicallyapplies forensic analysis tools to evidence files (eg; hard disk images). Each tool producesstructured XML annotations that can refer to regions (byte ranges) in an evidence file. XIRAFstores such annotations in an XML database; which allows us to query the annotations usinga single; powerful query language (XQuery). XIRAF provides the forensic investigator with arich query environment in which browsing; searching; and predefined query templates areall expressed in terms of XML database queries.,digital investigation,2006,62
Vectorization vs. compilation in query execution,Juliusz Sompolski; Marcin Zukowski; Peter Boncz,Abstract Compiling database queries into executable (sub-) programs provides substantialbenefits comparing to traditional interpreted execution. Many of these benefits; such asreduced interpretation overhead; better instruction code locality; and providing opportunitiesto use SIMD instructions; have previously been provided by redesigning query processors touse a vectorized execution model. In this paper; we try to shed light on the question of howstate-of-the-art compilation strategies relate to vectorized execution for analytical databaseworkloads on modern CPUs. For this purpose; we carefully investigate the behavior ofvectorized and compiled strategies inside the Ingres VectorWise database system in threeuse cases: Project; Select and Hash Join. One of the findings is that compilation shouldalways be combined with block-wise query execution. Another contribution is identifying …,Proceedings of the Seventh International Workshop on Data Management on New Hardware,2011,59
Sciborq: Scientific data management with bounds on runtime and quality,Lefteris Sidirourgos; PA Boncz; ML Kersten,ABSTRACT Data warehouses underlying virtual observatories stress the capabilities ofdatabase management systems in many ways. They are filled; on a daily basis; with largeamounts of factual information derived from intensive data scrubbing and computationalfeature extraction pipelines. The predominant data processing techniques focus on parallelloads and map-reduce feature extraction algorithms. Querying these huge databasesrequire a sizable computing cluster; while ideally the initial investigation should runinteractively; using as few resources as possible. In this paper; we explore a different route;one based on the observation that at any given time only a fraction of the data is of primaryvalue for a specific task. This fraction becomes the focus of scientific reflection through aniterative process of ad-hoc query refinement. Steering through data to facilitate scientific …,*,2011,59
Architecture-conscious hashing,Marcin Zukowski; Sándor Héman; Peter Boncz,Abstract Hashing is one of the fundamental techniques used to implement query processingoperators such as grouping; aggregation and join. This paper studies the interactionbetween modern computer architecture and hash-based query processing techniques. First;we focus on extracting maximum hashing performance from super-scalar CPUs. Inparticular; we discuss fast hash functions; ways to efficiently handle multi-column keys andpropose the use of a recently introduced hashing scheme called Cuckoo Hashing over thecommonly used bucket-chained hashing. In the second part of the paper; we focus on theCPU cache usage; by dynamically partitioning data streams such that the partial hash tablesfit in the CPU cache. Conventional partitioning works as a separate preparatory phase;forcing materialization; which may require I/O if the stream does not fit in RAM. We …,Proceedings of the 2nd international workshop on Data management on new hardware,2006,59
How good are query optimizers; really?,Viktor Leis; Andrey Gubichev; Atanas Mirchev; Peter Boncz; Alfons Kemper; Thomas Neumann,Abstract Finding a good join order is crucial for query performance. In this paper; weintroduce the Join Order Benchmark (JOB) and experimentally revisit the main componentsin the classic query optimizer architecture using a complex; real-world data set and realisticmulti-join queries. We investigate the quality of industrial-strength cardinality estimators andfind that all estimators routinely produce large errors. We further show that while estimatesare essential for finding a good join order; query performance is unsatisfactory if the queryengine relies too heavily on these estimates. Using another set of experiments that measurethe impact of the cost model; we find that it has much less influence on query performancethan the cardinality estimates. Finally; we investigate plan enumeration techniquescomparing exhaustive dynamic programming with heuristic algorithms and find that …,Proceedings of the VLDB Endowment,2015,58
Pathfinder: XQuery---the relational way,Peter Boncz; Torsten Grust; Maurice van Keulen; Stefan Manegold; Jan Rittinger; Jens Teubner,Abstract Relational query processors are probably the best understood (as well as the bestengineered) query engines available today. Although carefully tuned to process instances ofthe relational model (tables of tuples); these processors can also provide a foundation forthe evaluation of" alien"(non-relational) query languages: if a relational encoding of the aliendata model and its associated query language is given; the RDBMS may act like a special-purpose processor for the new language.,Proceedings of the 31st international conference on Very large data bases,2005,57
DSM vs. NSM: CPU performance tradeoffs in block-oriented query processing,Marcin Zukowski; Niels Nes; Peter Boncz,Abstract Comparisons between the merits of row-wise storage (NSM) and columnar storage(DSM) are typically made with respect to the persistent storage layer of database systems. Inthis paper; however; we focus on the CPU efficiency tradeoffs of tuple representations insidethe query execution engine; while tuples flow through a processing pipeline. We analyze theperformance in the context of query engines using so-called" block-oriented" processing--arecently popularized technique that can strongly improve the CPU efficiency. With this highefficiency; the performance trade-offs between NSM and DSM can have a decisive impacton the query execution performance; as we demonstrate using both microbenchmarks andTPC-H query 1. This means that NSM-based database systems can sometimes benefit fromconverting tuples into DSM on-the-fly; and vice versa.,Proceedings of the 4th international workshop on Data management on new hardware,2008,56
S3g2: A scalable structure-correlated social graph generator,Minh-Duc Pham; Peter Boncz; Orri Erling,Abstract Benchmarking graph-oriented database workloads and graph-oriented databasesystems is increasingly becoming relevant in analytical Big Data tasks; such as socialnetwork analysis. In graph data; structure is not mainly found inside the nodes; butespecially in the way nodes happen to be connected; ie structural correlations. Becausesuch structural correlations determine join fan-outs experienced by graph analysisalgorithms and graph query executors; they are an essential; yet typically neglected;ingredient of synthetic graph generators. To address this; we present S3G2: a ScalableStructure-correlated Social Graph Generator. This graph generator creates a synthetic socialgraph; containing non-uniform value distributions and structural correlations; which isintended as test data for scalable graph analysis algorithms and graph database systems …,Technology Conference on Performance Evaluation and Benchmarking,2012,55
Vectorwise: Beyond column stores,Marcin Zukowski; Peter A Boncz,Abstract This paper tells the story of Vectorwise; a high-performance analytical databasesystem; from multiple perspectives: its history from academic project to commercial product;the evolution of its technical architecture; customer reactions to the product and its futureresearch and development roadmap. One take-away from this story is that the novelty inVectorwise is much more than just column-storage: it boasts many query processinginnovations in its vectorized execution model; and an adaptive mixed row/column datastorage model with indexing support tailored to analytical workloads. Another one is thatthere is a long road from research prototype to commercial product; though databaseresearch continues to achieve a strong innovative influence on product development.,*,2012,52
Flexible and efficient IR using array databases,Roberto Cornacchia; Sándor Héman; Marcin Zukowski; Arjen P Vries; Peter Boncz,Abstract The Matrix Framework is a recent proposal by Information Retrieval (IR)researchers to flexibly represent information retrieval models and concepts in a single multi-dimensional array framework. We provide computational support for exactly this frameworkwith the array database system SRAM (Sparse Relational Array Mapping); that works on topof a DBMS. Information retrieval models can be specified in its comprehension-based arrayquery language; in a way that directly corresponds to the underlying mathematical formulas.SRAM efficiently stores sparse arrays in (compressed) relational tables and translates andoptimizes array queries into relational queries. In this work; we describe a number of arrayquery optimization rules. To demonstrate their effect on text retrieval; we apply them in theTREC TeraByte track (TREC-TB) efficiency task; using the Okapi BM25 model as our …,The VLDB Journal—The International Journal on Very Large Data Bases,2008,52
Vectorized data processing on the cell broadband engine,Sándor Héman; Niels Nes; Marcin Zukowski; Peter Boncz,Abstract In this work; we research the suitability of the Cell Broadband Engine for databaseprocessing. We start by outlining the main architectural features of Cell and use micro-benchmarks to characterize the latency and throughput of its memory infrastructure. Then;we discuss the challenges of porting RDBMS software to Cell:(i) all computations need toSIMD-ized;(ii) all performance-critical branches need to be eliminated;(iii) a very small andhard limit on program code size should be respected. While we argue that conventionaldatabase implementations; ie row-stores with Volcano-style tuple pipelining; are a hard fit toCell; it turns out that the three challenges are quite easily met in databases that use column-wise processing. We managed to implement a proof-of-concept port of the vectorized queryprocessing model of MonetDB/X100 on Cell by running the operator pipeline on the …,Proceedings of the 3rd international workshop on Data management on new hardware,2007,48
XRPC: interoperable and efficient distributed XQuery,Ying Zhang; Peter Boncz,Abstract We propose XRPC; a minimal XQuery extension that enables distributed yetefficient querying of heterogeneous XQuery data sources. XRPC enhances the existingconcept of XQuery functions with the Remote Procedure Call (RPC) paradigm. By calling outof an XQuery for-loop to multiple destinations; and by calling functions that themselvesperform XRPC calls; complex P2P communication patterns can be achieved. The XRPCextension is orthogonal to all XQuery features; including the XQuery Update Facility (XQUF).We provide formal semantics for XRPC that encompasses execution of both read-only andupdate queries. XRPC is also a network SOAP sub-protocol; that integrates seamlessly withweb services and Service Oriented Architectures (SOA); and AJAX-based GUIs. A crucialfeature of the protocol is bulk RPC; that allows remote execution of many different calls to …,Proceedings of the 33rd international conference on Very large data bases,2007,47
Cache-conscious radix-decluster projections,Stefan Manegold; Peter Boncz; Niels Nes; Martin Kersten,Abstract As CPUs become more powerful with Moore's law and memory latencies stayconstant; the impact of the memory access performance bottleneck continues to grow onrelational operators like join; which can exhibit random access on a memory region largerthan the hardware caches. While cache-conscious variants for various relational algorithmshave been described; previous work has mostly ignored (the cost of) projection columns.However; real-life joins almost always come with projections; such that proper projectioncolumn manipulation should be an integral part of any generic join algorithm. In this paper;we analyze cache-conscious hash-join algorithms including projections on two storageschemes: N-ary Storage Model (NSM) and Decomposition Storage Model (DSM). It turnsout; that the strategy of first executing the join and only afterwards dealing with the …,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,47
Monet and its geographical extensions: A novel approach to high performance GIS processing,Peter A Boncz; Wilko Quak; Martin L Kersten,Abstract We describe Monet; a novel database system; designed to get maximumperformance out of today's workstations and symmetric multiprocessors. Monet is a type-andalgebra-extensible database system using the Decomposed Storage Model (DSM) andemploying shared memory parallelism. It applies purely main-memory algorithms forprocessing and uses OS virtual memory primitives for handling large data. Monet providesmany options in memory management and virtual-memory clustering strategies to optimizeaccess to its tables. We discuss how these unusual features impacted the design;implementation and performance of a set of GIS extension modules; that can be loaded atruntime in Monet; to obtain a functional complete GIS server. The validity of our approach isshown by excellent performance figures on both the Regional and National Sequoia …,International Conference on Extending Database Technology,1996,46
TPC-H analyzed: Hidden messages and lessons learned from an influential benchmark,Peter Boncz; Thomas Neumann; Orri Erling,Abstract The TPC-D benchmark was developed almost 20 years ago; and even though itscurrent existence as TPC-H could be considered superseded by TPC-DS; one can still learnfrom it. We focus on the technical level; summarizing the challenges posed by the TPC-Hworkload as we now understand them; which we call “choke points”. We identify 28 differentsuch choke points; grouped into six categories: Aggregation Performance; JoinPerformance; Data Access Locality; Expression Calculation; Correlated Subqueries andParallel Execution. On the meta-level; we make the point that the rich set of choke-pointsfound in TPC-H sets an example on how to design future DBMS benchmarks.,Technology Conference on Performance Evaluation and Benchmarking,2013,44
Column-store database architecture utilizing positional delta tree update system and methods,*,A column-store database computer system responsive to database requests for the updateand retrieval of data from within a stable data table providing for the storage of databasetuples within a column-store organized database structure. A positional delta tree datastructure is implemented in the memory space of the computer system and is operativelycoupled in an update data transfer path between a database engine interface and the stabledata table. The positional delta tree data structure includes a differential data storage layeroperative to store differential update data values in positionally defined relative reference todatabase tuples stored by the stable data table.,*,2010,43
