Processes of technological innovation,Louis G Tornatzky; Mitchell Fleischer; Alok K Chakrabarti,*,*,1990,3449
The role of incubator interactions in assisting new ventures,Joanne L Scillitoe; Alok K Chakrabarti,Abstract Past literature on the development of new technology-based firms (NTBF) withinbusiness incubators suggests that the incubation process of these ventures includes bothbusiness and technical assistance. In addition; past literature suggests that this assistance isaccessible through direct and networking interactions with the incubator management.However; research on the influence of each of these types of interactions on the types ofbeneficial assistance gained by ventures is unclear. Drawing predominately from socialcapital theory; this study examines the role of counseling and networking interactions withincubator management on both beneficial business and technical assistance for NTBFs.Results of this study suggest that business assistance; in the form of venture learning aboutbuyer preferences; is best enabled through counseling interactions with incubator …,Technovation,2010,242
The R&D/marketing interface: results from an empirical study of innovation projects,William E Souder; Alok K Chakrabarti,Explores the effect of organizational factors which characterize the interface betweenmarketing and R&D; with respect to the innovation process. The basic premise is that thedegree of collaboration/integration between functional units; such as marketing and R&D;has a profound influence on the success/failure outcome of innovation projects in industrialsettings. Several important variables which influence the quality of the R&D/marketinginterface are defined. These variables are related in an overall model which identifiesseveral actions managers can take to improve the quality of the interface.,IEEE Transactions on Engineering Management,1978,233
Technological learning; strategic flexibility; and new product development in the pharmaceutical industry,Paul E Bierly; Alok K Chakrabarti,The objective of this study was to better understand strategic management using thedynamic capabilities approach. The authors have focused on two fundamental constructs ofdynamic capabilities; technological learning and strategic flexibility; and discerned theirinfluence on organizational performance. Their main argument has been that a firm'sstrategic flexibility moderates the relationship between technological learning andtechnological performance as evidenced by new product development. Their model isbased on the synthesis of the traditions of research in strategic and technologymanagement. Technological learning has been defined in two dimensions: internal andexternal learning. Strategic flexibility has been operationalized in financial; marketing;manufacturing; and technological dimensions. Data from the US ethical pharmaceutical …,IEEE Transactions on Engineering Management,1996,196
The division of labour in innovation management,Alok K Chakrabarti; Juergen Hauschildt,Abstract The literature shows a plethora of roles in innovation management. These roleshave not provided a systematic and unique pattern of relationship which can serve as aninstrument of organization. An analysis of the empirical findings shows the existence ofdivision of labour in innovation management in a multiple role concept. The concepts like'product champion';'gatekeeper';'sponsor';'business innovator';'technical innovator';'promoter'etc. have some elements of commonality and complementarity. Two underlying principlescan be delineated: division of labour according to phases of the innovation process andaccording to sources of power of the incumbents. An interaction model and a processlinkage model for innovation management are developed to explain the different findings.These models help to integrate these empirical concepts and serve as guidelines for …,R&D Management,1989,179
Does it pay to acquire technological firms?,Alok Chakrabarti; Jurger Hauschildt; Christian Süverkrüp,Abstract The paper focuses on several research questions: How do the firms differ in termsof their strategic objectives for foreign acquisitions? What are the determinants of 'success' ofacquisition? What are the differences between the American and German firms in terms oftheir acquisition strategies and successes?,R&D Management,1994,177
R&D/marketing linkage and innovation strategy: Some West German experience,Klaus Brockhoff; Alok K Chakrabarti,In focusing on R&D and marketing departments within the same business units in 31German companies; data were obtained on the success rate of innovations; causes forfailure of innovations; marketing and technology strategy; and the dynamics of thetechnological environment. Semistructured interview protocols were used for obtaining thedata. Although marketing was mentioned as the most important cause for innovation failure;it was found that the reasons for the failure of product innovation were embedded in complexmultidimensional factors related to the fit between strategic behavior and the demands of thecompetitive environment. Four different technology strategies were identified: defensiveimitator; process developer; aggressive specialist; and aggressive innovator. Four differentmarketing strategies were identified: defensive imitator; market defender; market …,IEEE Transactions on Engineering Management,1988,140
Corporate strategic objectives for establishing relationships with university research centers,Michael D Santoro; Alok K Chakrabarti,Organizations face increased pressures to continually advance knowledge and newtechnologies long-term success and prosperity. University research centers offer importantinterorganizational linkages for industry-university collaboration; conducive for advancingknowledge and new technologies. This study examined industry's strategic objectives forestablishing relationships with university research centers. As a result of this multimethodexploratory field study; the authors have identified three clusters of industrial firms withdifferent strategic objectives: collegial players; aggressive players; and targeted players.Collegial players are predominately large firms working with university research centers ontopics of interest to the firm which are perceived to have long-term value rather than thepromise of immediate commercial opportunities. Aggressive players are a mix of both …,IEEE Transactions on Engineering Management,2001,115
Building industry–university research centers: some strategic considerations,Michael D Santoro; Alok K Chakrabarti,Abstract This paper reviews the importance of industry–university relationships and thestrategic considerations within the context of these partnerships in university researchcenters. We have identified several factors that are particularly important to industry inbuilding relationships with university centers. These include: acquiring skills; knowledge andgaining access to university facilities; organizational cultures that are more organic; flexibleuniversity policies for intellectual property rights; patents and licenses; and the presence ofchampions. Firms also have explicit collaborative strategies for partnering with universitieswhere firms can be segmented into three distinct clusters: Collegial Players; AggressivePlayers and Targeted Players. Collegial Players are often large firms working withuniversities and university-sponsored consortia on topics of interest that have long-term …,International Journal of Management Reviews,1999,110
Organizational factors in post-acquisition performance,Alok K Chakrabarti,A study is reported based on 31 acquisitions for which data have been obtained fromexecutives in the acquired divisions as well as the corporate officers by structured interviewsand questionnaires. The study shows a lack of relationship between the professed motivesof acquisition and post-acquisition performance. It seems that the lure of quick profitablegrowth through acquisition does not often materialize regardless of motive. The level ofintegration between the acquired division and its parent is shown to affect performancemeasured in terms of sales; profit; return on investment; market share growth; innovation;and broadening of customer base. The post-acquisition performance is also dependent on avariety of other factors including the assistance accorded to the division by the corporateorganization. Intensive communication between the acquired division and the other …,IEEE transactions on engineering management,1990,95
Corporate strategies in environmental management,Klaus Brockhoff; Alok K Chakrabarti; Manfred Kirchgeorg,OVERVIEW: Environmental management has become an issue of substantial concern;particularly in the chemical industry. A comparative study of US and German chemicalcompanies shows that they adopt substantially different strategies to express this concern.Four different strategies have been identified; and the characteristics that indicate responsesto environmental factors are substantially different among the clusters. It is suggested thatregulatory agencies should take these differences into account; and that companies thathave adopted a particular strategy should be aware of alternative approaches by theircompetitors. The choice of new technology and the R&D portfolio will be affected by thestrategies chosen.,Research-Technology Management,1999,93
Competition in high technology: analysis of patents of US; Japan; UK; France; West Germany; and Canada,Alok K Chakrabarti,Using US patents as a surrogate measure of technological positions; the competitivepositions of the industrial nations (the US; United Kingdom; France; West Germany; Canada;and Japan) in high-technology areas during the period from 1975 to 1988 are examined.High-technology industry is defined as one which requires a high proportion of R&Dexpenditure and employs a high proportion of scientists and engineers. High-tech industriesare further subdivided into four categories (equipment; consumer durable; nondurable; andintermediate products) in terms of their market and/or use. How different countries havespecialized in different product market areas within the high tech sector is also examined. Tobetter understand the impact of the patients; the citations per patent for the different countriesand the citation performance ratio; which is the share of country's most highly cited …,IEEE Transactions on Engineering Management,1991,86
Innovation and productivity in US industry,Martin Neil Baily; Alok K Chakrabarti; Richard C Levin,WHAT IS THE ROLE of innovation in productivity growth; and to what extent has a change ineither the pace or the character of innovation contributed to weak productivity growth in thepast fifteen years? We have collected new data on innovation that support the view that aslowing of innovation played an important part in the decline in productivity growth. Wereport here the first stage in an in-depth investigation of productivity in particular industries.This first stage focuses on two manufacturing industries; chemicals and textiles. Certainly;more industries are needed to verify the findings; but the two industries chosen provide agood contrast. The chemical industry is capital-intensive and processbased; and reliesheavily on its own research and development. The textile industry is less capital-intensive;uses an equipment-based technology; and relies primarily on externally generated …,Brookings Papers on Economic Activity,1985,85
Characteristics of sources; channels; and contents for scientific and technical information systems in industrial R and D,Alok K Chakrabarti; Stephen Feineman; William Fuentevilla,Reports on the use of various scientific and technical information sources by scientists;engineers; and managers. By using a Thurstone scaling technique; the frequency of use ofthe various sources; channels; and contents were correlated with various characteristics. Forthe sources of scientific and technical information; the following characteristics were ofinterest: the skill necessary to use effectively; the utility of information; source availability;ease and cost of use. For the content; these characteristics were looked at: the skillsnecessary to use effectively; utility of information; coherence of information; and ease of use.Finally; for the channels; the skills necessary to use effectively; dependability; availability;physical distance; and cost were investigated. The data from a large number of respondentsfrom a large corporation showed that source availability and ease of use are the …,IEEE Transactions on Engineering Management,1983,78
Determinants of technology cycle time in the US pharmaceutical industry’,Paul Bierly; Alok Chakrabarti,Abstract The focus of this study is to examine different factors that influence a firm'stechnology cycle time. The US pharmaceutical industry is analyzed from 1977–1991.Specifically; the sample includes 21 firms that (a) primarily produce brand ethical drugs;(b)are publicly-owned companies; and (c) have pharmaceutical sales account for a substantialportion of company sales.,R&D Management,1996,75
Interorganizational transfer of technology-a study of adoption of NASA innovations,Alok K Chakrabarti; Albert H Rubenstein,Abstract: The paper describes a study on the effects of top management support; varioustechno-economic factors; organizational climate; and decision-making modes on theadoption of NASA innovations. Field research consisted of interviews and questionnairesdirected to sixty-five organizations. Forty-five test cases where different decisions foradoption of ideas for new products or processes were made on NASA Tech Briefs werestudied in relation to the effects of various factors on the degree of success of adoption;including:(1) the degree of general connection of the technology to the firm's existingoperation;(2) the specificity of the relationship between the technology and some existingand recognized problem;(3) the degree of urgency of the problem to which the technologywas related;(4) maturity of technology available to implement the technology;(5) …,*,1976,74
Building social capital and learning environment in university–industry relationships,Alok K Chakrabarti; Michael D Santoro,University–industry interactions have become an important phenomenon in recent years.Universities are viewed as engines of economic growth in the era of a knowledge economy.The recent literature on this topic is somewhat restrictive; as it has taken a resource-basedview. We have argued here that an often over looked contribution that a university can makein its relationships with industrial firms is the building of social capital. On the basis of a studyof university-industry research centres in the US; we have identified three dimensions of theinteraction patterns analogous to the dimensions of social capital in terms of communicationstructure; sharing of visions and priorities; and building of a trusting relationship. We alsoexplore the factors that help build these dimensions and their effect.,International Journal of Learning and Intellectual Capital,2004,65
Interorganizational transfer of knowledge: An analysis of patent citations of a defense firm,Alok K Chakrabarti; Israel Dror; Nopphdol Eakabuse,It is argued that although technology is considered to be a strategic asset for anorganization; interplay in technology among organizations is necessary. Technology may beconsidered a bank which organizations both contribute to and draw from. Such interactionsamong organizations in technology follow different patterns. Some preliminary results from astudy that aims at addressing this issue are presented. Using patent-citation data; it is shownthat the benefits to participating firms change with industry type; organization class; andcountry of origin.,IEEE Transactions on Engineering Management,1993,64
Firm and industry characteristics influencing publications of scientists in large American companies,Michael R Halperin; Alok K Chakrabarti,Abstract This study examines the relationship between the volume of scientific and technicalpublications (papers) produced by industrial scientists; and the characteristics of thecorporations in which they work. Specifically; the study examines 1. the relationship betweenseveral key financial characteristics of US industrial firms and the production of scientificpapers; 2. the relationship between the amount of scientific papers published by industrialscientists and the publication of patents; 3. the relationship between the quality of thescientists employed by US industrial firms and the firms' output of papers and patents. Datafrom 225 US corporations were collected for the years 1975 through 1983. The corporationschosen for the study all have a history of consistent R and D expenditure. There is asubstantial correlation between patenting and the publication of scientific papers …,R&D Management,1987,59
Technology; innovation and performance in corporate mergers: A managerial evaluation,Alok K Chakrabarti; William E Souder,Abstract This study focused on the managerial perceptions of the success of corporatemergers and acquisitions as a means of acquiring new technologies. Based on the datafrom 31 acquisitions; it was found that the professed motives were rarely achieved. We foundthat a proactive and aggressive R & D posture in the postacquisition period was positivelyrelated with performance. Improved post-acquisition performance was related withcompetitive environment; which necessitated incremental changes in improvements ofproducts and production processes. Sharing of corporate technology with the acquireddivision improved the division's performance. Marketing help from the corporation alsoimproved division's performance. Finally; organizational integration without an excessiveincrease of formalization was found to be key to enhance the performance of the acquired …,Technovation,1987,54
Regional economic development: comparative case studies in the US and Finland,Alok K Chakrabarti; Richard K Lester,In context globalization of industries and increased level of competition and rapid changesin technology; firms have formed alliances with many types of organizations; includinguniversities. Universities on the other hand; have faced increasing budgetary challengesand sought to expand their roles. Planning agencies at various levels are consideringuniversities as sources of regional economic development. Studies in regional economicsstrongly point to the fact that proximity to a university is often associated with recent growth ofhigh tech industries in these regions. Examples of the Silicon Valley and its proximity toStanford University and the University of California; the industrial belt on Route 128 inMassachusetts and its proximity to MIT; and role of Cambridge University in the UK arecommonly cited as the important role of universities in regional development. In this paper …,Engineering Management Conference; 2002. IEMC'02. 2002 IEEE International,2002,50
Industry characteristics influencing the technical output: a case of small and medium size firms in the US,Alok K Chakrabarti,Abstract Using the small and medium size firms in the US as a sample; this paper reports oninterrelationship among patents; publications and new products. Correlates of R&Dexpenditure; patents and papers and new products are presented. Relationships betweenfirm size and R&D output and productivity are also investigated.,R&D Management,1991,47
Acquisitions: do they really work out?,William E Souder; Alok K Chakrabarti,Using structured interviews with corporate presidents and surrogates; we obtained data oneight firms and their 16 acquisitions. Their postacquisition performance was analyzed withregard to the original motives behind the acquisitions. Factors which affected performanceare explored and policy suggestions for successful acquisitions are presented.,Interfaces,1984,47
Scientific output of small and medium size firms in high tech industries,Alok K Chakrabarti,The author focuses on the scientific output of small and medium-sized firms in high-techindustries in the US. The indicators for technological output have been defined differently bydifferent researchers. Economists have used patents as the measure of research anddevelopment (R&D) output; partly because they are easier to delineate than other indicators.Behavioral researchers interested in the R&D management process have relied onpublications as a surrogate measure for R&D output; while research in science policy andinnovation has focused on products and processes as indicators of innovation and technicaloutput. The author focuses on all three measures as indicators of R&D output andinvestigates the interrelationship among them as well as the correlates for this output. Exceptfor the chemical industry. R&D expenditure is closely related to size as measured by …,IEEE Transactions on Engineering Management,1990,46
The dynamics of innovation: strategic and managerial implications,Klaus Brockhoff; Alok K Chakrabarti; Jürgen Hauschildt,Jorg Bensinger; a group head of Audi corporation's R&D depart ment; had been waiting forlong to find a chance to advertise his idea of a four-wheel drive for passenger cars to one ofthe board mem bers. Favorable experiences had been collected in drive tests with the lItis; ajeep-like car developed for use in the German army. The ex periences showed extremelygood performance on icy roads and in snow. Bensinger's chance came in February of 1977;when he could talk to Ferdinand Piech; then R&D vice president of Audi and a technologybuff. At this time Audi wasn't quite considered as a tech nological leader in the public.Technology based innovations were expected from Mercedes or Porsche by manycustomers. Piech; Ben singer; and others sensed that introducing the four-wheel drive topassenger cars could initiate a strategic change. Under great secrecy development work …,*,2013,45
A study of key communicators in research and development laboratories,Alok K Chakrabarti; Robert D O'Keefe,Although much has been written to document the existence of the key-communicator role;relatively little attention has been directed toward determining the factors that motivate anindividual to assume the role and to maintain the behaviors that define the role. Thepurposes of the study reported here were to identify key communicators within a sample of R&D laboratories; to explore those factors which motivate individuals to assume and maintainthe role of key communicators; and to derive implications for further study of thecharacteristics of key com municators in R &D laboratories. Three US governmentlaboratories engaged in applied research and development participated as research sites inthe field study. The factors that motivated those identified as key communicators to assumeand maintain the role varied. All of those interviewed reported that the role was …,Group & Organization Studies,1977,44
Technology indicators: Conceptual issues and measurement problems,Alok K Chakrabarti,Abstract This paper discusses some of the studies where attempts have been made to“measure” technological development for comparative purposes. Conceptual issues relatedto definition and measurement of “technology indicators” are presented here. The differentindicators measure the different aspects of technology and consequently have differentimplication for policy issues at both macro and micro levels. Three approaches to researchon technology indicators have been identified. The first approach initiated by the GellmanResearch Associates in the United States uses literature as the primary source for definingthe population of innovations. The second approach used by the researchers at theUniversity of Sussex uses a large panel of experts to define population of innovations. Thethird approach used in many countries in Europe relies on surveys of firms. Problems …,Journal of engineering and technology management,1989,42
Defense R&D; technology; and economic performance: A longitudinal analysis of the US experience,Alok K Chakrabarti; C Lenard Anyanwu,The impact of defense expenditure is discussed in terms of the direct relationships betweendefense R&D and economic performance as well as the indirect relationships between thedevelopment of technical and scientific skills and new technology. The model is estimatedfor the period 1955-1988 on a time-series set measured as elasticities. The effect of defenseR&D is observed through technological change as measured by the number of patentsgranted to US organizations and individuals. Results indicate no statistically visibleevidence of direct effect from defense R&D to the economy. The nonR&D aspect of defensespending appears to have no statistically significant effect on the major components ofcivilian economic performance; technical skills formation or technological change. From apolicy point of view; this suggests that technical spillovers may be limited to a specific kind …,IEEE Transactions on Engineering Management,1993,41
Some concepts of technology transfer: Adoption of innovations in organizational context,Alok K Chakrabarti,Abstract This paper is based on the review of literature on technology transfer and diffusionof innovations. Models and propositions developed by scholars in various disciplines wereanalyzed. The definitions and concepts frequently encountered in the literature werediscussed to understand the process of technology transfer at various levels. Problems ofinter-organizational technology transfer were discussed at length.,R&D Management,1973,40
Managing through industry fusion,Paul Bierly; Alok K Chakrabarti,Abstract Many industries are becoming “boundaryless” and associated with rapidlychanging competitive environments (Bettis; Hitt 1995; Hamel; Prahalad 1994; D'Aveni 1994).The increasing rate of technological diffusion and the globalization of markets are two of themain reasons why firms' environments are becoming more dynamic. New technologies arediffusing across industry boundaries at an increasing rate primarily because of thetremendous increase in access to information through the advances in computers andcommunications. This “sharing” of technologies among industries creates new competitorsfrom surprising sources. Additionally; the globalization of almost all major industries hasincreased the rivalry; and hence the rate of innovation; in many industries by introducingplayers with different knowledge sets; different perspectives of the future; and a different …,*,1999,38
Technological characteristics of mergers and acquisitions in the 1970s in manufacturing-industries in the United-States,Alok K Chakrabarti; Jonathan Burton,*,Quarterly Review of Economics and Business,1983,38
Field Studies of the Technological Innovation Process: Executive Summary,Albert Harold Rubenstein; Alok Chakrabarti; Robert D O'Keefe,*,*,1974,34
Technical performance and firm size: Analysis of patents and publications of US firms,Alok K Chakrabarti; Michael R Halperin,Abstract This study focuses on the scientific output of firms of different sizes in differentindustries in the US Both patents; and papers and publications are used as measures oftechnical output. Data from two samples of firms; one consisting of 225 large firms (annualsales at least 250millionandminimumannualR&Dbudgetof 1 million) and the other consistingof 248 small and medium sized firms (annual sales between 10to 200 million and annualR&D budget at least 10thousand)havebeenpresentedhere.ThestudyshowsthatdeterminantsofR&Dexp….Forthelargefirms;R&Dexpendituredependsonnetincomeasw…;measuredintermsofannualsales.Forsmallsizefirms;R&Dexpenditureiscloselyrelatedwithsales;ratherthanthenetincome.Forlargefirms;R&Dexpenditureisrelatedtobothsalesandinc…;thelatterbeingmoreimportantthantheformer.Thetwooutputmeasures …,Small Business Economics,1990,33
Innovation and productivity: An analysis of the chemical; textiles and machine tool industries in the US,Alok K Chakrabarti,Abstract The relationship between innovation and productivity growth in the chemical; textileand machine tool industries is explored here. Information about innovations has beenobtained from published sources. Although the linkage between innovation and productivitycan be a complex one; it is observed that the slowdown of the productivity growth in thechemical industry coincided with a significant slowdown in innovation. An opposite trend isobserved in the textile industry. Although the machine tool industry showed an increase ininnovation; the productivity growth slowed down consistently during 1967–1984. Cyclicalfluctuation in the demand for machine tools might have created a difficult problem. Moreover;the small companies which were interested in producing machines for special purposesused labor intensive processes which did little to improve productivity and their excess …,Research Policy,1990,32
TREND AND STOCHASTIC MOVEMENTS IN UNITED-STATES MERGER ACTIVITY,John J Clark; Alok K Chakrabarti; Thomas C Chiang,*,Quarterly Review of Economics and Business,1988,31
The cross-national comparison of patterns of industrial innovations,Alok K Chakrabarti; Stephen Feinman; William Fuentivilla,*,Columbia Journal of World Business,1982,31
An empirical analysis of innovation strategies of biotechnology firms in the US,Alok K Chakrabarti; Ursula Weisenfeld,Abstract The paper explores the strategies of biotechnology firms in the US through a mailquestionnaire study. Based on the responses of 89 companies we have developed strategyarchetypes of these firms in R&D; marketing; and technology acquisition. In R&D; we foundthe firms to follow either incremental or radical strategy. In marketing; the firms use either adefender or an innovator strategy. In technology acquisition; firms differ in terms of theiremphasis on licensing or developing new technology. The interrelationship among thestrategy groups is weak. The R&D and technology acquisition strategies are related in thesense that aggressive technology strategy dictates radical R&D behavior with emphasis ondevelopment of new technology. We have found that firms following aggressive technologystrategy tend to follow conservative marketing strategy. This is consistent with an earlier …,Journal of engineering and technology management,1991,30
Dynamic knowledge strategies and industry fusion,Paul E Bierly III; Alok Chakrabarti,Following a knowledge-based theory of the firm; the authors identify the key elements of adynamic knowledge strategy; with emphasis placed on the integration of different knowledgeareas. Specific attention is focused on boundaryless industries that are being combined withother industries; a condition referred to as" industry fusion".,International Journal of Manufacturing Technology and Management,2001,29
The sources of social capital within technology incubators: the roles of historical ties and organisational facilitation,Joanne L Scillitoe; Alok K Chakrabarti,There are currently three divergent views regarding the sources of beneficial social capitalwithin collectivities or networks: historical ties; organisational facilitation; and trust-basedshared pursuit of common goals. Technology incubators are newer organisational forms thatare created to support and accelerate the development and success of affiliated technology-based ventures. However; it is unclear how social capital that benefits the technologicaldevelopment of affiliated ventures is created within technology incubators. Drawing from thesocial capital; technology; and organisational learning literature; this study seeks tounderstand how technology incubators can create social capital that enables acceleratedtechnological learning of affiliated ventures. Based upon a survey of 43 technology-basedventures affiliated with US and Finnish technology incubators; results of this study …,International Journal of Learning and Intellectual Capital,2005,25
Technology transfers and knowledge interactions among defence firms in the USA: an analysis of patent citations,Alok K Chakrabarti; Israel Dror,The role of military R&D in the civilian economy has been a controversial one. With rapidchanges in the geopolitical power structure; the debate about the defence technology hasassumed a higher level of significance. The defence sector has been a driving force in manynew technologies; such as developments in micro–electronics; computers; semiconductors;aviation etc. While one can marvel at the contributions of these technologies on the growthof the civilian economy; one can argue about the effectiveness of defence R&D in producingand diffusing technology suitable for the civilian sector. This paper investigates the pattern oftransfer of technology between defence firms and other organizations. Using eight largedefence contractors; Boeing; General Dynamics; Grumman; Lockheed; Martin Marietta;McDonnell Douglas; Raytheon and United Technologies; as sample; we have analysed …,International Journal of Technology Management,1994,23
Changing roles of universities in developing entrepreneurial regions: The case of Finland and the US,Alok Chakrabarti; Mark Rice,ABSTRACT Universities have critical role as sources of intellectual property and talent inregional development and high technology industries. We present a theoretical frameworkbased on social capital and knowledge management literatures describing the knowledgegeneration and transfer processes for universities. Our research questions are: 1. What arethe roles of universities in regional economic development with respect to knowledgegeneration and transfer processes and how are they changing? 2. How do these roles andtrends differ in the US vs. Finland?,Industrial Performance Center; MIT IPC Working Paper IPC-03-003; September,2003,22
