RQL: a declarative query language for RDF,Gregory Karvounarakis; Sofia Alexaki; Vassilis Christophides; Dimitris Plexousakis; Michel Scholl,Abstract Real-scale Semantic Web applications; such as Knowledge Portals and E-Marketplaces; require the management of large volumes of metadata; ie; informationdescribing the available Web content and services. Better knowledge about their meaning;usage; accessibility or quality will considerably facilitate an automated processing of Webresources. The Resource Description Framework (RDF) enables the creation and exchangeof metadata as normal Web data. Although voluminous RDF descriptions are alreadyappearing; sufficiently expressive declarative languages for querying both RDF descriptionsand schemas are still missing. In this paper; we propose a new RDF query language calledRQL. It is a typed functional language (a la OQL) and relies on a formal model for directedlabeled graphs permitting the interpretation of superimposed resource descriptions by …,Proceedings of the 11th international conference on World Wide Web,2002,709
Ontology storage and querying,Aimilia Magkanaraki; Grigoris Karvounarakis; Ta Tuan Anh; Vassilis Christophides; Dimitris Plexousakis,*,Ics-forth Technical Report,2002,109
On Storing Voluminous RDF Descriptions: The Case of Web Portal Catalogs.,Sofia Alexaki; Vassilis Christophides; Gregory Karvounarakis; Dimitris Plexousakis; K Tolle,(http://www. (http://www.icsics.forth. .forth.grgr//proj proj//isst isst/RDF) /RDF) … SofiaAlexaki; Vassilis Christophides Gregory Karvounarakis; Dimitris Plexousakis Computer ScienceDepartment; University of Crete and Institute for Computer Science - FORTH Heraklion;Crete; Greece … Gregory Karvounarakis May 2001 Browsing the ODP Topics … Gregory KarvounarakisMay 2001 Browsing the ODP Topics … Gregory Karvounarakis May 2001 What is needed?… (2;342;978 URLs) n Declarative Query Languages for Portal Catalogs ❶ Interleave schemawith data querying ➋ Optimize access to Portal Catalogs … • Use W3C Standards to describe(RDF/S) & exchange (XML) information … • Our Main Contribution: Declarative Languages forBrowsing & Querying … Modeling the ODP Catalog with RDF/S … &r1: http://www.sunscale.com/france/paris/index.htm … Hotel title DBMS RDF query APIs SQL3+ SPI functions,WebDB,2001,104
Querying the semantic web with RQL,Gregory Karvounarakis; A Magganaraki; Sofia Alexaki; Vassilis Christophides; Dimitris Plexousakis; Michel Scholl; Karsten Tolle,Abstract Real-scale Semantic Web applications; such as Knowledge Portals and E-Marketplaces; require the management of voluminous repositories of resource metadata.The Resource Description Framework (RDF) enables the creation and exchange ofmetadata as any other Web data. Although large volumes of RDF descriptions are alreadyappearing; sufficiently expressive declarative query languages for RDF are still missing. Wepropose RQL; a new query language adapting the functionality of semistructured or XMLquery languages to the peculiarities of RDF but also extending this functionality in order touniformly query both RDF descriptions and schemas. RQL is a typed language; following afunctional approach a la OQL and relies on a formal graph model that permits theinterpretation of superimposed resource descriptions created using one or more RDF …,Computer networks,2003,91
Viewing the semantic web through RVL lenses,Aimilia Magkanaraki; Val Tannen; Vassilis Christophides; Dimitris Plexousakis,Abstract Personalized access and content syndication involving diverse conceptualrepresentations of information resources are two of the key challenges of real-scaleSemantic Web (SW) applications; such as e-Commerce; e-Learning or e-Science portals.RDF/S represents nowadays the core SW language for creating and exchanging resourcedescriptions worldwide. Unfortunately; full-fledged view definition languages for the RDF/Sdata model are still missing. We propose RVL; a view definition language capable ofcreating not only virtual resource descriptions; but also virtual RDF/S schemas from (meta)classes; properties; as well as; resource descriptions available on the Semantic Web. RVLexploits the functional nature and type system of the RQL query language in order tonavigate; filter and restructure complex RDF/S schema and resource description graphs.,International Semantic Web Conference,2003,90
Benchmarking rdf schemas for the semantic web,Aimilia Magkanaraki; Sofia Alexaki; Vassilis Christophides; Dimitris Plexousakis,Abstract Describing web resources using formal knowledge (ie; creating metadata accordingto a formal representation of a domain of discourse) is the essence of the next evolution stepof the Web; termed the Semantic Web. The W3C's RDF/S (Resource DescriptionFramework/Schema Language) enables the creation and exchange of resource metadataas normal web data. In this paper; we investigate the use of RDFS schemas as a means ofknowledge representation and exchange in diverse application domains. In order to reasonabout the quality of existing RDF schemas; a benchmark serves as the basis of a statisticalanalysis performed with the aid of VRP; the Validating RDF Parser. The statistical dataextracted lead to corollaries about the size and the morphology of RDF/S schemas.Furthermore; the study of the collected schemas draws useful conclusions about the …,International Semantic Web Conference,2002,88
Optimizing taxonomic semantic web queries using labeling schemes,Vassilis Christophides; Gregory Karvounarakis; Dimitris Plexousakis; Michel Scholl; Sotirios Tourtounis,Abstract This paper focuses on the optimization of the navigation through voluminoussubsumption hierarchies of topics employed by portal catalogs like Netscape Open Directory(ODP). We advocate for the use of labeling schemes for modeling these hierarchies in orderto efficiently answer queries such as subsumption check; descendants; ancestors or nearestcommon ancestor; which usually require costly transitive closure computations. We first givea qualitative comparison of three main families of schemes; namely bit vector; prefix andinterval based schemes. We then show that two labeling schemes are good candidates foran efficient implementation of label querying using standard relational DBMS; namely theDewey prefix scheme and an interval scheme by Agrawal et al. We compare their storageand query evaluation performance for the 16 ODP hierarchies using the PostgreSQL …,Web Semantics: Science; Services and Agents on the World Wide Web,2004,82
Heuristics-based query optimisation for SPARQL,Petros Tsialiamanis; Lefteris Sidirourgos; Irini Fundulaki; Vassilis Christophides; Peter Boncz,Abstract Query optimization in RDF Stores is a challenging problem as SPARQL queriestypically contain many more joins than equivalent relational plans; and hence lead to a largejoin order search space. In such cases; cost-based query optimization often is not possible.One practical reason for this is that statistics typically are missing in web scale setting suchas the Linked Open Datasets (LOD). The more profound reason is that due to the absence ofschematic structure in RDF; join-hit ratio estimation requires complicated forms of correlatedjoin statistics; and currently there are no methods to identify the relevant correlationsbeforehand. For this reason; the use of good heuristics is essential in SPARQL queryoptimization; even in the case that are partially used with cost-based statistics (ie; hybridquery optimization). In this paper we describe a set of useful heuristics for SPARQL query …,Proceedings of the 15th International Conference on Extending Database Technology,2012,77
Containment and minimization of RDF/S query patterns,Giorgos Serfiotis; Ioanna Koffina; Vassilis Christophides; Val Tannen,Abstract Semantic query optimization (SQO) has been proved to be quite useful in variousapplications (eg; data integration; graphical query generators; caching; etc.) and has beenextensively studied for relational; deductive; object; and XML databases. However; lessattention to SQO has been devoted in the context of the Semantic Web. In this paper; wepresent sound and complete algorithms for the containment and minimization of RDF/Squery patterns. More precisely; we consider two widely used RDF/S query fragmentssupporting pattern matching at the data; but also; at the schema level. To this end; weadvocate a logic framework for capturing the RDF/S data model and semantics and weemploy well-established techniques proposed in the relational context; in particular; theChase and Backchase algorithms.,International Semantic Web Conference,2005,71
Semantic query routing and processing in P2P database systems: The ICS-FORTH SQPeer middleware,George Kokkinidis; Vassilis Christophides,Abstract Peer-to-peer (P2P) computing is currently attracting enormous attention. In P2Psystems a very large number of autonomous computing nodes (the peers) pool togethertheir resources and rely on each other for data and services. More and more P2P datamanagement systems rely nowadays on intensional (ie schema) information for integratingand querying peer bases. Such information can be easily captured by emerging SemanticWeb languages such as RDF/S. However; a fully-fledged framework for evaluating semanticqueries over peer RDF/S bases (materialized or virtual) is missing. In this paper we presentthe ICS-FORTH SQPeer middleware for routing and processing RQL queries and RVLviews. The novelty of SQPeer lies on the use of intensional active schemas for determiningrelevant peer bases; as well as; constructing distributed query plans. In this context; we …,International Conference on Extending Database Technology,2004,69
On graph features of semantic web schemas,Yannis Theoharis; Yannis Tzitzikas; Dimitris Kotzinos; Vassilis Christophides,In this paper; we measure and analyze the graph features of semantic Web (SW) schemaswith focus on power-law degree distributions. Our main finding is that the majority of SWschemas with a significant number of properties (respectively; classes) approximate a powerlaw for total-degree (respectively; the number of subsumed classes) distribution. Moreover;our analysis revealed some emerging conceptual modeling practices of SW schemadevelopers:(1) each schema has a few focal classes that have been analyzed in detail (thatis; they have numerous properties and subclasses); which are further connected with focalclasses defined in other schemas;(2) class subsumption hierarchies are mostly unbalanced(that is; some branches are deep and heavy; while others are shallow and light);(3) mostproperties have as domain/range classes that are located high at the class subsumption …,IEEE Transactions on Knowledge and Data Engineering,2008,68
On the foundations of computing deltas between RDF models,Dimitris Zeginis; Yannis Tzitzikas; Vassilis Christophides,Abstract The ability to compute the differences that exist between two RDF models is animportant step to cope with the evolving nature of the Semantic Web (SW). In particular; RDFDeltas can be employed to reduce the amount of data that need to be exchanged andmanaged over the network and hence build advanced SW synchronization and versioningservices. By considering Deltas as sets of change operations; in this paper we study variousRDF comparison functions in conjunction with the semantics of the underlying changeoperations and formally analyze their possible combinations in terms of correctness;minimality; semantic identity and redundancy properties.,*,2007,68
On detecting high-level changes in RDF/S KBs,Vicky Papavassiliou; Giorgos Flouris; Irini Fundulaki; Dimitris Kotzinos; Vassilis Christophides,Abstract An increasing number of scientific communities rely on Semantic Web ontologies toshare and interpret data within and across research domains. These common knowledgerepresentation resources are usually developed and maintained manually and essentiallyco-evolve along with experimental evidence produced by scientists worldwide. Detectingautomatically the differences between (two) versions of the same ontology in order to storeor visualize their deltas is a challenging task for e-science. In this paper; we focus onlanguages allowing the formulation of concise and intuitive deltas; which are expressiveenough to describe unambiguously any possible change and that can be effectively andefficiently detected. We propose a specific language that provably exhibits thosecharacteristics and provide a change detection algorithm which is sound and complete …,International Semantic Web Conference,2009,66
RUL: A declarative update language for RDF,Matoula Magiridou; Stavros Sahtouris; Vassilis Christophides; Manolis Koubarakis,Abstract We propose a declarative update language for RDF graphs which is based on theparadigms of query and view languages RQL and RVL. Our language; called RUL; ensuresthat the execution of the update primitives on nodes and arcs neither violates the semanticsof the RDF model nor the semantics of the given RDFS schema. In addition; RUL supportsfine-grained updates at the class and property instance level; set-oriented updates with adeterministic semantics and takes benefit of the full expressive power of RQL for restrictingthe range of variables to nodes and arcs of RDF graphs.,International Semantic Web Conference,2005,66
Coloring RDF triples to capture provenance,Giorgos Flouris; Irini Fundulaki; Panagiotis Pediaditis; Yannis Theoharis; Vassilis Christophides,Abstract Recently; the W3C Linking Open Data effort has boosted the publication and inter-linkage of large amounts of RDF datasets on the Semantic Web. Various ontologies andknowledge bases with millions of RDF triples from Wikipedia and other sources; mostly in e-science; have been created and are publicly available. Recording provenance informationof RDF triples aggregated from different heterogeneous sources is crucial in order toeffectively support trust mechanisms; digital rights and privacy policies. Managingprovenance becomes even more important when we consider not only explicitly stated butalso implicit triples (through RDFS inference rules) in conjunction with declarativelanguages for querying and updating RDF graphs. In this paper we rely on colored RDFtriples represented as quadruples to capture and manipulate explicit provenance …,International Semantic Web Conference,2009,65
Querying community web portals,Gregory Karvounarakis; Vassilis Christophides; Dimitris Plexousakis; Sofia Alexaki,Abstract Anewgeneration of information systems suchasorganizational memories; verticalaggregators; infomediaries; etc. is emerging nowadays. Such systems; termedCommunityWeb Portals; intend to support specific communities of interest (eg; enterprise;professional; trading) on corporate intranets or the Web. More precisely; Portal Catalogs;organize and describe various information resources (eg; sites; documents; data) for diversetarget audiences (corporate; inter-enterprise; e-marketplace; etc.); in a multitude of ways;which are far more flexible and complex than those provided by standard (relational orobject) databases. Yet; in commercial software for deploying CommunityPortals; querying isstill limited to full-text (or attribute-value) retrieval and more advanced information-seekingneeds implies navigational access. Furthermore; recentWeb standards for describing …,*,2000,60
The syntactic Web: Syntax and semantics on the Web,Jonathan Robie; Lars Marius Garshol; Steve Newcomb; M Fuchs; L Miller; D Brickley; V Christophides; G Karvounarakis,Abstract XQuery is a query language designed to allow queries across the many kinds ofinformation that are represented in XML. Although topic maps and RDF can also berepresented in XML; many have held that their many possible syntactic forms make themextremely difficult to query using an XML query language; and that they can only be queriedusing special-purpose query languages with built-in knowledge of their semantics; includingthe ability to exploit RDF schema information. This talk shows that XQuery can; in fact; beused to solve the kinds of queries for which RDF and topic map query languages weredesigned; though with a loss of type safety.,Markup Languages: Theory and Practice,2001,58
RQL: A functional query language for RDF,Gregory Karvounarakis; Aimilia Magkanaraki; Sophia Alexaki; Vassilis Christophides; Dimitris Plexousakis; Michel Scholl; Karsten Tolle,Summary Although real-scale Semantic Web applications; such as Knowledge Portals andE-Marketplaces; require the management of voluminous resource metadata; sufficientlyexpressive declarative languages for metadata created according to the W3C RDF/Sstandard 1 are still missing. In answer to this need; we have designed a typed; functionalquery language; called RQL; whose novelty lies in its ability to smoothly combine schemaand data querying. The purpose of this chapter is to present RQL's formal data model andtype system and illustrate its expressiveness by means of exemplary queries. RQL's formalfoundations capture the RDF/S modeling primitives and provide a well-founded semanticsfor a declarative query language involving recursion and functional composition overcomplex description graphs.,*,2004,54
Beyond discrete e-services: Composing session-oriented services in telecommunications,Vassilis Christophides; Richard Hull; Gregory Karvounarakis; Akhil Kumar; Geliang Tong; Ming Xiong,Abstract We distinguish between two broad categories of e-services: discrete services (eg;add item to shopping cart; charge a credit card); and session-oriented ones (teleconference;collaborative text chat; streaming video; c-commerce interactions). Discrete services typicallyhave short duration; and cannot respond to external asynchronous events. Session-orientedservices have longer duration (perhaps hours); and typically can respond to asynchronousevents (eg; the ability to add a new participant to a teleconference). When composingdiscrete e-services it usually suffices to use a process model and engine that composes thee-services as relatively independent tasks. But when composing session-oriented e-services; the engine must be able to receive asynchronous events and determine how andwhether to impact the active sessions. For example; if a teleconference participant loses …,International Workshop on Technologies for E-Services,2001,49
Managing RDF metadata for community webs,Sofia Alexaki; Vassilis Christophides; Gregory Karvounarakis; Dimitris Plexousakis; Karsten Tolle; Bernd Amann; Irini Fundulaki; Michel Scholl; Anne-Marie Vercoustre,Abstract The need for descriptive information; ie; metadata; about Web resources has beenrecognized in several application contexts (eg; digital libraries; portals). The ResourceDescription Framework (RDF) aims at facilitating the creation and exchange of metadata; asdirected labeled graphs serialized in XML. In particular; the definition of schemavocabularies enables the interpretation of semistructured RDF descriptions usingtaxonomies of node and edge labels. In this paper; we propose (i) a formal model capturingRDF schema constructs;(ii) a declarative query language featuring generalized pathexpressions for taxonomies of labels (iii) a metadata management architecture for efficientstorage and querying of RDF descriptions and schemas.,International Conference on Conceptual Modeling,2000,49
Querying structured documents with hypertext links using OODBMS,Vassilis Christophides; Antoine Rizk,Abstract Hierarchical logical structure and hypertext links are complementary and can becombined to build more powerful document management systems. Previous work exploitsthis complementarity for building better document processors; browsers and editing tools;but not for building sophisticated querying mechanisms. Querying in hypertext has been arequirement since [19] and has already been elaborated in many hypertext systems; but hasnot yet been used for hypertext systems superimposed on an underlying hierarchical logicalstructure. In this paper we use the model and the SQL-like query language of [10] in order tomanage structured documents with hypertext links. The model represents a structureddocuments with hypertext links. The model represents a structured document with typedlinks as a complex object; and uses paths through the document structure; as first class …,Proceedings of the 1994 ACM European conference on Hypermedia technology,1994,48
Efficient rewriting algorithms for preference queries,Periklis Georgiadis; Ioannis Kapantaidakis; Vassilis Christophides; Elhadji Mamadou Nguer; Nicolas Spyratos,Preference queries are crucial for various applications (eg digital libraries) as they allowusers to discover and order data of interest in a personalized way. In this paper; we definepreferences as preorders over relational attributes and their respective domains. Then; werely on appropriate linearizations to provide a natural semantics for the block sequenceanswering a preference query. Moreover; we introduce two novel rewriting algorithms(called LBA and TBA) which exploit the semantics of preference expressions for constructingprogressively each block of the answer. We demonstrate experimentally the scalability andperformance gains of our algorithms (up to 3 orders of magnitude) for variable database andresult sizes; as well as for preference expressions of variable size and structure. To the bestof our knowledge; LBA and TBA are the first algorithms for evaluating efficiently arbitrary …,Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,2008,47
The ICS-FORTH SWIM: A powerful semantic web integration middleware,Vassilis Christophides; Grigoris Karvounarakis; Ioanna Koffina; Giorgos Kokkinidis; Aimilia Magkanaraki; Dimitris Plexousakis; Giorgos Serfiotis; Val Tannen,Abstract Semantic Web (SW) technology aims to facilitate the integration of legacy datasources spread worldwide. Despite the plethora of SW languages (eg; RDF/S; DAML+ OIL;OWL) recently proposed for supporting large scale information interoperation; the vastmajority of legacy sources still rely on relational databases (RDB) published on the Web orcorporate intranets as virtual XML. In this paper; we advocate a Datalog framework formediating high-level queries to relational and/or XML sources using community ontologiesexpressed in a SW language such as RDF/S. We describe the architecture and thereasoning services of our SW integration middleware; called SWIM; and we present themain design choices and techniques for supporting powerful mappings between differentdata models; as well as; reformulation and optimization of queries expressed against …,*,2003,47
A Formal Approach for RDF/S Ontology Evolution.,George Konstantinidis; Giorgos Flouris; Grigoris Antoniou; Vassilis Christophides,Abstract. In this paper; we consider the problem of ontology evolution in the face of a changeoperation. We devise a general-purpose algorithm for determining the effects and side-effects of a requested elementary or complex change operation. Our work is inspired bybelief revision principles (ie; validity; success and minimal change) and allows us to handleany change operation in a provably rational and consistent manner. To the best of ourknowledge; this is the first approach overcoming the limitations of existing solutions; whichdeal with each change operation on a per-case basis. Additionally; we rely on our generalchange handling algorithm to implement specialized versions of it; one per desired changeoperation; in order to compute the equivalent set of effects and side-effects. 2,ECAI,2008,46
High-level change detection in RDF (S) KBs,Vicky Papavasileiou; Giorgos Flouris; Irini Fundulaki; Dimitris Kotzinos; Vassilis Christophides,Abstract With the increasing use of Web 2.0 to create; disseminate; and consume largevolumes of data; more and more information is published and becomes available forpotential data consumers; that is; applications/services; individual users and communities;outside their production site. The most representative example of this trend is Linked OpenData (LOD); a set of interlinked data and knowledge bases. The main challenge in thiscontext is data governance within loosely coordinated organizations that are publishingadded-value interlinked data on the Web; bringing together issues related to datamanagement and data quality; in order to support the full lifecycle of data production;consumption; and management. In this article; we are interested in curation issues for RDF(S) data; which is the default data model for LOD. In particular; we are addressing change …,ACM Transactions on Database Systems (TODS),2013,45
On provenance of queries on semantic web data,Yannis Theoharis; Irini Fundulaki; Grigoris Karvounarakis; Vassilis Christophides,Capturing trustworthiness; reputation; and reliability of Semantic Web data manipulated bySPARQL requires researchers to represent adequate provenance information; usuallymodeled as source data annotations and propagated to query results along with a queryevaluation. Alternatively; abstract provenance models can capture the relationship betweenquery results and source data by taking into account the employed query operators. Theauthors argue the benefits of the latter for settings in which query results are materialized inseveral repositories and analyzed by multiple users. They also investigate how relationalprovenance models can be leveraged for SPARQL queries; and advocate for newprovenance models.,IEEE Internet Computing,2011,44
On computing deltas of RDF/S knowledge bases,Dimitris Zeginis; Yannis Tzitzikas; Vassilis Christophides,Abstract The ability to compute the differences that exist between two RDF/S KnowledgeBases (KB) is an important step to cope with the evolving nature of the Semantic Web (SW).In particular; RDF/S deltas can be employed to reduce the amount of data that need to beexchanged and managed over the network in order to build SW synchronization andversioning services. By considering deltas as sets of change operations; in this article weintroduce various RDF/S differential functions which take into account inferred knowledgefrom an RDF/S knowledge base. We first study their correctness in transforming a source toa target RDF/S knowledge base in conjunction with the semantics of the employed changeoperations (ie; with or without side-effects on inferred knowledge). Then we formally analyzedesired properties of RDF/S deltas such as size minimality; semantic identity; redundancy …,ACM Transactions on the Web (TWEB),2011,43
Algebraic structures for capturing the provenance of SPARQL queries,Floris Geerts; Thomas Unger; Grigoris Karvounarakis; Irini Fundulaki; Vassilis Christophides,Abstract The evaluation of SPARQL algebra queries on various kinds of annotated RDFgraphs can be seen as a particular case of the evaluation of these queries on RDF graphsannotated with elements of so-called spm-semirings. Spm-semirings extend semirings; usedfor representing the provenance of positive relational algebra queries on annotatedrelational data; with a new operator to capture the semantics of the non-monotone SPARQLoperators. Furthermore; spm-semiring-based annotations ensure that desired SPARQLquery equivalences hold when querying annotated RDF. In this work; in addition tointroducing spm-semirings; we study their properties and provide an alternativecharacterization of these structures in terms of semirings with an embedded booleanalgebra (or seba-structure for short). This characterization allows us to construct spm …,Journal of the ACM (JACM),2016,40
Entity resolution in the web of data,Vassilis Christophides; Vasilis Efthymiou; Kostas Stefanidis,Abstract In recent years; several knowledge bases have been built to enable large-scaleknowledge sharing; but also an entity-centric Web search; mixing both structured data andtext querying. These knowledge bases offer machine-readable descriptions of real-worldentities; eg; persons; places; published on the Web as Linked Data. However; due to thedifferent information extraction tools and curation policies employed by knowledge bases;multiple; complementary and sometimes conflicting descriptions of the same real-worldentities may be provided. Entity resolution aims to identify different descriptions that refer tothe same entity appearing either within or across knowledge bases. The objective of thisbook is to present the new entity resolution challenges stemming from the openness of theWeb of data in describing entities by an unbounded number of knowledge bases; the …,Synthesis Lectures on the Semantic Web,2015,40
Viewing the semantic web through RVL lenses,Aimilia Magkanaraki; Val Tannen; Vassilis Christophides; Dimitris Plexousakis,Abstract Personalized access and content syndication involving diverse conceptualrepresentations of information resources are two of the key challenges of Semantic Web(SW) applications. In this paper; we investigate how these goals can be achieved using viewdefinition primitives over RDF/S bases. We introduce a full-fledged view definition language;RVL; for creating virtual RDF/S resource descriptions and schemas from (meta) classes;properties; and resource descriptions; and we illustrate how RVL views can be composedwith structured RDF/S queries expressed in a query language like RQL; by means of aninternal logical framework capturing the semantics of the RDF/S model; RQL queries andRVL views.,Web Semantics: Science; Services and Agents on the World Wide Web,2004,39
