Roadrunner: Towards automatic data extraction from large web sites,Valter Crescenzi; Giansalvatore Mecca; Paolo Merialdo,Abstract The paper investigates techniques for extracting data from HTML sites through theuse of automatically generated wrappers. To automate the wrapper generation and the dataextraction process; the paper develops a novel technique to compare HTML pages andgenerate a wrapper based on their similarities and differences. Experimental results on real-life data-intensive Web sites confirm the feasibility of the approach.,Proceedings of the International Conference on Very Large Databases,2001,1371
Design and development of data-intensive web sites: The Araneus approach,Paolo Merialdo; Paolo Atzeni; Giansalvatore Mecca,Abstract Data-intensive Web sites are large sites based on a back-end database; with afairly complex hypertext structure. The paper develops two main contributions:(a) a specificdesign methodology for data-intensive Web sites; composed of a set of steps and designtransformations that lead from a conceptual specification of the domain of interest to theactual implementation of the site;(b) a tool called H omer; conceived to support the sitedesign and implementation process; by allowing the designer to move through the varioussteps of the methodology; and to automate the generation of the code needed to implementthe actual site. Our approach to site design is based on a clear separation between severaldesign activities; namely database design; hypertext design; and presentation design. Allthese activities are carried on by using high-level models; all subsumed by an extension …,ACM Transactions on Internet Technology (TOIT),2003,93
RoadRunner: automatic data extraction from data-intensive web sites,Valter Crescenzi; Giansalvatore Mecca; Paolo Merialdo,Data extraction from HTML pages is performed by software modules; usually calledwrappers. Roughly speaking; a wrapper identifies and extracts relevant pieces of text insidea web page; and reorganizes them in a more structured format. In the literature there is anumber of systems to (semi-) automatically generate wrappers for HTML pages [1]. We haverecently investigated for original approaches that aims at pushing further the level ofautomation of the wrapper generation process. Our main intuition is that; in a dataintensiveweb site; pages can be classified in a small number of classes; such that pages belonging tothe same class share a rather tight structure. Based on this observation; we have studied annovel technique; we call the matching technique [2]; that automatically generates a commonwrapper by exploiting similarities and differences among pages of the same class. In …,Proceedings of the 2002 ACM SIGMOD international conference on Management of data,2002,89
Schema mapping verification: the spicy way,Angela Bonifati; Giansalvatore Mecca; Alessandro Pappalardo; Salvatore Raunich; Gianvito Summa,Abstract Schema mapping algorithms rely on value correspondences-ie; correspondencesamong semantically related attributes-to produce complex transformations among datasources. These correspondences are either manually specified or suggested by separatemodules called schema matchers. The quality of mappings produced by a mappinggeneration tool strongly depends on the quality of the input correspondences. In this paper;we introduce the Spicy system; a novel approach to the problem of verifying the quality ofmappings. Spicy is based on a three-layer architecture; in which a schema matching moduleis used to provide input to a mapping generation module. Then; a third module; the mappingverification module; is used to check candidate mappings and choose the ones thatrepresent better transformations of the source into the target. At the core of the system …,Proceedings of the 11th international conference on Extending database technology: Advances in database technology,2008,86
The LLUNATIC data-cleaning framework,Floris Geerts; Giansalvatore Mecca; Paolo Papotti; Donatello Santoro,Abstract Data-cleaning (or data-repairing) is considered a crucial problem in many database-related tasks. It consists in making a database consistent with respect to a set of givenconstraints. In recent years; repairing methods have been proposed for several classes ofconstraints. However; these methods rely on ad hoc decisions and tend to hard-code thestrategy to repair conflicting values. As a consequence; there is currently no generalalgorithm to solve database repairing problems that involve different kinds of constraints anddifferent strategies to select preferred values. In this paper we develop a uniform frameworkto solve this problem. We propose a new semantics for repairs; and a chase-basedalgorithm to compute minimal solutions. We implemented the framework in a DBMS-basedprototype; and we report experimental results that confirm its good scalability and …,Proceedings of the VLDB Endowment,2013,83
Araneus in the Era of XML.,Giansalvatore Mecca; Paolo Merialdo; Paolo Atzeni,A large body of research has been recently motivated by the attempt to extend databasemanipulation techniques to data on the Web (see [13] for a survey). Most of these researchefforts–which range from the definition of Web query languages and the relatedoptimizations; to systems for Web site development and management; and to integrationtechniques–started before XML was introduced; and therefore have strived for a long time tohandle the highly heterogeneous nature of HTML pages. In the meanwhile; Web datasources have evolved from small; home-made collections of HTML pages into complexplatforms for distributed data access and application development; and XML promises toimpose itself as a more appropriate format for this new breed of Web sites. XML brings dataon the Web closer to databases; since; differently from HTML; it is based on a clean …,IEEE Data Eng. Bull.,1999,82
In search of the lost schema,Stéphane Grumbach; Giansalvatore Mecca,Abstract We study the problem of rediscovering the schema of nested relations that havebeen encoded as strings for storage purposes. We consider various classes of encodingfunctions; and consider the mark-up encodings; which allow to find the schema withoutknowledge of the encoding function; under reasonable assumptions on the input data.Depending upon the encoding of empty sets; we propose two polynomial on-line algorithms(with different buffer size) solving the schema finding problem. We also prove that with ahigh probability; both algorithms find the schema after examining a fixed number of tuples;thus leading in practice to a linear time behavior with respect to the database size forwrapping the data. Finally; we show that the proposed techniques are well-suited forpractical applications; such as structuring and wrapping HTML pages and Web sites.,International Conference on Database Theory,1999,71
++ Spicy: an Open-Source Tool for Second-Generation Schema Mapping and Data Exchange,Bruno Marnette; Giansalvatore Mecca; Paolo Papotti; Salvatore Raunich; Donatello Santoro,ABSTRACT Recent results in schema-mapping and data-exchange research may beconsidered the starting point for a new generation of systems; capable of dealing with asignificantly larger class of applications. In this paper we demonstrate the first of thesesecond-generation systems; called++ SPiCY. We introduce a number of scenarios from avariety of data management tasks; such as data fusion; data cleaning; and ETL; and showhow; based on the system; schema mappings and data exchange techniques can be veryeffectively applied to these contexts. We compare++ SPiCY to the previous generations oftools; to show that this is much-needed advancement in the field.,Proceedings of the VLDB Endowment,2011,62
Core schema mappings,Giansalvatore Mecca; Paolo Papotti; Salvatore Raunich,Abstract Research has investigated mappings among data sources under two perspectives.On one side; there are studies of practical tools for schema mapping generation; these focuson algorithms to generate mappings based on visual specifications provided by users. Onthe other side; we have theoretical researches about data exchange. These study how togenerate a solution-ie; a target instance-given a set of mappings usually specified as tuplegenerating dependencies. However; despite the fact that the notion of a core of a dataexchange solution has been formally identified as an optimal solution; there are yet nomapping systems that support core computations. In this paper we introduce several newalgorithms that contribute to bridge the gap between the practice of mapping generation andthe theory of data exchange. We show how; given a mapping scenario; it is possible to …,Proceedings of the 2009 ACM SIGMOD International Conference on Management of data,2009,58
Scalable data exchange with functional dependencies,Bruno Marnette; Giansalvatore Mecca; Paolo Papotti,Abstract The recent literature has provided a solid theoretical foundation for the use ofschema mappings in data-exchange applications. Following this formalization; newalgorithms have been developed to generate optimal solutions for mapping scenarios in ahighly scalable way; by relying on SQL. However; these algorithms suffer from a seriousdrawback: they are not able to handle key constraints and functional dependencies on thetarget; ie; equality generating dependencies (egds). While egds play a crucial role in thegeneration of optimal solutions; handling them with first-order languages is a difficultproblem. In fact; we start from a negative result: it is not always possible to compute solutionsfor scenarios with egds using an SQL script. Then; we identify many practical cases in whichthis is possible; and develop a best-effort algorithm to do this. Experimental results show …,Proceedings of the VLDB Endowment,2010,50
Sequences; Datalog and transducers,Giansalvatore Mecca; Anthony J Bonner,Abstract This paper develops a query language for sequence databases; such as genomedatabases and text databases. The language; called Sequence Dataiog; extends classicalDatalog with interpreted function symbols for manipulating sequences. It has both a clearoperational and declarative semantics; based on a new notion called the extended activedomain of a database. The extended domain contains all the sequences in the databaseand all their subsequences. This idea leads to a clear distinction between safe and unsaferecursion over sequences: safe recursion stays inside the extended active domain; whileunsafe recursion does not. By carefully limiting the amount of unsafe recursion; the paperdevelops a safe and expressive subset of Sequence Dat slog. As part of the development; anew type of transducer is introduced; called a genera~ izect sequence transducer. Unsafe …,Proceedings of the Fourteenth ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems,1995,50
Efficient queries over web views,Giansalvatore Mecca; Alberto Mendelzon; Paolo Merialdo,Abstract Large web sites are becoming repositories of structured information that can benefitfrom being viewed and queried as relational databases. However; querying these viewsefficiently requires new techniques. Data usually resides at a remote site and is organizedas a set of related HTML documents; with network access being a primary cost factor inquery evaluation. This cost can be reduced by exploiting the redundancy often found in sitedesign. We use a simple data model; a subset of the Araneus data model; to describe thestructure of a web site. We augment the model with link and inclusion constraints thatcapture the redundancies in the site. We map relational views of a site to a navigationalalgebra and show how to use the constraints to rewrite algebraic expressions; reducing thenumber of network accesses.,International Conference on Extending Database Technology - EDBT'98,1998,44
Data-intensive web sites: design and maintenance,Paolo Atzeni; Paolo Merialdo; Giansalvatore Mecca,Abstract A methodology for designing and maintaining data–intensive Web sites isintroduced. Leveraging on ideas well established in the database field; the approach heavilyrelies on the use of models for the description of Web sites. The design process is composedof two intertwined activities: database design and hypertext design. Each of these is furtherdivided in a conceptual phase and a logical phase; based on specific data models. Themethodology strongly supports site maintenance: in fact; the various models provide aconcise description of the site structure; they allow to reason about the overall organizationof pages in the site and possibly to restructure it.,World Wide Web,2001,40
Automatic Web Information Extraction in the Road R unner System,Valter Crescenzi; Giansalvatore Mecca; Paolo Merialdo,Abstract This paper presents Road Runner; a research project that aims at developingsolutions for automatically extracting data from large HTML data sources. The target of ourresearch are data-intensive Web sites; ie; HTML-based sites with a fairly complex structure;that publish large amounts of data. The paper describes the top-level software architectureof the Road Runner System; and the novel research challenges posed by the attempt toautomate the information extraction process.,International Conference on Conceptual Modeling,2001,38
Wrapping-oriented classification of web pages,Valter Crescenzi; Giansalvatore Mecca; Paolo Merialdo,Abstract Data extraction from HTML Web pages is performed by software programs calledwrapper. Writing wrappers is a costly and labor intensive task; recently several proposalhave attacked the problem of automatically generating wrappers. In this paper; we study aproblem related to the automation of the wrapping generation process: given a portion of aWeb site to wrap; we develop techniques to cluster its HTML pages into page classes withhomogeneous organization and layout; these classes can become the input to the wrappergeneration process. Also; once a wrapper library has been generated for a bunch of Websites; our techniques can be used in order to select; for any new page downloaded fromthese site; the right wrapper in the library. Based on the proposed techniques we havedeveloped a software prototype; and conducted several experiments on HTML pages …,Proceedings of the 2002 ACM symposium on Applied computing,2002,37
Cut and paste,Giansalvatore Mecca; Paolo Atzeni,Abstract The paper develops Editor; a language for manipulating semistructured documents;such as those typically available on the Web. Editor programs are based on two simpleideas; taken from text editors:“search” instructions are used to select regions of interest in adocument; and “cut & paste” instructions to restructure them. We study the expressive powerand the complexity of these programs. We show that they are computationally complete; inthe sense that any computable document restructuring can be expressed in Editor. We alsostudy the complexity of a safe subclass of programs; showing that it captures exactly theclass of polynomial-time restructurings. The language has been implemented in Java and iscurrently used in the Araneus project as a basis for a wrapper-generation toolkit.,Journal of Computer and System Sciences,1999,37
From Databases to Web-Bases: The ARANEUS Experience,G Mecca; P Atzeni; P Merialdo; A Masci; G Sindoni,Abstract The ARANEUS project aims at developing tools for data-management on the WorldWide Web. Web-based information systems deal with data of heterogeneous nature; mainlydatabase data and HTML documents. We have implemented a system; called a Web-baseManagement system; for managing such repositories. The system is designed to supportseveral classes of applications:(i) high-level access to data in the Web;(ii) design;implementation and maintenance of Web sites;(iii) cooperative applications on the Web. Wediscuss the lessons learned from our experiences with the system; ranging from database-style query interfaces to popular Web sites; to the design and implementation of severalsites; among which an integrated Web museum; which correlates data coming from severalvirtual museums on the Web.,In Technical Report 34-1998. Dipartimento,1998,37
Mapping and cleaning,Floris Geerts; Giansalvatore Mecca; Paolo Papotti; Donatello Santoro,We address the challenging and open problem of bringing together two crucial activities indata integration and data quality; ie; transforming data using schema mappings; and fixingconflicts and inconsistencies using data repairing. This problem is made complex by severalfactors. First; schema mappings and data repairing have traditionally been considered asseparate activities; and research has progressed in a largely independent way in the twofields. Second; the elegant formalizations and the algorithms that have been proposed forboth tasks have had mixed fortune in scaling to large databases. In the paper; we introducea very general notion of a mapping and cleaning scenario that incorporates a wide variety offeatures; like; for example; user interventions. We develop a new semantics for thesescenarios that represents a conservative extension of previous semantics for schema …,Data Engineering (ICDE); 2014 IEEE 30th International Conference on,2014,35
Concise and expressive mappings with+ Spicy,Giansalvatore Mecca; Paolo Papotti; Salvatore Raunich; Marcello Buoncristiano,Abstract We introduce the+ Spicy mapping system. The system is based on a number ofnovel algorithms that contribute to increase the quality and expressiveness of mappings.+Spicy integrates the computation of core solutions in the mapping generation process in ahighly efficient way; based on a natural rewriting of the given mappings. This allows for anefficient implementation of core computations using common runtime languages like SQL orXQuery and guarantees very good performances; orders of magnitude better than those ofprevious algorithms. The rewriting algorithm can be applied both to mappings generated bythe system; or to pre-defined mappings provided as part of the input. To do this; the systemwas enriched with a set of expressive primitives; so that+ Spicy is the first mapping systemthat brings together a sophisticate and expressive mapping generation algorithm with an …,Proceedings of the VLDB Endowment,2009,31
Sequences; datalog; and transducers,Anthony Bonner; Giansalvatore Mecca,Abstract This paper develops a query language for sequence databases; such as genomedatabases and text databases. The language; calledSequence Datalog; extends classicalDatalog with interpreted function symbols for manipulating sequences. It has both a clearoperational and declarative semantics; based on a new notion called theextended activedomainof a database. The extended domain contains all the sequences in the database andall their subsequences. This idea leads to a clear distinction between safe and unsaferecursion over sequences: safe recursion stays inside the extended active domain; whileunsafe recursion does not. By carefully limiting the amount of unsafe recursion; the paperdevelops a safe and expressive subset of Sequence Datalog. As part of the development; anew type of transducer is introduced; called ageneralized sequence transducer. Unsafe …,Journal of Computer and System Sciences,1998,31
An automatic data grabber for large web sites,Valter Crescenzi; Giansalvatore Mecca; Paolo Merialdo; Paolo Missier,Abstract We demonstrate a system to automatically grab data from data intensive web sites.The system first infers a model that describes at the intensional level the web site as acollection of classes; each class represents a set of structurally homogeneous pages; and itis associated with a small set of representative pages. Based on the model a library ofwrappers; one per class; is then inferred; with the help an external wrapper generator. Themodel; together with the library of wrappers; can thus be used to navigate the site andextract the data.,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,27
Core Schema Mappings: Scalable Core Computations in Data Exchange,Giansalvatore Mecca; Paolo Papotti; Salvatore Raunich,Abstract Research has investigated mappings among data sources under two perspectives.On the one side; there are studies of practical tools for schema mapping generation; thesefocus on algorithms to generate mappings based on visual specifications provided by users.On the other side; we have theoretical researches about data exchange. These study how togenerate a solution–ie; a target instance–given a set of mappings usually specified as tuplegenerating dependencies. Since the notion of a core solution has been formally identified asan optimal solution; it is very important to efficiently support core computations in mappingsystems. In this paper; we introduce several new algorithms that contribute to bridge the gapbetween the practice of mapping generation and the theory of data exchange. We showhow; given a mapping scenario; it is possible to generate an executable script that …,Information Systems,2012,22
Ulixes: Building relational views over the web,Paolo Atzeni; Alessandro Masci; Giansalvatore Mecca; Paolo Merialdo; Elena Tabet,We consider structured Web sites; those sites in which structures are so tight and regularthat we can assimilate the site; from the logical viewpoint; to a conventional database. Wehave argued that; with respect to structured Web servers; it is possible to apply ideas fromtraditional database techniques; specifically with respect to design; query; and update [2].Here we focus on the querying process; which consists in associating a scheme with aserver and then use this scheme to pose queries in a high level query language. Todescribe the scheme; we use a specific data model; called the ARANEUS Data Model(ADM). We say that ADM is a page oriented model; in the sense that the main construct ofthe model is that of page scheme; used to describe the structure of sets of homogeneouspages in the server. ADM schemes are then offered to the user; who can query them by …,icde,1997,18
The Spicy system: towards a notion of mapping quality,Angela Bonifati; Giansalvatore Mecca; Alessandro Pappalardo; Salvatore Raunich; Gianvito Summa,Abstract We introduce the Spicy system; a novel approach to the problem of automaticallyselecting the best mappings among two data sources. Known schema mapping algorithmsrely on value correspondences--ie correspondences among semantically related attributes--to produce complex transformations among data sources. Spicy brings together schemamatching and mapping generation tools to further automate this process. A key observation;here; is that the quality of the mappings is strongly influenced by the quality of the inputcorrespondences. To address this problem; Spicy adopts a three-layer architecture; in whicha schema matching module is used to provide input to a mapping generation module. Then;a third module; the mapping verification module; is used to check candidate mappings andchoose the ones that represent better transformations of the source into the target. At the …,Proceedings of the 2008 ACM SIGMOD international conference on Management of data,2008,17
That's all folks!: llunatic goes open source,Floris Geerts; Giansalvatore Mecca; Paolo Papotti; Donatello Santoro,Abstract It is widely recognized that whenever different data sources need to be integratedinto a single target database errors and inconsistencies may arise; so that there is a strongneed to apply data-cleaning techniques to repair the data. Despite this need; databaseresearch has so far investigated mappings and data repairing essentially in isolation.Unfortunately; schema-mappings and data quality rules interact with each other; so thatapplying existing algorithms in a pipelined way--ie; first exchange then data; then repair theresult--does not lead to solutions even in simple settings. We present the Llunatic mappingand cleaning system; the first comprehensive proposal to handle schema mappings anddata repairing in a uniform way. Llunatic is based on the intuition that transforming andcleaning data are different facets of the same problem; unified by their declarative nature …,Proceedings of the VLDB Endowment,2014,16
The LOGIDATA+ language and semantics,Paolo Atzeni; Luca Cabibbo; Giansalvatore Mecca; Letizia Tanca,Abstract A language for the LOGIDATA+ model is presented. The language is rule-basedand allows for the management of complex structures; classes; hierarchies and datafunctions. Negation is allowed in the body of rules. The semantics is based on a fixpointoperator and represents an extension of ordinary declarative-language semantics. The mainissue is the management of oid-invention; that is; the creation and manipulation of objectsbelonging to the classes of a scheme. In order to correctly deal with negation andmultivalued data functions; an extended notion of stratification is introduced.,*,1993,15
Discovery and correctness of schema mapping transformations,Angela Bonifati; Giansalvatore Mecca; Paolo Papotti; Yannis Velegrakis,Abstract Schema mapping is becoming pervasive in all data transformation; exchange; andintegration tasks. It brings to the surface the problem of differences and mismatches betweenheterogeneous formats and models; respectively; used in source and target databases to bemapped one to another. In this chapter; we start by describing the problem of schemamapping; its background; and technical implications. Then; we outline the early schemamapping systems; along with the new generation of schema mapping tools. Moving from theformer to the latter entailed a dramatic change in the performance of mapping generationalgorithms. Finally; we conclude the chapter by revisiting the query answering techniquesallowed by the mappings; and by discussing useful applications and future and currentdevelopments of schema mapping tools.,*,2011,14
Managing Web-based data-database models and transformations,Paolo Atzeni; Giansalvatore Mecca; Paolo Merialdo,The paper considers the Araneus data model which employs database techniques andwrappers to extract data from and generate Web sites. The project features a logical modelthat abstracts physical aspects of Web sites. Araneus provides high-level descriptions ofpages that let us both extract data from the Web and generate Web sites from databases.,IEEE Internet Computing,2002,14
IsaLog: A declarative language for complex objects with hierarchies,Paolo Atzeni; Luca Cabibbo; Giansalvatore Mecca,The IsaLog model and language are presented. The model has complex objects withclasses; relations; and is a hierarchies. The language is strongly types and declarative. Themain issue is the definition of the semantics of the language; given in three different waysthat are shown to be equivalent: a model-theoretic semantics; a reduction to logicprogramming with function symbols; and a fixpoint semantics. Each of the semanticspresents new aspects with respect to existing proposals because of the interaction of oid-invention with general is a hierarchies. The solutions are based on the explicit Skolemfunctors; which provide a powerful tool for manipulating object-identifiers.,Data Engineering; 1993. Proceedings. Ninth International Conference on,1993,13
Database challenges for exploratory computing,Marcello Buoncristiano; Giansalvatore Mecca; Elisa Quintarelli; Manuel Roveri; Donatello Santoro; Letizia Tanca,Helping users to make sense of very big datasets is nowadays considered an importantresearch topic. However; the tools that are available for data analysis purposes typicallyaddress professional data scientists; who; besides a deep knowledge of the domain ofinterest; master one or more of the following disciplines: mathematics; statistics; computerscience; computer engineering; and programming. On the contrary; in our vision it is vital tosupport also different kinds of users who; for various reasons; may want to analyze the dataand obtain new insight from them. Examples of these data enthusiasts [4; 9] are journalists;investors; or politicians: non-technical users who can draw great advantage from exploringthe data; achieving new and essential knowledge; instead of reading query results with tonsof records. The term data exploration generally refers to a data user being able to find her …,ACM SIGMOD Record,2015,12
What is the IQ of your Data Transformation System?,Giansalvatore Mecca; Paolo Papotti; Salvatore Raunich; Donatello Santoro,Abstract Mapping and translating data across different representations is a crucial problemin information systems. Many formalisms and tools are currently used for this purpose; to thepoint that developers typically face a difficult question:" what is the right tool for mytranslation task?" In this paper; we introduce several techniques that contribute to answerthis question. Among these; a fairly general definition of a data transformation system; a newand very efficient similarity measure to evaluate the outputs produced by such a system; anda metric to estimate user efforts. Based on these techniques; we are able to compare a widerange of systems on many translation tasks; to gain interesting insights about theireffectiveness; and; ultimately; about their" intelligence".,Proceedings of the 21st ACM international conference on Information and knowledge management,2012,12
Ontology-based mappings,Giansalvatore Mecca; Guillem Rull; Donatello Santoro; Ernest Teniente,Abstract Data translation consists of the task of moving data from a source database to atarget database. This task is usually performed by developing mappings; ie executabletransformations from the source to the target schema. However; a richer description of thetarget database semantics may be available in the form of an ontology. This is typicallydefined as a set of views over the base tables that provides a unified conceptual view of theunderlying data. We investigate how the mapping process changes when such a richconceptualization of the target database is available. We develop a translation algorithm thatautomatically rewrites a mapping from the source schema to the target ontology into anequivalent mapping from the source to the target databases. Then; we show how to handlethis problem when an ontology is available also for the source. Differently from previous …,Data & Knowledge Engineering,2015,11
Querying sequence databases with Transducers,Anthony J Bonner; Giansalvatore Mecca,Abstract. This paper develops a database query language called Transducer Datalogmotivated by the needs of a new and emerging class of database applications. In theseapplications; such as text databases and genome databases; the storage and manipulationof long character sequences is a crucial feature. The issues involved in managing this kindof data are not addressed by traditional database systems; either in theory or in practice. Toaddress these issues; we recently introduced a new machine model called a generalizedsequence transducer. These generalized transducers extend ordinary transducers byallowing them to invoke other transducers as “subroutines.” This paper establishes thecomputational properties of Transducer Datalog; a query language based on this newmachine model. In the process; we develop a hierarchy of time-complexity classes based …,Acta informatica,2000,11
Structures in the Web.,Paolo Atzeni; Alessandro Masci; Giansalvatore Mecca; Paolo Merialdo; Elena Tabet,Abstract. The paper discusses the issue of views in the Web context. We introduce a set oftools and languages for managing and restructuring data coming from the World Wide Web.We present a specific data model; called the Araneus Data Model; inspired to the structurestypically present in Web sites. The model allows us to describe the scheme of a Webhypertext; in the spirit of databases. Based on the data model; we develop the Araneus Viewlanguage; to support a sophisticate view definition process; the language has two maincomponents: the first; called Ulixes; is used to build database views of the Web; which canthen be analyzed and integrated using database techniques; the second; called Penelope;allows the definition of derived Web hypertexts from relational views. This can be used togenerate hypertextual views over the Web.,SEBD,1997,11
