Tail reconnection triggering substorm onset,Vassilis Angelopoulos; James P McFadden; Davin Larson; Charles W Carlson; Stephen B Mende; Harald Frey; Tai Phan; David G Sibeck; Karl-Heinz Glassmeier; Uli Auster; Eric Donovan; Ian R Mann; I Jonathan Rae; Christopher T Russell; Andrei Runov; Xu-Zhi Zhou; Larry Kepko,Magnetospheric substorms explosively release solar wind energy previously stored inEarth9s magnetotail; encompassing the entire magnetosphere and producing spectacularauroral displays. It has been unclear whether a substorm is triggered by a disruption of theelectrical current flowing across the near-Earth magnetotail; at∼ 10 RE (RE: Earth radius; or6374 kilometers); or by the process of magnetic reconnection typically seen farther out in themagnetotail; at∼ 20 to 30 R E. We report on simultaneous measurements in the magnetotailat multiple distances; at the time of substorm onset. Reconnection was observed at 20 RE; atleast 1.5 minutes before auroral intensification; at least 2 minutes before substormexpansion; and about 3 minutes before near-Earth current disruption. These resultsdemonstrate that substorms are likely initiated by tail reconnection.,Science,2008,370
Wavelet‐based ULF wave diagnosis of substorm expansion phase onset,Kyle R Murphy; I Jonathan Rae; Ian R Mann; David K Milling; Clare EJ Watt; Louis Ozeke; Harald U Frey; Vassilis Angelopoulos; Christopher T Russell,Abstract [1] Using a discrete wavelet transform with a Meyer wavelet basis; we present anew quantitative algorithm for determining the onset time of Pi1 and Pi2 ULF waves in thenightside ionosphere with∼ 20-to 40-s resolution at substorm expansion phase onset. Wevalidate the algorithm by comparing both the ULF wave onset time and location to the opticalonset determined by the Imager for Magnetopause-to-Aurora Global Exploration (IMAGE)–Far Ultraviolet Imager (FUV) instrument. In each of the six events analyzed; five substormonsets and one pseudobreakup; the ULF onset is observed prior to the global optical onsetobserved by IMAGE at a station closely conjugate to the optical onset. The observed ULFonset times expand both latitudinally and longitudinally away from an epicenter of ULF wavepower in the ionosphere. We further discuss the utility of the algorithm for diagnosing …,Journal of Geophysical Research: Space Physics,2009,40
Discovery of the action of a geophysical synchrotron in the Earth’s Van Allen radiation belts,Ian R Mann; EA Lee; SG Claudepierre; Joseph F Fennell; A Degeling; IJ Rae; DN Baker; GD Reeves; Harlan E Spence; LG Ozeke; R Rankin; David K Milling; A Kale; RHW Friedel; Farideh Honary,Abstract Although the Earth's Van Allen radiation belts were discovered over 50 years ago;the dominant processes responsible for relativistic electron acceleration; transport and lossremain poorly understood. Here we show evidence for the action of coherent accelerationdue to resonance with ultra-low frequency waves on a planetary scale. Data from theCRRES probe; and from the recently launched multi-satellite NASA Van Allen Probesmission; with supporting modelling; collectively show coherent ultra-low frequencyinteractions which high energy resolution data reveals are far more common than eitherpreviously thought or observed. The observed modulations and energy-dependent spatialstructure indicate a mode of action analogous to a geophysical synchrotron; this new modeof response represents a significant shift in known Van Allen radiation belt dynamics and …,Nature communications,2013,37
Optical characterization of the growth and spatial structure of a substorm onset arc,IJ Rae; Clare EJ Watt; IR Mann; KR Murphy; JC Samson; K Kabin; V Angelopoulos,Abstract [1] We present a detailed case study of the characteristics of auroral forms thatconstitute the first ionospheric signatures of substorm expansion phase onset. Analysis ofthe optical frequency and along-arc (azimuthal) wave number spectra provides the strongestconstraint to date on the potential mechanisms and instabilities in the near-Earthmagnetosphere that accompany auroral onset and which precede poleward arc expansionand auroral breakup. We evaluate the frequency and growth rates of the auroral forms as afunction of azimuthal wave number to determine whether these wave characteristics areconsistent with current models of the substorm onset mechanism. We find that the frequency;spatial scales; and growth rates of the auroral forms are most consistent with the cross-fieldcurrent instability or a ballooning instability; most likely triggered close to the inner edge …,Journal of Geophysical Research: Space Physics,2010,37
Ground‐based and Polar spacecraft observations of a giant (Pg) pulsation and its associated source mechanism,DM Wright; Tim K Yeoman; IJ Rae; J Storey; AB Stockton‐Chalk; JL Roeder; KJ Trattner,Abstract Multi-instrument observations of a Pg pulsation; which occurred on the morning ofMay 16; 1998; are reported. The wave signature was observed simultaneously on theground; by the International Monitor for Auroral Geomagnetic Effects (IMAGE) magnetometernetwork and in the ionosphere by the Doppler Pulsation Experiment (DOPE) high resolutionHF Doppler sounder. The wave occurred in the morning sector and possessed an azimuthalwave number; m; of 30±5 with a westward phase propagation. Shortly before the Pgcommenced; energetic particle instruments on board the Polar spacecraft detected protonswith a non-Maxwellian energy distribution drifting westward toward the location of IMAGEand DOPE. An investigation has been undertaken to determine whether these particles wereinvolved in the wave-particle interaction considered responsible for generating the Pg …,Journal of Geophysical Research: Space Physics,2001,35
Ionospheric localisation and expansion of long‐period Pi1 pulsations at substorm onset,David K Milling; I Jonathan Rae; Ian R Mann; Kyle R Murphy; Andy Kale; Christopher T Russell; Vassilis Angelopoulos; Stephen Mende,Abstract [1] We examine the initial ionospheric localisation and expansion of Pi1 pulsationsassociated with a substorm onset observed on 1st November 2006 with the combinedCARISMA and THEMIS GMAG network of ground-based magnetometers. We demonstratehow the first ionospheric pulsation disturbance lies in the long-period Pi1 band. The long-period Pi1 pulsations at substorm onset are initially localised in longitude; and expandsaway from an epicentre in the ionosphere; with∼ 16 s timing between stations. We furtherestablish a link between the location of the downward field-aligned current (FAC) elementwhich subsequently develops within the substorm current wedge (SCW); and the initiallocation of the onset of long-period Pi1 pulsations. The arrival of the initial long-period Pi1wavepacket demonstrates the importance of global networks of ground-based …,Geophysical Research Letters,2008,33
Open‐closed field line boundary position: A parametric study using an MHD model,K Kabin; R Rankin; G Rostoker; R Marchand; IJ Rae; AJ Ridley; TI Gombosi; CR Clauer; DL DeZeeuw,Abstract [1] In this paper we investigate the effect of changes in the interplanetary magneticfield (IMF); solar wind dynamic pressure; and dipole tilt angle on the position of theionospheric projection of the open-closed field line boundary (OCB) in amagnetohydrodynamic (MHD) model. We carry out a large number of steady state globalMHD simulations in order to parameterize the OCB as a function of the solar wind B y and Bz which we find to have the largest effect on the OCB location. We interpolate between thevalues produced by the simulations; which allows us to evaluate the location of the OCBprojection into the ionosphere for any values of∣ B y∣< 10 nT and∣ B z∣< 10 nT. It isfound that; particularly on the nightside; the OCB position is very sensitive to changes in thenorthward IMF component B z; but it is much less sensitive to changes in B z when it is …,Journal of Geophysical Research: Space Physics,2004,32
Ground‐based magnetometer determination of in situ Pc4–5 ULF electric field wave spectra as a function of solar wind speed,I Jonathan Rae; Ian R Mann; Kyle R Murphy; Louis G Ozeke; David K Milling; Anthony A Chan; Scot R Elkington; Farideh Honary,Abstract [1] We present a statistical characterization of ground-based ultra-low-frequency (∼1–15 mHz) magnetic wave power spectral densities (PSDs) as a function of latitude(corresponding to dipole L-shells from L∼ 2.5–8); local time; and solar wind speed. Weshow a clear latitudinal dependence on the PSD profiles; with PSDs increasingmonotonically from low-to auroral zone latitudes; where PSDs are peaked before decay inamplitude at higher latitudes. In general; ULF wave powers are highest on the nightside;followed by the local morning; noon; and finally dusk sectors; and are well-characterizedand well-ordered by solar wind speed at all MLTs spanning L∼ 2.5–8. A distinct peak inPSD in the 2–8 mHz frequency range above a background power law is evident at moststations studied in this paper; demonstrating a significant non power law like component …,Journal of Geophysical Research: Space Physics,2012,30
Equator‐S observations of drift mirror mode waves in the dawnside magnetosphere,I Jonathan Rae; Ian R Mann; Clare EJ Watt; Lynn M Kistler; Wolfgang Baumjohann,Abstract [1] The mirror mode is a plasma instability that is typically excited in high-betaplasmas where there is significant pressure anisotropy and is most commonly observed inthe magnetosheath. However; it is possible under sufficiently anisotropic conditions togenerate the mirror instability inside the magnetosphere; though as yet there are fewexamples. We present an extended interval of∼ 7 hours of mirror mode activity on 19 March1998 when the Equator-S spacecraft was traversing the dawnside magnetosphere abovethe equatorial plane at radial distances of up to L∼ 11 and encountered quasi-monochromatic∼ 2-min oscillations in magnetic field and ion number density; temperature;and velocity. The magnetic field strength and number densities were in antiphase; and theplasma and magnetic field pressure perturbations were also in antiphase while the …,Journal of Geophysical Research: Space Physics,2007,30
Ground-based observations of the auroral zone and polar cap ionospheric responses to dayside transient reconnection,JA Davies; TK Yeoman; IJ Rae; SE Milan; M Lester; Mike Lockwood; A McWilliams,Observations from the EISCAT VHF incoherent scatter radar system in northern Norway;during a run of the common programme CP-4; reveal a series of poleward-propagating F-region electron density enhancements in the pre-noon sector on 23 November 1999. Theseplasma density features; which are observed under conditions of a strongly southwardinterplanetary magnetic field; exhibit a recurrence rate of under 10 min and appear toemanate from the vicinity of the open/closed field-line boundary from where they travel intothe polar cap; this is suggestive of their being an ionospheric response to transientreconnection at the day-side magnetopause (flux transfer events). Simultaneous with thedensity structures detected by the VHF radar; poleward-moving radar auroral forms(PMRAFs) are observed by the Finland HF coherent scatter radar. It is thought that PM …,*,2002,29
Inertial Alfvén waves and acceleration of electrons in nonuniform magnetic fields,CEJ Watt; R Rankin; IJ Rae; DM Wright,Abstract [1] We present results from self-consistent simulations of the electron response toshear Alfvén pulses in the presence of non-uniform magnetic fields and the associatedmirror force. We discuss how energies of resonantly accelerated beam particles are affectedby the local phase velocity of the pulse; and show that time-of-flight models are inadequatefor describing electron acceleration since the acceleration can occur at more than onelocation along the field line as the pulse propagates toward the ionosphere. We alsodemonstrate that electron conics in low-altitude satellite observations of electronacceleration can be explained in terms of field-aligned inertial Alfvén wave pulses; withoutthe requirement of a static potential drop or a standing Alfvén wave structure.,Geophysical research letters,2006,27
Ground-based Pc5 ULF wave power: Solar wind speed and MLT dependence,DM Pahud; IJ Rae; IR Mann; KR Murphy; V Amalraj,Abstract Using over 20 years of ground-based magnetometer data from theCANOPUS/CARISMA magnetometer array; we present a statistical characterisation of Pc5ultra-low frequency (ULF) power in the 2–10 mHz band as a function of magnetic local time(MLT); L-shell; and solar wind speed. We examine the power across L-shells between 4.2and 7.9; using data from the PINA; ISLL; GILL and FCHU stations; and demonstrate thatthere is a significant MLT dependence in both the H-and D-component median 2–10 mHzpower during both fast (> 500 km/s) and slow (< 500 km/s) solar wind speeds. The H-component power consistently dominates over D-component power at all MLTs and duringboth fast and slow solar wind. At the higher-L stations (L> 5.4); there are strong MLT powerpeaks in the morning and midnight local time sectors; the morning sector dominating …,Journal of Atmospheric and Solar-Terrestrial Physics,2009,26
The detailed spatial structure of field‐aligned currents comprising the substorm current wedge,Kyle R Murphy; Ian R Mann; I Jonathan Rae; Colin L Waters; Harald U Frey; Andy Kale; Howard J Singer; Brian J Anderson; Haje Korth,Abstract [1] We present a comprehensive two-dimensional view of the field-aligned currents(FACs) during the late growth and expansion phases for three isolated substorms utilizing insitu observations from the Active Magnetosphere and Planetary Electrodynamics ResponseExperiment and from ground-based magnetometer and optical instrumentation from theCanadian Array for Realtime Investigations of Magnetic Activity and Time History of Eventsand Macroscale Interactions during Substorms ground-based arrays. We demonstrate thatthe structure of FACs formed during the expansion phase and associated with the substormcurrent wedge is significantly more complex than a simple equivalent line current modelcomprising a downward FAC in the east and upward FAC in the west. This two-dimensionalview demonstrates that azimuthal bands of upward and downward FACs with periodic …,Journal of Geophysical Research: Space Physics,2013,25
Mapping guided Alfvén wave magnetic field amplitudes observed on the ground to equatorial electric field amplitudes in space,LG Ozeke; IR Mann; IJ Rae,Abstract [1] A technique for converting the magnetic field amplitudes of guided toroidal andguided poloidal waves observed on the ground into the equatorial electric field amplitudesof the waves in space is presented. Analytic solutions of the guided toroidal and guidedpoloidal Alfvén wave equations are used to determine the ratio of the equatorial electric fieldamplitude to the ionospheric magnetic amplitude; E eq/b i. Using these solutions; we showthat in general E eq/bi only depends very weakly on the Pedersen conductance; Σ P; and islinearly proportional to the guided Alfvén waves' frequency. We also present numericalsolutions of the guided Alfvén wave equations illustrating how the value of E eq/bi varies asa function of L shell for a range of different realistic field-aligned plasma density profiles.These results can be used to determine the equatorial wave electric field amplitude; E eq …,Journal of Geophysical Research: Space Physics,2009,25
Modeling ULF waves in a compressed dipole magnetic field,AW Degeling; R Rankin; K Kabin; IJ Rae; FR Fenrich,Abstract [1] This paper presents the results of a linear model for global scale magneto-hydrodynamic (MHD) waves in a compressed dipole model magnetosphere. We examinescenarios where a localized monochromatic source along the magnetopause boundarylaunches MHD fast mode ultralow frequency (ULF) waves into the magnetosphere; wherethey couple to shear Alfvén waves. Sharply peaked field line resonance (FLR) structures arefound to form at discrete locations within the magnetosphere in response to the fast modedriver. The extent in local time and relative amplitudes of FLR structures are found to dependstrongly on the source location along the magnetopause boundary; indicating how theaddition of day/night asymmetry affects the penetration of MHD fast waves within themagnetosphere. This also suggests that observed FLR structures within the …,Journal of Geophysical Research: Space Physics,2010,24
Energy deposition in the ionosphere through a global field line resonance,IJ Rae; CEJ Watt; FR Fenrich; IR Mann; LG Ozeke; A Kale,We present an interval whereby we can estimate the energy dissipation in the ionospherethrough an externally-driven field line resonance. In this paper; we utilise an intervaldescribed in general by Rae et al.(2005); where the global magnetospheric cavity wasshown to be energised via a high solar wind speed stream. Using the ground-basedinstrumentation available; we estimate the spatial extent of the generated pulsations to be atleast 10° in latitude and 65° in longitude; a sizeable fraction of the dusk-sector ionosphere.Using a fortuitous conjunction with the Polar spacecraft; we compare point measurements ofthe net downward Poynting vector to the estimated Joule heating rate in the ionosphere; andfind that model values of the Pedersen conductance are reasonable. In the interval ofinterest; we estimate the total dissipation rate during a global field line resonance to be …,Annales Geophysicae,2008,23
Comparison of the open‐closed separatrix in a global magnetospheric simulation with observations: The role of the ring current,IJ Rae; K Kabin; JY Lu; R Rankin; SE Milan; FR Fenrich; Clare EJ Watt; J‐C Zhang; AJ Ridley; TI Gombosi; CR Clauer; G Tóth; DL DeZeeuw,Abstract [1] The development of global magnetospheric models; such as Space WeatherModeling Framework (SWMF); which can accurately reproduce and track space weatherprocesses has high practical utility. We present an interval on 5 June 1998; where thelocation of the polar cap boundary; or open-closed field line boundary (OCB); can bedetermined in the ionosphere using a combination of instruments during a periodencompassing a sharp northward to southward interplanetary field turning. We present bothpoint-and time-varying comparisons of the observed and simulated boundaries in theionosphere and find that when using solely the coupled ideal magnetohydrodynamicmagnetosphere-ionosphere model; the rate of change of the OCB to a southward turning ofthe interplanetary field is significantly faster than that computed from the observational …,Journal of Geophysical Research: Space Physics,2010,22
Timing and localization of near‐Earth tail and ionospheric signatures during a substorm onset,C Gabrielse; V Angelopoulos; A Runov; HU Frey; J McFadden; DE Larson; K‐H Glassmeier; S Mende; CT Russell; S Apatenkov; KR Murphy; IJ Rae,Abstract [1] On 16 February 2008; the THEMIS spacecraft (probes) bracketed the near-Earthsignatures of a substorm onset as identified in the THEMIS ground-based observatoriesmeasuring an AE TH index up to 180 nT. The main onset was associated with the formationand tailward release of a plasmoid (a proto-plasmoid) at X GSM=− 18.3 RE and adipolarization in the inner part of the plasma sheet at X GSM=− 11.0 R E. The time historyand geometry of the event in the tail are consistent with magnetic reconnection as the causeof the substorm expansion onset process. Two activations of the plasma sheet; evidenced bytailward streaming of energetic ions and southward or bipolar signatures of the magneticfield; preceded the main substorm. The first activation was associated with an intensificationof a high-latitude arc; while the second was associated with the onset of ULF pulsations at …,Journal of Geophysical Research: Space Physics,2009,21
Magnetospheric field‐line resonances: Ground‐based observations and modeling,R Rankin; K Kabin; JY Lu; IR Mann; R Marchand; IJ Rae; VT Tikhonchuk; EF Donovan,Abstract [1] We present theory and ground-based observations of field-line resonances(FLRs) excited in Earth's magnetosphere. Three FLR observations are reported; whichcorrespond to large-scale standing shear Alfvén wave (SAW) oscillations on nightside fieldlines extending from premidnight to close to dawn. The eigenfrequencies for these eventsare modeled using a nonorthogonal covariant-contravariant analysis of the idealmagnetohydrodynamic (MHD) equations. This allows us to use a general field-line topology;an example of which is computed using the Tsyganenko 1996 magnetic field model. Weshow that field-line stretching; along with assumptions regarding the distribution of densityalong field lines; is sufficient to explain the observed FLR frequencies. Then; we considerdispersive effects operating at the level of the electron inertial scale near the ionosphere …,Journal of Geophysical Research: Space Physics,2005,20
Explaining the dynamics of the ultra-relativistic third Van Allen radiation belt,Ian R Mann; LG Ozeke; Kyle R Murphy; SG Claudepierre; DL Turner; DN Baker; IJ Rae; A Kale; DK Milling; AJ Boyd; HE Spence; Geoffrey D Reeves; HJ Singer; S Dimitrakoudis; IA Daglis; Farideh Honary,Abstract Since the discovery of the Van Allen radiation belts over 50 years ago; anexplanation for their complete dynamics has remained elusive. Especially challenging isunderstanding the recently discovered ultra-relativistic third electron radiation belt. Currenttheory asserts that loss in the heart of the outer belt; essential to the formation of the thirdbelt; must be controlled by high-frequency plasma wave–particle scattering into theatmosphere; via whistler mode chorus; plasmaspheric hiss; or electromagnetic ion cyclotronwaves. However; this has failed to accurately reproduce the third belt. Using a data-driven;time-dependent specification of ultra-low-frequency (ULF) waves we show for the first timehow the third radiation belt is established as a simple; elegant consequence of storm-timeextremely fast outward ULF wave transport. High-frequency wave–particle scattering loss …,Nature Physics,2016,19
Effects of substorm dynamics on magnetic signatures of the ionospheric Alfvén resonator,Adrienne Parent; Ian R Mann; I Jonathan Rae,Abstract [1] Spectral resonance structures (SRS) of the ionospheric Alfvén resonator (IAR)measured by the induction magnetometer at the High Frequency Active Auroral ResearchProgram (HAARP) ionospheric observatory during a substorm on 28 February 2006 arepresented. The evolution of IAR SRS is compared to ionospheric parameters measured bythe colocated Digisonde; riometer and all-sky imager at HAARP. Initially; the magnetic IARsignatures (spectral resonance structures) exhibited an expected variation that can beattributed to typical diurnal changes in ionospheric structure. At substorm onset; thesignatures disappeared because of either a suppression of resonance conditions bysubstorm-related particle precipitation or enhanced power in the Pc1 spectrum thatconcealed continuing IAR SRS. After the substorm; the SRS reappeared; however the …,Journal of Geophysical Research: Space Physics,2010,19
