The researcher’s guide to the data deluge: Querying a scientific database in just a few seconds,Martin L Kersten; Stratos Idreos; Stefan Manegold; Erietta Liarou,ABSTRACT There is a clear need for interactive exploration of extremely large databases;especially in the area of scientific data management where ingestion of multiple Terabyteson a daily basis is foreseen. Unfortunately; current data management technology is not well-suited for such overwhelming demands. In light of these challenges; we should rethink someof the strict requirements database systems adopted in the past. We envision that nextgeneration database systems should interpret queries by their intent; rather than as acontract carved in stone for complete and correct answers. The result set should aid the userin understanding the database's content and provide guidance to continue the dataexploration journey. A scientist can stepwise explore deeper and deeper into the database;and stop when the result content and quality reaches his satisfaction point. At the same …,PVLDB Challenges and Visions,2011,85
Semantic grid resource discovery in Atlas,Zoi Kaoudi; Iris Miliaraki; Matoula Magiridou; Erietta Liarou; Stratos Idreos; Manolis Koubarakis,Abstract We study the problem of resource discovery in the Semantic Grid. We show how tosolve this problem by utilizing Atlas; a P2P system for the distributed storage and retrieval ofRDF (S) data. Atlas is currently under development in project OntoGrid funded by FP6. Atlasis built on top of the distributed hash table Bamboo and supports pull and push queryingscenarios. It inherits all the nice features of Bamboo (openness; scalability; fault-tolerance;resistance to high churn rates) and extends Bamboo's protocols for storing and queryingRDF (S) data. Atlas is being used currently to realize the metadata service of S-OGSA in afully distributed and scalable way. In this paper; we concentrate on the main features of Atlasand demonstrate its use for Semantic Grid resource discovery in an OntoGrid use casescenario.,*,2007,12
Dynamic fine-grained scheduling for energy-efficient main-memory queries,Iraklis Psaroudakis; Thomas Kissinger; Danica Porobic; Thomas Ilsche; Erietta Liarou; Pınar Tözün; Anastasia Ailamaki; Wolfgang Lehner,Abstract Power and cooling costs are some of the highest costs in data centers today; whichmake improvement in energy efficiency crucial. Energy efficiency is also a major designpoint for chips that power whole ranges of computing devices. One important goal in thisarea is energy proportionality; arguing that the system's power consumption should beproportional to its performance. Currently; a major trend among server processors; whichstems from the design of chips for mobile devices; is the inclusion of advanced powermanagement techniques; such as dynamic voltage-frequency scaling; clock gating; andturbo modes. A lot of recent work on energy efficiency of database management systems isfocused on coarse-grained power management at the granularity of multiple machines andwhole queries. These techniques; however; cannot efficiently adapt to the frequently …,Proceedings of the Tenth International Workshop on Data Management on New Hardware,2014,11
dbTouch in action database kernels for touch-based data exploration,Erietta Liarou; Stratos Idreos,A fundamental need in the era of data deluge is data exploration through interactive tools; ie;being able to quickly determine data and patterns of interest. dbTouch is a new researchdirection towards a next generation of data management systems that inherently supportdata exploration by allowing touch-based interaction. Data is represented in a visual format;while users can touch those shapes and interact/query with gestures. In a dbTouch system;the whole database kernel is geared towards quick responses in touch input; the user drivesquery processing (not just query construction) via touch gestures; dictating how fast or slowdata flows through query plans and which data parts are processed at any time. dbTouchtranslates the gestures into interactive database operators; reacting continuously to thetouch input and analytics tasks given by the user in real-time such as sliding a finger over …,Data Engineering (ICDE); 2014 IEEE 30th International Conference on,2014,9
DiNoDB: Efficient large-scale raw data analytics,Yongchao Tian; Ioannis Alagiannis; Erietta Liarou; Anastasia Ailamaki; Pietro Michiardi; Marko Vukolić,Abstract Modern big data workflows; found in eg; machine learning use cases; often involveiterations of cycles of batch analytics and interactive analytics on temporary data. Whereasbatch analytics solutions for large volumes of raw data are well established (eg; Hadoop;MapReduce); state-of-the-art interactive analytics solutions (eg; distributed shared nothingRDBMSs) require data loading and/or transformation phase; which is inherently expensivefor temporary data. In this paper; we propose a novel scalable distributed solution for in-situdata analytics; that offers both scalable batch and interactive data analytics on raw data;hence avoiding the loading phase bottleneck of RDBMSs. Our system combines aMapReduce based platform with the recently proposed NoDB paradigm; which optimizestraditional centralized RDBMSs for in-situ queries of raw files. We revisit the NoDB's …,Proceedings of the First International Workshop on Bringing the Value of Big Data to Users (Data4U 2014),2014,8
DataCell: Building a Data Stream Engine on top of a Relational Database Kernel.,Erietta Liarou; Martin L Kersten,ABSTRACT Stream applications gained significant popularity in recent years; which lead tothe development of specialized datastream engines. They often have been designed fromscratch and are tuned towards the specific requirements posed by their initial targetapplications; eg; network monitoring and financial services. However; this also meant thatthey lack the power and sophisticated techniques of a full fledged database systemaccumulated over many years of database research. In this PhD work; we take the oppositeroute and design a stream engine; the DataCell; directly on top of a modern databasekernel. To achieve this objective; we isolated the necessary and sufficient mechanism tosupport continuous query processing in a relational database environment. This led to alightweight and orthogonal extension of SQL with a direct hook into the sophisticated …,VLDB PhD Workshop,2009,7
How to stop under-utilization and love multicores,Anastasia Ailamaki; Erietta Liarou; Pınar Tözün; Danica Porobic; Iraklis Psaroudakis,Hardware trends oblige software to overcome three major challenges against systemsscalability:(1) taking advantage of the implicit/vertical parallelism within a core that isenabled through the aggressive micro-architectural features;(2) exploiting theexplicit/horizontal parallelism provided by multicores; and (3) achieving predictively efficientexecution despite the variability in communication latencies among cores on multisocketmulticores. In this three hour tutorial; we shed light on the above three challenges andsurvey recent proposals to alleviate them. The first part of the tutorial describes theinstruction-and data-level parallelism opportunities in a core coming from the hardware andsoftware side. In addition; it examines the sources of under-utilization in a modern processorand presents insights and hardware/software techniques to better exploit the micro …,Data Engineering (ICDE); 2015 IEEE 31st International Conference on,2015,6
Specification and Design of Ontology Services and Semantic Grid Services on top of Self-organized P2P Networks,Zoi Kaoudi; Iris Miliaraki; Spiros Skiadopoulos; Matoula Magiridou; Erietta Liarou; Stratos Idreos; Manolis Koubarakis,*,Deliverable D4,2005,6
Benchmarking RDF storage engines,Ying Zhang; M Pham; FE Groffen; Erietta Liarou; PA Boncz; ML Kersten; Jean-Paul Calbimonte; Oscar Corcho,htmlabstractIn this deliverable; we present version V1. 0 of SRBench; the first benchmark forStreaming RDF engines; designed in the context of Task 1.4 of PlanetData; completelybased on real-world datasets. With the increasing problem of too much streaming data butnot enough knowledge; researchers have set out for solutions in which Semantic Webtechnologies are adapted and extended for the publishing; sharing; analysing andunderstanding of such data. Various approaches are emerging. To help researchers andusers to compare streaming RDF engines in a standardised application scenario; wepropose SRBench; with which one can assess the abilities of a streaming RDF engine tocope with a broad range of use cases typically encountered in real-world scenarios. We offera set of queries that cover the major aspects of streaming RDF engines; ranging from …,PlanetData Deliverables,2012,5
DiNoDB: An Interactive-Speed Query Engine for Ad-Hoc Queries on Temporary Data,Yongchao Tian; Ioannis Alagiannis; Erietta Liarou; Anastasia Ailamaki; Pietro Michiardi; Marko Vukolić,As data sets grow in size; analytics applications struggle to get instant insight into largedatasets. Modern applications involve heavy batch processing jobs over large volumes ofdata and at the same time require efficient ad-hoc interactive analytics on temporary data.Existing solutions; however; typically focus on one of these two aspects; largely ignoring theneed for synergy between the two. Consequently; interactive queries need to re-iteratecostly passes through the entire dataset (eg; data loading) that may provide meaningfulreturn on investment only when data is queried over a long period of time. In this paper; wepropose DiNoDB; an interactive-speed query engine for ad-hoc queries on temporary data.DiNoDB avoids the expensive loading and transformation phase that characterizes bothtraditional RDBMSs and current interactive analytics solutions. It is tailored to modern …,IEEE Transactions on Big Data,2017,1
MonetDB/DataCell: leveraging the column-store database technology for efficient and scalable stream processing,Erietta Liarou,Knowledge is a concept that the ancient philosophers studied more than 2000 years ago.Plato and Aristotle; already in 400 BC; tried to understand and define what is knowledge andhow it is created and acquired. In the Theory of Ideas (or Forms); Plato argues that theknowledge is already created and given to us from a universal metaphysical level. In thisway; he claims that we learn in this life by remembering and trying to imitate the principlesthat our soul already encloses from the world of Ideas. On the other hand; Aristotle; the mostimportant student of Plato for twenty years; supported that the observation and the study ofparticular phenomena will lead us to the real knowledge. Over the years; the definition ofknowledge constituted an ongoing debate among philosophers and the triptych of the truejustified belief has been challenged by modern epistemologists several times (Gettier …,*,2013,1
DataCell: Exploiting the Power of Relational Databases for Efficient Stream Processing,Erietta Liarou; Martin L Kersten,htmlabstractDesigned for complex event processing; DataCell is a research prototypedatabase system in the area of sensor stream systems. Under development at CWI; itbelongs to the MonetDB database system family. CWI researchers innovatively built astream engine directly on top of a database kernel; thus exploiting and mergingtechnologies from the stream world and the rich area of database literature. The results arevery promising.,ERCIM News,2009,1
A hybrid peer-to-peer system with a schema based routing strategy,Erietta Liarou,Abstract During the last years; the area of peer-to-peer systems has attracted much interestin the research community. Peer-to-peer technology has become popular mainly through filesharing applications such as Napster; Gnutella and KazaA. At the same time; the amount ofavailable information on the Web is growing; so its organization in a semantic way becomesimperative. The combination of Semantic Web and peer-to-peer technologies will probablyprovide accurate data retrieval and efficient search. For peer-to-peer environments;metadata are absolutely crucial in order to describe the resources managed by the peers.Schemabased peer-to-peer networks have a number of important advantages over previoussimpler peer-to-peer networks. This dissertation presents the design and development of aschema-based hybrid peer-to-peer file sharing application. Our system supports the …,*,2004,1
Databases on Modern Hardware: How to Stop Underutilization and Love Multicores,Anastasia Ailamaki; Erietta Liarou; Pınar Tözün; Danica Porobic; Iraklis Psaroudakis,Abstract Data management systems enable various influential applications from high-performance online services (eg; social networks like Twitter and Facebook or financialmarkets) to big data analytics (eg; scientific exploration; sensor networks; businessintelligence). As a result; data management systems have been one of the main drivers forinnovations in the database and computer architecture communities for several decades.Recent hardware trends require software to take advantage of the abundant parallelismexisting in modern and future hardware. The traditional design of the data managementsystems; however; faces inherent scalability problems due to its tightly coupled components.In addition; it cannot exploit the full capability of the aggressive micro-architectural featuresof modern processors. As a result; today's most commonly used server types remain …,Synthesis Lectures on Data Management,2017,*
MonetDB Jun2016 feature release,ML Kersten; PA Boncz; NJ Nes; S Manegold; KS Mullender; JA deRijke; Y Zhang; M Pham; LHA Scheers; E Petraki; THJ Sellam; Y Kargin; MM Gawade; HF Mühleisen; K Kyzirakos; DG Nedev; CP Cijvat; F Alvanaki; M vanDinther; E Sidirourgos; RA Koopmanschap; M Raasveldt; P Koutsourakis; TR Döhmen; BB Kruit; A Wits; PE Ferreira; SG Stalinov,KNAW Narcis. Back to search results. Publication MonetDB Jun2016 feature release (2016).Pagina-navigatie: Main. Save publication: Save as MODS; Export to Mendeley; Save as EndNote;Export to RefWorks. Title; MonetDB Jun2016 feature release. Author; ML Kersten (Martin); PA Boncz(Peter); NJ Nes (Niels); S. Manegold (Stefan); KS Mullender (Sjoerd); JA de Rijke (Arjen); Y. Zhang(Ying); M.-D. Pham (Minh-Duc); LHA Scheers (Bart); E. Petraki (Eleni); THJ Sellam (Thibault); Y.Kargin (Yagiz); MM Gawade (Mrunal); HF Mühleisen (Hannes); K. Kyzirakos (Konstantinos); DGNedev (Dimitar); CP Cijvat (Robin); F. Alvanaki (Foteini); M. van Dinther (Martin); E. Sidirourgos(Eleftherios); RA Koopmanschap (Richard); M. Raasveldt (Mark); P. Koutsourakis (Panagiotis);TR Döhmen (Till); BB Kruit (Benno); A. Wits (Abe); PE Silva Ferreira (Pedro); SG Stalinov (Svetlin).Supporting host; Database Architectures. Date; 2016 …,*,2016,*
MonetDB Jul2015-SP3 bigfix release,ML Kersten; PA Boncz; NJ Nes; Stefan Manegold; KS Mullender; JA deRijke; Ying Zhang; M Pham; LHA Scheers; Eleni Petraki; THJ Sellam; Yagiz Kargin; MM Gawade; HF Mühleisen; Konstantinos Kyzirakos; DG Nedev; CP Cijvat; Foteini Alvanaki; M vanDinther; Eleftherios Sidirourgos; RA Koopmanschap; Mark Raasveldt; Panagiotis Koutsourakis; TR Döhmen; BB Kruit; Abe Wits,KNAW Narcis. Back to search results. Publication MonetDBJul2015-SP3 bigfix release (2016). Pagina-navigatie: Main …,*,2016,*
MonetDB Feb2013-SP1 bugfix release,ML Kersten; PA Boncz; NJ Nes; S Manegold; KS Mullender; FE Groffen; JA deRijke; Y Zhang; S Idreos; RA Goncalves; E Sidirourgos; H Pirk; M Pham; LHA Scheers; E Petraki; THJ Sellam; Y Kargin; MM Gawade; HF Mühleisen,KNAW Narcis. Back to search results. Publication MonetDB Feb2013-SP1 bugfix release (2013).Pagina-navigatie: Main. Save publication: Save as MODS; Export to Mendeley; Save as EndNote;Export to RefWorks. Title; MonetDB Feb2013-SP1 bugfix release. Author; ML Kersten (Martin);PA Boncz (Peter); NJ Nes (Niels); S. Manegold (Stefan); KS Mullender (Sjoerd); FE Groffen(Fabian); JA de Rijke (Arjen); Y. Zhang (Ying); S. Idreos (Stratos); RA Goncalves (Romulo); E.Sidirourgos (Eleftherios); H. Pirk (Holger); M.-D. Pham (Minh-Duc); LHA Scheers (Bart); E. Petraki(Eleni); THJ Sellam (Thibault); Y. Kargin (Yagiz); MM Gawade (Mrunal); HF Mühleisen (Hannes).Supporting host; Database Architectures; Database Architectures. Date; 2013-03-01. Language;English. Type; Other. Publication; https://ir.cwi.nl/pub/21316. Persistent Identifier;urn:NBN:nl:ui:18-21316. Metadata; XML. Source; CWI …,*,2013,*
CWI bouwt applicatie analyse datastromen-Computable,E Liarou,KNAW Narcis. Back to search results. Publication CWI bouwt applicatie analysedatastromen - Computable (2013). Pagina-navigatie: Main …,*,2013,*
CWI bouwt applicatie voor analyse datastromen,E Liarou; S Manegold; ML Kersten,KNAW Narcis. Back to search results. Publication CWI bouwt applicatie vooranalyse datastromen (2013). . Pagina-navigatie: Main …,*,2013,*
Thema Film 15: MonetDB/DataCell demo,E Liarou,KNAW Narcis. Back to search results. Publication Thema Film 15:MonetDB/DataCell demo (2013). . Pagina-navigatie: Main …,*,2013,*
SOURCE (OR PART OF THE FOLLOWING SOURCE): Type PhD thesis Title MonetDB/DataCell: leveraging the column-store database technology for efficient and s...,E Liarou,*,*,2013,*
MonetDB Dec2011 feature release,ML Kersten; PA Boncz; NJ Nes; S Manegold; KS Mullender; FE Groffen; JA deRijke; Y Zhang; MG Ivanova; S Idreos; RA Goncalves; E Sidirourgos; E Liarou; H Pirk; M Pham; LHA Scheers; E Petraki; THJ Sellam; Y Kargin; MM Gawade; VV Meduri,KNAW Narcis. Back to search results. Publication MonetDB Dec2011 feature release (2012).Pagina-navigatie: Main. Save publication: Save as MODS; Export to Mendeley; Save as EndNote;Export to RefWorks. Title; MonetDB Dec2011 feature release. Author; ML Kersten (Martin); PABoncz (Peter); NJ Nes (Niels); S. Manegold (Stefan); KS Mullender (Sjoerd); FE Groffen (Fabian);JA de Rijke (Arjen); Y. Zhang (Ying); MG Ivanova (Milena); S. Idreos (Stratos); RA Goncalves(Romulo); E. Sidirourgos (Eleftherios); E. Liarou (Erietta); H. Pirk (Holger); M.-D. Pham(Minh-Duc); LHA Scheers (Bart); E. Petraki (Eleni); THJ Sellam (Thibault); Y. Kargin (Yagiz); MMGawade (Mrunal); VV Meduri (Vamsi). Supporting host; Database Architectures; name unknown.Date; 2012-01-01. Language; English. Type; Other. Publication; https://ir.cwi.nl/pub/19382.Persistent Identifier; urn:NBN:nl:ui:18-19382. Metadata; XML. Source; CWI …,*,2012,*
Too Many Links in the Horizon; What is Next? Linked Views and Linked History.,Erietta Liarou; Stratos Idreos,Abstract. The trend for more online linked data becomes stronger. Foreseeing a future where“everything” will be online and linked; we ask the critical question; what is next? We envisionthat managing; querying and storying large amounts of links and data is far from yet anotherquery processing task. We highlight two distinct and promising research directions towardsmanaging and making sense of linked data. We introduce linked views to help focusing onspecific link and data instances and linked history to help observe how links and datachange over time.,*,2011,*
A stream data model and query language for continuous/stream queries over EO image files and databases,Milena Ivanova; Martin Kersten; Stefan Manegold; Holger Pirk; Erietta Liarou; Romulo Goncalves; Stratos Idreos,Executive Summary In the TELEIOS project; in particular NOA's real-time fire monitoring usecase (work-package 7) requires continuous query processing functionality similar to thatknown from event stream processing of publish/-subscribe scenarios. As opposed to ad-hocquery processing; where one-time queries are evaluated against a stable data base;continuous query processing features long-running queries that are continuously evaluatedagainst ever new arriving data. In general; stream applications gained significant popularityover the last years that lead to the development of specialized stream engines. Thesesystems are designed from scratch with a different philosophy than nowadays databaseengines in order to cope with the stream applications requirements. However; this meansthat they lack the power and sophisticated techniques of a full fledged database system …,*,2011,*
MonetDB Aug2011-SP1 bugfix release,ML Kersten; PA Boncz; NJ Nes; S Manegold; KS Mullender; FE Groffen; JA deRijke; Y Zhang; MG Ivanova; S Idreos; RA Goncalves; E Sidirourgos; E Liarou; H Pirk; M Pham; LHA Scheers; E Petraki,KNAW Narcis. Back to search results. Publication MonetDB Aug2011-SP1 bugfix release (2011).Pagina-navigatie: Main. Save publication: Save as MODS; Export to Mendeley; Save as EndNote;Export to RefWorks. Title; MonetDB Aug2011-SP1 bugfix release. Author; ML Kersten (Martin);PA Boncz (Peter); NJ Nes (Niels); S. Manegold (Stefan); KS Mullender (Sjoerd); FE Groffen(Fabian); JA de Rijke (Arjen); Y. Zhang (Ying); MG Ivanova (Milena); S. Idreos (Stratos); RAGoncalves (Romulo); E. Sidirourgos (Eleftherios); E. Liarou (Erietta); H. Pirk (Holger); M.-D. Pham(Minh-Duc); LHA Scheers (Bart); E. Petraki (Eleni). Supporting host; Database Architectures;name unknown. Date; 2011-09-01. Language; English. Type; Other. Publication;https://ir.cwi.nl/pub/19379. Persistent Identifier; urn:NBN:nl:ui:18-19379. Metadata; XML. Source;CWI. Go to Website Navigation: Home; about narcis; login; Nederlands. contact …,*,2011,*
MonetDB Apr2011-SP1 bugfix release,ML Kersten; PA Boncz; NJ Nes; S Manegold; KS Mullender; FE Groffen; JA deRijke; Y Zhang; MG Ivanova; S Idreos; RA Goncalves; E Sidirourgos; E Liarou; H Pirk; M Pham; LHA Scheers; E Petraki,KNAW Narcis. Back to search results. Publication MonetDB Apr2011-SP1 bugfix release (2011).Pagina-navigatie: Main. Save publication: Save as MODS; Export to Mendeley; Save as EndNote;Export to RefWorks. Title; MonetDB Apr2011-SP1 bugfix release. Author; ML Kersten (Martin);PA Boncz (Peter); NJ Nes (Niels); S. Manegold (Stefan); KS Mullender (Sjoerd); FE Groffen(Fabian); JA de Rijke (Arjen); Y. Zhang (Ying); MG Ivanova (Milena); S. Idreos (Stratos); RAGoncalves (Romulo); E. Sidirourgos (Eleftherios); E. Liarou (Erietta); H. Pirk (Holger); M.-D. Pham(Minh-Duc); LHA Scheers (Bart); E. Petraki (Eleni). Supporting host; Database Architectures;name unknown. Date; 2011-05-01. Language; English. Type; Other. Publication;https://ir.cwi.nl/pub/19376. Persistent Identifier; urn:NBN:nl:ui:18-19376. Metadata; XML. Source;CWI. Go to Website Navigation: Home; about narcis; login; Nederlands. contact …,*,2011,*
Distributed Evaluation of RDF Conjunctive Queries over Distributed Hash Tables,Erietta Liarou,During the last few years; the amount of available information (or services) around us; andespecially on the Internet; is increasing in a very high rate. At the same time; more and morepeople/programs try to have access to this information; services; interesting data etc.Handling this information efficiently becomes more and more challenging and beyond thecapabilities of the classic client-server approach. This has led the research communitytowards solutions that try to distribute processing load among nodes of the networkattempting to exploit available resources. Notable examples of such research is work beingdone in the context of peer-to-peer systems; peer-to-peer data bases and Grid computing.P2P databases have become a hot topic among the database community. A definition thatcan cover a large part of current research is that in P2P databases; large overlay …,*,2006,*
MonetDB,ML Kersten; PA Boncz; NJ Nes; S Manegold; KS Mullender; FE Groffen; MG Ivanova; Y Zhang; RA Goncalves; E Sidirourgos; E Liarou; S Idreos; JA deRijke; AP deVries; W Alink; R Cornacchia; JFP van deAkker; AR vanBallegooij; CA van deBerg; JR Castelo; J Flokstra; CA Galindo-Legaria; T Grust; S Héman; D Hiemstra; T Ianeva; JS Karlsson; M vanKeulen; S deKonink; JA List; N Mamoulis; GJ Molenaar; G Modena; S Göldner; AJ Pellenkoft; HGP Bosch; W Quak; G Ramirez Camps; J Rittinger; H Rode; W Scherphof; AR Schmidt; N Tang; J Teubner; C Treijtel; T Tsikrika; F Waas; THW Westerveld; MA Windhouwer; M Zukowski; A Gafriller; A Singh; A Scherpenisse; B Brodbeck; G deNijs; M Mayr; M Antonelli; M vanDinther; R Aly; R vanOs; S Mayer; S Kerschbaumer; T Ressel; T Schreiber,KNAW Narcis. Back to search results. Publication MonetDB (2005). Pagina-navigatie: Main. Savepublication: Save as MODS; Export to Mendeley; Save as EndNote; Export to RefWorks. Title;MonetDB. Author; ML Kersten (Martin); PA Boncz (Peter); NJ Nes (Niels); S. Manegold (Stefan);KS Mullender (Sjoerd); FE Groffen (Fabian); MG Ivanova (Milena); Y. Zhang (Ying); RA Goncalves(Romulo); E. Sidirourgos (Eleftherios); E. Liarou (Erietta); S. Idreos (Stratos); JA de Rijke (Arjen);AP de Vries (Arjen); W. Alink (Wouter); R. Cornacchia (Roberto); JFP van den Akker; AR vanBallegooij; CA van den Berg; JR Castelo; J. Flokstra; CA Galindo-Legaria; T. Grust; S. Héman(Sándor); D. Hiemstra; T. Ianeva; JS Karlsson; M. van Keulen; S. de Konink (Stefan …,*,2005,*
