Highly uniform and reproducible surface-enhanced Raman scattering from DNA-tailorable nanoparticles with 1-nm interior gap,Dong-Kwon Lim; Ki-Seok Jeon; Jae-Ho Hwang; Hyoki Kim; Sunghoon Kwon; Yung Doug Suh; Jwa-Min Nam,Abstract An ideal surface-enhanced Raman scattering (SERS) nanostructure for sensingand imaging applications should induce a high signal enhancement; generate areproducible and uniform response; and should be easy to synthesize. Many SERS-activenanostructures have been investigated; but they suffer from poor reproducibility of the SERS-active sites; and the wide distribution of their enhancement factor values results in anunquantifiable SERS signal. Here; we show that DNA on gold nanoparticles facilitates theformation of well-defined gold nanobridged nanogap particles (Au-NNP) that generate ahighly stable and reproducible SERS signal. The uniform and hollow gap (∼ 1 nm) betweenthe gold core and gold shell can be precisely loaded with a quantifiable amount of Ramandyes. SERS signals generated by Au-NNPs showed a linear dependence on probe …,Nature nanotechnology,2011,571
Rapid antibiotic susceptibility testing by tracking single cell growth in a microfluidic agarose channel system,Jungil Choi; Yong-Gyun Jung; Jeewoo Kim; Sungbum Kim; Yushin Jung; Hunjong Na; Sunghoon Kwon,Sepsis is one of the major causes of death in the US; necessitating rapid treatment withproper antibiotics. Conventional systems for antibiotic susceptibility testing (AST) take far toolong (16–24 h) for the timely treatment of sepsis. This is because they rely on measuringoptical density; which relates to bacterial growth; to determine the minimal inhibitoryconcentrations (MICs) of relevant antibiotics. Thus; there is a desperate need for moreimproved and rapid AST (RAST) systems. The RAST system can also reduce the growingnumber of clinical problems that are associated with antibiotic resistance caused bymethicillin-resistant Staphylococcus aureus; vancomycin-resistant Staphylococcus aureus;and vancomycin-resistant enterococci. In this study; we demonstrate a microfluidic agarosechannel (MAC) system that reduces the AST assay time for determining MICs by single …,Lab on a Chip,2013,81
Magneto-optical observation of picosecond dynamics of single nanomagnets,Anjan Barman; Suqin Wang; Jeffrey D Maas; Aaron R Hawkins; Sunghoon Kwon; Alexander Liddle; Jeffrey Bokor; Holger Schmidt,We report measurements of picosecond dynamics of individual nickel nanomagnets as afunction of magnet dimension; aspect ratio; and magnetic environment. Spatial sensitivity tonanomagnet diameters as small as 125 nm is achieved by use of cavity enhancement of themagneto-optic Kerr effect (CE-MOKE). The importance of single-particle measurementswithout ensemble effects for extracting the size dependence of the intrinsic nanomagnetmaterial properties is demonstrated.,Nano letters,2006,80
Three-dimensional assembly of nanoparticles from charged aerosols,Heechul Lee; Sukbeom You; Peter V Pikhitsa; Junhoi Kim; Sunghoon Kwon; Chang Gyu Woo; Mansoo Choi,The capability of assembling nanoparticles into a desired ordered pattern is a key to realizenovel devices which are based not only on the unique properties of nanoparticles but alsoon the arrangements of nanoparticles. While two-dimensional arrays of nanoparticles havebeen successfully demonstrated by various techniques; a controlled way of building orderedarrays of three-dimensional (3D) nanoparticle structures remains challenging. We report thata variety of 3D nanoparticle structures can be formed in a controlled way based on the ion-induced focusing; electrical scaffold; and antenna effects from charged aerosols. Particletrajectory calculations successfully predict the whole process of 3D assembly. New surfaceenhanced Raman scattering substrates based on our 3D assembly were constructed as anexample showing the viability of the present approach. This report extends the current …,Nano letters,2010,74
Three-dimensional fabrication of heterogeneous microstructures using soft membrane deformation and optofluidic maskless lithography,Seung Ah Lee; Su Eun Chung; Wook Park; Sung Hoon Lee; Sunghoon Kwon,We propose a method for high-throughput generation of 3D microstructures using amembrane-mounted microfluidic channel. Utilizing an optofluidic maskless lithographysystem; photopolymerized 3D microstructures are fabricated in a layer-by-layer fashion withthe thickness of each layer controlled by the deformation of the membrane. The combinationof low numerical aperture optical systems for photopolymerization and a soft membrane forheight control allows large area projection lithography with high vertical resolution;overcoming the trade-off between vertical resolution and the field-of-view. The materialcomposition of each layer is varied using microfluidic control of photocurable resin andcomposite microstructures with heterogeneity in both lateral and vertical directions aregenerated. Using this technique; we demonstrate three-dimensional patterning of …,Lab on a Chip,2009,74
Inertial focusing of non-spherical microparticles,Soojung Claire Hur; Sung-Eun Choi; Sunghoon Kwon; Dino Di Carlo,We have investigated the focusing and dynamics of non-spherical polymeric particles inmicrofluidic flows at finite Reynolds number. The rotational diameter; Dmax; of a particle;regardless of its cross-sectional shape; was found to determine the final focused position;except for the case of asymmetric disks. Additionally; elongated particles with larger Dmaxexhibited longer residence times in a horizontal orientation than those with smaller Dmax.These findings inform approaches to hydrodynamically control shaped and barcodedparticles for multiplexed biochemical assays.,Applied Physics Letters,2011,71
Micromachined transmissive scanning confocal microscope,Sunghoon Kwon; Luke P Lee,We have developed a miniature scanning confocal microscope that uses electrostaticallyactuated microlenses for focusing and scanning. Objective lenses; scanners; a pupil; and apinhole of the confocal microscope are microfabricated and integrated into a volume smallerthan 2 mm^ 3 by stacking these components. Objective lenses are composed of twovertically cascaded polymer microlenses integrated into micromachined comb actuators.Raster scanning is implemented by electrostatically actuating each microlens in orthogonaldirections. We have demonstrated reflection confocal imaging with 3-µm transverseresolution over a 100-µm field of view and a 0.38-mm working distance at λ= 633 nm.,Optics letters,2004,69
A rapid antimicrobial susceptibility test based on single-cell morphological analysis,Jungil Choi; Jungheon Yoo; Mincheol Lee; Eun-Geun Kim; Ji Soo Lee; Seungok Lee; Seik Joo; Sang Hoon Song; Eui-Chong Kim; Jung Chan Lee; Hee Chan Kim; Yong-Gyun Jung; Sunghoon Kwon,A rapid antibiotic susceptibility test (AST) is desperately needed in clinical settings for fastand appropriate antibiotic administration. Traditional ASTs; which rely on cell culture; are notsuitable for urgent cases of bacterial infection and antibiotic resistance owing to theirrelatively long test times. We describe a novel AST called single-cell morphological analysis(SCMA) that can determine antimicrobial susceptibility by automatically analyzing andcategorizing morphological changes in single bacterial cells under various antimicrobialconditions. The SCMA was tested with four Clinical and Laboratory Standards Institutestandard bacterial strains and 189 clinical samples; including extended-spectrum β-lactamase–positive Escherichia coli and Klebsiella pneumoniae; imipenem-resistantPseudomonas aeruginosa; methicillin-resistant Staphylococcus aureus; and vancomycin …,Science translational medicine,2014,65
Stacked two dimensional micro-lens scanner for micro confocal imaging array,Sunghoon Kwon; Luke P Lee,The concept of micro confocal imaging array is proposed and a stacked two-dimensionalmicrolens scanner has been developed. The 2D raster scanner consists of two 1D scannersfabricated in silicon on insulator wafers stacked perpendicularly. Each scanner has abiconvex surface tension induced polymer microlens. Line scanning ranging 75/spl mu/m at4.5 kHz and 2D raster scanning over an area of 40/spl mu/m/spl times/40/spl mu/m aredemonstrated at the focal point of the lens; which is equivalent to a maximum of 11/spldeg/beam steering.,Micro Electro Mechanical Systems; 2002. The Fifteenth IEEE International Conference on,2002,63
Lithographically Encoded Polymer Microtaggant Using High‐Capacity and Error‐Correctable QR Code for Anti‐Counterfeiting of Drugs,Sangkwon Han; Hyung Jong Bae; Junhoi Kim; Sunghwan Shin; Sung‐Eun Choi; Sung Hoon Lee; Sunghoon Kwon; Wook Park,Eliminating counterfeit drugs is a considerable challenge for global public health. Thesedrugs pose a growing threat to our lives because they can deliver hazardous treatment oreven cause death.[1–5] Recently; the incorporation of microtaggants in drug formulation hasbeen introduced as superior on-dose authentication (ODA) technology for the anti-counterfeiting of drugs.[6; 7] Storing information or data on the microtaggant provides themultifunctionality needed for the identification and track-andtrace monitoring of drugs. Here;we propose a Quick Response (QR)-coded microtaggant that allows the encoding of a largeamount of data that will not be lost during the drug formulation process. In this work; QR-coded polymeric microtaggants were fabricated lithographically through a single exposureto QR Code-patterned UV light in the microfluidic channel. These microtaggants offer all …,Advanced Materials,2012,61
Vertical combdrive based 2-D gimbaled micromirrors with large static rotation by backside island isolation,Sunghoon Kwon; Veljko Milanovic; Luke P Lee,We introduce a backside island isolation method for silicon-on-insulator (SOI)-basedmicroelectromechanical systems technology and demonstrate vertical comb drive-based two-dimensional gimbaled micromirrors with large static rotation using the isolation method. Theproposed isolation method provides electrical isolation and mechanical coupling of SOIstructures without additional dielectric backfill and planarization by utilizing timed etchedbackside handle wafer structures. The backside island is a hidden layer beneath the gimbaland allows independent application of actuation potentials to the gimbal and inner mirror.We developed the fabrication process that accommodates the backside island isolationstructures into an established vertical comb drive process; thereby allowing implementationof two-axis gimbaled structures. The maximum static optical deflections of the gimbal and …,IEEE Journal of Selected Topics in Quantum Electronics,2004,58
Microfluidic system incorporating a metal impregnated nanoporous material in a microfluidic pathway thereof,*,*,*,2014,55
Magnetic assembly of nonmagnetic particles into photonic crystal structures,Le He; Yongxing Hu; Hyoki Kim; Jianping Ge; Sunghoon Kwon; Yadong Yin,We report the rapid formation of photonic crystal structures by assembly of uniformnonmagnetic colloidal particles in ferrofluids using external magnetic fields. Magneticmanipulation of nonmagnetic particles with size down to a few hundred nanometers;suitable building blocks for producing photonic crystals with band gaps located in the visibleregime; has been difficult due to their weak magnetic dipole moment. Increasing the dipolemoment of magnetic holes has been limited by the instability of ferrofluids towardaggregation at high concentration or under strong magnetic field. By taking advantage of thesuperior stability of highly surface-charged magnetite nanocrystal-based ferrofluids; in thispaper we have been able to successfully assemble 185 nm nonmagnetic polymer beadsinto photonic crystal structures; from 1D chains to 3D assemblies as determined by the …,Nano letters,2010,55
Methods for uniform metal impregnation into a nanoporous material,*,The methods; systems 400 and apparatus disclosed herein concern metal 150 impregnatedporous substrates 110; 210. Certain embodiments of the invention concern methods forproducing metal-coated porous silicon substrates 110; 210 that exhibit greatly improveduniformity and depth of penetration of metal 150 deposition. The increased uniformity anddepth allow improved and more reproducible Raman detection of analytes. In exemplaryembodiments of the invention; the methods may comprise oxidation of porous silicon 110;immersion in a metal salt solution 130; drying and thermal decomposition of the metal salt140 to form a metal deposit 150. In other exemplary embodiments of the invention; themethods may comprise microfluidic impregnation of porous silicon substrates 210 with oneor more metal salt solutions 130. Other embodiments of the invention concern apparatus …,*,2008,55
Biomimetic Microfingerprints for Anti‐Counterfeiting Strategies,Hyung Jong Bae; Sangwook Bae; Cheolheon Park; Sangkwon Han; Junhoi Kim; Lily Nari Kim; Kibeom Kim; Suk‐Heung Song; Wook Park; Sunghoon Kwon,DOI: 10.1002/adma. 201405483 suitable as “security tags” for authentication because thesetaggants themselves are vulnerable to cloning attacks. Theoretically; any deterministicencoding mechanism; by its very nature; allows code reproduction; inevitably leading tocounterfeiting. Therefore; for strong authentication; it is essential to adopt nondeterministicencoding to guarantee unique and intrinsically irreproducible code outputs. PUF-basedencodings gained substantial recognition but they suffer from practical constraints such asorientation-sensitive optical codes;[7] short lifespan of fluorescent material;[8] and narrow-ranged product applicability.[9] Above all; most of these nondeterministic encodingarchitectures focused on expanding code randomness at the expense of configurablefeatures that are of industrial necessity such as tunable code complexity and versatility in …,Advanced Materials,2015,53
Size dependent damping in picosecond dynamics of single nanomagnets,A Barman; S Wang; J Maas; AR Hawkins; S Kwon; J Bokor; A Liddle; H Schmidt,The authors use time-resolved cavity-enhanced magneto-optical Kerr spectroscopy to studythe damping of magnetization precession in individual cylindrical nickel nanomagnets. Awide range of shapes (diameters of 5 μ m–125 nm and aspect ratio: 0.03–1.2) isinvestigated. They observe a pronounced difference in damping between the micro-andnanomagnets. Microscale magnets show large damping at low bias fields; whereasnanomagnets exhibit bias field-independent damping. This behavior is explained by theinteraction of in-plane and out-of-plane precession modes in microscale magnets thatresults in additional dissipative channels. The small and robust damping values on thenanoscale are promising for implementation of controlled precessional switching schemesin nanomagnetic devices.,Applied physics letters,2007,50
Biomimetic 3D tissue models for advanced high-throughput drug screening,Ki-Hwan Nam; Alec ST Smith; Saifullah Lone; Sunghoon Kwon; Deok-Ho Kim,Most current drug screening assays used to identify new drug candidates are 2D cell-basedsystems; even though such in vitro assays do not adequately re-create the in vivo complexityof 3D tissues. Inadequate representation of the human tissue environment during apreclinical test can result in inaccurate predictions of compound effects on overall tissuefunctionality. Screening for compound efficacy by focusing on a single pathway or proteintarget; coupled with difficulties in maintaining long-term 2D monolayers; can serve toexacerbate these issues when using such simplistic model systems for physiological drugscreening applications. Numerous studies have shown that cell responses to drugs in 3Dculture are improved from those in 2D; with respect to modeling in vivo tissue functionality;which highlights the advantages of using 3D-based models for preclinical drug screens …,Journal of laboratory automation,2014,47
Focal length control by microfabricated planar electrodes-based liquid lens (μPELL),Sunghoon Kwon; Luke P Lee,Abstract Microfabricated Planar Electrodes-based Liquid Lens (μ PELL); a variable focallength liquid lens with high numerical aperture and low optical distortion; is described.Control of the focal length is achieved by modifying the surface energy of the electro-opticdevice. Microfabricated planar electrode architecture has an advantage in comparison toprevious methods with invasive electrodes on top of the lens; which is an obstacle for opticaldevices. The design of μ PELL with transparent electrodes solves the problem of manual topelectrode assembly as well as the optical distortion caused by invasive electrodes in themiddle of the liquid lens. Improved focal length control through μ PELL is demonstrated withmore than 30% variability of its original focal lenth and a response time of 100ms.,*,2001,46
Fabrication of metallic nanodots in large-area arrays by mold-to-mold cross imprinting (MTMCI),Sunghoon Kwon; Xiaoming Yan; Anthony M Contreras; J Alexander Liddle; Gabor A Somorjai; Jeffrey Bokor,We have developed a mold-to-mold cross imprint (MTMCI) process; which redefines animprint mold with another imprint mold. By performing MTMCI on two identical imprint moldswith silicon spacer nanowires in a perpendicular arrangement; we fabricated a large array ofsub-30-nm silicon nanopillars. Large-area arrays of Pt dots are then produced usingnanoimprint lithography with the silicon nanopillar mold.,Nano letters,2005,42
Real‐Time Optofluidic Synthesis of Magnetochromatic Microspheres for Reversible Structural Color Patterning,Junhoi Kim; Younghoon Song; Le He; Hyoki Kim; Howon Lee; Wook Park; Yadong Yin; Sunghoon Kwon,formation.[17–22] The color change induced by external stimuli can be used to displayvarious colors or analyze biochemical molecular sensing. The color-changing propertyrequires additional flexibility such as active tuning; reversible patterning; or multiplexingcapabilities depending on their applications. In all cases; a rapid response as well as broadtuning range would offer high functionality. Recently; we reported a magnetically color-tunable and color-fixable material; which we call M-ink; consisting of superparamagneticcolloidal nanocrystal clusters (CNCs) dispersed in a photocurable resin.[23; 24] Thesuperparamagnetic CNCs are made up of magnetite nanoparticles; and they self-assembleinto a 1D chain structures under an external magnetic field.[25–28] The chains showstructural color; which can be maintained in the absence of the external magnetic field by …,Small,2011,40
Biphasic electrical currents stimulation promotes both proliferation and differentiation of fetal neural stem cells,Keun-A Chang; Jin Won Kim; Jeong a Kim; Sungeun Lee; Saeromi Kim; Won Hyuk Suh; Hye-Sun Kim; Sunghoon Kwon; Sung June Kim; Yoo-Hun Suh,The use of non-chemical methods to differentiate stem cells has attracted researchers frommultiple disciplines; including the engineering and the biomedical fields. No doubt; growthfactor based methods are still the most dominant of achieving some level of proliferation anddifferentiation control-however; chemical based methods are still limited by the quality;source; and amount of the utilized reagents. Well-defined non-chemical methods todifferentiate stem cells allow stem cell scientists to control stem cell biology by preciselyadministering the pre-defined parameters; whether they are structural cues; substratestiffness; or in the form of current flow. We have developed a culture system that allowsnormal stem cell growth and the option of applying continuous and defined levels of electriccurrent to alter the cell biology of growing cells. This biphasic current stimulator chip …,PLoS One,2011,40
Cavity-enhanced magnetooptical observation of magnetization reversal in individual single-domain nanomagnets,Naser Qureshi; Suqin Wang; Mark A Lowther; Aaron R Hawkins; Sunghoon Kwon; Alexander Liddle; Jeffrey Bokor; Holger Schmidt,Optical studies of nanoscale magnets promise access to ultrafast magnetization dynamicsbut are challenging because of limited spatial resolution. We demonstrate that cavityenhancement of the magnetooptical Kerr effect increases the sensitivity innanomagnetooptics significantly. Magnetization switching in individual single-domainmagnets in both far-field and near-field Kerr microscopy is observed; and scaling laws aredetermined. Near-field signals remain nearly constant with reduced magnet diameter;indicating favorable scaling of near-field magnetooptics into the deep nanometer range.,Nano letters,2005,40
Vertical microlens scanner for 3D imaging,Sunghoon Kwon; Veljko Milanovic; Luke P Lee,ABSTRACT We have designed; fabricated; and demonstrated a static vertical microlensscanner with large static displacement and low (< 10V) driving voltage; using silicon-on-insulator (SOI) technology. The unique isolated vertical combdrive sets and the coupled-torsion flexure design provides for both upward and downward piston motions and the lowdriving voltage. Singledirectional devices demonstrate maximum static downwarddisplacement of 8 µm at 10 Vdc actuation voltage. Bi-directional devices demonstratevertical actuation from-6.5 µm to+ 9 µm also at sub-10 V. The devices have mechanicalresonant frequencies near 400 Hz; and when operated at resonance; a verticaldisplacement of up to 55 µm peak-to-peak is achieved at up to 7 Vrms. The lens motionshows near pure piston motion with very small tilt angle of less than 0.034 and the …,Technical Digest of the 2002 Solid-State Sensor and Actuator Workshop,2002,38
Niche applications of magnetically responsive photonic structures,Jianping Ge; Sunghoon Kwon; Yadong Yin,Magnetically responsive photonic crystal structures have been produced by self-assemblingsuperparamagnetic colloidal particles under the balance of repulsive and attractiveinteractions. The optical properties can be tuned rapidly; widely; and reversibly in the entirevisible spectrum. By taking advantage of many unique features of the field responsivesystems; we demonstrate in this article some of their niche applications for various displaypurposes; including antifraud devices; rewritable photonic papers; and full colour highresolution printing systems.,Journal of Materials Chemistry,2010,37
Optical identification tag; reader and system,*,The present invention relates to an optical identification tag; a reader; and a system; andmore particularly; to an optical identification tag which transmits its identification informationusing energy input in an optical form; and an optical identification system and reader usingthe optical identification tag. The present invention provides an optical identification tag andan optical identification reader. The optical identification tag includes a solar cell forconverting incident light into an electrical energy; a circuit for providing a transmittedelectrical signal corresponding to identification information; and a light emitter for providing atransmitted optical signal corresponding to the transmitted electrical signal; and the opticalidentification reader provides the incident light to the optical identification tag; and receivesthe transmitted optical signal from the optical identification tag.,*,2008,37
