Experimental quantum key distribution with decoy states,Yi Zhao; Bing Qi; Xiongfeng Ma; Hoi-Kwong Lo; Li Qian,Abstract To increase dramatically the distance and the secure key generation rate ofquantum key distribution (QKD); the idea of quantum decoys—signals of different intensities—has recently been proposed. Here; we present the first experimental implementation ofdecoy state QKD. By making simple modifications to a commercial quantum key distributionsystem; we show that a secure key generation rate of 165 bit/s; which is 1/4 of the theoreticallimit; can be obtained over 15 km of a telecommunication fiber. We also show that with thesame experimental parameters; not even a single bit of secure key can be extracted with anon-decoy-state protocol. Compared to building single photon sources; decoy state QKD isa much simpler method for increasing the distance and key generation rate ofunconditionally secure QKD.,Physical review letters,2006,319
Subpicosecond carrier lifetime in beryllium-doped InGaAsP grown by He-plasma-assisted molecular beam epitaxy,Li Qian; SD Benjamin; PWE Smith; BJ Robinson; DA Thompson,The carrier dynamics and absorption edges of InGaAsP samples grown by He-plasma-assisted molecular beam epitaxy and doped with various concentrations of beryllium areinvestigated via pump-probe experiments and Fourier transform infrared (FTIR) absorptionspectroscopy. Carrier lifetimes from 10 to< 1 ps are obtained for samples of increasingdoping concentrations. The reduced in carrier lifetimes are attributed to Be compensation ofthe deep donor levels introduced by the He plasma. The carrier lifetime increases withphotogenerated carrier density due to trap saturation. The FTIR results reveal sharpabsorption edges in this material for doping concentrations up to 1× 10 18 cm− 3. The fastcarrier dynamics and the steep absorption edge make this material very attractive forultrafast optical switching devices for use in high-speed time-division-multiplexing fiber …,Applied physics letters,1997,45
Group velocity inversion in AlGaAs nanowires,J Meier; WS Mohammed; A Jugessur; L Qian; M Mojahedi; JS Aitchison,We investigated the dispersion characteristics of submicron sized AlGaAs waveguides.Numerical simulations shows that the tight confinement of the optical waves in suchnanowires leads to strong variations of the dispersion characteristics compared to classic;weakly guided waveguides of the same material system. We found numerically that theinvestigated structure has negative GVD for the TE mode provided the waveguide width isbetween 670 nm and 280 nm. Experimental data obtained from 300 μm-1 mm long wiresconfirms the numerical results.,Optics Express,2007,37
Quantum key distribution with dual detectors,Bing Qi; Yi Zhao; Xiongfeng Ma; Hoi-Kwong Lo; Li Qian,Abstract To improve the performance of a quantum-key-distribution (QKD) system; highspeed; low dark count single photon detectors (or low-noise homodyne detectors) arerequired. However; in practice; a fast detector is usually noisy. Here; we propose a dual-detector method to improve the performance of a practical QKD system with realisticdetectors: the legitimate receiver randomly uses either a fast (but noisy) detector or a quiet(but slow) detector to measure the incoming quantum signals. The measurement resultsfrom the quiet detector can be used to bound the eavesdropper's information; while themeasurement results from the fast detector are used to generate a secure key. We apply thisidea to various QKD protocols. Simulation results demonstrate significant improvements ofthe secure key rate in the lower loss regime in both Bennett-Brassard 1984 (BB84) …,Physical Review A,2007,36
High-resolution; large dynamic range fiber length measurement based on a frequency-shifted asymmetric Sagnac interferometer,Bing Qi; Andrew Tausz; Hoi-Kwong Lo; Li Qian,We propose and experimentally demonstrate a single-mode fiber length and dispersionmeasurement system based on what we believe to be a novel frequency-shifted asymmetricSagnac interferometer incorporating an acousto-optic modulator (AOM). By sweeping thedriving frequency of the AOM; which is asymmetrically placed in the Sagnac loop; the opticallength of the fiber can be determined by measuring the corresponding variation in the phasedelay between the two counterpropagating light beams. Combined with a high-resolutiondata processing algorithm; this system yields a dynamic range from a few centimeters to 60?km (limited by our availability of long fibers) with a resolution of? 1? partpermillion for longfibers.,Optics letters,2005,35
Single-arm three-wave interferometer for measuring dispersion of short lengths of fiber,Michael A Galle; Waleed Mohammed; Li Qian; Peter WE Smith,We present a simple fiber-based single-arm spectral interferometer to measure directly thesecond-order dispersion parameter of short lengths of fiber (< 50 cm). The standarddeviation of the measured dispersion on a 39.5-cm-long SMF28^ TM fiber is 1x10^-4 ps/nm;corresponding to 1% relative error; without employing any curve fitting. Our techniquemeasures the second-order dispersion by examining the envelope of the interferencepattern produced by three reflections: two from the facets of the test fiber and one from amirror placed away from the fiber facet at a distance that introduces the same group delay asthe test fiber at the measured wavelength. The operational constraints on systemparameters; such as required bandwidth; wavelength resolution; and fiber length; arediscussed in detail. Experimental verification of this technique is carried out via …,Optics express,2007,32
Picosecond carrier lifetime and large optical nonlinearities in InGaAsP grown by He-plasma-assisted molecular beam epitaxy,L Qian; SD Benjamin; PWE Smith; BJ Robinson; DA Thompson,We report the measurement of a fast carrier lifetime and large band-gap-resonant opticalnonlinearities in an InGaAsP sample grown by He-plasma-assisted molecular beam epitaxy.Using a 2-µm-thick sample grown on an InP substrate; we observed a carrier lifetime of 15ps and an index change as large as 0.077 induced by an intense 1-ps pulse at a wavelengthof 1.57 µm.? Good crystalline structure is maintained in the material during growth; and theabsorption spectrum shows a sharp band edge. These properties indicate that materialsproduced by He-plasma-assisted growth have potential applications in compact ultrafastphotonic devices.,Optics letters,1997,32
Experimental quantum key distribution with source flaws,Feihu Xu; Kejin Wei; Shihan Sajeed; Sarah Kaiser; Shihai Sun; Zhiyuan Tang; Li Qian; Vadim Makarov; Hoi-Kwong Lo,Abstract Decoy-state quantum key distribution (QKD) is a standard technique in currentquantum cryptographic implementations. Unfortunately; existing experiments have twoimportant drawbacks: the state preparation is assumed to be perfect without errors and theemployed security proofs do not fully consider the finite-key effects for general attacks.These two drawbacks mean that existing experiments are not guaranteed to be proven to besecure in practice. Here; we perform an experiment that shows secure QKD with imperfectstate preparations over long distances and achieves rigorous finite-key security bounds fordecoy-state QKD against coherent attacks in the universally composable framework. Wequantify the source flaws experimentally and demonstrate a QKD implementation that istolerant to channel loss despite the source flaws. Our implementation considers more real …,Physical Review A,2015,30
Using frequency-shifted interferometry for multiplexing a fiber Bragg grating array,Fei Ye; Li Qian; Yu Liu; Bing Qi,We demonstrate a fiber Bragg grating (FBG) sensor multiplexing scheme based onfrequency-shifted interferometry; in which a frequency-shifting element is placedasymmetrically in one arm of a folded Mach-Zehnder interferometer. The location and thereflection spectrum of each FBG sensor in an array can be resolved through Fouriertransform. We experimentally investigated this multiplexing scheme in an FBG arrayconstructed by ten low-reflectivity (~ 4%) sensors. A signal-to-noise ratio of 48 dB wasachieved with crosstalk below 34 dB.,IEEE Photonics Technology Letters,2008,29
Measurement of χ (2) symmetry in a poled fiber,Eric Y Zhu; Li Qian; LG Helt; Marco Liscidini; JE Sipe; Costantino Corbari; Albert Canagasabey; Morten Ibsen; Peter G Kazansky,We measure the values of individual χ^(2) tensor components in a birefringent periodicallypoled silica fiber through spectrally separated type I and type II second-harmonicgeneration. We demonstrate that the χ^(2) tensor symmetry is consistent with that of χ^(3) insilica and thereby provide experimental evidence that this χ^(2) originates from a χ^(3)process.,Optics letters,2010,28
Security analysis of an untrusted source for quantum key distribution: passive approach,Yi Zhao; Bing Qi; Hoi-Kwong Lo; Li Qian,Abstract We present a passive approach to the security analysis of quantum key distribution(QKD) with an untrusted source. A complete proof of its unconditional security is alsopresented. This scheme has significant advantages in real-life implementations as it doesnot require fast optical switching or a quantum random number generator. The essentialidea is to use a beam splitter to split each input pulse. We show that we can characterize thesource using a cross-estimate technique without active routing of each pulse. We havederived analytical expressions for the passive estimation scheme. Moreover; usingsimulations; we have considered four real-life imperfections: additional loss introduced bythe'plug&play'structure; inefficiency of the intensity monitor noise of the intensity monitor; andstatistical fluctuation introduced by finite data size. Our simulation results show that the …,New Journal of Physics,2010,28
Complex guided wave solution of grounded dielectric slab made of metamaterials,Chao Li; Qiang Sui; Fang Li,Abstract: This paper focuses on the complex guided wave solutions of grounded slab madeof metamaterials. Complex solutions of both TE and TM modes have been analyzed. It isfound that they are distributed on the proper Riemann sheet. This property differsdramatically from that of a conventional grounded slab. A number of other distributionproperties are studied analytically. Some numerical examples are given to verify theanalytical results. It is important to take the peculiar complex solutions into account in theproblems of microstrip and surface wave excitation.,Progress In Electromagnetics Research,2005,28
Solid-state lighting apparatus for navigational aids,*,A high intensity solid-state lighting apparatus is disclosed for the application of navigationalaids. In various embodiments based on the approach of chip-on-board packagedsemiconductor light emitting elements; unidirectional; bidirectional as well as omni-directional navigational lights are configured to meet high luminous intensity requirements.They also provide additional utilities for generating multiple colors and flash patterns withthe same light unit for lighting reconfiguration as well as creating new means of signaling.Another purpose of the current invention is to provide a light source which will not causevertigo effects.,*,2006,26
Proposal for in-fiber generation of telecom-band polarization-entangled photon pairs using a periodically poled fiber,LG Helt; Eric Y Zhu; Marco Liscidini; Li Qian; JE Sipe,We treat spontaneous parametric downconversion in a periodically poled fiber; quasi-phasematched to allow for the generation of photon pairs at wavelengths within the low-losstelecommunications window. For an appropriate pump polarization; the unusual propertiesof such a fiber's effective χ^(2) result in a biphoton wave function that is symmetric uponsimultaneous exchange of downconverted photon frequencies and polarizations and that isnonzero over a wide range of downconverted frequencies. This could lead to a significanttechnical simplification of sources of in-fiber telecom-band polarization-entangled photons.,Optics letters,2009,25
Low reflection and photo-sensitive organic light-emitting device with perylene diimide and double-metal structure,Tien-Lung Chiu; Kai-Hsiang Chuang; Chi-Feng Lin; Yu-Hsuan Ho; Jiun-Haw Lee; Chun-Chieh Chao; Man-Kit Leung; De-Hui Wan; Cheng-Yu Li; Hsuen-Li Chen,Abstract In this paper; an organic light-emitting device (OLED) with low reflection for theentire visible range and at different viewing angles by using an absorptive and photo-sensitive material; N; N'-Bis (2; 6-diisopropylphenyl)-1; 7-bis (4-methoxyphenyl) perylene-3;4; 9; 10-tetracarboxydiimide (MPPDI); as a black layer (BL) structure was demonstrated. Asemitransparent double-metal structure; Al/Ag; was used to reduce the driving voltage andenhance the destructive interference of the BL structure. Combined with the broadabsorption band of the MPPDI; the reflectance of such a device shows a 12-times decreasecompared to the conventional OLED. Also; a photocurrent enhancement effect wasobserved in our BL-OLED due to the photosensitive quality of the MPPDI.,Thin Solid Films,2009,24
System and method to determine chromatic dispersion in short lengths of waveguides using a common path interferometer,*,The present invention relates to a system and method to determine chromatic dispersion inshort lengths of waveguides using a two wave interference pattern and a common pathinterferometer. Specifically the invention comprises a radiation source operable to emitradiation connected to a means for separating incident and reflected waves; the means forseparating incident and reflected waves possessing an output arm adjacent to a first end ofthe waveguide; and the means for separating incident and reflected waves furtherconnected to an optical detector operable to record an interference pattern generated by areflected test emission from the radiation source. The interference pattern consists of twowaves: one reflected from a first facet of a waveguide and the second reflected from asecond facet of the same waveguide.,*,2010,22
Multipoint chemical gas sensing using frequency-shifted interferometry,Fei Ye; Li Qian; Bing Qi,We apply frequency-shifted interferometry to interrogate multiple gas sensors along a singlefiber. This method uses a tunable continuous-wave laser and a slow detector; and allowsspectral overlap of sensors. It can be used to quantify the concentrations of single or differentgas species at multiple locations. A three-sensor system was used to demonstrate thiscapability; achieving a minimum detectable acetylene concentration of 230 ppm with a 3-cmgas cell; or equivalently; 6.9 ppm ⋅ m. The design considerations in the implementation andthe system parameters are also discussed.,Journal of Lightwave Technology,2009,22
All-fiber laser beam shaping using a long-period grating,Xijia Gu; Waleed Mohammed; Li Qian; Peter WE Smith,We demonstrate a simple all-fiber device that can transform a Gaussian-shaped laser beaminto a uniform intensity beam. The device is based on the interaction of a core mode and acladding mode partially coupled out by a long-period grating. We have achieved good beamuniformity (< 4% intensity variation) and reduced beam divergence (1.5 deg of halfdivergence angle) while keeping the insertion loss to 0.1 dB. The measured beam uniformitymatches well with simulated results. The device can also change the beam shape from aGaussian to a donut; to top hat; and back to a Gaussian; dynamically by tuning the laserwavelength.,IEEE photonics technology letters,2008,21
Gain-flattened; extended L-band (1570-1620 nm); high power; low noise erbium-doped fiber amplifiers,Li Qian; Davide Fortusini; SD Benjamin; G Qi; PV Kelkar; VL da Silva,In conclusion; we have presented the first demonstration of high-power; low-noise; gain-flattened; 60-channel; extended L-band EDFAs with full functionality over a large dynamicrange; and showed that they can be strong candidates for future high-bit-rate; wide-band;ultra-long-haul systems.,Optical Fiber Communication Conference and Exhibit; 2002. OFC 2002,2002,20
Frequency-shifted Mach-Zehnder interferometer for locating multiple weak reflections along a fiber link,Bing Qi; Li Qian; Andrew Tausz; Hoi-Kwong Lo,We propose and demonstrate a novel technique for measuring fiber lengths and locatingmultiple weak reflections along the fiber using a low-cost continuous wave source; a foldedMach-Zehnder interferometer (MZI); and a frequency shifter. By sweeping the frequency ofthe shifter; which is located in one path of the MZI; the optical length of the test fiber can bedetermined precisely from the interference pattern constructed by the reflected signals fromthe fiber end. Experimentally; for fibers shorter than 10 km; the standard deviations are lessthan 1 mm. Furthermore; by incorporating lock-in detection and fast Fourier transformtechniques; both the locations and the reflectance of multiple reflection sites along one fibercan be resolved with a spatial resolution of about 5 m and a sensitivity better than-67dB.This could be a powerful interrogating technique for optical fiber sensor arrays.,IEEE photonics technology letters,2006,19
Experimental measurement-device-independent quantum key distribution with imperfect sources,Zhiyuan Tang; Kejin Wei; Olinka Bedroya; Li Qian; Hoi-Kwong Lo,Abstract Measurement-device-independent quantum key distribution (MDI-QKD); which isimmune to all detector side-channel attacks; is the most promising solution to the securityissues in practical quantum key distribution systems. Although several experimentaldemonstrations of MDI-QKD have been reported; they all make one crucial but not yetverified assumption; that is; there are no flaws in state preparation. Such an assumption isunrealistic and security loopholes remain in the source. Here we present a MDI-QKDexperiment with the modulation error taken into consideration. By applying the loss-tolerantsecurity proof by Tamaki et al.[Phys. Rev. A 90; 052314 (2014)]; we distribute secure keysover fiber links up to 40 km with imperfect sources; which would not have been possibleunder previous security proofs. By simultaneously closing loopholes at the detectors and …,Physical Review A,2016,18
High-visibility two-photon interference of frequency–time entangled photons generated in a quasi-phase-matched AlGaAs waveguide,Peyman Sarrafi; Eric Y Zhu; Barry M Holmes; David C Hutchings; Stewart Aitchison; Li Qian,We demonstrate experimentally the frequency–time entanglement of photon pairs producedin a CW-pumped quasi-phased-matched AlGaAs superlattice waveguide. A visibility of96.0±0.7% without background subtraction has been achieved; which corresponds to theviolation of the Bell inequality by 52 standard deviations.,Optics letters,2014,18
Broadband self-phase modulation; cross-phase modulation; and four-wave mixing in 9-mm-long AlGaAs waveguides,Ksenia Dolgaleva; Wing Chau Ng; Li Qian; J Stewart Aitchison; Maria Carla Camasta; Marc Sorel,We demonstrate efficient self-phase modulation with a nonlinear phase shift of up to 3π;broadband cross-phase modulation; and four-wave mixing with a 14nm tunability range inAlGaAs waveguides with a specially designed composition. The length of our sample is only9mm; but the efficiency of the observed effects is high.,Optics letters,2010,18
He‐plasma assisted epitaxy for highly resistive; optically fast InP‐based materials,DB Mitchell; BJ Robinson; DA Thompson; Li Qian; SD Benjamin; PWE Smith,InP and related quaternaries (InGaAsP) have been grown by conventional gas sourcemolecular beam epitaxy while simultaneously exposing the growth surface to a He plasmastream generated by electron cyclotron resonance. For growth temperatures from 400 to450° C; the InP produced by this process displays greatly increased resistivity; as high as105 Ω cm; compared to growth without plasma where resistivities are typically less than 1 Ωcm. An InGaAsP quaternary; with band‐gap wavelength of 1.55 μm; grown with the plasmadisplays a sharp band edge and fast photoresponse (15 ps).,Applied physics letters,1996,18
Poled-fiber source of broadband polarization-entangled photon pairs,EY Zhu; Z Tang; L Qian; LG Helt; M Liscidini; JE Sipe; C Corbari; A Canagasabey; M Ibsen; PG Kazansky,We demonstrate broadband polarization-entangled photon pair generation in a poled fiberphase matched for Type II downconversion in the 1.5 μm telecom band. Even with signal–idler separation greater than 100 nm; we observe fringe visibilities greater than 97% andtangle greater than 0.8. A Hong–Ou–Mandel interference experiment is also used toexperimentally confirm the broadband nature of the entanglement.,Optics letters,2013,17
Polarization insensitive phase modulator for quantum cryptosystems,Bing Qi; Lei-Lei Huang; Hoi-Kwong Lo; Li Qian,In this paper; we propose a polarization-insensitive phase modulation scheme based onfrequency modulation of light waves using either one or a pair of acousto-optic modulators.A stable Sagnac quantum key distribution (QKD) system employing this technique is alsoproposed. The interference visibility for a 40km and a 10km fiber loop is 96% and 99%respectively; at single-photon level. We ran standard BB84 QKD protocol in a simplifiedSagnac setup (40km fiber loop) continuously for one hour and the measured quantum biterror rate stayed within 2%-5% range.,Optics express,2006,15
Continuous-wave quasi-phase-matched waveguide correlated photon pair source on a III–V chip,Peyman Sarrafi; Eric Y Zhu; Ksenia Dolgaleva; Barry M Holmes; David C Hutchings; J Stewart Aitchison; Li Qian,We report on the demonstration of correlated photon pair generation in a quasi-phase-matched superlattice GaAs/AlGaAs waveguide using a continuous-wave pump. Our photonpair source has a low noise level and achieves a high coincidence-to-accidental ratiogreater than 100; which is the highest value reported in III–V chips so far. This correlatedphoton pair source has the potential to be monolithically integrated with on-chip pump lasersources fabricated on the same superlattice wafer structure; enabling directcorrelated/entangled photon pair production from a compact electrically powered chip.,Applied Physics Letters,2013,14
Picosecond optical parametric oscillator tunable around 1.55 μm,L Qian; SD Benjamin; PWE Smith,Abstract We describe the design and operation of a Ti: sapphire-pumped picosecond opticalparametric oscillator based on the nonlinear crystal KTP. It has the combined advantages ofa large tuning range centered at 1.55 μm; relatively high efficiency; transform-limited pulseoutput; and good spatial mode quality. It is critically phase-matched to give a continuoustuning range from 1.44 μm to 1.64 μm. Tuning is conveniently achieved by tuning the pumpwavelength. Non-collinear pumping is used to compensate for spatial walk-off. The outputpulse duration is 1.1 ps when pumped by a 1.8 ps pulse. The pump threshold power is 800mW; and we have obtained over 200 mW of average signal power by pumping at 2.1 W; ingood agreement with the predictions of our modeling calculations.,Optics communications,1996,14
Femtosecond laser writing of a flat-top interleaver via cascaded Mach-Zehnder interferometers,Jason C Ng; Chengbo Li; Peter R Herman; Li Qian,A flat-top interleaver consisting of cascaded Mach-Zehnder interferometers (MZIs) wasfabricated in bulk glass by femtosecond laser direct writing. Spectral contrast ratios ofgreater than 15 dB were demonstrated over a 30 nm bandwidth for 3 nm channel spacing.The observed spectral response agreed well with a standard transfer matrix modelgenerated from responses of individual optical components; demonstrating the possibility formulti-component optical design as well as sufficient process accuracy and fabricationconsistency for femtosecond laser writing of advanced optical circuits in three dimensions.,Optics express,2012,13
Continuous-wave fiber cavity ring-down measurements using frequency-shifted interferometry,Fei Ye; Bing Qi; Li Qian,We present a spatial-domain fiber cavity ring-down (CRD) technique that does not requireoptical pulses for time-resolved detection. Instead of measuring the intensity decay rate of anoptical pulse in the time domain as in conventional CRD experiments; we measure thedecay rate of a CW signal in a ring-down cavity (RDC) using frequency-shifted interferometryin the spatial domain; as a function of distance traveled by the light. As a proof-of-conceptdemonstration; we measured fiber bend loss in a loop RDC using this technique; and acavity loss change as low as 0.0135? dB induced by every fiber turn on a mandrel wasunambiguously discerned.,Optics letters,2011,13
Correlated photon pair generation in AlGaAs nanowaveguides via spontaneous four-wave mixing,Pisek Kultavewuti; Eric Y Zhu; Li Qian; Vincenzo Pusino; Marc Sorel; J Stewart Aitchison,We demonstrate a source of correlated photon pairs which will have applications in futureintegrated quantum photonic circuits. The source utilizes spontaneous four-wave mixing(SFWM) in a dispersion-engineered nanowaveguide made of AlGaAs; which has merits ofnegligible two-photon absorption and low spontaneous Raman scattering (SpRS). Weobserve a coincidence-to-accidental (CAR) ratio up to 177; mainly limited by propagationlosses. Experimental results agree well with theoretical predictions of the SFWM photon pairgeneration and the SpRS noise photon generation. We also study the effects from the SpRS;propagation losses; and waveguide lengths on the quality of our source.,Optics express,2016,12
Bottom-Boundary Layer,Wenyan Zhang,Definition The term beach processes refers to the collection of processes that areresponsible for the formation and maintenance of morphological features and materials thatmake up all facets of units comprising the beach per se. Because the beach has subaerialand submarine components; processes range from the effects of wind to waves; currents;and tides acting on sediment supply and redistribution to form beach types. Importantprocesses include swash run-up and rundown; overtopping; infiltration into the beachface;step generation; bar formation; cusp development; and so on. Processes and materialsinteract in a dynamic manner in continual adjustment to changing environmental conditionsassociated with wind regimes; wave climates; tides; and extreme events such as storm surgeand tsunamis.,Encyclopedia of Marine Geosciences,2016,12
