Service-oriented computing,M. P Papazoglou; D Georgakopoulos,*,Communications of the ACM,2003,3766
Distributed object management,Frank Manola; Sandra Heiler; Dimitrios Georgakopoulos; Mark Hornick; Michael Brodie,Future information processing environments will consist of a vast network of heterogeneous;autonomous; and distributed computing resources; including computers (from mainframe topersonal); information-intensive applications; and data (files and databases). A keychallenge in this environment is providing capabilities for combining this varied collection ofresources into an integrated distributed system; allowing resources to be flexibly combined;and their activities coordinated; to address challenging new information processingrequirements. In this paper; we describe the concept of distributed object management; andidentify its role in the development of these open; interoperable systems. We identify the keyaspects of system architectures supporting distributed object management; and describespecific elements of a distributed object management system being developed at GTE …,International Journal of Intelligent and Cooperative Information Systems,1992,136
Specification and management of extended transactions in a programmable transaction environment,Dimitrios Georgakopoulos; Mark Hornick; Piotr Krychniak; Frank Manola,A Transaction Specification and Management Environment (TSME) is a transactionprocessing system toolkit that supports the definition and construction of application-specificextended transaction models (ETMs). The TSME provides a transaction specificationlanguage that allows a transaction model designer to create implementation-independentspecifications of extended transactions. In addition; the TSME provides a programmabletransaction management mechanism that assembles and configures a run-time environmentto support specified ETMs. The authors discuss the TSME in the context of a distributedobject management system (DOMS); and describe specifications of extended transactionsand corresponding configurations of transaction management mechanisms.,Data Engineering; 1994. Proceedings. 10th International Conference,1994,126
Using tickets to enforce the serializability of multidatabase transactions,Dimitrios Georgakopoulos; Marek Rusinkiewicz; Amit P.  Sheth,To enforce global serializability in a multidatabase environment the multidatabasetransaction manager must take into account the indirect (transitive) conflicts betweenmultidatabase transactions caused by local transactions. Such conflicts are difficult toresolve because the behavior or even the existence of local transactions is not known to themultidatabase system. To overcome these difficulties; we propose to incorporate additionaldata manipulation operations in the subtransactions of each multidatabase transaction. Weshow that if these operations create direct conflicts between subtransactions at eachparticipating local database system; indirect conflicts can be resolved even if themultidatabase system is not aware of their existence. Based on this approach; we introduceoptimistic and conservative multidatabase transaction management methods that require …,IEEE Transactions on Knowledge and Data Engineering,1994,126
Sensor search techniques for sensing as a service architecture for the internet of things,Charith Perera; Arkady Zaslavsky; Chi Harold Liu; Michael Compton; Peter Christen; Dimitrios Georgakopoulos,The Internet of Things (IoT) is part of the Internet of the future and will comprise billions ofintelligent communicating “things” or Internet Connected Objects (ICOs) that will havesensing; actuating; and data processing capabilities. Each ICO will have one or moreembedded sensors that will capture potentially enormous amounts of data. The sensors andrelated data streams can be clustered physically or virtually; which raises the challenge ofsearching and selecting the right sensors for a query in an efficient and effective way. Thispaper proposes a context-aware sensor search; selection; and ranking model; calledCASSARAM; to address the challenge of efficiently selecting a subset of relevant sensorsout of a large set of sensors with similar functionality and capabilities. CASSARAM considersuser preferences and a broad range of sensor characteristics such as reliability; accuracy …,IEEE Sensors Journal,2014,111
Service-oriented computing,Dimitrios Georgakopoulos; Michael Papazoglou,Cooperative information systems Incluye bibliografías e índice. Overview of service-orientedcomputing / Dimitrios Georgakopoulos and Michael P. Papazoglou -- Conceptual modeling ofservice-driven applications / Boualem Benatallah ... [et al.] -- Realizing service-oriented architectureswith Web Services / Jim Webber and Savas Parastatidis -- Service-oriented support for dynamicinterorganizational business process management / Paul Grefen -- Data and process mediationin semantic Web Services / Adrian Mocan; Emilia Cimpian; and Christoph Bussler -- Towardconfigurable QoS-aware Web Services infrastructure / Lisa Bahler ... [et al.] -- Configurable QoScomputation and policing in dynamic Web Service selection / Anne HH Ngu ... [et al.] -- WS-agreementconcepts and use : agreement-based; service-oriented architectures / Heiko Ludwig -- Transactionsupport for Web Services / Mark Little -- Transactional Web Services / Stefan Tai ... [et al.] …,*,2009,110
Customizing transaction models and mechanisms in a programmable environment supporting reliable workflow automation,Dimitrios Georgakopoulos; Mark F Hornick; Frank Manola,A Transaction Specification and Management Environment (TSME) is a programmablesystem that supports implementation-independent specification of application-specificextended transaction models (ETMs) and configuration of transaction managementmechanisms (TMMs) to enforce specified ETMs. The TSME can ensure correctness andreliability while allowing the functionality required by workflows and other advancedapplications that require access to multiple heterogeneous; autonomous; and/or distributed(HAD) systems. To support ETM specification; the TSME provides a transaction specificationlanguage that describes dependencies between transactions. Unlike other ETMspecification languages; TSME's dependency descriptors use a common set of primitives;and are enforceable; ie; can be evaluated at any time during transaction execution to …,IEEE Transactions on Knowledge and Data Engineering,1996,98
Context-aware sensor search; selection and ranking model for internet of things middleware,Charith Perera; Arkady Zaslavsky; Peter Christen; Michael Compton; Dimitrios Georgakopoulos,As we are moving towards the Internet of Things (IoT); the number of sensors deployedaround the world is growing at a rapid pace. Market research has shown a significant growthof sensor deployments over the past decade and has predicted a substantial acceleration ofthe growth rate in the future. It is also evident that the increasing number of IoT middlewaresolutions are developed in both research and commercial environments. However; sensorsearch and selection remain a critical requirement and a challenge. In this paper; wepresent CASSARAM; a context-aware sensor search; selection; and ranking model forInternet of Things to address the research challenges of selecting sensors when largenumbers of sensors with overlapping and sometimes redundant functionality are available.CASSARAM proposes the search and selection of sensors based on user priorities …,Mobile Data Management (MDM); 2013 IEEE 14th International Conference on,2013,87
A security framework in G-Hadoop for big data computing across distributed Cloud data centres,Jiaqi Zhao; Lizhe Wang; Jie Tao; Jinjun Chen; Weiye Sun; Rajiv Ranjan; Joanna Kołodziej; Achim Streit; Dimitrios Georgakopoulos,Abstract MapReduce is regarded as an adequate programming model for large-scale data-intensive applications. The Hadoop framework is a well-known MapReduce implementationthat runs the MapReduce tasks on a cluster system. G-Hadoop is an extension of theHadoop MapReduce framework with the functionality of allowing the MapReduce tasks torun on multiple clusters. However; G-Hadoop simply reuses the user authentication and jobsubmission mechanism of Hadoop; which is designed for a single cluster. This workproposes a new security model for G-Hadoop. The security model is based on severalsecurity solutions such as public key cryptography and the SSL protocol; and is dedicatedlydesigned for distributed environments. This security framework simplifies the usersauthentication and job submission process of the current G-Hadoop implementation with …,Journal of Computer and System Sciences,2014,85
Mosden: An internet of things middleware for resource constrained mobile devices,Charith Perera; Prem Prakash Jayaraman; Arkady Zaslavsky; Dimitrios Georgakopoulos; Peter Christen,The Internet of Things (IoT) is part of Future Internet and will comprise many billions ofInternet Connected Objects (ICO) orthings' where things can sense; communicate; computeand potentially actuate as well as have intelligence; multi-modal interfaces; physical/virtualidentities and attributes. Collecting data from these objects is an important task as it allowssoftware systems to understand the environment better. Many different hardware devicesmay involve in the process of collecting and uploading sensor data to the cloud wherecomplex processing can occur. Further; we cannot expect all these objects to be connectedto the computers due to technical and economical reasons. Therefore; we should be able toutilize resource constrained devices to collect data from these ICOs. On the other hand; it iscritical to process the collected sensor data before sending them to the cloud to make …,System Sciences (HICSS); 2014 47th Hawaii International Conference on,2014,78
Ca4iot: Context awareness for internet of things,Charith Perera; Arkady Zaslavsky; Peter Christen; Dimitrios Georgakopoulos,Internet of Things (IoT) will connect billions of sensors deployed around the world together.This will create an ideal opportunity to build a sensing-as-a-service platform. Due to largenumber of sensor deployments; there would be number of sensors that can be used tosense and collect similar information. Further; due to advances in sensor hardwaretechnology; new methods and measurements will be introduced continuously. In the IoTparadigm; selecting the most appropriate sensors which can provide relevant sensor data toaddress the problems at hand among billions of possibilities would be a challenge for bothtechnical and non-technical users. In this paper; we propose the Context Awareness forInternet of Things (CA4IOT) architecture to help users by automating the task of selecting thesensors according to the problems/tasks at hand. We focus on automated configuration of …,Green Computing and Communications (GreenCom); 2012 IEEE International Conference on,2012,73
Managing escalation of collaboration processes in crisis mitigation situations,Dimitrios Georgakopoulos; Hans Schuster; Donald Baker; Andrzej Cichocki,Processes for crisis mitigation must permit coordination flexibility and dynamic change toempower crisis mitigation coordinators and experts to deal with unexpected situations.However; such mitigation processes must also provide enough structure to prevent chaoticresponse and increase mitigation effectiveness. Such combination of structure and flexibilitycannot be effectively supported by existing workflow or groupware technologies. In thispaper; we introduce the Collaboration Management Infrastructure (CMI) and describe itscapabilities for supporting crisis mitigation processes. CMI provides a comprehensiveCollaboration Management Model (CMM) and a corresponding federated system. CMMsupports process templates that provide the initial activities; control and data flow structure;and resources needed to start mitigating a variety of crisis situations. In the event of a …,Data Engineering; 2000. Proceedings. 16th International Conference on,2000,68
Technology and tools for comprehensive business process lifecycle management,Dimitrios Georgakopoulos; Aphrodite Tsalgatidou,Abstract Business processes are collections of one or more linked activities which realize abusiness objective or policy goal; such as fulfilling a business contract; and/or satisfying aspecific customer need. The lifecycle of a business process involves everything fromcapturing the process in a computerized representation to automating the process. Thistypically includes specific steps for measuring; evaluating; and improving the process.Currently; commercially available workflow management systems (WFMSs) and businessprocess modeling tools (BPMTs) provide for complementary aspects of business processlifecycle management. Furthermore; new concepts and interoperating tools in thesecategories are emerging to provide comprehensive support for managing the entirebusiness process lifecycle. In this paper we provide an overview and an evaluation of the …,*,1998,63
Method for enforcing the serialization of global multidatabase transactions through committing only on consistent subtransaction serialization by the local database...,*,Our invention guarantees global serializability by preventing multidatabase transactionsfrom being serialized in different ways at the participating local database systems (LDBS). Inone embodiment tickets are used to inform the MDBS of the relative serialization order of thesubtransactions of each global transactions at each LDBS. A ticket is a (logical) timestampwhose value is stored as a regular data item in each LDBS. Each substransaction of a globaltransaction is required to issue the take-a-ticket operations which consists of reading thevalue of the ticket (ie; read ticket) and incrementing it (ie; write (ticket+ 1)) through regulardata manipulation operations. Only the subtransactions of global transactions take tickets.When different global transactions issue subtransactions at a local database; eachsubtransaction will include the take-a-ticket operations. Therefore; the ticket values …,*,1993,63
An ontology-based system for Cloud infrastructure services' discovery,Miranda Zhang; Rajiv Ranjan; Armin Haller; Dimitrios Georgakopoulos; Michael Menzel; Surya Nepal,The Cloud infrastructure services landscape advances steadily leaving users in the agony ofchoice. As a result; Cloud service identification and discovery remains a hard problem dueto different service descriptions; non-standardised naming conventions and heterogeneoustypes and features of Cloud services. In this paper; we present an OWL-based ontology; theCloud Computing Ontology (CoCoOn) that defines functional and non-functional concepts;attributes and relations of infrastructure services. We also present a system;CloudRecommender-that implements our domain ontology in a relational model. Thesystem uses regular expressions and SQL for matching user requests to servicedescriptions. We briefly describe the architecture of the CloudRecommender system; anddemonstrate its effectiveness and scalability through a service configuration selection …,Collaborative Computing: Networking; Applications and Worksharing (CollaborateCom); 2012 8th International Conference on,2012,60
A framework for enforceable specification of extended transaction models and transactional workflows,Dimitrios Georgakopoulos; Mark F Hornick,A variety of extensions to the traditional (ACID) transaction model have resulted in a plethoraof extended transaction models (ETMs). Many of these ETMs are application-specific; ie theyare designed to provide correctness guarantees adequate for a particular application; butnot others. Similarly; an application-specific ETM may impose restrictions that areunacceptable in one application; yet required in another. To define new ETMs; to determinewhether an ETM is appropriate for an application; and to integrate ETMs to produce newETMs; we need a framework for ETM specification and reasoning. In this paper; we describesuch a framework. Our framework supports implementation-independent specification ofETMs described in terms of dependencies between transactions. Dependencies arespecified using dependency descriptors. Unlike other transaction specification …,International Journal of Intelligent and Cooperative Information Systems,1994,60
Providing customized process and situation awareness in the collaboration management infrastructure,Donald Baker; Dimitrios Georgakopoulos; Hans Schuster; Anthony Cassandra; Andrzej Cichocki,Collaboration management involves capturing the collaboration process; coordinating theactivities of the participating applications and humans; and/or providing awareness; ie;information that is highly relevant to a specific role and situation of a process participant. Wepropose an awareness provisioning solution that allows customization of the awarenessdelivered to each process participant. Unlike existing collaboration managementtechnologies (such as workflow and groupware) that provide only a few built-in awarenesschoices; the proposed awareness solution allows the specification of what information is tobe given to what users and at what time. To support this advanced level of awareness; werequire the definition of awareness roles and the specification of corresponding awarenessdescriptions. Awareness roles can be dynamically created and associated with any …,Cooperative Information Systems; 1999. CoopIS'99. Proceedings. 1999 IFCIS International Conference on,1999,58
OMIBASE: Design and Implementation of a Multidatabase System,M. Rusinkiewicz; R Elmasri; B. Czejdo; D. Georgakopoulos; G. Karabatis; A. Jamoussi; K. Loa; Y. Li,*,Distributed Processing Technical Committee Newsletter,1998,54
An extended transaction environment for workflows in distributed object computing,Dimitrios Georgakopoulos; Mark F.  Hornick; Frank Manola; Michael L.  Brodie; Sandra Heiler; Farshad Nayeri; Benjamin Hurwitz,Distributed object computing is evolving as a new paradigm for solving complex distributedsystems problems. It is supported by Distributed Object Management Systems (DOMSs)MHGH+ 92]; which are object-oriented environments in which distributed; autonomous; andheterogeneous systems (such as database and legacy systems) can be integrated; andcomplex; non-traditional applications can be developed. A DOMS integrates local systemsby representing their data and functionality as objects; and allowing client applications toaccess them without knowing their location; access language; or data representation. It mustensure correct and reliable execution across multiple objects. The scope of a DOMS rangesfrom small centralized systems to massive world-wide information systems. There isincreasing interest in specifying applications in a DOMS environment as work ows …,IEEE Data Eng. Bull.,1993,54
OMNIBASE: Design and implementation of a multidatabase system,M Rusinkiewicz; R Elmasri; B Czejdo; D Georgakopoulos; G Karabatis; A Jamoussi; K Loa; Y Li,*,Proceedings of the 1st Annual Symposium in Parallel and Distributed Processing,1989,54
Efficient opportunistic sensing using mobile collaborative platform mosden,Prem Prakash Jayaraman; Charith Perera; Dimitrios Georgakopoulos; Arkady Zaslavsky,Mobile devices are rapidly becoming the primary computing device in people's lives.Application delivery platforms like Google Play; Apple App Store have transformed mobilephones into intelligent computing devices by the means of applications that can bedownloaded and installed instantly. Many of these applications take advantage of theplethora of sensors installed on the mobile device to deliver enhanced user experience. Thesensors on the smartphone provide the opportunity to develop innovative mobileopportunistic sensing applications in many sectors including healthcare; environmentalmonitoring and transportation. In this paper; we present a collaborative mobile sensingframework namely Mobile Sensor Data EngiNe (MOSDEN) that can operate onsmartphones capturing and sharing sensed data between multiple distributed …,Collaborative Computing: Networking; Applications and Worksharing (Collaboratecom); 2013 9th International Conference Conference on,2013,53
Workflow primitives modeling,*,A workflow management method and system including a process definition tool enabling auser to model a workflow process definition. A workflow management engine is configuredto interpret the workflow process definition to perform workflow management tasks. Thedefinition tool and workflow management engine are configured to support primitivesincluding an inhibitor primitive that enables modeling processes having mutually exclusiveinterdependencies; an option primitive that may be instantiated zero or more times; a groupassignment primitive that supports group activity; and an activity placeholder that enablesthe specification of activities whose concrete types may be unknown at process definitiontime.,*,2002,51
Special issue on e-services,F Casati; MC Shan; D Georgakopoulos,*,*,2001,47
Multidatabase recoverability and recovery,Dimitrios Georgakopoulos,To support global transactions in a multidatabase environment; one must coordinate theactivities of multiple database management systems; that were designed for independent;stand-alone operation. The autonomy and heterogeneity of these systems present a majorimpediment to the direct adaptation of transaction management mechanisms developed fordistributed database systems. This paper addresses the problems in multidatabaserecovery. Most solutions proposed to provide multidatabase recovery are either allowincorrect results or place severe restrictions on global and local transactions. To assure thatmultidatabase recovery preserves the consistency of a multidatabase system. The authorintroduces a multidatabase recoverability requirement. He also describes a recoverymechanism that takes advantage of the local recovery in the participating database …,Interoperability in Multidatabase Systems; 1991. IMS'91. Proceedings.; First International Workshop on,1991,41
Guest editorial,Fabio Casati; Ming-Chien Shan; Dimitrios Georgakopoulos,E-services are announced as the next wave of Internet-based business applications; that willdramatically change the use of the Internet; and is expected to fulfill many different needs of manydifferent kinds of users in a dynamic and proactive way. An e-service is often defined as an applicationaccessible via the Web; that provides a set of functionalities to businesses or individuals. Whatmakes the e-service vision attractive is the ability to automatically discover the e-services thatfulfill the users' needs; negotiate service contracts; and have the services delivered where andwhen users needs them. To achieve these objectives; e-service developers; provi- ders; andhosting hubs are faced with several challenges; rang- ing from how to quickly develop and deployapplications that can deliver services via the Web; to how to describe and adver- tise e-servicesso that they can be discovered by potential users; how to support automated …,The VLDB Journal,2001,40
Awareness provisioning in collaboration management,Donald Baker; Dimitrios Georgakopoulos; Hans Schuster; Andrzej Cichocki,Collaboration management involves capturing the collaboration process; coordinating theactivities of the participating applications and humans; and/or providing awareness; ieinformation that is highly relevant to a specific role and situation of a process participant. Inthis paper; we propose an awareness provisioning solution that allows focusing;customizing; and temporally constraining the awareness delivered to each processparticipant. Unlike existing collaboration management technologies (such as workflow andgroupware) that provide only a few built-in awareness choices; the proposed awarenesssolution allows the specification of what information is to be given to what users and at whattime. To support this advanced level of awareness; we require the definition of awarenessroles and the specification of corresponding awareness descriptions. Awareness roles …,International journal of cooperative information systems,2002,36
A decentralized deadlock-free concurrency control method for multidatabase transactions,Raj Kumar Batra; Marek Rusinkiewicz; Dimitrios Georgakopoulos,A global concurrency control mechanism for multidatabase systems that preserves theautonomy of local databases and is free from global deadlocks is presented. Themechanism extends the notion of timestamps to a multidatabase environment to enforce theglobal serialization order through additional data operations on a data item stored in localsystems. The main advantage of the mechanism is that it allows a fully distributedarchitecture; in which concurrency control decisions can be made on the basis of locallyavailable information. Since no centralized information is maintained by the mechanism; itprovides a higher degree of fault tolerance and allows incremental growth.,Distributed Computing Systems; 1992.; Proceedings of the 12th International Conference on,1992,36
Capturing sensor data from mobile phones using global sensor network middleware,Charith Perera; Arkady Zaslavsky; Peter Christen; Ali Salehi; Dimitrios Georgakopoulos,Mobile phones play increasingly bigger role in our everyday lives. Today; most smartphones comprise a wide variety of sensors which can sense the physical environment. TheInternet of Things vision encompasses participatory sensing which is enabled using mobilephones based sensing and reasoning. In this research; we propose and demonstrate ourDAM4GSN architecture to capture sensor data using sensors built into the mobile phones.Specifically; we combine an open source sensor data stream processing enginecalledGlobal Sensor Network (GSN)'with the Android platform to capture sensor data. Toachieve this goal; we proposed and developed a prototype application that can be installedon Android devices as well as a AndroidWrapper as a GSN middleware component. Theprocess and the difficulty of manually connecting sensor devices to sensor data …,Personal Indoor and Mobile Radio Communications (PIMRC); 2012 IEEE 23rd International Symposium on,2012,35
An Environment for the Specification and Management of Extended Transactions in DOMS,Dimitrios Georgakopoulos; Mark Hornick; Piotr Krychniak,A transaction specification and management environment (TSME) is a toolkit that supportsthe definition and construction of specific extended transaction models corresponding toapplication requirements. The TSME provides a transaction specification language thatallows a transaction designer to create implementation-independent specifications ofextended transactions. In addition; the TSME provides a programmable transactionmanagement mechanism (TMM) that assemblies and configures a run-time environment tosupport specified extended transaction models. The authors discuss the TSME in the contextof a distributed object management system (DOMS).,Research Issues in Data Engineering; 1993: Interoperability in Multidatabase Systems; 1993. Proceedings RIDE-IMS'93.; Third International Workshop on,1993,35
Investigating decision support techniques for automating cloud service selection,Miranda Zhang; Rajiv Ranjan; Armin Haller; Dimitrios Georgakopoulos; Peter Strazdins,The compass of Cloud infrastructure services advances steadily leaving users in the agonyof choice. To be able to select the best mix of service offering from an abundance ofpossibilities; users must consider complex dependencies and heterogeneous sets of criteria.Therefore; we present a PhD thesis proposal on investigating an intelligent decision supportsystem for selecting Cloud-based infrastructure services (eg storage; network; CPU). Theoutcomes of this will be decision support tools and techniques; which will automate and mapusers' specified application requirements to Cloud service configurations.,Cloud Computing Technology and Science (CloudCom); 2012 IEEE 4th International Conference on,2012,33
The collaboration management infrastructure,Hans Schuster; Donald Baker; Andrzej Cichocki; Dimitrios Georgakopoulos; Marek Rusinkiewicz,The Collaboration Management lnfrastructure (CMI) has been developed at MCC to managecollaboration processes in both traditional and virtual enterprises; and to provide combinedprocess and situation awareness. CMI technology development is driven by therequirements of many advanced applications provided by the companies that are membersof the consortial CMI project. Such advanced applications include crisis mitigation;command and control; logistics; and service provisioning in virtual enterprises. Theseapplications are not effectively supported by existing workflow and groupware technologies.To address the requirements imposed by these applications CMI provides a sophisticatedCollaboration Management Model (CMM) and a corresponding component-oriented systemthat implements the CMM. CMM draws existing primitives from workflow and groupware …,Data Engineering; 2000. Proceedings. 16th International Conference on,2000,32
Public Auditing for Big Data Storage in Cloud Computing--A Survey,Chang Liu; Rajiv Ranjan; Xuyun Zhang; Chi Yang; Dimitrios Georgakopoulos; Jinjun Chen,Data integrity is an important factor to ensure in almost any data and computation relatedcontext. It serves not only as one of the qualities of service; but also an important part of datasecurity and privacy. With the proliferation of cloud computing and the increasing needs inbig data analytics; verification of data integrity becomes increasingly important; especially onoutsourced data. Therefore; research topics related to data integrity verification haveattracted tremendous research interest. Among all the metrics; efficiency and security aretwo of the most concerned measurements. In this paper; we provide an analysis onauthenticator-based efficient data integrity verification. we will analyze and provide a surveyon the main aspects of this research problem; summarize the research motivations;methodologies as well as main achievements of several of the representative approaches …,Computational Science and Engineering (CSE); 2013 IEEE 16th International Conference on,2013,31
Chronological scheduling of transactions with temporal dependencies,Dimitrios Georgakopoulos; Marek Rusinkiewicz; Witold Litwin,Abstract Database applications often impose temporal dependencies between transactionsthat must be satisfied to preserve data consistency. The extant correctness criteria used toschedule the execution of concurrent transactions are either time independent or use strict;difficult to satisfy real-time constraints. On one end of the spectrum; serializability completelyignores time. On the other end; deadline scheduling approaches consider the outcome ofeach transaction execution correct only if the transaction meets its real-time deadline. In thisarticle; we explore new correctness criteria and scheduling methods that capture temporaltransaction dependencies and belong to; the broad area between these two extremeapproaches. We introduce the concepts of succession dependency and chronologicaldependency and define correctness criteria under which temporal dependencies …,The VLDB Journal,1994,31
