Superplume Metasomatism: Evidence from Siberian mantle xenoliths,Geoffrey Howarth; Peter Barry; John Pernet-Fisher; Ioannis Baziotis; Nikolay Pokhilenko; Lyudmila Pokhilenko; Robert Bodnar; Lawrence Taylor,Abstract The Siberian craton contains> 1000 kimberlite intrusions of various ages (Silurianto Jurassic); making it an ideal locality for a craton-wide study on the evolution of the sub-continental lithospheric mantle (SCLM). The primary objective of this study is to characterizethe temporal and spatial metasomatic effects on the Siberian SCLM; focusing on themetasomatic imprint rendered by the Siberian superplume. We report new major-and trace-element mineral data for mantle peridotite xenoliths; obtained from the Late DevonianUdachnaya and the Late Jurassic Obnazhennaya kimberlites; which bracket the thermalclimax of the Siberian superplume.,Lithos,2014,50
LASS U-Th-Pb monazite and rutile geochronology of felsic high-pressure granulites (Rhodope; N Greece): Effects of fluid; deformation and metamorphic reactions in...,Nicole Wawrzenitz; Alexander Krohe; Ioannis Baziotis; Evripidis Mposkos; Andrew R.C. Kylander-Clark; Rolf L. Romer,Abstract The specific chemical composition of monazite in shear zones is controlled by thesyndeformation dissolution–precipitation reactions of the rock-forming minerals. This relationcan be used for dating deformation; even when microfabric characteristics like shapepreferred orientation or intracrystalline deformation of monazite itself are missing. Monazitecontemporaneously formed in and around the shear zones may have different compositions.These depend on the local chemical context rather than reflecting successive crystallizationepisodes of monazite. This is demonstrated in polymetamorphic; mylonitic high-pressure(HP) garnet–kyanite granulites of the Alpine Sidironero Complex (Rhodope UHP terrain;Northern Greece). The studied mylonitic rocks escaped from regional migmatization at 40–36 Ma and from subsequent shearing through cooling until 36 Ma. In-situ laser-ablation …,Lithos,2015,8
Micro-and nanodiamonds in garnets of metapelitic rocks from the Greek Rhodope: an in situ micro-Raman study,M Perraki; A Proyer; E Mposkos; R Kaindl; I Baziotis; G Hoinkes,1Institute for Mineralogy and Petrology; Karl-Franzens University of Graz; Universitaetplatz2; A-8010; Graz; Austria; maria. perraki@ uni-graz. at 2Department of GeoSciences;National Technical University of Athens; Heroon Politechniou 9; Zografou (Athens); GR-15773; Greece,Proceedings of the 5th International Symposium on Eastern Mediterranean Geology,2004,8
Alpine UHP metamorphism in the Kimi complex of the Rhodope HP province NE Greece: mineralogical and textural indicators,E Mposkos; I Baziotis; S Palikari; M Perraki; A Krohe; G Hoinkes,*,32nd International Geological Congress; Florence; Italy,2004,8
Physico-chemical properties of different carbonate rocks: are they highly enough to control lime reactivity?,Ioannis Baziotis; George Leontakianakos; Alexander Proyer; Heesoo Lee; Stamatios Tsimas,Abstract We have examined 5 different carbonate rocks in order to study their behaviorduring calcination at different temperatures (900; 1050 and 12000C for 30 min) andhydration properties of quick limes and the final interconnection of the primary material withthe reactivity of the slaked lime. Quick limes calcined at 9000C show the lower reactivityvalues. This could be related to the low calcination temperature or to the short calcinationtime of 30 min which was insufficient to produce enough lime. The samples calcined attemperatures of 12000C are less reactive compared to those calcined at 10500C; indicatedby parameters such as the (CaO+ MgO) Lime; the time required to reach the temperaturemaximum and the reactivity rate. This; probably could be due to annealing effects such ascrystal coarsening and reduction of porosity at relatively high temperatures.,International Journal of Chemistry,2011,7
Metamorphic reprocessing of a serpentinized carbonate-bearing peridotite after detachment from the mantle wedge: AP–T path constrained from textures and phase...,E Mposkos; I Baziotis; A Proyer,Abstract In the central Rhodope mountains of Greece a carbonate-bearing metaperidotitelens∼ 200× 500 m in size crops out as part of the high-to ultrahigh-pressure metamorphicUpper Sidironero Complex∼ 500 m SE of the Gorgona Village; north of Xanthi town. It iscomposed primarily of coarse grained (3–20 mm in size) olivine and orthopyroxene; mediumgrained clinohumite and medium to fine grained tremolite; chlorite; dolomite; magnesite; talc;antigorite and various spinel phases. Whole-rock chemistry; mineral textures andcompositions; and phase diagram calculations show that the metaperidotite was subjectedto a prograde HP metamorphism; isofacial with the surrounding migmatitic gneisses;metapelites and amphibolites. The prograde character of metamorphism is demonstrated byinclusions of talc; antigorite; chlorite; dolomite; magnesite and Ti-clinohumite in ferrit …,Lithos,2010,7
Petrography and geochemistry of the enriched basaltic shergottite Northwest Africa 2975,Qi He; Long Xiao; J Brian Balta; Ioannis P Baziotis; Weibiao Hsu; Yunbin Guan,Abstract We present a study of the petrology and geochemistry of basaltic shergottiteNorthwest Africa 2975 (NWA 2975). NWA 2975 is a medium-grained basalt with subophiticto granular texture. Electron microprobe (EMP) analyses show two distinct pyroxenecompositional trends and patchy compositional zoning patterns distinct from those observedin other meteorites such as Shergotty or QUE 94201. As no bulk sample was available to usfor whole rock measurements; we characterized the fusion crust and its variability bysecondary ion mass spectrometer (SIMS) measurements and laser ablation inductivelycoupled plasma spectroscopy (LA-ICP-MS) analyses as a best-available proxy for the bulkrock composition. The fusion crust major element composition is comparable to the bulkcomposition of other enriched basaltic shergottites; placing NWA 2975 within that sample …,Meteoritics & Planetary Science,2015,6
Ti- and Zr-minerals in calcite-dolomite marbles from the ultrahigh-pressure Kimi Complex; Rhodope mountains; Greece: Implications for the P-T evolution based on r...,Alexander Proyer; Ioannis Baziotis; Evripidis Mposkos; Dieter Rhede,Abstract Rutile; titanite; and zircon formed as relatively coarse-grained accessory minerals inseveral samples of high-grade calcite-dolomite marble with an early ultrahigh-pressurehistory. These minerals decomposed to a texturally complex set of secondary mineralsduring subsequent stages of retrograde metamorphism. The reactions involve severalgenerations of geikielite-ilmenite as well as zirconolite [(Ca; Th; U) Zr (Ti; Fe; Nb; Ta) 2O7];kassite/cafetite [CaTi2O4 (OH) 2/CaTi2O5· H2O]; Ti-bearing humite group minerals;thorianite; and sometimes euxenite [(Ca; U; Th; REE)(Nb; Ta; Ti) 2 (O; OH) 6]. Stablecoexistence of zircon and olivine is observed and stably coexisting titanite with olivineand/or humite-group minerals is reported here for the first time outside of carbonatites;kimberlites; or lamprophyres. Petrogenetic grids constructed for Ti-and Zr-bearing olivine …,American Mineralogist,2014,5
Reconstruction and correlation of the exhumation history of high-pressure/low-temperature metamorphic rocks from Attica,I Baziotis; E Mposkos; V Perdikatsis,*,International Conference Neogene Magmatism of the Central Aegean and Adjacent Areas (NECAM): Petrology; Tectonics; Geodynamics; Mineral Resources and Environmenst,2006,5
Mineral chemistry of the Tissint meteorite: Indications of two‐stage crystallization in a closed system,Yang Liu; Ioannis P Baziotis; Paul D Asimow; Robert J Bodnar; Lawrence A Taylor,Abstract The Tissint meteorite is a geochemically depleted; olivine-phyric shergottite. Olivinemegacrysts contain 300–600 μm cores with uniform Mg#(~ 80±1) followed by concentriczones of Fe-enrichment toward the rims. We applied a number of tests to distinguish therelationship of these megacrysts to the host rock. Major and trace element compositions ofthe Mg-rich core in olivine are in equilibrium with the bulk rock; within uncertainty; and rareearth element abundances of melt inclusions in Mg-rich olivines reported in the literature aresimilar to those of the bulk rock. Moreover; the P Kα intensity maps of two large olivine grainsshow no resorption between the uniform core and the rim. Taken together; these lines ofevidence suggest the olivine megacrysts are phenocrysts. Among depleted olivine-phyricshergottites; Tissint is the first one that acts mostly as a closed system with olivine …,Meteoritics & Planetary Science,2016,4
Continental rift and oceanic protoliths of mafic–ultramafic rocks from the Kechros Complex; NE Rhodope (Greece): implications from petrography; major and trace‑el...,Ioannis Baziotis; Evripides Mposkos; Paul D. Asimow,Abstract The whole-rock chemistry of eclogites; partially amphibolitized eclogites; and dykeamphibolites from the metamorphic Kechros complex in the eastern Rhodope Mountainspreserves evidence of the geodynamic framework for the origin of their protoliths. Major andtrace-element concentrations define two distinct protolith groups for the eclogites. The low-Fe–Ti (LFT) eclogites have low-TiO 2 content (< 0.67 wt%); negative high field strengthelement anomalies; and variable enrichments in large ion lithophile elements (LILE). Therare earth element (REE) patterns are characterized by strong light-REE (LREE) enrichmentand heavy-REE (HREE) depletion. The high-Fe–Ti (HFT) eclogites have small to moderateLILE enrichment and lack Nb anomalies. The REE patterns of the HFT eclogites arecharacterized by LREE depletion and relatively flat MREE–HREE patterns. The rock …,International Journal of Earth Sciences,2014,4
Raman microspectroscopy of carbonaceous material using the 633 nm line of a He–Ne laser: application to the metamorphic rocks of Attica,I Baziotis; E Mposkos; N Skarpelis,Raman spectra data of carbonaceous material (RSCM) from low-grade metamorphic rocksof Attica allows the application of a modified empirical RSCM thermometer. Previous Ramanstudies of carbonaceous material from regionally metamorphosed rocks have focused onthe dependence of graphitization on temperature using laser sources with 514.5 nm; 532nmand 785nm (Beyssac et al. 2002; Tice et al. 2004; Rahl et al. 2005). We have performedRaman spectral analyses using the 632.817 nm line of a He-Ne laser. For the calibrationprocedure; independent thermobarometric methods were applied. The samples werecalibrated for the temperature range 250-5500C. The R1 (D1/G) H ranges between 3.22 and0.12 and the R2 [D1/(D1+ D2+ G) A] between 0.73 and 0.10; both ratios decrease withtemperature. The R1 decreases at constant rate; whereas the R2 variation rate increases …,Geophysical Research Abstracts,2006,4
Amphibole zonation as a tool for tracing metamorphic histories: examples from Lavrion and Penteli metamorphic core complexes,Ioannis Baziotis; Alexander Proyer; Evripides Mposkos; Antonios Marsellos; George Leontakianakos,The amphiboles represent the predominant minerals in high pressure/low temperaturemetamafic rocks. Amphibole composition (eg cations Si; Al; Na) depends on the bulkcomposition; the solid solution's gaps and the PT conditions during metamorphism. The AlIV;NaA and Ti increase with temperature; whereas AlV I and NaB with pressure (Triboulet;1992). Increase of Si+ 4 and decrease of AlV I and (NaA+ NaB) in clinoamphibole isconcurrent with pressure decrease. We focus on Na-and Ca-amphiboles from greenschistsand blueschists from Lavrion (upper tectonic unit-UTU) and Penteli (lower tectonic unit-LTU)metamorphic complexes (Baziotis et al. 2009; Baziotis & Mposkos; 2011) in order to unravelthe relation of zonation with:(1) the physicochemical conditions and (2) the PT stages duringmetamorphic evolution. Amphiboles in Lavrion metabasites are the dominant rock …,EGU General Assembly Conference Abstracts,2014,3
Application of non-extensive statistical physics on Martian nakhlites: A first-order approach on the crystal size distribution of pyroxene using Tsallis entropy,Vallianatos Fillipos; Baziotis Ioannis; Udry Arya; Taylor Lawrence,*,Europhysics Letters,2014,3
Assessment of the quality of calcination of marbles from Thassos Island using Raman Spectroscopy and X-Ray Diffraction,G Leontakianakos; I Baziotis; E Profitis; E Chatzitheodoridis; S Tsimas,Abstract The degree of calcination of a dolomitic and a calcitic marble from Thassos Island;was investigated; by combining both Raman spectroscopy (RS) and X-Ray diffraction (XRD)techniques. The samples were prepared in isometric 2 cm cubes and calcined at threedifferent temperatures; 900; 1050 and 1200 0C for 2 hours in order to produce quick lime.RS was applied at the lime sample's surface and inner (near core) part after gently crushing.XRD was applied on the bulk rock specimens in order to verify the transformation processduring heating of the raw material. Quality control of the applied calcination procedure isprovided through the hydration of quick lime. The rise in solution temperature suggests thechemical “reactivity” of the produced slaked lime. Raman and XRD results revealed thepresence of unburned quantities of calcite and dolomite on samples that were calcined at …,Proceedings of the 13th international congress,2013,3
Sorption mechanism (s) of orthophosphate onto Ca (OH) 2 pretreated bentonite,Giorgos Markou; Vassilis J Inglezakis; Dimitris Mitrogiannis; Ilias Efthimiopoulos; Maria Psychoyou; Petros Koutsovitis; Koenraad Muylaert; Ioannis Baziotis,Bentonite was chemically pretreated with Ca (OH) 2 to enhance orthophosphatephosphorus (OPP) sorption capacity (qe). The pretreatment resulted in an increase of qefrom about 0.3 mg P per g to about 8 mg P per g at pH 7 and 25° C; and of OPPconcentration 100 mg P per L. The effects of solution pH; OPP concentration; sorbentdosage; and temperature on OPP sorption onto pretreated bentonite were investigated. Thevariation of initial pH (4–9) did not affect qe; however; re-adjustment of the final pH showedthat the variation of the final pH had a significant positive effect on qe. The sorption kineticsshowed a low rate; reaching half of qe in the first 4 h and equilibrium after 96 h. Thecalculated Langmuir qmax was 11.68 mg P per g. Thermodynamic analysis suggests thatthe sorption process is spontaneous and endothermic. Desorption of OPP was high in …,RSC Advances,2016,2
A comparative study of the physicochemical properties of Mg-rich and Ca-rich quicklimes and their effect on reactivity,G Leontakianakos; I Baziotis; A Papandreou; D Kanellopoulou; VN Stathopoulos; S Tsimas,Abstract We studied the physicochemical properties of quicklimes derived from typicalcarbonate rocks; focusing on variations in chemical composition and their effects onreactivity. Samples were selected based upon their composition (two Mg-rich and two Ca-rich samples); freshness (scarce secondary alteration features); texture (two commonHellenic limestones and two marbles); and similarity to materials commonly used inindustrial practice. We characterized the samples in detail by chemical analysis; X-raydiffraction; N 2-BET; scanning electron microscopy; petrography; TG/DTA and EN 459-2testing; and examined correlations between measured properties and reactivity.Surprisingly; specific surface area (SSA) is found not to be a determinant factor for reactivity.As expected; chemical composition has an important role in the sintering and slaking …,Materials and Structures,2014,2
The metamorphic evolution of the high-pressure Kechros complex in East Rhodope (NE Greece): Implications from Na-Al-rich leucocratic rocks within antigorite serp...,Evripides Mposkos; Ioannis Baziotis; George Leontakianakos; Peter Barry,Abstract The Rhodope Domain in NE Greece is comprised of different tectonometamorphiccomplexes involved in the Alpine collisional history between the Eurasian and Africanplates. The Kechros Complex represents the lowermost tectonic unit in East Rhodope; andcontains a metamorphic suite of Na–Al-rich leucocratic rocks (ie; alkali feldspar granites;alkali syenites and syenites) within the Virsini antigorite serpentinite. Based on thecalculated P–T pseudosection and superimposed isopleths for a meta-syenite; we havedetermined a peak pressure and temperature of 1.55±0.03 GPa and 550±25° C; suggestingHP metamorphism for leucocratic rocks enclosed in the Virsini serpentinized peridotites. Theretrograde conditions suggest a prolonged exhumation history; with equilibration conditionsfirst at P 1.1±0.03 GPa and T 580±20° C and then at P 0.55±0.04 GPa and T 430±30° C …,Lithos,2013,2
Late-and post-miocene geodynamic evolution of the Mesogea basin (east Attica; Greece): Constrains from sediments petrography and structure,Ε Μπόσκος; Alexander Krohe; Α Διαμαντόπουλος; Ι Βαζιώτης,*,Δελτίον της Ελληνικής Γεωλογικής Εταιρίας,2007,2
New P-T constraints on the Tamayen glaucophane-bearing rocks; eastern Taiwan: Perple_X modelling results and geodynamic implications,Ioannis Baziotis; Chin-Ho Tsai; Gary Ernst; Bor-Ming Jahn; Yoshiyuki Lizuka,Abstract New pseudosection modelling was applied to better constrain the P–T conditionsand evolution of glaucophane-bearing rocks in the Tamayen block of the Yuli belt;recognized as the world's youngest known blueschist complex. Based on the predominantclinoamphibole; textural relationships; and mineral compositions; these glaucophane-bearing high-P rocks can be divided into four types. We focused on the three containinggarnet. The chief phase assemblages are (in decreasing mode): amphibole+ quartz+epidote+ garnet+ chlorite+ rutile/titanite (Type-I); phengite+ amphibole+ quartz+ garnet+chlorite+ epidote+ titanite+ biotite+ magnetite (Type-II); and amphibole+ quartz+ albite+epidote+ garnet+ rutile+ hematite+ titanite (Type-III). Amphibole exhibits compositionalzoning from core to rim as follows: glaucophane→ pargasitic amphibole→ actinolite …,Journal of Metamorphic Geology,2016,1
Ιnfluence of natural water composition on reactivity of quicklimes derived from Ca-rich and Mg-rich limestones; implications for sustainability of lime manufacturing th...,George Geontakianakos; Ioannis Baziotis; Vassilis Stathopoulos; Zacharenia Kypritidou; Lefteris Profitis; Elias ; Chatzitheodoridis; Stamatis Tsimas,We studied the effects of water quality on the hydration of quicklimes prepared from calciticlimestone and dolomitic limestone during calcination at 1050° C. At a low total chloride andsulfate content; reactivity is insensitive to concentration and no effect on quicklime slaking isseen. At higher concentrations; however; we observe a chromatographic effect for chloridesand sulfates. Concentrated chlorides react with the slaking water; forming products such asCaCl2 that are much more soluble than Ca (OH) 2; which facilitates transformation ofquicklime to slaked lime. In the range of sulfate concentrations in natural waters weobserved no effect of sulfates during quicklime hydration. Consequently; in natural watersand their mixtures (conductivity< 2600 μS cm− 1); only chloride concentrations are found topromote quicklime hydration. These results suggest that water treatment technologies …,RSC Advances,2016,1
THE COMPLEX HISTORY OF TISSINT INFERRED FROM DIFFERENT TYPES OF MELT INCLUSIONS AND ISOTOPIC SYSTEMS.,L. Ferrière; F. Brandstätter; D. Topa; T. Schulz; I. P. Baziotis; C. Münker; and C. Koeberl,Abstract We will discuss the complex history of the Tissint meteorite; from its crystallizationuntil its ejection as recorded by the different types of melt occurrences (primary inclusions inolivines and impact related) and using isotopic data.,76th Annual Meteoritical Society Meeting,2013,1
Mojave crater: Possible source for Martian meteorites,SC Werner; HJ Melosh; HY McSween; Y Liu; IP Baziotis; RJ Bodnar; PS DeCarli; LA Taylor,Abstract Mojave Crater; just a few million years old; could be the source crater for martianmeteorites. This crater is significantly larger than sources previously suggested.,Lunar and Planetary Science Conference,2013,1
Detailed Raman Spectroscopic Study of the Tissint Meteorite: Extraordinary Occurrence of High Pressure Polymorphs in a Single Fresh Piece of Martian Shergottite,Ioannis Baziotis; Yang Liu; Lawrence Taylor,Abstract A recent (July 2011) witnessed fall of a Martian Shergottite; Tissint; has generatedgreat excitement for its pristine nature and its great scientific potential owing to its minimumterrestrial contamination. In recent work; using detailed petrography; electron microprobemethod; micro-Raman Spectroscopy on serial sections; we investigated the presence ofhigh-pressure (Hi-P) polymorphs occurring in impact-melt pockets throughout our 10 gmsample. Based upon the static and dynamic phase experimentation; we reconstructed thePTt conditions for the formation of these many polymorphs (Baziotis et al.; 2012; NatureComm.). Tissint is an olivine-phyric shergottite; with large olivine grains (2000 C.Furthermore; the large size of ringwoodite in Tissint likely reflects prolonged shockdurations. After heating; rapid cooling was achieved in~ 50 ms for the center of the melt …,EGU General Assembly,2013,1
