A stemming algorithm for the portuguese language,Viviane Moreira Orengo; Christian Huyck,*,String Processing and Information Retrieval; 2001. SPIRE 2001. Proceedings. Eighth International Symposium on,2001,180
Assessing the impact of Stemming Accuracy on Information Retrieval–A multilingual perspective,Felipe N Flores; Viviane P Moreira,Abstract The quality of stemming algorithms is typically measured in two different ways:(i)how accurately they map the variant forms of a word to the same stem; or (ii) how muchimprovement they bring to Information Retrieval systems. In this article; we evaluate variousstemming algorithms; in four languages; in terms of accuracy and in terms of their aid toInformation Retrieval. The aim is to assess whether the most accurate stemmers are also theones that bring the biggest gain in Information Retrieval. Experiments in English; French;Portuguese; and Spanish show that this is not always the case; as stemmers with highererror rates yield better retrieval quality. As a byproduct; we also identified the most accuratestemmers and the best for Information Retrieval purposes.,Information Processing & Management,2016,11
Assessing the impact of stemming accuracy on information retrieval,Felipe N Flores; Viviane P Moreira; Carlos A Heuser,Abstract The quality of stemming algorithms is typically measured in two different ways:(i)how accurately they map the variant forms of a word to the same stem; or (ii) how muchimprovement they bring to Information Retrieval. In this paper; we evaluate differentPortuguese stemming algorithms in terms of accuracy and in terms of their aid to InformationRetrieval. The aim is to assess whether the most accurate stemmers are also the ones thatbring the biggest gain in Information Retrieval. Our results show that some kind of correlationdoes exist; but it is not as strong as one might have expected.,International Conference on Computational Processing of the Portuguese Language,2010,10
Assessing relevance using automatically translated documents for cross-language information retrieval,Viviane Moreira Orengo,This thesis focuses on the Relevance Feedback (RF) process; and the scenario consideredis that of a Portuguese-English Cross-Language Information Retrieval (CUR) system. CURdeals with the retrieval of documents in one natural language in response to a queryexpressed in another language. RF is an automatic process for query reformulation. Theidea behind it is that users are unlikely to produce perfect queries; especially if given justone attempt. The process aims at improving the queryspecification; which will lead to morerelevant documents being retrieved. The method consists of asking the user to analyse aninitial sample of documents retrieved in response to a query and judge them for relevance.In that context; two main questions were posed. The first one relates to the user's ability inassessing the relevance of texts in a foreign language; texts hand translated into their …,*,2004,9
Comparing and combining Content‐and Citation‐based approaches for plagiarism detection,Solange de L Pertile; Viviane P Moreira; Paolo Rosso,Abstract The vast amount of scientific publications available online makes it easier forstudents and researchers to reuse text from other authors and makes it harder for checkingthe originality of a given text. Reusing text without crediting the original authors isconsidered plagiarism. A number of studies have reported the prevalence of plagiarism inacademia. As a consequence; numerous institutions and researchers are dedicated todevising systems to automate the process of checking for plagiarism. This work focuses onthe problem of detecting text reuse in scientific papers. The contributions of this paper aretwofold:(a) we survey the existing approaches for plagiarism detection based on content;based on content and structure; and based on citations and references; and (b) we comparecontent and citation-based approaches with the goal of evaluating whether they are …,Journal of the Association for Information Science and Technology,2016,8
Exploring Information Retrieval Features for Author Profiling.,Edson RD Weren; Viviane Pereira Moreira; José Palazzo M de Oliveira,Abstract This paper describes the methods we have employed to solve the author profilingtask at PAN-2014. Our goal was to rely mainly on features from Information Retrieval toidentify the age group and the gender of the author of a given text. We describe the features;the classification algorithms employed; and how the experiments were run. Also; we providean analysis of our results compared to other groups.,CLEF (Working Notes),2014,8
Using simple content features for the author profiling task,Edson RD Weren; Viviane P Moreira; J Oliveira,Abstract This paper describes the methods we have employed to solve the author profilingtask at PAN-2013. Our goal was to use simple features to identify the age group and thegender of the author of a given text. We introduce the features; detail how the classifierswere trained; and how the experiments were run.,Notebook for PAN at Cross-Language Evaluation Forum. Valencia; Spain,2013,8
UFRGS@ CLEF2008: Using Association Rules for Cross-Language Information Retrieval,André Pinto Geraldo; Viviane Moreira,Abstract For UFRGS's participation on the TEL task at CLEF2008; our aim was to assess thevalidity of using algorithms for mining association rules to find mappings between conceptson a Cross-Language Information Retrieval scenario. Our approach requires a sample ofparallel documents to serve as the basis for the generation of the association rules. Theresults of the experiments show that the performance of our approach is not statisticallydifferent from the monolingual baseline in terms of mean average precision. This is anindication that association rules can be effectively used to map concepts betweenlanguages. We have also tested a modification to BM25 that aims at increasing the weight ofrare terms. The results show that this modified version achieved better performance. Theimprovements were considered to be statistically significant in terms of MAP on our …,Evaluating Systems for Multilingual and Multimodal Information Access,2009,8
Portuguese-english experiments using latent semantic indexing,Viviane Moreira Orengo; Christian Huyck,Abstract This paper reports the work of Middlesex University in the CLEF bilingual task. Wehave carried out experiments using Portuguese queries to retrieve documents in English.The approach used was Latent Semantic Indexing; which is an automatic method notrequiring dictionaries or thesauri. We have also run a monolingual version of the system towork as a baseline. Here we describe in detail the methods used and give an analysis of theresults obtained.,Workshop of the Cross-Language Evaluation Forum for European Languages,2002,8
Exploring information retrieval features for author profiling—notebook for pan at clef 2014,Edson RD Weren; Viviane P Moreira; José PM de Oliveira,*,Cappellato et al.[6],*,7
Comparing the Quality of Focused Crawlers and of the Translation Resources Obtained from them.,Bruno Laranjeira; Viviane Pereira Moreira; Aline Villavicencio; Carlos Ramisch; Maria José Bocorny Finatto,Abstract Comparable corpora have been used as an alternative for parallel corpora asresources for computational tasks that involve domainspecific natural language processing.One way to gather documents related to a specific topic of interest is to traverse a portion ofthe web graph in a targeted way; using focused crawling algorithms. In this paper; wecompare several focused crawling algorithms using them to collect comparable corpora on aspecific domain. Then; we compare the evaluation of the focused crawling algorithms to theperformance of linguistic processes executed after training with the correspondinggenerated corpora. Also; we propose a novel approach for focused crawling; exploiting theexpressive power of multiword expressions.,LREC,2014,6
Statistics for ranking program committees and editorial boards,Roberto da Silva; José Palazzo de Oliveira; José Valdeni de Lima; Viviane Moreira,Abstract: Ranking groups of researchers is important in several contexts and can servemany purposes such as the fair distribution of grants based on the scientist's publicationoutput; concession of research projects; classification of journal editorial boards and manyother applications in a social context. In this paper; we propose a method for measuring theperformance of groups of researchers. The proposed method is called alpha-index and it isbased on two parameters:(i) the homogeneity of the h-indexes of the researchers in thegroup; and (ii) the h-group; which is an extension of the h-index for groups. Our methodintegrates the concepts of homogeneity and absolute value of the h-index into a singlemeasure which is appropriate for the evaluation of groups. We report on experiments thatassess computer science conferences based on the h-indexes of their program …,arXiv preprint arXiv:1002.1060,2010,6
Consultas a bancos de dados temporais que suportam versionamento de esquemas,Viviane Pereira Moreira,*,*,1999,6
Using information retrieval for sentiment polarity prediction,Anderson Uilian Kauer; Viviane P Moreira,Abstract Social networks such as Twitter are used by millions of people who express theiropinions on a variety of topics. Consequently; these media are constantly being examinedby sentiment analysis systems which aim at classifying the posts as positive or negative.Given the variety of topics discussed and the short length of the posts; the standardapproach of using the words as features for machine learning algorithms results in sparsevectors. In this work; we propose using features derived from the ranking generated by anInformation Retrieval System in response to a query consisting of the post that needs to beclassified. Our system can be fully automatic; has only 24 features; and does not depend onexpensive resources. Experiments on real datasets have shown that a classifier that reliessolely on these features outperforms established baselines and can reach accuracies …,Expert Systems with Applications,2016,5
UFRGS@ PAN2010: Detecting External Plagiarism-Lab Report for PAN at CLEF 2010.,Rafael Corezola Pereira; Viviane Pereira Moreira; Renata Galante,*,CLEF (Notebook Papers/LABs/Workshops),2010,5
An integer linear programming approach for approximate string comparison,Marcus Ritt; Alysson M Costa; Sergio Mergen; Viviane M Orengo,Abstract We introduce a problem called maximum common characters in blocks (MCCB);which arises in applications of approximate string comparison; particularly in the unificationof possibly erroneous textual data coming from different sources. We show that this problemis NP-complete; but can nevertheless be solved satisfactorily using integer linearprogramming for instances of practical interest. Two integer linear formulations are proposedand compared in terms of their linear relaxations. We also compare the results of theapproximate matching with other known measures such as the Levenshtein (edit) distance.,European Journal of Operational Research,2009,5
Ufrgs@ clef2008: Indexing multiword expressions for information retrieval,Otavio Acosta; Andre Geraldo; Viviane Moreira Orengo; Aline Villavicencio,Abstract For UFRGS's participation on CLEF's Robust task; our aim was to assess thebenefits of identifying and indexing Multiword Expressions (MWEs) for Information Retrieval.The approach used for MWE identification was totally statistical; based associationmeasures such as Mutual Information and Chi-square. Contradicting our results on thetraining topics; the results on the test topics did not show any significant improvements.However; for some queries; the identification of MWEs was very important. We have alsoperformed bilingual experiments which achieved 84% of their monolingual counterparts.,Aarhus; Denmark. Working Notes of the Workshop of the Cross-Language Evaluation Forum-CLEF,2008,5
Automatic filling of hidden web forms: a survey,Gustavo Zanini Kantorski; Viviane Pereira Moreira; Carlos Alberto Heuser,Abstract A significant part of the information available on the Web is stored in onlinedatabases which compose what is known as Hidden Web or Deep Web. In order to accessinformation from the Hidden Web; one must fill an HTML form that is submitted as a query tothe underlying database. In recent years; many works have focused on how to automate theprocess of form filling by creating methods for choosing values to fill the fields in the forms.This is a challenging task since forms may contain fields for which there are no predefinedvalues to choose from. This article presents a survey of methods for Web Form Filling;analyzing the existing solutions with respect to the type of forms that they handle and thefilling strategy adopted. We provide a comparative analysis of 15 key works in this area anddiscuss directions for future research.,ACM SIGMOD Record,2015,4
Um estudo de caso de mineração de emoções em textos multilíngues,AGL Santos; K Becker; V Moreira,*,Anais do Brasnam,2014,4
Counting Co-occurrences in Citations to Identify Plagiarised Text Fragments,Solange de L Pertile; Paolo Rosso; Viviane P Moreira,Abstract Research in external plagiarism detection is mainly concerned with the comparisonof the textual contents of a suspicious document against the contents of a collection oforiginal documents. More recently; methods that try to detect plagiarism based on citationpatterns have been proposed. These methods are particularly useful for detecting plagiarismin scientific publications. In this work; we assess the value of identifying co-occurrences incitations by checking whether this method can identify cases of plagiarism in a dataset ofscientific papers. Our results show that most the cases in which co-occurrences were foundindeed correspond to plagiarised passages.,International Conference of the Cross-Language Evaluation Forum for European Languages,2013,4
Finding missing cross-language links in wikipedia,Carlos Eduardo M Moreira; Viviane P Moreira,Abstract Wikipedia is a public encyclopedia composed of millions of articles written daily byvolunteer authors from different regions of the world. The articles contain links called cross-language links which relate corresponding articles across different languages. This featureis extremely useful for applications that work with automatic translation and multilingualinformation retrieval as it allows the assembly of comparable corpora. Thus; it is important tohave a mechanism that automatically creates such links. This has been motivating thedevelopment of techniques to identify missing cross-language links. In this article; wepresent CLLFinder; an approach for finding missing cross-language links. The approachmakes use of the links between categories and of the transitivity between existing cross-language links; as well as textual features extracted from the articles. Experiments using …,Journal of Information and Data Management,2013,4
On-demand associative cross-language information retrieval,André Pinto Geraldo; Viviane P Moreira; Marcos A Gonçalves,Abstract This paper proposes the use of algorithms for mining association rules as anapproach for Cross-Language Information Retrieval. These algorithms have been widelyused to analyse market basket data. The idea is to map the problem of finding associationsbetween sales items to the problem of finding term translations over a parallel corpus. Theproposal was validated by means of experiments using queries in two distinct languages:Portuguese and Finnish to retrieve documents in English. The results show that theperformance of our proposed approach is comparable to the performance of themonolingual baseline and to query translation via machine translation; even though thesesystems employ more complex Natural Language Processing techniques. The combinationbetween machine translation and our approach yielded the best results; even …,International Symposium on String Processing and Information Retrieval,2009,4
Multilingual emotion classification using supervised learning: Comparative experiments,Karin Becker; Viviane P Moreira; Aline GL dos Santos,Abstract The importance of emotion mining is acknowledged in a wide range of newapplications; thus broadening the potential market already proven for opinion mining.However; the lack of resources for languages other than English is even more critical foremotion mining. In this article; we investigate whether Multilingual Sentiment Analysisdelivers reliable and effective results when applied to emotions. For this purpose; wedeveloped experiments involving machine translations over corpora originally written in twolanguages. Our experimental framework for emotion classification assesses variations on (i)the language of the original text and its translations;(ii) strategies to combine multiplelanguages to overcome losses due to translation;(iii) options for data pre-processing(tokenization; feature representation and feature selection); and (iv) classification …,Information Processing & Management,2017,3
Choosing values for text fields in web forms,Gustavo Zanini Kantorski; Tiago Guimaraes Moraes; Viviane Pereira Moreira; Carlos Alberto Heuser,Abstract Since the only way to gain access to Hidden Web data is through form submission;one of the challenges is how to fill Web forms automatically. In this paper; we proposealgorithms which address this challenge. We describe an efficient method to select goodvalues for text fields and a technique which minimizes the number of form submissions andsimultaneously maximizes the number of rows retrieved from the underlying database.Experiments using real Web forms show the advantages of our proposed approaches.,*,2013,3
Queries to Temporal Databases Supporting Schema Versioning.,Viviane Pereira Moreira; Nina Edelweiss,Abstract The conceptual schema (intention) and raw data (extension) are evolving entitieswhich require adequate support for past; present and even future versions. TemporalDatabases supporting schema evolution were developed with the aim of satisfying thisneed. The support for schema versioning raises two complex subjects: the storage of theseveral schema versions and their associate data; and the processing of queries that involvemore than one schema version. The main objective of this work is to analyse the secondaspect in order to propose a strategy for answering those queries. In an environmentsupporting schema versioning the complete history of schema evolution is kept. In manyoccasions it can be necessary to query the database's structure; so this work proposes anextension to the temporal query language TSQL2 in order to support queries to …,SBBD,1999,3
ARCTIC: metadata extraction from scientific papers in pdf using two-layer CRF,Alan Souza; Viviane Moreira; Carlos Heuser,Abstract Most scientific articles are available in PDF format. The PDF standard allows thegeneration of metadata that is included within the document. However; many authors do notdefine this information; making this feature unreliable or incomplete. This fact has beenmotivating research which aims to extract metadata automatically. Automatic metadataextraction has been identified as one of the most challenging tasks in documentengineering. This work proposes Artic; a method for metadata extraction from scientificpapers which employs a two-layer probabilistic framework based on Conditional RandomFields. The first layer aims at identifying the main sections with metadata information; andthe second layer finds; for each section; the corresponding metadata. Given a PDF filecontaining a scientific paper; Artic extracts the title; author names; emails; affiliations; and …,Proceedings of the 2014 ACM symposium on Document engineering,2014,2
Um estudo de caso de mineração de emoções em textos multilíngues,Aline Graciela Lermen dos Santos; Karin Becker; Viviane Moreira,Abstract. Multilingual Opinion Mining deals with the analysis of opinions regardless of thelanguage in which they are written. The vast majority of the work in this area focuses solelyon classifying the polarity of the sentiment; overlooking the analysis of the emotions. In orderto fill this gap; this work presents a case study about the classification of emotions present inproduct reviews; evaluating an approach that combines lexicon-based emotion classificationand automatic translation. The case study aims at finding out if it is best to translate the textof the reviews or the dictionary. It also evaluates whether lemmatization can bring anybenefits. The results of our experiments on real data show that translating the reviews yieldsbetter results and that lemmatization does not bring significant changes. Resumo. O objetivoda Mineração de Opinião Multilíngue é extrair e analisar textos contendo opiniões …,*,2014,2
Using Simple Content Features for the Author Profiling Task Notebook for PAN at CLEF 2013,Edson RD Weren; Viviane P Moreira; José PM De Oliveira,Abstract This paper describes the methods we have employed to solve the au-thor profilingtask at PAN-2013. Our goal was to use simple features to identify the age group and thegender of the author of a given text. We introduce the fea-tures; detail how the classifierswere trained; and how the experiments were run. 1,*,2013,2
BBK-UFRGS@ CLEF2009: Query Expansion of Geographic Place Names.,Richard Flemmings; Joana Barros; André Pinto Geraldo; Viviane Pereira Moreira,Abstract For our first participation on CLEF; our aim was to compare plain informationretrieval strategies and query expansion and emphasis of geographic terms. ANNIE wasused to recognise geographic entities which were expanded using Google's HierarchicalList of Geographical Place Names. The idea was that the expansion would produce moreaccurate answers. The results have shown the opposite. Our best performing run was thebaseline. Future work will include further experiments and a deeper analysis of our results inorder to enable the design of a better performing strategy.,CLEF (Working Notes),2009,2
Automatically training form classifiers,Mauricio C Moraes; Carlos A Heuser; Viviane P Moreira; Denilson Barbosa,Abstract The state-of-the-art in domain-specific Web form discovery relies on supervisedmethods requiring substantial human effort in providing training examples; which limits theirapplicability in practice. This paper proposes an effective alternative to reduce the humaneffort: obtaining high-quality domain-specific training forms. In our approach; the only userinput is the domain of interest; we use a search engine and a focused crawler to locatequery forms which are fed as training data into supervised form classifiers. We tested thisapproach thoroughly; using thousands of real Web forms from six domains; including arepresentative subset of a publicly available form base to validate this approach. The resultsreported in this paper show that it is feasible to mitigate the demanding manual workrequired by some methods of the current state-of-the-art in form discovery; at the cost of a …,International Conference on Web Information Systems Engineering,2013,1
A test collection to evaluate plagiarism by missing or incorrect references,Solange de L Pertile; Viviane P Moreira,Abstract In recent years; several methods and tools been developed together with testcollections to aid in plagiarism detection. However; both methods and collections havefocused on content analysis; overlooking citation analysis. In this paper; we aim at filling thisgap and present a test collection with cases of plagiarism by missing and incorrectreferences. The collection contains automatically generated academic papers in whichpassages from other documents have been inserted. Such passages were either:adequately referenced (ie; not plagiarized); not referenced; or incorrectly referenced.Annotation files identifying each passage enable the evaluation of plagiarism detectionsystems.,International Conference of the Cross-Language Evaluation Forum for European Languages,2012,1
UFRGS@ PAN2010: Detecting External Plagiarism,Rafael Corezola Pereira; Viviane P Moreira; Renata Galante,Abstract. This paper presents our approach to detect plagiarism in the PAN'10 competition.To accomplish this task we applied a method which aims at detecting external plagiarismcases. The method is specially designed to detect crosslanguage plagiarism and iscomposed by five phases: language normalization; retrieval of candidate documents;classifier training; plagiarism analysis; and post-processing. Our group got the seventh placein the competition with an overall score of 0.5175. It is important to notice that the final scorewas affected by our low recall (0.4036) which arose as a result of not detecting intrinsicplagiarism cases; which were also present in the competition corpus.,LAB Report for PAN at CLEF,2010,1
UFRGS@ CLEF2009: retrieval by numbers,Thyago Bohrer Borges; Viviane P Moreira,Abstract For UFRGS's participation on CLEF's Robust task; our aim was to compare retrievalof plain documents to retrieval using information on word senses. The experimental runswhich used word-sense disambiguation (WSD) consisted in indexing the synset codes of thesenses which had scores higher than a predefined threshold. Several thresholds weretested. Our results have shown that the best WSD runs did not present a significantimprovement in relation to the baseline run in which plain documents were used. In addition;a comparison between two alternative disambiguation systems has shown that oneoutperforms the other in all experimental runs.,Workshop of the Cross-Language Evaluation Forum for European Languages,2009,1
Análise quantitativa e temporal do Wikigrafo-PT,Marcelo Zambiasi; Thiago A Presa; Luciana S Buriol; Viviane M Orengo,Abstract. The Wikipedia is an online encyclopedia available in about 200 languages. ItsPortuguese version currently contains over 200 thousand articles. If we consider eachWikipedia article as a vertex and each link as an arc; we have what we call a “Wikigraph”.This graph differs from other Web mainly graphs because it has temporal informationassociated to its nodes. The aim of this paper is to do a quantitative analysis of thePortuguese Wikigraph's (Wikigraph-PT) temporal data. The analysis of this graph revealedthat it presents features that are commonly found on other Webgraphs; which confirmsresults of prior studies on the English Wikigraph (Wikigraph-EN). Resumo. A Wikipédia éuma enciclopédia online disponıvel em cerca de 200 lınguas que possui mais de 200 milartigos na sua versao em português. Se considerarmos cada artigo da Wikipédia como …,*,2007,1
Exploration of User Groups in VEXUS,Sihem Amer-Yahia; Behrooz Omidvar-Tehrani; Joao Comba; Viviane Moreira; Fabian Colque Zegarra,Abstract: We introduce VEXUS; an interactive visualization framework for exploring userdata to fulfill tasks such as finding a set of experts; forming discussion groups and analyzingcollective behaviors. User data is characterized by a combination of demographics like ageand occupation; and actions such as rating a movie; writing a paper; following a medicaltreatment or buying groceries. The ubiquity of user data requires tools that help explorers; bethey specialists or novice users; acquire new insights. VEXUS lets explorers interact withuser data via visual primitives and builds an exploration profile to recommend the nextexploration steps. VEXUS combines state-of-the-art visualization techniques withappropriate indexing of user data to provide fast and relevant exploration. Subjects:Databases (cs. DB) Cite as: arXiv: 1712.03529 [cs. DB](or arXiv: 1712.03529 v1 [cs. DB] …,arXiv preprint arXiv:1712.03529,2017,*
Identifying sentiment-based contradictions,Danny Suarez Vargas; Viviane Moreira,Abstract. Contradiction Analysis is a relatively new multidisciplinary and complex area with themain goal of identifying contradictory pieces of text. It can be addressed from the perspectivesof different research areas such as Natural Language Processing; Opinion Mining; InformationRetrieval; and Information Extraction. This article focuses on the problem of detectingsentiment-based contradictions which occur in the sentences of a given review text. Unlike othertypes of contradictions; the detection of sentiment-based contradictions can be tackled as apost-processing step in the traditional sentiment analysis task. In this context; we adapted andextended an existing contradiction analysis framework by filtering its results to remove the reviewsthat are erroneously labeled as contradictory. The filtering method is based on two simple termsimilarity algorithms which relies on sets of known positive and negative words. An …,Journal of Information and Data Management,2017,*
Offensive Comments in the Brazilian Web: a dataset and baseline results,Rogers Prates de Pelle Pelle; Viviane P Moreira Moreira,Resumo Brazilian Web users are among the most active in social networks and very keenon interacting with others. Offensive comments; known as hate speech; have been plaguingonline media and originating a number of lawsuits against companies which publish Webcontent. Given the massive number of user generated text published on a daily basis;manually filtering offensive comments becomes infeasible. The identification of offensivecomments can be treated as a supervised classification task. In order to obtain a model toclassify comments; an annotated dataset containing positive and negative examples isnecessary. The lack of such a dataset in Portuguese; limits the development of detectionapproaches for this language. In this paper; we describe how we created annotated datasetsof offensive comments for Portuguese by collecting news comments on the Brazilian Web …,Congresso da Sociedade Brasileira de Computação-CSBC,2017,*
