MonetDB/XQuery: a fast XQuery processor powered by a relational engine,Peter Boncz; Torsten Grust; Maurice van Keulen; Stefan Manegold; Jan Rittinger; Jens Teubner,Abstract Relational XQuery systems try to re-use mature relational data managementinfrastructures to create fast and scalable XML database technology. This paper describesthe main features; key contributions; and lessons learned while implementing such asystem. Its architecture consists of (i) a range-based encoding of XML documents intorelational tables;(ii) a compilation technique that translates XQuery into a basic relationalalgebra;(iii) a restricted (order) property-aware peephole relational query optimizationstrategy; and (iv) a mapping from XML update statements into relational updates. Thus; thissystem implements all essential XML database functionalities (rather than a single feature)such that we can learn from the full consequences of our architectural decisions. Whileimplementing this system; we had to extend the state-of-the-art with a number of new …,Proceedings of the 2006 ACM SIGMOD international conference on Management of data,2006,360
Process prediction in noisy data sets: a case study in a dutch hospital,Sjoerd Van Der Spoel; Maurice Van Keulen; Chintan Amrit,Abstract Predicting the amount of money that can be claimed is critical to the effectiverunning of an Hospital. In this paper we describe a case study of a Dutch Hospital where weuse process mining to predict the cash flow of the Hospital. In order to predict the cost of atreatment; we use different data mining techniques to predict the sequence of treatmentsadministered; the duration and the final” care product” or diagnosis of the patient. Whileperforming the data analysis we encountered three specific kinds of noise that we callsequence noise; human noise and duration noise. Studies in the past have discussed waysto reduce the noise in process data. However; it is not very clear what effect the noise has todifferent kinds of process analysis. In this paper we describe the combined effect ofsequence noise; human noise and duration noise on the analysis of process data; by …,International Symposium on Data-Driven Process Discovery and Analysis,2012,22
Storing and querying probabilistic XML using a probabilistic relational DBMS,Emiel S Hollander; M van Keulen,Abstract This work explores the feasibility of storing and querying probabilistic XML in aprobabilistic relational database. Our approach is to adapt known techniques for mappingXML to relational data such that the possible worlds are preserved. We show that thisapproach can work for any XML-to-relational technique by adapting a representativeschema-based (inlining) as well as a representative schemaless technique (XPathAccelerator). We investigate the maturity of probabilistic rela-tional databases for this taskwith experiments with one of the state-of-the-art systems; called Trio.,*,2010,21
Quality measures in uncertain data management,Ander de Keijzer; Maurice van Keulen,Abstract Many applications deal with data that is uncertain. Some examples are applicationsdealing with sensor information; data integration applications and healthcare applications.Instead of these applications having to deal with the uncertainty; it should be theresponsibility of the DBMS to manage all data including uncertain data. Several projects doresearch on this topic. In this paper; we introduce four measures to be used to assess andcompare important characteristics of data and systems: uncertainty density; answerdecisiveness and adapted precision and recall measures.,International Conference on Scalable Uncertainty Management,2007,18
An injection with tree awareness: adding staircase join to postgreSQL,Sabine Mayer; Torsten Grust; Maurice van Keulen; Jens Teubner,The syntactic wellformedness constraints of XML (opening and closing tags nest properly)imply that XML processors face the challenge to efficiently handle data that takes the shapeof ordered; unranked trees. Although RDBMSs have originally been designed to managetable-shaped data; we propose their use as XML and XPath processors. In our setup; thedatabase system employs a relational XML document encoding; the XPath accelerator [1];which maps information about the XML node hierarchy to a table; thus making it possible toevaluate XPath expressions on SQL hosts. Conventional RDBMSs; nevertheless; remainignorant of many interesting properties of the encoded tree data; and were thus found tomake no or poor use of these properties. This is why we devised a new join algorithm;staircase join [2]; which incorporates the tree-specific knowledge required for an efficient …,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,18
Indeterministic Handling of Uncertain Decisions in Deduplication,Fabian Panse; Maurice van Keulen; Norbert Ritter,Abstract In current research and practice; deduplication is usually considered as adeterministic approach in which database tuples are either declared to be duplicates or not.In ambiguous situations; however; it is often not completely clear-cut; which tuples representthe same real-world entity. In deterministic approaches; many realistic possibilities may beignored; which in turn can lead to false decisions. In this article; we present anindeterministic approach for deduplication by using a probabilistic target model includingtechniques for proper probabilistic interpretation of similarity matching results. Thus; insteadof deciding for one of the most likely situations; all realistic situations are modeled in theresultant data. This approach minimizes the negative impact of false decisions. Moreover;the deduplication process becomes almost fully automatic and human effort can be …,Journal of Data and Information Quality (JDIQ),2013,17
A possible world approach to uncertain relational data,Ander De Keijzer; Maurice van Keulen,Data exchange between embedded systems and other small or large computing deviceincreases. Since data in different data sources may refer to the same real world objects; datacannot simply be merged. Furthermore; in many situations; conflicts in data about the samereal world objects need to be resolved without interference from a user. We report on anattempt to make a RDBMS probabilistic; ie; data in a relation represents all possible viewson the real world; in order to achieve unattended data integration. We define a probabilisticrelational data model and review standard SQL query primitives in the light of probabilisticdata. It appears that thinking in terms of'possible worlds' is powerful in determining theproper semantics of these query primitives.,Database and Expert Systems Applications; 2004. Proceedings. 15th International Workshop on,2004,16
Improving toponym disambiguation by iteratively enhancing certainty of extraction,Mena Badieh Habib; Maurice van Keulen,Abstract Named entity extraction (NEE) and disambiguation (NED) have received muchattention in recent years. Typical fields addressing these topics are information retrieval;natural language processing; and semantic web. This paper addresses two problems withtoponym extraction and disambiguation (as a representative example of named entities).First; almost no existing works examine the extraction and disambiguation interdependency.Second; existing disambiguation techniques mostly take as input extracted named entitieswithout considering the uncertainty and imperfection of the extraction process. It is the aim ofthis paper to investigate both avenues and to show that explicit handling of the uncertainty ofannotation has much potential for making both extraction and disambiguation more robust.We conducted experiments with a set of holiday home descriptions with the aim to extract …,*,2012,15
Unsupervised improvement of named entity extraction in short informal context using disambiguation clues,Mena B Habib; Maurice van Keulen,Abstract Short context messages (like tweets and SMS's) are a potentially rich source ofcontinuously and instantly updated information. Shortness and informality of such messagesare challenges for Natural Language Processing tasks. Most efforts done in this directionrely on machine learning techniques which are expensive in terms of data collection andtraining. In this paper we present an unsupervised Semantic Web-driven approach toimprove the extraction process by using clues from the disambiguation process. Forextraction we used a simple Knowledge-Base matching technique combined with aclustering-based approach for disambiguation. Experimental results on a self-collected setof tweets (as an example of short context messages) show improvement in extraction resultswhen using unsupervised feedback from the disambiguation process.,*,2012,15
Named Entity Extraction and Disambiguation: The Reinforcement Effect.,Mena Badieh Habib; Maurice van Keulen,Abstract Named entity extraction and disambiguation have received much attention in recentyears. Typical fields addressing these topics are information retrieval; natural languageprocessing; and semantic web. Although these topics are highly dependent; almost noexisting works examine this dependency. It is the aim of this paper to examine thedependency and show how one affects the other; and vice versa. We conductedexperiments with a set of descriptions of holiday homes with the aim to extract anddisambiguate toponyms as a representative example of named entities. We experimentedwith three approaches for disambiguation with the purpose to infer the country of the holidayhome. We examined how the effectiveness of extraction influences the effectiveness ofdisambiguation; and reciprocally; how filtering out ambiguous names (an activity that …,*,2011,15
Taming data explosion in probabilistic information integration,Ander De Keijzer; Maurice Van Keulen; Yiping Li,Abstract Data integration has been a challenging problem for decades. In an ambientenvironment; where many autonomous devices have their own information sources andnetwork connectivity is ad hoc and peer-to-peer; it even becomes a serious bottleneck. Toenable devices to exchange information without the need for interaction with a user at dataintegration time and without the need for extensive semantic annotations; a probabilisticapproach seems rather promising. It simply teaches the device how to cope with theuncertainty occurring during data integration. Unfortunately; without any kind of worldknowledge; almost everything becomes uncertain; hence maintaining all possibilitiesproduces huge integrated information sources. In this paper; we claim that only very simpleand generic rules are enough world knowledge to drastically reduce the amount of …,*,2006,15
Size estimation of non-cooperative data collections,Mohammadreza Khelghati; Djoerd Hiemstra; Maurice van Keulen,Abstract With the increasing amount of data in deep web sources (hidden from generalsearch engines behind web forms); accessing this data has gained more attention. In thealgorithms applied for this purpose; it is the knowledge of a data source size that enables thealgorithms to make accurate decisions in stopping the crawling or sampling processeswhich can be so costly in some cases [14]. This tendency to know the sizes of data sourcesis increased by the competition among businesses on the Web in which the data coverage iscritical. In the context of quality assessment of search engines [7]; search engine selection inthe federated search engines; and in the resource/collection selection in the distributedsearch field [19]; this information is also helpful. In addition; it can give an insight over someuseful statistics for public sectors like governments. In any of these mentioned scenarios …,Proceedings of the 14th International Conference on Information Integration and Web-based Applications & Services,2012,14
Managing uncertainty: The road towards better data interoperability,Maurice van Keulen,Abstract Data interoperability encompasses the many data management activities neededfor effective information management in anyones or any organizations everyday work suchas data cleaning; coupling; fusion; mapping; and information extraction. It is our convictionthat a significant amount of money and time in IT that is devoted to these activities; is aboutdealing with one problem:“semantic uncertainty”. Sometimes data is subjective; incomplete;not current; or incorrect; sometimes it can be interpreted in different ways; etc. In our opinion;clean correct data is only a special case; hence data management technology should treatdata quality problems as a fact of life; not as something to be repaired afterwards. Recentapproaches treat uncertainty as an additional source of information which should bepreserved to reduce its impact. We believe that the road towards better data …,it-Information Technology Methoden und innovative Anwendungen der Informatik und Informationstechnik,2012,14
A generic open world named entity disambiguation approach for tweets,Mena B Habib; M van Keulen,Abstract Social media is a rich source of information. To make use of this information; it issometimes required to extract and disambiguate named entities. In this paper we focus onnamed entity disambiguation (NED) in twitter messages. NED in tweets is challenging in twoways. First; the limited length of Tweet makes it hard to have enough context while manydisambiguation techniques depend on it. The second is that many named entities in tweetsdo not exist in a knowledge base (KB). In this paper we share ideas from informationretrieval (IR) and NED to propose solutions for both challenges. For the first problem wemake use of the gregarious nature of tweets to get enough context needed fordisambiguation. For the second problem we look for an alternative home page if there is noWikipedia page represents the entity. Given a mention; we obtain a list of Wikipedia …,*,2013,12
Concept extraction challenge: University of twente at# msm2013,Mena B Habib; Maurice van Keulen; Zhemin Zhu,Abstract Twitter messages are a potentially rich source of continuously and instantly updatedinformation. Shortness and informality of such messages are challenges for NaturalLanguage Processing tasks. In this paper we present a hybrid approach for Named EntityExtraction (NEE) and Classification (NEC) for tweets. The system uses the power of theConditional Random Fields (CRF) and the Support Vector Machines (SVM) in a hybrid wayto achieve better results. For named entity type classification we used AIDA disambiguationsystem to disambiguate the extracted named entities and hence find their type.,*,2013,12
IMPrECISE: Good-is-good-enough data integration,Ander de Keijzer; Maurice van Keulen,IMPrECISE is an XQuery module that adds probabilistic XML functionality to an existing XMLDBMS; in our case MonetDB/XQuery. We demonstrate probabilistic XML and dataintegration functionality of IMPrECISE. The prototype is configurable with domain knowledgesuch that the amount of uncertainty arising during data integration is reduced to anacceptable level; thus obtaining a" good is good enough" data integration with minimalhuman effort.,Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,2008,12
Distributed XML Database Systems,Marko Smiljanic; Henk Blanken; Maurice van Keulen; Willem Jonker,Abstract Invention of XML as a universal standard for data representation triggeredenormously wide efforts for its adaptation into almost every IT activity. Databases took one ofthe focusing places of the XML research. This paper investigates the development path ofXML from its origins to its current place in distributed database systems. Throughenumeration of features and analysis of the problems related to XML and distributeddatabase systems it forms a platform for understanding the consequences of adopting XMLto this area of IT.,*,2002,12
The IMPRESS DDT: A database design toolbox based on a formal specification language,Jan Flokstra; Maurice van Keulen; Jacek Skowronek,The Database Design Tool prototype is being developed in the IMPRESS project (Espritproject 6355). The IMPRESS project started in May 1992 and aims at creating a lowlevelstorage manager tailored for multimedia applications; together with a library of efficientoperators; a programming environment; high-level design tools and methodology. The DDTis part of this last effort. The project focuses on the field of Technical Information Systems;where there is aneed for tools supporting modeling of complex objects. Designers in thisfield usually use incremental design or step by step prototyping; because this seems to bebest suited for users coping with complexity and uncertainty about their own needs orrequirements. The IMPRESS DDT aims at supporting the database design part of thisprocess.,ACM SIGMOD Record,1994,12
Analysis of the NIST database towards the composition of vulnerabilities in attack scenarios,Virginia Nunes Leal Franqueira; Maurice van Keulen,The composition of vulnerabilities in attack scenarios has been traditionally performedbased on detailed pre-and post-conditions. Although very precise; this approach isdependent on human analysis; is time consuming; and not at all scalable. We investigate theNIST National Vulnerability Database (NVD) with three goals:(i) understand the associationsamong vulnerability attributes related to impact; exploitability; privilege; type of vulnerabilityand clues derived from plaintext descriptions;(ii) validate our initial composition model whichis based on required access and resulting effect; and (iii) investigate the maturity of XMLdatabase technology for performing statistical analyses like this directly on the XML data. Inthis report; we analyse 27;273 vulnerability entries (CVE 1) from the NVD. Using onlynominal information; we are able to eg identify clusters in the class of vulnerabilities with …,*,2008,11
Deep web entity monitoring,Mohamamdreza Khelghati; Djoerd Hiemstra; Maurice Van Keulen,Accessing information is an essential factor in decision making processes occurring indifferent domains. Therefore; broadening the coverage of available information for thedecision makers is of a vital importance. In such a informationthirsty environment; accessingevery source of information is considered highly valuable. Nowadays; the main or the mostgeneral approach for finding and accessing information sources is searching queries overgeneral search engines such as Google; Yahoo; or Bing. However; these search engines donot cover all the data available on the Web. In addition to the fact that none of these searchengines cover all the webpages existing on the Web; they miss the data behind web searchforms. This data is defined as hidden web or deep web which is not accessible throughsearch engines. It is estimated that deep web contains data in a scale several times …,Proceedings of the 22nd International Conference on World Wide Web,2013,10
User feedback in probabilistic integration,Ander de Keijzer; Maurice van Keulen,Data integration approaches mostly attempt to resolve semantic uncertainty and conflictsbetween data sources during the data integration process. In some application areas; this isimpractical or even prohibitive. We propose a probabilistic XML approach that allowsstorage and querying of uncertain data. It requires only minimal user involvement duringdata integration; because most semantic uncertainty and conflicts can be resolved byexploiting user feedback on query results; thus effectively postponing user involvement toquery time when a user already interacts with the system. We show that repeated feedbackgradually improves the factual correctness of integrated data.,Database and Expert Systems Applications; 2007. DEXA'07. 18th International Workshop on,2007,10
MonetDB/XQuery—consistent and efficient updates on the pre/Post plane,Peter Boncz; Jan Flokstra; Torsten Grust; Maurice van Keulen; Stefan Manegold; Sjoerd Mullender; Jan Rittinger; Jens Teubner,Abstract Relational XQuery processors aim at leveraging mature relational DBMS queryprocessing technology to provide scalability and efficiency. To achieve this goal; variousstorage schemes have been proposed to encode the tree structure of XML documents in flatrelational tables. Basically; two classes can be identified:(1) encodings using fixed-lengthsurrogates; like the preorder ranks in the pre/post encoding [5] or the equivalentpre/size/level encoding [8]; and (2) encodings using variable-length surrogates; like; eg;ORDPATH [9] or P-PBiTree [12]. Recent research [1] showed a clear advantage of theformer for efficient evaluation of XPath location steps; exploiting techniques like cheap nodeorder tests; positional lookup; and node skipping in staircase join [7]. However; onceupdates are involved; variable-length surrogates are often considered the better choice …,International Conference on Extending Database Technology,2006,10
Moa: extensibility and efficiency in querying nested data,Maurice van Keulen; Jochem Vonk; Arjen P Vries; Jan Flokstra; Henk Ernst Blok,Abstract Advanced non-traditional application domains such as geographic informationsystems and digital library systems demand advanced data management support. In aneffort to cope with this demand; we present a novel multi-model DBMS architecture whichprovides efficient evaluation of queries on complexly structured data. A vital role in thisarchitecture is played by the Moa language featuring a nested relational data model basedon XNF2; in which we placed renewed interest. Furthermore; the architecture allowsextensibility on all of its levels providing the means to better integrate domain-specificalgorithms into the system. In addition to this; the extensibility of the Moa language isdesigned in a way that optimization obstacles due to blackbox treatment of ADTs is avoided.This combination of well-integrated domainspecific algorithms; extensibility open to …,*,2002,10
Towards geosocial recommender systems,Victor de Graaff; Maurice van Keulen; Rolf A de By,Abstract The usage of social networks sites (SNSs); such as Facebook; and geosocialnetworks (GSNs); such as Foursquare; has increased tremendously over the past years. Thewillingness of users to share their current locations and experiences facilitate the creation ofgeographical recommender systems based on user generated content (UGC). This idea hasbeen used to create a substantial amount of geosocial recommender systems (GRSs); suchas Gogobot; TripIt; and Trippy already; but can be applied to more complex scenarios; suchas the recommendation of products with a strong binding to their region; such as real estateor vacation destinations. This extended form of GRS development requires advancedfunctionality for information collection (from the web; other social media and allowing theusers to supply UGC inside the application); information enrichment (such as data quality …,Proceedings of the 4th International Workshop on Web Intelligence & Communities,2012,9
Handling uncertainty in information extraction,Maurice van Keulen; Mena B Habib,*,Proceedings of the 7th International Conference on Uncertainty Reasoning for the Semantic Web-Volume 778,2011,9
Overview of query optimization in XML database systems,R Abdel Kader; Maurice van Keulen,KNAW Narcis. Back to search results. Publication Overview of query optimizationin XML database systems (2007). . Pagina-navigatie: Main …,*,2007,9
Toponym Extraction and Disambiguation Enhancement Using Loops of Feedback,Mena B Habib; Maurice van Keulen,Abstract Toponym extraction and disambiguation have received much attention in recentyears. Typical fields addressing these topics are information retrieval; natural languageprocessing; and semantic web. This paper addresses two problems with toponym extractionand disambiguation. First; almost no existing works examine the extraction anddisambiguation interdependency. Second; existing disambiguation techniques mostly takeas input extracted named entities without considering the uncertainty and imperfection of theextraction process. In this paper we aim to investigate both avenues and to show that explicithandling of the uncertainty of annotation has much potential for making both extraction anddisambiguation more robust. We conducted experiments with a set of holiday homedescriptions with the aim to extract and disambiguate toponyms. We show that the …,*,2013,8
Information Extraction for Social Media,Mena B Habib; Maurice van Keulen,*,SWAIE 2014,2014,7
Neogeography: The challenge of channelling large and ill-behaved data streams,Mena B Habib; Peter Apers; Maurice van Keulen,Neogeography is the combination of user generated data and experiences with mappingtechnologies. In this paper we present a research project to extract valuable structuredinformation with a geographic component from unstructured user generated text in wikis;forums; or SMSes. The project intends to help workers communities in developing countriesto share their knowledge; providing a simple and cheap way to contribute and get benefitusing the available communication technology.,Data Engineering Workshops (ICDEW); 2011 IEEE 27th International Conference on,2011,7
Automated semantic trajectory annotation with indoor point-of-interest visits in urban areas,Victor de Graaff; Rolf A de By; Maurice van Keulen,Abstract User trajectories contain a wealth of implicit information. The places that peoplevisit; provide us with information about their preferences and needs. Furthermore; it providesus with information about the popularity of places; for example at which time of the year orday these places are frequently visited. The potential for behavioral analysis of trajectories iswidely discussed in literature; but all of these methods need a pre-processing step: thegeometric trajectory data needs to be transformed into a semantic collection or sequence ofvisited points-of-interest that is more suitable for data mining. Especially indoor activities inurban areas are challenging to detect from raw trajectory data. In this paper; we propose anew algorithm for the automated detection of visited points-of-interest. This algorithmextracts the actual visited points-of-interest well; both in terms of precision and recall …,Proceedings of the 31st Annual ACM Symposium on Applied Computing,2016,6
A hybrid approach for robust multilingual toponym extraction and disambiguation,Mena B Habib; Maurice van Keulen,Abstract Toponym extraction and disambiguation are key topics recently addressed by fieldsof Information Extraction and Geographical Information Retrieval. Toponym extraction anddisambiguation are highly dependent processes. Not only toponym extraction effectivenessaffects disambiguation; but also disambiguation results may help improving extractionaccuracy. In this paper we propose a hybrid toponym extraction approach based on HiddenMarkov Models (HMM) and Support Vector Machines (SVM). Hidden Markov Model is usedfor extraction with high recall and low precision. Then SVM is used to find false positivesbased on informativeness features and coherence features derived from the disambiguationresults. Experimental results conducted with a set of descriptions of holiday homes with theaim to extract and disambiguate toponyms showed that the proposed approach …,*,2013,6
Information extraction; data integration; and uncertain data management: The state of the art,Mena B Habib; Maurice van Keulen,Abstract Information Extraction; data Integration; and uncertain data management aredifferent areas of research that got vast focus in the last two decades. Many researchestackled those areas of research individually. However; information extraction systems shouldhave integrated with data integration methods to make use of the extracted information.Handling uncertainty in extraction and integration process is an important issue to enhancethe quality of the data in such integrated systems. This article presents the state of the art ofthe mentioned areas of research and shows the common grounds and how to integrateinformation extraction and data integration under uncertainty management cover.,CTIT Technical Report Series,2011,6
Rox: The robustness of a run-time xquery optimizer against correlated data,Riham Abdel Kader; Peter Boncz; Stefan Manegold; Maurice van Keulen,We demonstrate ROX; a run-time optimizer of XQueries; that focuses on finding the bestexecution order of XPath steps and relational joins in an XQuery. The problem of joinordering has been extensively researched; but the proposed techniques are stillunsatisfying. These either rely on a cost model which might result in inaccurate estimations;or explore only a restrictive number of plans from the search space. ROX is developed totackle these problems. ROX does not need any cost model; and defers query optimization torun-time intertwining optimization and execution steps. In every optimization step; samplingtechniques are used to estimate the cardinality of unexecuted steps and joins to make adecision which sequence of operators to process next. Consequently; each execution stepwill provide updated and accurate knowledge about intermediate results; which will be …,Data Engineering (ICDE); 2010 IEEE 26th International Conference on,2010,6
Loop-lifted staircase join: from XPath to XQuery,PA Boncz; Torsten Grust; M van Keulen; Stefan Manegold; Jan Rittinger; Jens Teubner,textabstractVarious techniques have been proposed for efficient evaluation of XPathexpressions; where the XPath location steps are rooted in a single sequence of contextnodes. Among these techniques; the staircase join allows to evaluate XPath location stepsalong arbitrary axes in at most one scan over the XML document; exploiting the XPathaccelerator encoding (aka. pre/post encoding). In XQuery; however; embedded XPath sub-expressions occur in arbitrarily nested for-loops. Thus; they are rooted in multiple sequencesof context nodes (one per iteration). Consequently; the previously proposed algorithms needto be applied repeatedly; requiring multiple scans over the XML document encoding. In thiswork; we present loop-lifted staircase join; an extension of the staircase join that allows toefficiently evaluate XPath sub-expressions in arbitrarily nested XQuery iteration scopes …,Information Systems [INS],2005,6
Defining the xml schema matching problem for a personal schema based query answering system,Marko Smiljanic; Maurice van Keulen; Willem Jonker,Abstract In this report; we analyze the problem of personal schema matching. We define theingredients of the XML schema matching problem using constraint logic programming. Thisallows us to thourougly investigate specific matching problems. We do not have the ambitionto provide for a formalism that covers all kinds of schema matching problems. The target isspecifically personal schema matching using XML. The report is organized as follows.Chapter 2 provides a detailed description of our research domain-the Personal SchemaQuery Answering System. In chapter 3; we introduce a framework for defining the XMLschema matching problem. The XML schema matching problem is defined using thisframework in chapter 4. An important component of the XML schema matching problem isthe objective function; which is investigated in chapter 5. Chapter 6 presents the related …,*,2004,6
