Illustrated Field Guide to 100 Red listed medicinal plants of conservation concern in Southern India,K Ravikumar; DK Ved; R Vijayasankar; PS Udayan,*,*,2000,226
Conservation assessment and management prioritisation for the medicinal plants of Arunachal Pradesh; Assam; Meghalaya and Sikkim,DK Ved; GA Kinhal; K Haridasan; K Ravikumar; Utkarsh Ghate; R Vijaya Sankar; JH Indresha,*,Lotus Enterprises; Bangalore,2003,14
New and unusual forms of calcium oxalate raphide crystals in the plant kingdom,Vijayasankar Raman; Harry T Horner; Ikhlas A Khan,Abstract Calcium oxalate crystals in higher plants occur in five major forms namely raphides;styloids; prisms; druses and crystal sand. The form; shape and occurrence of calciumoxalate crystals in plants are species-and tissue-specific; hence the presence or absence ofa particular type of crystal can be used as a taxonomic character. So far; four different typesof needle-like raphide crystals have been reported in plants. The present work describes twonew and unusual forms of raphide crystals from the tubers of Dioscorea polystachya—six-sided needles with pointed ends (Type V) and four-sided needles with beveled ends (TypeVI). Both of these new types of needles are distinct from the other four types by each havinga surrounding membrane that envelopes a bundle of 10–20 closely packed thin crystallinesheets. The previously known four types of needles have solid or homogenous crystalline …,Journal of plant research,2014,13
An Investigation of the Vegetative Anatomy of Piper sarmentosum; and a Comparison with the Anatomy of Piper betle (Piperaceae).,Vijayasankar Raman; Ahmed M Galal; Ikhlas A Khan,ABSTRACT This paper describes the detailed anatomy and micromorphology of thevegetative parts of Piper sarmentosum Roxb.(synonym; P. lolot C. DC.); which is a southeastAsian medicinal plant valued for its medicinal and culinary uses. The study also comparesthe anatomy of the leaf; petiole; stem and root of P. sarmentosum with those of the well-characterized P. betle L. The leaves of both the species are morphologically comparableand have similar culinary uses. The present study showed that the leaves of both thespecies possess more or less comparable anatomical features with a few differences;whereas; the microscopic features of the petiole; stem; and root of the two species aredistinctive.,American Journal of Plant Sciences,2012,11
Plant Resources of Tiruvannamalai District; Tamil Nadu; India,R Vijayasankar; K Ravikumar; P Ravichandran,*,*,2012,9
Controlled‐release injectable containing Terbinafine/PLGA microspheres for Onychomycosis Treatment,Muralikrishnan Angamuthu; Shivakumar H Nanjappa; Vijayasankar Raman; Seongbong Jo; Phaniraj Cegu; S Narasimha Murthy,ABSTRACT Controlled-release drug delivery systems based on biodegradable polymershave been extensively evaluated for use in localized drug delivery. In the present study;intralesionally injectable poly (lactide-co-glycolide)(PLGA) microspheres for controlledrelease of terbinafine hydrochloride (TH) was developed for treating fungal toe/finger nailinfections. TH–PLGA microspheres were formulated using O/W emulsification and modifiedsolvent extraction/evaporation technique. Microspheres were evaluated for particle size andsize distribution; encapsulation efficiency; surface; and morphology. The in vitro drugrelease profile was studied in aqueous media as well as in 1% agar gel. Microspheressystem was also evaluated in excised cadaver toe model; and extent of TH accumulation innail bed; nail plate; and nail matrix was measured at different time points. Microspheres …,Journal of pharmaceutical sciences,2014,8
Comparative study of three Plumbago L. species (Plumbaginaceae) by microscopy; UPLC-UV and HPTLC,Ahmed M Galal; Vijayasankar Raman; Bharathi Avula; Yan-Hong Wang; Chidananda Swamy Rumalla; Aruna Dharmapriya Weerasooriya; Ikhlas A Khan,Abstract This paper presents a comparative study of anatomy of leaves; stems and roots ofthree species of Plumbago; namely P. auriculata Lam.; P. indica L. and P. zeylanica L. bylight microscopy. The paper also provides qualitative and quantitative analysis of thenaphthoquinone; plumbagin—a major constituent present in these species—using UPLC-UV. Microscopic examinations revealed the presence of distinctive differences in theanatomical features of the leaf; stem and root of the three species; and these can thus beused for identification and authentication of these species. UPLC-UV analysis showed thehighest concentration of plumbagin in the roots of P. zeylanica (1.62% w/w) followed by theroots of P. indica (0.97% w/w) and then P. auriculata (0.33–0.53% w/w). In contrast;plumbagin was not detected in the stems and leaves of P. indica and in the leaves of P …,Journal of natural medicines,2013,8
Comparative study of three Plumbago L. species (Plumbaginaceae) by microscopy; UPLC-UV and HPTLC,Ahmed M Galal; Vijayasankar Raman; Bharathi Avula; Yan-Hong Wang; Chidananda Swamy Rumalla; Aruna Dharmapriya Weerasooriya; Ikhlas A Khan,Abstract This paper presents a comparative study of anatomy of leaves; stems and roots ofthree species of Plumbago; namely P. auriculata Lam.; P. indica L. and P. zeylanica L. bylight microscopy. The paper also provides qualitative and quantitative analysis of thenaphthoquinone; plumbagin—a major constituent present in these species—using UPLC-UV. Microscopic examinations revealed the presence of distinctive differences in theanatomical features of the leaf; stem and root of the three species; and these can thus beused for identification and authentication of these species. UPLC-UV analysis showed thehighest concentration of plumbagin in the roots of P. zeylanica (1.62% w/w) followed by theroots of P. indica (0.97% w/w) and then P. auriculata (0.33–0.53% w/w). In contrast;plumbagin was not detected in the stems and leaves of P. indica and in the leaves of P …,Journal of natural medicines,2013,8
On the collection of a peninsular endemic; Barleria stocksii (Acanthaceae); after a century,R Vijayasankar; K Ravikumar; NM Ganesh Babu,*,Zoos' Print Journal,2005,7
Microscopic and UPLC–UV–MS analyses of authentic and commercial yohimbe (Pausinystalia johimbe) bark samples,Vijayasankar Raman; Bharathi Avula; Ahmed M Galal; Yan-Hong Wang; Ikhlas A Khan,Abstract Yohimbine is the major alkaloid found in the stem bark of yohimbe; Pausinystaliajohimbe (Rubiaceae); an evergreen tree native to Africa. The objectives of the current studywere to provide a detailed anatomy of yohimbe bark; as well as to determine the quantity ofyohimbine in the raw yohimbe products sold online. Twelve commercial raw materials ofyohimbe were analyzed by microscopic and ultra performance liquid chromatography–UV–MS methods. The study revealed that three samples were probably adulterated and fourother samples contained various levels of impurities. Yohimbine was not detected in onesample; whereas its presence in other samples was found to be in the range 0.1–0.91%.The present work also provides a detailed anatomy of the stem bark of yohimbe; with lightand scanning electron microscopy images; for proper identification and authentication.,Journal of natural medicines,2013,6
Vegetative anatomy and micromorphology of Salvia divinorum (Lamiaceae) from Mexico; combined with chromatographic analysis of salvinorin A,Anna P Kowalczuk; Vijayasankar Raman; Ahmed M Galal; Ikhlas A Khan; Daniel J Siebert; Jordan K Zjawiony,Abstract Salvia divinorum—a species traditionally cultivated in Oaxaca; Mexico—possesseshallucinogenic properties. It is legally recognized as a controlled substance and prohibitedin many countries. The proper identification of the plant; both in fresh and dried forms; is animportant issue in crime-prevention campaigns. This paper provides a thorough anatomicaldescription of leaves; petioles; and stems of S. divinorum. Detailed investigation of foliartrichomes was performed and illustrated. In addition; chromatographic analyses; includingTLC and HPLC; were applied to fresh and dried plant material; together with the standardreference salvinorin A. A comprehensive identification method for S. divinorum based on athorough anatomical examination is proposed; combined with chemical analysis for properplant recognition.,Journal of natural medicines,2014,5
Development and characterization of taste masked Efavirenz pellets utilizing hot melt extrusion,A Singh; S Majumdar; W Deng; NN Mohammed; AG Chittiboyina; V Raman; S Shah; MA Repka,The objective of this study was to formulate taste-masked pellets of Efavirenz (EFZ) withEudragit E PO as the matrix polymer utilizing hot melt extrusion (HME) technology. Thedrug/polymer physical mixtures were extruded as rods with a co-rotating twin-screw extruderand then pelletized. The chemical interaction between EFZ and Eudragit E PO wasdetermined using Fourier transform infrared (FTIR) spectroscopy. Solid-statecharacterization of EFZ in the Eudragit E PO matrix was carried out using differentialscanning calorimetry (DSC); Powder X-ray Diffraction (PXRD) and Scanning electronmicroscopy (SEM) techniques. The solubility of EFZ was improved significantly due to itsconversion into a more water-soluble amorphous form. Drug load had a significant effect onEFZ release characteristics from the pellets. In vitro release profiles obtained with the …,Journal of Drug Delivery Science and Technology,2013,5
Sida cordifolia; a Traditional Herb in Modern Perspective–A Review,Ahmed Galal; Vijayasankar Raman; Ikhlas A Khan,Sida cordifolia (Malvaceae) is a highly reputable medicinal herb in the Ayurveda and othertraditional systems of medicine in India and various other countries. In the Ayurvedic systemof medicine it is used as antirheumatic; analgesic; antipyretic; antiasthmatic; nasalanticongestant; antiviral; laxative; diuretic; aphrodisiac; hypoglycaemic; hepatoprotectiveand in the treatment of Parkinson's disease. In order to evaluate this traditional plant in amodern perspective; the current review presents essential aspects of S. cordifolia includingtaxonomy; uses in disciplined traditional medicines; geographical distribution; chemicalconstituents; pharmacological studies on plant extracts and on single entity constituents;toxicity; and standardization. The chemical composition of this herb comprises of alkaloids;flavonoids; phytoecdysteroids; sterols and fatty acids. The problem of plant …,Current Traditional Medicine,2015,4
A new species of Eriocaulon L.(Eriocaulaceae) from Anamalai Hills of Kerala; India,R Vijayasankar; K Ravikumar; NM Ganesh Babu,*,Rheedea,2006,4
Endemic species; Brachystelma brevitubulatum (Bedd.) Gamble (Asclepiadaceae); relocated after a century,R Vijayasankar; K Ravikumar; P Ravichandran,Intensive field surveys conducted in Tiruvannamalai district; Tamil Nadu; has yieldedcollection of several rare and endemic species; one among them is Brachystelmabrevitubulatum (Bedd) Gamble; which has been collected after a lapse of 131 years.Detailed description; notes on ecology and distribution; images and distribution map areprovided.,Phytotaxonomy,2003,4
Application of anatomy and HPTLC in characterizing species of Dioscorea (Dioscoreaceae),Vijayasankar Raman; Ahmed M Galal; Bharathi Avula; Satyanarayanaraju Sagi; Troy J Smillie; Ikhlas A Khan,Abstract The edible tubers from different species of Dioscorea are a major source of foodand nutrition for millions of people. Some of the species are medicinally important but othersare toxic. The genus consists of about 630 species of almost wholly dioecious plants; manyof them poorly characterized. The taxonomy of Dioscorea is confusing and identification ofthe species is generally problematic. There are no adequate anatomical studies availablefor most of the species. This study is aimed to fill this gap and provides a detailedinvestigation of the anatomy and micro-morphology of the rhizomes and tubers of fivedifferent species of Dioscorea; namely D. balcanica; D. bulbifera; D. polystachya; D.rotundata and D. villosa. The primary features that can help in distinguishing the speciesinclude the nature of periderm; presence or absence of pericyclic sclereids; lignification in …,Journal of natural medicines,2014,3
Additions to the flora of Sirumalai Hills; Eastern Ghats; India,R Vijayasankar; R Kottaimuthu; K Ravikumar,Abstract Extensive botanical surveys conducted in the Sirumalai hills; Eastern Ghats of TamilNadu during 2005-08 have resulted in the collection of 374 plant species. Review ofliterature indicated that 85 of these have not been recorded earlier from the region. Hencethey are reported as additions to the flora of Sirumalai Hills. All these 85 taxa are occurringnaturally in the region and are presented here; with collection details for further reference.,Journal of Threatened Taxa,2009,3
Notes on some interesting and noteworthy plants from southern India,NM Ganesh Babu; R Vijayasankar; K Ravikumar; DK Ved,Abstract: Botanical explorations in and around Bangalore city and critical studies; of theherbarium specimens housed at FRLHT herbarium; Bangalore unveiled five species ofdistributional interest viz.; Andrographis beddomei CB Clarke; Argemone ochroleuca Sweet;Clausena indica (Dalz.) Oliver; Sesamum alatum Thonn. and Solanum sisymbriifolium Lam.They are presented here with updated nomenclature; brief description and notes ondistribution for better understanding.,J. Econ. Taxon. Bot,2006,3
Is Madhuca insignis (Radlk.) H.J. Lam (Sapotaceae) really extinct?,K Ravikumar; R Vijayasankar; DK Ved; KG Bhat,* Department of Botany; Poornaprajna College; Udupi 576 101; Karnataka During botanicalstudy conducted in Karnataka forest; Madhuca insignis (Radlk.) HJ Lam; which wasconsidered to be possibly extinct; has been collected; this seems to be the only collectionafter the type after a lapse of 131 years. Detailed descriptioh with illustration; distributiondata with map; notes on conservation measures and local uses are presented in this paper.,Phytotaxonomy,2004,3
Simultaneous Determination of Aegeline and Six Coumarins from Different Parts of the Plant Aegle marmelos Using UHPLC-PDA-MS and Chiral Separation of Aege...,Bharathi Avula; Amar G Chittiboyina; Yan-Hong Wang; Satyanarayanaraju Sagi; Vijayasankar Raman; Mei Wang; Ikhlas A Khan,Aegle marmelos (L.) Corrêa; commonly known as bael; Indian bael; or wood apple; belongsto the flowering plant family Rutaceae. It is widely grown in the Indian subcontinent and isfound mainly in tropical and subtropical regions. Bael has been widely used in indigenoussystems of Indian medicine for its various medicinal properties [1]. Almost all parts of thetree; including the root; stem; bark; leaf; fruit; and seeds; at all stages of maturity havetraditionally been used for their medicinal properties [2–6]. These activities includehypoglycemic [2–3]; antihyperlipidaemic [4]; hepatoprotective [5]; and anticancer effects [6].A number of secondary metabolites like alkaloids (γ-fagarine; aegeline; shahidine;marmeline; marmesiline); coumarins (marmin; marmelosin; psoralen; scopoletin;umbelliferone; marmesin; imperatorin); flavonoids (rutin); terpenoids; fatty acids; amino …,Planta Medica,2016,2
Antiaris toxicaria (Moraceae)–a new distributional record to the Eastern Ghats,K Ravikumar; R Vijayasankar,Abstract Antiaris toxicaria (Pers.) Lesch.(Moraceae)-a paleotropical species has so far beenreported only from the Western Ghats and Andaman islands in India. The present collectionsfrom Tamil Nadu and Andhra Pradesh form a new report to the entire Eastern Ghats.Provided here are the latest nomenclature; brief description and some notes on itsdistribution.,Journal of Threatened Taxa,2009,2
First report of Barleria lupulina Lindl. (Acanthaceae) from southern India,R Vijayasankar; K Ravikumar,Spiny undershrubs; up to 1.5 (3) m high. Leaves narrowly oblong-lanceolate; 4-13 x 1-2cm;subcoriaceous; glabrous; cuneate at base; obtuse at apex; spine-tipped; cystoliths linear;densely irregularly scattered; prominent above; midrib prominent; sulcate; reddish; lateralnerves indistinct; petioles ca 5mm long; leaves of axillary branches oblanceolate; ca 3.5 x1cm; base attenuate; apex obtuse-mucronate; spines two per axil; each ca 1.5 cm long;whitish; deflexed. Spikes terminal; erect; strobiliform; dense; 5-7 x 1.5-2cm; puberulous;bracts broadly ovate; ca 1.5 x 1cm; puberulous; with many cupular brown glands on the backat lower half; apex broadly acute; mucronate; margin ciliolate; upper half brownish;bracteoles oblanceolate; ca 5 x 1.5 mm; mucronulate. Flowers ca 2.5 cm across; calyx-lobesfour; dissimilar; two broadly ovatelanceolate; ca 1 x 0.4 cm; other two linear-lanceolate; ca …,Zoos' Print Journal,2004,2
Which Bay Leaf is in Your Spice Rack?–A Quality Control Study,Vijayasankar Raman; Rainer W Bussmann; Ikhlas A Khan,Laurus nobilis L.(Lauraceae); the true bay leaf; is a common household spice used inflavoring a wide range of foods. It also has several medicinal properties and is used as acholagogue; stimulant; carminative; and diaphoretic [1]. Its essential oils have bactericidal;fungicidal; and insect-repellent properties; and are also used as a fragrance ingredient inperfumes; creams; lotions; and soaps. True bay leaves are reported to contain 0.3–3.1% ofvolatile oil composed mainly of cineole; α-pinene; linalool; α-terpineol acetate; α-terpineol; β-pinene; sabinene; limonene; methyl eugenol; eugenol; ρ-cymene; camphene; dehydro-1; 8-cineole; phenyl-hydrazine; piperidine; and geraniol [1; 2]. The “true bay” or “true laurel” isobtained from the leaves of L. nobilis [3; 4]. However; leaves from several other speciesbelonging to the same or different plant families are also traded as “bay leaves” and are …,Planta Medica,2017,1
Biting Deterrent and Larvicidal Activity of Essential Oils of Magnolia grandiflora Against Aedes aegypti,JU Rehman; A Ali; N Tabanca; V Raman; B Demirci; KHC Başer; IA Khan,In the search for mosquito biting deterrent and larvicidal compounds from natural sources;we investigated essential oils from different plant parts of Magnolia grandifloraL.(Magnoliaceae). We separately obtained essential oils from air dried samples of seeds;deseeded unripe and mature fruits and leaves of M. grandiflora by water distillation.Chemical composition of the oils was analyzed by GC-FID and GC-MS analyses. Thefollowing are the major constituents found in different plant parts: Seeds with aril: 8.8% β-caryophyllene; 7.3% β-phellandrene; 6.2% octanol and 5.5% p-cymene; deseeded unripefruit: 12.9% β-elemene; 12.7% β-pinene; 7.9% β-caryophyllene and 5.1% α-terpineol;deseeded mature fruit: 12.2% 1; 8 cineole; 7.2% caryophyllene oxide; 6.9% β-pinene and5.7% β-elemene; leaves: 23.0% β-pinene; 13.6% β-elemene and 6.3% α-pinene. All …,Planta Medica,2013,1
Botany of Anapady MPCA; Palghat district; Kerala with special emphasis on species of conservation concern,R Vijayasankar; K Ravikumar; NM Ganesh Babu; DK Ved,Area (MPCA) during November 2003 which resulted in the documentation of 442 taxa offlowering plants including several endemic and threatened ones. Screening of literatureshowed that 58 taxa are additions to the flora of Palghat district. Of these; Desmodiumzonatum Miq.; Digitaria tomentosa (Koenig ex Willd.) Henrard and Peperomia pseudo-rhombea C. DC. form new reports to the state of Kerala. 34 of these taxa belong to thecategory of Red Listed medicinal plant species.,Bulletin of the Botanical Survey of India,2007,1
Distribution note on Justicia nilgherrensis (Acanthaceae); a southern Indian endemic species,R Vijayasankar; K Ravikumar; TS Suma; NM Ganesh Babu; R Ganesan,*,My Forest,2005,1
Notes on the extended distribution of three Indian endemics in Tamil Nadu,K Ravikumar; V Lakshmanan; R Vijayasankar,Skip to main content (Press Enter). Plants People Possibilities: About Kew; Kew videos; ScientificResearch & Data; Business & Venue Hire; Ask Kew; Shop. Visit Kew Gardens; Visit Wakehurst;Plants & Fungi; Science & Conservation; Collections; Learn; Support Kew; News; Shop. Wheream I? Home: Kew Databases: Kew Bibliographic Database: Detailed result. Detailed result. returnto summary results page. Ravikumar K; Lakshmanan V; Vijaya Sankar R. 2004 Notes on theextended distribution of three Indian endemics in Tamil Nadu. Rheedea 14. 69-70 En Geog =6 Anat and morphology Systematics: ANGIOSPERMAE (LABIATAE: GOMPHOSTEMMA;RUBIACEAE: HEDYOTIS; EBENACEAE: DIOSPYROS) ( ; 200510434). Kew BibliographicDatabase. Searches. Simple search. Your account. Log in; Register for more options — it's free!Why register? KBD. News; More about KBD; Terms & Conditions. Help. FAQ; Help …,Rheedea,2004,1
Anatomy and microscopy of Piper caldense; a folk medicinal plant from Brazil,Vera Lucia P dos Santos; Vijayasankar Raman; Vanessa B Bobek; Izabel P Migacz; Célia Regina C Franco; Ikhlas A Khan; Jane M Budel,Abstract Piper caldense C. DC.; Piperaceae; commonly known as “pimenta-d'água”;“pimenta-darda” or “paguarandy” in Brazil; is a shrub that grows mainly in humidand shaded habitats. The present study investigates the anatomy of the leaves and stems ofP. caldense by light and scanning electron microscopy in order to provide supporting datafor correct identification of the species. The leaves are hypostomatic; have a 2-layeredhypodermis; and posses pearl glands. The midrib shows a 'U'-shaped stele comprised ofabout ten collateral vascular bundles. The main anatomical marker of the stem is thepresence of a continuous sclerenchymatous sheath in the pith. Two forms of calcium oxalatecrystals; namely crystal sand and raphides; are observed in this species.,Revista Brasileira de Farmacognosia,2017,*
Eleutherococcus senticosus (Araliaceae) Leaf Morpho-Anatomy; Essential Oil Composition; and Its Biological Activity Against Aedes aegypti (Diptera: Culicidae),Chunmei Zhai; Mei Wang; Vijayasankar Raman; Junaid U Rehman; Yonghai Meng; Jianping Zhao; Bharathi Avula; Yan-Hong Wang; Zhenkun Tian; Ikhlas A Khan,Abstract The roots of Eleutherococcus senticosus (Rupr. & Maxim.) Maxim.; a well-knownmedicinal plant from Eastern Asia; are used worldwide for their known beneficial medicinalproperties. Recently; the leaves have been used as an alternative to the roots. The presentstudy was aimed at exploring the leaf essential oil as a potential source of compounds formosquito management. Gas chromatography/mass spectrometry analysis of the leafessential oil revealed 87 compounds; constituting 95.2% of the oil. α-Bisabolol (26.46%); β-caryophyllene (7.45%); germacrene D (6.87%); β-bisabolene (4.95%); and α-humulene(3.50%) were five of the major constituents. The essential oil was subjected to bitingdeterrence and repellent activity against mosquito Aedes aegypti. The biting deterrence ofthe oil produced a proportion not biting (PNB) value of 0.62 at 10 µg/cm2 as compared …,Journal of Medical Entomology,2017,*
Studies on the floral anatomy and scent chemistry of titan arum (Amorphophallus titanum; Araceae),Vijayasankar Raman; Nurhayat Tabanca; Betul Demirci; Ikhlas Khan,Abstract: Amorphophallus titanum (Becc.) Becc. ex Arcang.; the titan arum; is popularlyknown for having the world's largest unbranched inflorescence. The enormous flower-likeinflorescence is also called 'corpse flower'or 'carrion flower'due to the characteristic putridodor of the bloom. The present study illustrates detailed anatomy and micromorphology ofthe inflorescence by light and scanning electron microscopy. Collenchyma was found to bethe major tissue providing mechanical support in the spathe. The appendix consisted of adense parenchymatous cortex enclosing a hollow center traversed by loose networks ofaerenchyma. Anthocyanin pigments found in the epidermises and cortical tissues imparted apurple color to various parts of the inflorescence. Two types of raphide crystals; Psychotriatype and Lemna type; and cluster crystals were observed. The volatile compounds from …,Turkish Journal of Botany,2017,*
Morpho-Anatomy of Marijuana (Cannabis sativa L.),Vijayasankar Raman; Hemant Lata; Suman Chandra; Ikhlas A Khan; Mahmoud A ElSohly,Abstract Cannabis sativa is a complex species with highly variable morphological features.The present chapter provides detailed descriptions of morphological and anatomicalcharacters of various parts of C. sativa plant and illustrated with bright-field and scanningelectron micrographs. Male and female flowers occur in separate plants. Three types ofglandular trichomes namely; glandular stalked; glandular sessile and bulbous glandulartrichomes are found. Of these; glandular stalked trichomes are restricted to the floral bractsin pistillate plants and anthers in staminate plants. The other two types of glandulartrichomes are found in various parts including bracts; leaves; stems and petioles. Two typesof non-glandular trichomes namely; cystolith trichomes and slender covering trichomes; arepresent. Cystolith trichomes are primarily found on the adaxial leaf surface while the …,*,2017,*
Standardization of Medicinal Herb Ziziphora bungeana Juz.(Lamiaceae) and Quantitative Determination of Pulegone in the Essential Oil,KA Zhaparkulova; R Srivedavyasasri; V Raman; ZB Sakipova; L Ibragimova; IA Khan; SA Ross,Plants of the genus Ziziphora of the family Lamiaceae; characterized by a high content ofessential oil and are used in ethno medicine in many countries for the treatment ofcardiovascular and gastrointestinal diseases (1).The aim of this research was to develop amethod for quantitative determination of pulegone in the essential oil of Ziziphora bungeanaJuz. using Kazakh and European Pharmacopoeias approaches and GC/MS methods; forinclusion in the monograph. Macroscopic and microscopic standardization of the authenticplant samples were included for correct identification and authentication of the rawmaterials. Histochemical reactions to the contents of essential oils; as well as qualitativedetermination of pulegone using TLC were carried out.,Planta Medica,2016,*
