A generic framework for monitoring continuous spatial queries over moving objects,Haibo Hu; Jianliang Xu; Dik Lun Lee,Abstract This paper proposes a generic framework for monitoring continuous spatial queriesover moving objects. The framework distinguishes itself from existing work by being the firstto address the location update issue and to provide a common interface for monitoringmixed types of queries. Based on the notion of safe region; the client location updatestrategy is developed based on the queries being monitored. Thus; it significantly reducesthe wireless communication and query reevaluation costs required to maintain the up-to-date query results. We propose algorithms for query evaluation/reevaluation and for saferegion computation in this framework. Enhancements are also proposed to take advantageof two practical mobility assumptions: maximum speed and steady movement. Theexperimental results show that our framework substantially outperforms the traditional …,Proceedings of the 2005 ACM SIGMOD international conference on Management of data,2005,336
Placement problems for transparent data replication proxy services,Jianliang Xu; Bo Li; Dik Lun Lee,Transparent data replication has been considered a promising technique for improvingsystem performance for a large distributed network. In this paper; a hybrid transparentreplication model is presented. We address the problems of replication proxy placement inthe network and data replica placement on the installed proxies given that a maximum of Mproxies are allowed. Both reads and writes are considered in these problems. Theperformance objective is to minimize the total data transfer cost. To address the placementproblems; we first present the optimal solutions for a single object in a tree networkwithout/with constraint on the number of replicas. Based on that; two schemes; namely;aggregate access (AGGA) and weighted popularity (WPOP); are proposed for the replicationproxy placement problem. An optimal solution is described for the replica placement …,IEEE Journal on Selected areas in Communications,2002,132
Performance analysis of location-dependent cache invalidation schemes for mobile environments,Jianliang Xu; Xueyan Tang; Dik Lun Lee,Mobile location-dependent information services are gaining increasing interest in bothacademic and industrial communities. In these services; data values depend on theirlocations. Caching frequently accessed data on mobile clients can help save wirelessbandwidth and improve system performance. However; since client location changesconstantly; location-dependent data may become obsolete not only due to updatesperformed on data items but also because of client movements across the network. To thebest of the authors' knowledge; previous work on cache invalidation issues focused on dataupdates only. This paper considers data inconsistency caused by client movements andproposes three location-dependent cache invalidation schemes. The performance for theproposed schemes is investigated by both analytical study and simulation experiments in …,IEEE transactions on Knowledge and Data Engineering,2003,126
Privacy-conscious location-based queries in mobile environments,Jianliang Xu; Xueyan Tang; Haibo Hu; Jing Du,In location-based services; users with location-aware mobile devices are able to makequeries about their surroundings anywhere and at any time. While this ubiquitous computingparadigm brings great convenience for information access; it also raises concerns overpotential intrusion into user location privacy. To protect location privacy; one typicalapproach is to cloak user locations into spatial regions based on user-specified privacyrequirements; and to transform location-based queries into region-based queries. In thispaper; we identify and address three new issues concerning this location cloakingapproach. First; we study the representation of cloaking regions and show that a circularregion generally leads to a small result size for region-based queries. Second; we develop amobility-aware location cloaking technique to resist trace analysis attacks. Two cloaking …,IEEE Transactions on Parallel and Distributed Systems,2010,120
Grid-partition index: a hybrid method for nearest-neighbor queries in wireless location-based services,Baihua Zheng; Jianliang Xu; Wang-Chien Lee; Dik Lun Lee,Abstract Traditional nearest-neighbor (NN) search is based on two basic indexingapproaches: object-based indexing and solution-based indexing. The former is constructedbased on the locations of data objects: using some distance heuristics on object locations.The latter is built on a precomputed solution space. Thus; NN queries can be reduced to andprocessed as simple point queries in this solution space. Both approaches exhibit somedisadvantages; especially when employed for wireless data broadcast in mobile computingenvironments. In this paper; we introduce a new index method; called the grid-partitionindex; to support NN search in both on-demand access and periodic broadcast modes ofmobile computing. The grid-partition index is constructed based on the Voronoi diagram; ie;the solution space of NN queries. However; it has two distinctive characteristics. First; it …,The VLDB Journal,2006,115
Processingwindow queries in wireless sensor networks,Yingqi Xu; Wang-Chien Lee; Jianliang Xu; Gail Mitchell,The existing query processing techniques for sensor networks rely on a networkinfrastructure for query propagation and data collection. However; such an infrastructure isvery susceptible to network topology transients that widely exist in sensor networks. In thispaper; we propose an infrastructure-free window query processing technique for sensornetworks; called itinerary-based window query execution (IWQE); in which querypropagation and data collection are combined into one single stage and executed along awell-designed itinerary inside a query window. We study the parameters for setting up anitinerary (eg; width and route) and incorporate into IWQE three data collection schemesbased on different performance trade-offs. Finally we demonstrate; by extensive simulations;the superior energy-time efficiency; robustness; and accuracy of IWQE over the current …,Data Engineering; 2006. ICDE'06. Proceedings of the 22nd International Conference on,2006,114
Energy efficient index for querying location-dependent data in mobile broadcast environments,Jianliang Xu; Baibua Zheng; W-C Lee; Dik Lun Lee,We are witnessing in recent years growing interest for location-dependent informationservices among mobile users. We examine the issue of processing location-dependentqueries in a mobile broadcast environment. Different from a traditional environment; mobileusers are concerned with not only access latencies but also power conservation. The planarpoint location algorithms and conventional spatial index structures are shown inefficient. Wepropose a new index data structure; called D-tree; for querying location-dependent data inmobile broadcast environments. The basic idea is to index data regions based on thedivisions between them. We describe how to construct the binary D-tree index; how toprocess location-dependent queries based on this index structure; and how to page the D-tree to fit the packet capacity. The performance of the D-tree is evaluated using both …,Data Engineering; 2003. Proceedings. 19th International Conference on,2003,108
Fast nearest neighbor search on road networks,Haibo Hu; Dik Lun Lee; Jianliang Xu,Abstract Nearest neighbor (NN) queries have been extended from Euclidean spaces to roadnetworks. Existing approaches are either based on Dijkstra-like network expansion orNN/distance precomputation. The former may cause an explosive number of node accessesfor sparse datasets because all nodes closer than the NN to the query must be visited. Thelatter; eg; the Voronoi Network Nearest Neighbor (VN 3) approach; can handle sparsedatasets but is inappropriate for medium and dense datasets due to its high precomputationand storage overhead. In this paper; we propose a new approach that indexes the networktopology based on a novel network reduction technique. It simplifies the network byreplacing the graph topology with a set of interconnected tree-based structures calledSPIE's. An nd index is developed for each SPIE and our new (k) NN search algorithms on …,International Conference on Extending Database Technology,2006,98
A new storage scheme for approximate location queries in object-tracking sensor networks,Jianliang Xu; Xueyan Tang; Wang-Chien Lee,Energy efficiency is one of the most critical issues in the design of wireless sensor networks.Observing that many sensor applications for object tracking can tolerate a certain degree ofimprecision in the location data of tracked objects; this paper studies precision-constrainedapproximate queries that trade answer precision for energy efficiency. We develop anenergy-conserving approximate storage (EASE) scheme to efficiently answer approximatelocation queries by keeping error-bounded imprecise location data at some designatedstorage node. The data impreciseness is captured by a system parameter called theapproximation radius. We derive the optimal setting of the approximation radius for ourstorage scheme based on the mobility pattern and devise an adaptive algorithm to adjust thesetting when the mobility pattern is not available a priori or is dynamically changing …,IEEE transactions on parallel and distributed systems,2008,93
Exponential index: A parameterized distributed indexing scheme for data on air,Jianliang Xu; Wang-Chien Lee; Xueyan Tang,Abstract Wireless data broadcast has received a lot of attention from industries andacademia in recent years. Access efficiency and energy conservation are two criticalperformance concerns in a wireless data broadcast environment. To improve the efficiencyof energy consumption on mobile devices; traditional disk-based indexing techniques suchas B $^+ $-tree have been extended to index broadcast data on a wireless channel.However; existing designs are mostly based on centralized tree structures. Most of theseindexing techniques are not flexible in the sense that the trade-off between access efficiencyand energy conservation is not adjustable based on application specific requirements. Wepropose in this paper a novel parameterized index; called the exponential index; which canbe tuned to optimize the access latency with the tuning time bounded by a given limit; and …,Proceedings of the 2nd international conference on Mobile systems; applications; and services,2004,93
On replica placement for QoS-aware content distribution,Xueyan Tang; Jianliang Xu,The rapid growth of time-critical information services and business-oriented applications ismaking quality of service (QoS) support increasingly important in content distribution. Thispaper investigates the problem of placing object replicas (eg; web pages and images) tomeet the QoS requirements of clients with the objective of minimizing the replication cost.We consider two classes of service models: replica-aware service and replica-blind service.In the replica-aware model; the servers are aware of the locations of replicas and cantherefore direct requests to the nearest replica. We show that the QoS-aware placementproblem for replica-aware services is NP-complete. Several heuristic algorithms for efficientcomputation of suboptimal solutions are proposed and experimentally evaluated. In thereplica-blind model; the servers are not aware of the locations of replicas or even their …,INFOCOM 2004. Twenty-third AnnualJoint Conference of the IEEE Computer and Communications Societies,2004,92
Non-exposure location anonymity,Haibo Hu; Jianliang Xu,Location cloaking has been proposed and well studied to protect user privacy. It blurs theaccurate user location (ie; a point withcoordinates) and replaces it with a well-shapedcloaked region (usually a circle or a rectangle). However; to obtain such a cloaked region;all existing cloaking algorithms require to know the accurate locations of all users. Sincesuch information is exactly what the user wants to hide; these algorithms can work only if allparties involved in the cloaking process are trusted. However; in practice this assumptionrarely holds as any of these parties could be malicious. Therefore; location cloaking withoutexposing the accurate user location to any party is urgently needed. In this paper; wepresent such a non-exposure cloaking algorithm. It is designed for k-anonymity and cloakingis performed based on the proximity information among mobile users; instead of directly …,Data Engineering; 2009. ICDE'09. IEEE 25th International Conference on,2009,85
Distortion-based anonymity for continuous queries in location-based mobile services,Xiao Pan; Xiaofeng Meng; Jianliang Xu,Abstract Privacy preservation has recently received considerable attention for location-based mobile services. Various location cloaking approaches have been proposed toprotect the location privacy of mobile users. However; existing cloaking approaches are ill-suited for continuous queries. In view of the privacy disclosure and poor QoS (Quality ofService) under continuous query anonymization; in this paper; we propose a δ p-privacymodel and a δ q-distortion model to balance the tradeoff between user privacy and QoS.Furthermore; two incremental utility-based cloaking algorithms---bottom-up cloaking andhybrid cloaking; are proposed to anonymize continuous queries. Experimental resultsvalidate the efficiency and effectiveness of the proposed algorithms.,Proceedings of the 17th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,2009,77
PSGR: priority-based stateless geo-routing in wireless sensor networks,Yingqi Xu; Wang-Chien Lee; Jianliang Xu; Gail Mitchell,Volunteer forwarding; as an emerging routing idea for large scale; location-aware wirelesssensor networks; recently has attracted a significant amount of research attention. However;several critical research issues raised by volunteer forwarding; including priority assignment;acknowledgement collisions and communication voids; have not been well addressed bythe existing work. In this paper; we propose a priority-based stateless geo-routing (PSGR)protocol to address these issues. Based on PSGR; sensor nodes are able to locallydetermine their priority to serve as the next relay node using dynamically estimated networkdensity. This effectively suppresses potential communication collisions without prolongingrouting delays. PSGR also overcomes the communication void problem using twoalternative stateless schemes; rebroadcast and bypass. We analyze energy consumption …,Mobile Adhoc and Sensor Systems Conference; 2005. IEEE International Conference on,2005,76
Proactive caching for spatial queries in mobile environments,Haibo Hu; Jianliang Xu; Wing Sing Wong; Baihua Zheng; Dik Lun Lee; W-C Lee,Semantic caching enables mobile clients to answer spatial queries locally by storing thequery descriptions together with the results. However; it supports only a limited number ofquery types; and sharing results among these types is difficult. To address these issues; wepropose a proactive caching model which caches the result objects as well as the index thatsupports these objects as the results. The cached index enables the objects to be reused forall common types of queries. We also propose an adaptive scheme to cache such an index;which further optimizes the query response time for the best user experience. Simulationresults show that proactive caching achieves a significant performance gain over pagecaching and semantic caching in mobile environments where wireless bandwidth andbattery are precious resources.,Data Engineering; 2005. ICDE 2005. Proceedings. 21st International Conference on,2005,75
Adaptive data collection strategies for lifetime-constrained wireless sensor networks,Xueyan Tang; Jianliang Xu,Communication is a primary source of energy consumption in wireless sensor networks.Due to resource constraints; the sensor nodes may not have enough energy to report everyreading to the base station over a required network lifetime. This paper investigates datacollection strategies in lifetime-constrained wireless sensor networks. Our objective is tomaximize the accuracy of data collected by the base station over the network lifetime.Instead of sending sensor readings periodically; the relative importance of the readings isconsidered in data collection: the sensor nodes send data updates to the base station whenthe new readings differ more substantially from the previous ones. We analyze the optimalupdate strategy and develop adaptive update strategies for both individual and aggregatedata collections. We also present two methods to cope with message losses in wireless …,IEEE Transactions on Parallel and Distributed Systems,2008,74
Optimizing lifetime for continuous data aggregation with precision guarantees in wireless sensor networks,Xueyan Tang; Jianliang Xu,This paper exploits the tradeoff between data quality and energy consumption to extend thelifetime of wireless sensor networks. To obtain an aggregate form of sensor data withprecision guarantees; the precision constraint is partitioned and allocated to individualsensor nodes in a coordinated fashion. Our key idea is to differentiate the precisions of datacollected from different sensor nodes to balance their energy consumption. Three factorsaffecting the lifetime of sensor nodes are identified: 1) the changing pattern of sensorreadings; 2) the residual energy of sensor nodes; and 3) the communication cost betweenthe sensor nodes and the base station. We analyze the optimal precision allocation in termsof network lifetime and propose an adaptive scheme that dynamically adjusts the precisionconstraints at the sensor nodes. The adaptive scheme also takes into consideration the …,IEEE/ACM Transactions On Networking,2008,72
Optimizing lifetime for continuous data aggregation with precision guarantees in wireless sensor networks,Xueyan Tang; Jianliang Xu,This paper exploits the tradeoff between data quality and energy consumption to extend thelifetime of wireless sensor networks. To obtain an aggregate form of sensor data withprecision guarantees; the precision constraint is partitioned and allocated to individualsensor nodes in a coordinated fashion. Our key idea is to differentiate the precisions of datacollected from different sensor nodes to balance their energy consumption. Three factorsaffecting the lifetime of sensor nodes are identified: 1) the changing pattern of sensorreadings; 2) the residual energy of sensor nodes; and 3) the communication cost betweenthe sensor nodes and the base station. We analyze the optimal precision allocation in termsof network lifetime and propose an adaptive scheme that dynamically adjusts the precisionconstraints at the sensor nodes. The adaptive scheme also takes into consideration the …,IEEE/ACM Transactions On Networking,2008,72
The D-tree: An index structure for planar point queries in location-based wireless services,Jianliang Xu; Baihua Zheng; W-C Lee; Dik Lun Lee,Location-based services (LBSs); considered as a killer application in the wireless datamarket; provide information based on locations specified in the queries. In this paper; weexamine the indexing issue for querying location-dependent data in wireless LBSs; inparticular; we focus on an important class of queries; planar point queries. To address theissues of responsiveness; energy consumption; and bandwidth contention in wirelesscommunications; an index has to minimize the search time and maintain a small storageoverhead. It is shown that the traditional point-location algorithms and spatial indexstructures fail to achieve either objective or both. This paper proposes a new index structure;called D-tree; which indexes spatial regions based on the divisions that form the boundariesof the regions. We describe how to construct a binary D-tree index; how to process …,IEEE Transactions on Knowledge and Data Engineering,2004,71
Authenticating location-based services without compromising location privacy,Haibo Hu; Jianliang Xu; Qian Chen; Ziwei Yang,Abstract The popularity of mobile social networking services (mSNSs) is propelling moreand more businesses; especially those in retailing and marketing; into mobile and location-based forms. To address the trust issue; the service providers are expected to deliver theirlocation-based services in an authenticatable manner; so that the correctness of the serviceresults can be verified by the client. However; existing works on query authentication cannotpreserve the privacy of the data being queried; which are sensitive user locations when itcomes to location-based services and mSNSs. In this paper; we address this challengingproblem by proposing a comprehensive solution that preserves unconditional locationprivacy when authenticating range queries. Three authentication schemes for $ R $-tree andgrid-file index; together with two optimization techniques; are developed. Cost models …,Proceedings of the 2012 ACM SIGMOD International Conference on Management of Data,2012,69
An error-resilient and tunable distributed indexing scheme for wireless data broadcast,Jianliang Xu; W-C Lee; Xueyan Tang; Qing Gao; Shanping Li,Access efficiency and energy conservation are two critical performance concerns in awireless data broadcast system. We propose in this paper a novel parameterized indexcalled the exponential index that has a linear yet distributed structure for wireless databroadcast. Based on two tuning knobs; index base and chunk size; the exponential indexcan be tuned to optimize the access latency with the tuning time bounded by a given limit;and vice versa. The client access algorithm for the exponential index under unreliablebroadcast is described. A performance analysis of the exponential index is provided.Extensive ns-2-based simulation experiments are conducted to evaluate the performanceunder various link error probabilities. Simulation results show that the exponential indexsubstantially outperforms the state-of-the-art indexes. In particular; it is more resilient to …,IEEE Transactions on Knowledge and Data Engineering,2006,68
SAIU: An efficient cache replacement policy for wireless on-demand broadcasts,Jianliang Xu; Qinglong Hu; Dik Lun Lee; Wang-Chien Lee,ABSTRACT In a wireless communication environment; on-demand broadcasting is anattractive information delivery method; while data caching is an important technique used toimprove system performance. However; most of the wireless data caching techniques in theliterature were designed for pushbased broadcast systems. Due to variable item sizes; dataupdates and frequent client disconnections; the design of client cache management in an on-demand broadcast system becomes a challenge. In this paper; we propose an efficient gain-based cache replacement policy; SAIU; for on-demand broadcasts. In SAIU; the influence ofdata size; data retrieval delay; access probability and update frequency is consideredtogether. Simulation-based performance evaluation shows that the proposed policysubstantially outperforms the existing strategies. 1. INTRODUCTION With continuous …,Proceedings of the ninth international conference on Information and knowledge management,2000,67
Data broadcast,Jianliang Xu; Dik-Lin Lee; Qinglong Hu; Wang-Chien Lee,We have been witnessing in the past few years the rapid growth of wireless dataapplications in the commercial market thanks to the advent of wireless devices; wirelesshighspeed networks; and supporting software technologies. We envisage that in the nearfuture; a large number of mobile users carrying portable devices (eg; palmtops; laptops;PDAs; WAP phones; etc.) will be able to access a variety of information from anywhere andat any time. The types of information that may become accessible wirelessly are boundlessand include news; stock quotes; airline schedules; and weather and traffic information; toname but a few. There are two fundamental information delivery methods for wireless dataapplications: point-to-point access and broadcast. In point-to-point access; a logical channelis established between the client and the server. Queries are submitted to the server and …,Handbook of Wireless Networks and Mobile Computing,2002,61
LIGHT: a query-efficient yet low-maintenance indexing scheme over DHTs,Yuzhe Tang; Shuigeng Zhou; Jianliang Xu,DHT is a widely used building block for scalable P2P systems. However; as uniform hashingemployed in DHTs destroys data locality; it is not a trivial task to support complex queries(eg; range queries and k-nearest-neighbor queries) in DHT-based P2P systems. In order tosupport efficient processing of such complex queries; a popular solution is to build indexeson top of the DHT. Unfortunately; existing over-DHT indexing schemes suffer from eitherquery inefficiency or high maintenance cost. In this paper; we propose LIGhtweight HashTree (LIGHT)-a query-efficient yet low-maintenance indexing scheme. LIGHT employs anovel naming mechanism and a tree summarization strategy for graceful distribution of itsindex structure. We show through analysis that it can support various complex queries withnear-optimal performance. Extensive experimental results also demonstrate that …,IEEE Transactions on Knowledge and Data Engineering,2010,54
PCMLogging: optimizing transaction logging and recovery performance with PCM,Shen Gao; Jianliang Xu; Theo Härder; Bingsheng He; Byron Choi; Haibo Hu,Phase-change memory (PCM); as one of the most promising next-generation memorytechnologies; offers various attractive properties such as non-volatility; byte addressability;bit alterability; and low idle energy consumption. Recently; PCM has drawn much attentionfrom the database community for optimizing query and transaction performance. As acomplement to existing work; we present PCMLogging; a novel logging scheme that exploitsPCM for both data caching and transaction logging to minimize I/O accesses in disk-baseddatabases. Specifically; PCMLogging caches dirty pages/records in PCM and furthermaintains an implicit log in the cached updates to support database recovery. By integratinglog and cached updates; PCMLogging enables simplified recovery and prolongs PCMlifetime. Furthermore; using PCMLogging; we develop a wear-leveling algorithm; that …,IEEE Transactions on Knowledge and Data Engineering,2015,50
Caching and prefetching for web content distribution,Jianliang Xu; Jiangchuan Liu; Bo Li; Xiaohua Jia,Proxy caching effectively reduces the network resources that Web services consume; whileminimizing user access latencies. Deploying Web caching proxies over the Internet is noteasy; however; and presents several cache management challenges. We offer an overviewof key management problems for Web proxy caching and prefetching and present state-of-the-art solutions to these problems. Our focus is on the distribution of conventional Webobjects; such as HTML pages and images; but we also address issues arising fromemerging applications and services; such as streaming media.,Computing in science & engineering,2004,48
Cache coherency in location-dependent information services for mobile environment,Jianliang Xu; Xueyan Tang; Dik Lun Lee; Qinglong Hu,Abstract Caching frequently accessed data at the client is an attractive technique forimproving access time. In a mobile computing environment; client location becomes a pieceof changing information. As such; location-dependent data may become obsolete due todata updates or client movements. Most of the previous work investigated cache invalidationissues related to data updates only; whereas few considered data inconsistency caused byclient movements. This paper separates location-dependent data invalidation fromtraditional cache invalidation. For location-dependent invalidation; several approaches areproposed and their performance is studied by a set of simulation experiments. The resultsshow that the proposed methods substantially outperform the NSI scheme which drops thecache contents entirely when hand-off.,International Conference on Mobile Data Access,1999,47
Quality aware privacy protection for location-based services,Zhen Xiao; Xiaofeng Meng; Jianliang Xu,Abstract Protection of users' privacy has been a central issue for location-based services(LBSs). In this paper; we classify two kinds of privacy protection requirements in LBS:location anonymity and identifier anonymity. While the location cloaking technique under thek-anonymity model can provide a good protection of users' privacy; it reduces the resolutionof location information and; hence; may degrade the quality of service (QoS). To strike abalance between the location privacy and QoS; we present a quality-aware anonymitymodel for protecting location privacy while meeting user specified QoS requirements. In themodel; a mobile user can specify the minimum anonymity level requirement upon locationprivacy as well as the maximum cloaking latency and the maximum cloaking region sizerequirements upon QoS. In accordance with the model; we develop an efficient directed …,International Conference on Database Systems for Advanced Applications,2007,46
Proxy cache management for fine-grained scalable video streaming,Jiangchuan Liu; Xiaowen Chu; Jianliang Xu,Caching video objects at proxies close to clients has attracted a lot of attention in recentyears. To meet diverse client bandwidth conditions; there have been research efforts tocombine proxy caching with video layering or transcoding. Nevertheless; these adaptivesystems suffer from either coarse adaptation granularity due to the inflexible structures ofexisting layered coders or high computation overhead due to the transcoding operations. Inthis paper; we propose a novel adaptive video caching framework that enables low-cost andfine-grained adaptation. The innovative approach employs the MPEG-4 fine-grainedscalable (FGS) video with postencoding rate control. We demonstrate that the proposedframework is both network aware and media adaptive: clients can be of heterogeneousstreaming rates; and the backbone bandwidth consumption can be adaptively controlled …,INFOCOM 2004. Twenty-third AnnualJoint Conference of the IEEE Computer and Communications Societies,2004,46
Privacy-aware location data publishing,Haibo Hu; Jianliang Xu; Sai Tung On; Jing Du; Joseph Kee-Yin Ng,Abstract This article examines a new problem of k-anonymity with respect to a referencedataset in privacy-aware location data publishing: given a user dataset and a sensitive eventdataset; we want to generalize the user dataset such that by joining it with the event datasetthrough location; each event is covered by at least k users. Existing k-anonymity algorithmsgeneralize every k user locations to the same vague value; regardless of the events.Therefore; they tend to overprotect against the privacy compromise and make the publisheddata less useful. In this article; we propose a new generalization paradigm called localenlargement; as opposed to conventional hierarchy-or partition-based generalization. Localenlargement guarantees that user locations are enlarged just enough to cover all events ktimes; and thus maximize the usefulness of the published data. We develop an O (H n) …,ACM Transactions on Database Systems (TODS),2010,44
