Introduction to Automata Theory; Languages; and Computation,Larry Ullman,*,*,2006,18258
The TSIMMIS project: Integration of heterogenous information sources,Sudarshan Chawathe; Hector Garcia-Molina; Joachim Hammer; Kelly Ireland; Yannis Papakonstantinou; Jeffrey Ullman; Jennifer Widom,The goal of the Tsimmis Project is to develop tools that facilitate the rapid integration ofheterogeneous information sources that may include both structured and unstructured data.This paper gives an overview of the project; describing components that extract propertiesfrom unstructured objects; that translate information into a common object model; thatcombine information from several sources; that allow browsing of information; and thatmanage constraints across heterogeneous sites. Tsimmis is a joint project between Stanfordand the IBM Almaden Research Center. 1 Overview A common problem facing manyorganizations today is that of multiple; disparate information sources and repositories;including databases; object stores; knowledge bases; file systems; digital libraries;information retrieval systems; and electronic mail systems. Decision makers often need …,*,1994,1549
Computer and job-shop scheduling theory,Edward Grady Coffman; John L Bruno,*,*,1976,1543
Protection in operating systems,Michael A Harrison; Walter L Ruzzo; Jeffrey D Ullman,Abstract A model of protection mechanisms in computing systems is presented and itsappropriateness is argued. The “safety” problem for protection systems under this model isto determine in a given situation whether a subject can acquire a particular right to an object.In restricted cases; it can be shown that this problem is decidable; ie there is an algorithm todetermine whether a system in a particular configuration is safe. In general; and undersurprisingly weak assumptions; it cannot be decided if a situation is safe. Variousimplications of this fact are discussed.,Communications of the ACM,1976,1468
Computational aspects of VLSI,Jeffrey D Ullman,CERN Accelerating science. Sign in; Directory. CERN Document Server. Access articles; reportsand multimedia content in HEP. Main menu. Search; Submit; Help; Personalize: Your alerts; Yourbaskets; Your comments; Your searches. Home > Computational aspects of VLSI. Information;Discussion (0); Files; Holdings. Book. Title; Computational aspects of VLSI. Author(s); Ullman;Jeffrey D. Publication; Rockville; MD : Computer Science Press; 1984. - 495 p. Subject code;621.382.049.75. Subject category; Engineering. Keywords; algorithms ; design ; integrated circuits ;tools. ISBN; 0914894951 (This book at Amazon) 9780914894957 (This book at Amazon). CERNlibrary copies - Purchase it for me! - This book on WorldCat Back to search. Record created …,*,1984,1296
NP-complete scheduling problems,Jeffrey D.  Ullman,The scheduling problem is the following. We are given (1) a set S~{.[1;...; J~} of jobs;(2) apartial order-~ on S;(3) a weighting function W from S to the positive integers; giving thenumber of time units required by each job; and (4) a number of processors; k. Informally; wemay" execute" up to k jobs at each time unit t= 0; 1;...; tma x. If job J is first executed at time t;then we assume it is executed at times t; t-}-1;...; t+ W (J)-1; and at no other times. Thescheduling problem is to minimize tmax under the constraint that if J~ J'; then J'does notbegin execution until at least W (J) time units after f begins execution. The reader is referredto [1] for a survey of results on the scheduling problem.,Journal of Computer and System sciences,1975,1260
The TSIMMIS approach to mediation: Data models and languages,Hector Garcia-Molina; Yannis Papakonstantinou; Dallan Quass; Anand Rajaraman; Yehoshua Sagiv; Jeffrey Ullman; Vasilis Vassalos; Jennifer Widom,Abstract TSIMMIS—The Stanford-IBM Manager of Multiple InformationSources—is a systemfor integrating information. It offers a datamodel and a common query language that aredesigned to support thecombining of information from many different sources. It alsoofferstools for generating automatically the components that are needed tobuild systems forintegrating information. In this paper we shalldiscuss the principal architectural features andtheir rationale.,Journal of intelligent information systems,1997,1114
Magic sets and other strange ways to implement logic programs,Francois Bancilhon; David Maier; Yehoshua Sagiv; Jeffrey D Ullman,ABSTRACT Several methods for implementing database queries expressed as logical rulesare given and they are compared for efficiency. One method; called “magic sets;” is ageneral algorithm for rewriting logical rules so that they may be implemented bottom-UP (=forward chaining) in a way that cuts down on the irrelevant facts that are generated. Theadvantage of this scheme is that by working bottom-up; we can take advantage of efficientmethods for doing massive joins. Two other methods are ad hoc ways of implementing“linear” rules; ie; rules where at most one predicate in any body is recursive. These methodsare,Proceedings of the fifth ACM SIGACT-SIGMOD symposium on Principles of database systems,1985,1026
Information integration using logical views,Jeffrey D Ullman,Abstract A number of ideas concerning information-integration tools can be thought of asconstructing answers to queries using views that represent the capabilities of informationsources. We review the formal basis of these techniques; which are closely related tocontainment algorithms for conjunctive queries and/or Datalog programs. Then we comparethe approaches taken by AT&T Labs'“Information Manifold” and the Stanford “Tsimmis”project in these terms.,International Conference on Database Theory,1997,957
Worst-case performance bounds for simple one-dimensional packing algorithms,David S.  Johnson; Alan Demers; Jeffrey D.  Ullman; Michael R Garey; Ronald L.  Graham,The following abstract problem models several practical problems in computer science andoperations research: given a list L of real numbers between 0 and l; place the elements of Linto a minimum number L^* of “bins” so that no bin contains numbers whose sum exceeds l.Motivated by the likelihood that an excessive amount of computation will be required by anyalgorithm which actually determines an optimal placement; we examine the performance ofa number of simple algorithms which obtain “good” placements. The first-fit algorithm placeseach number; in succession; into the first bin in which it fits. The best-fit algorithm placeseach number; in succession; into the most nearly full bin in which it fits. We show that neitherthe first-fit nor the best-fit algorithm will ever use more than 1710L^*+2 bins. Furthermore; weoutline a proof that; if L is in decreasing order; then neither algorithm will use more than …,SIAM Journal on Computing,1974,935
Universality of data retrieval languages,Alfred V Aho; Jeffrey D Ullman,Abstract We consider the question of how powerful a relational query language should beand state two principles that we feel any query language should satisfy. We show thatalthough relational algebra and relational calculus satisfy these principles; there are certainqueries involving least fixed points that cannot be expressed by these languages; yet thatalso satisfy the principles. We then consider various extensions of relational algebra toenable it to answer such queries. Finally; we discuss our extensions to relational algebra interms of a new programming language oriented model for queries.,Proceedings of the 6th ACM SIGACT-SIGPLAN symposium on Principles of programming languages,1979,880
Database system implementation,Hector Garcia-Molina; Jeffrey D Ullman; Jennifer Widom,This book was designed for CS245; the second course in the database sequence atStanford. Here; the first database course; CS145; covers database design andprogramming; for which the book A First Course in Database Systems by Jeff Ullman andJennifer Widom; Prentice-Hall; 1997; was written. The CS245 course then coversimplementation of a DBMS; notably storage structures; query processing; and transactionmanagement.,*,2000,765
A first course in database systems,Jeffrey D Ullman,*,*,1997,736
The transitive reduction of a directed graph,Alfred V.  Aho; Michael R Garey; Jeffrey D.  Ullman,We consider economical representations for the path information in a directed graph. Adirected graph G^t is said to be a transitive reduction of the directed graph G provided that (i)G^t has a directed path from vertex u to vertex v if and only if G has a directed path fromvertex u to vertex v; and (ii) there is no graph with fewer arcs than G^t satisfying condition (i).Though directed graphs with cycles may have more than one such representation; we selecta natural canonical representative as the transitive reduction for such graphs. It is shown thatthe time complexity of the best algorithm for finding the transitive reduction of a graph is thesame as the time to compute the transitive closure of a graph or to perform Boolean matrixmultiplication.,SIAM Journal on Computing,1972,709
Index selection for OLAP,Himanshu Gupta; Venky Harinarayan; Anand Rajaraman; Jeffrey D Ullman,On-line analytical processing (OLAP) is a recent and important application of databasesystems. Typically; OLAP data is presented as a multidimensional" data cube." OLAPqueries are complex and can take many hours or even days to run; if executed directly onthe raw data. The most common method of reducing execution time is to precompute someof the queries into summary tables (subcubes of the data cube) and then to build indexes onthese summary tables. In most commercial OLAP systems today; the summary tables thatare to be precomputed are picked first; followed by the selection of the appropriate indexeson them. A trial-and-error approach is used to divide the space available between thesummary tables and the indexes. This two-step process can perform very poorly. Since bothsummary tables and indexes consume the same resource-space-their selection should …,Data Engineering; 1997. Proceedings. 13th International Conference on,1997,643
Finding interesting associations without support pruning,Edith Cohen; Mayur Datar; Shinji Fujiwara; Aristides Gionis; Piotr Indyk; Rajeev Motwani; Jeffrey D Ullman; Cheng Yang,Association-rule mining has heretofore relied on the condition of high support to do its workefficiently. In particular; the well-known a priori algorithm is only effective when the only rulesof interest are relationships that occur very frequently. However; there are a number ofapplications; such as data mining; identification of similar Web documents; clustering; andcollaborative filtering; where the rules of interest have comparatively few instances in thedata. In these cases; we must look for highly correlated items; or possibly even causalrelationships between infrequent items. We develop a family of algorithms for solving thisproblem; employing a combination of random sampling and hashing techniques. Weprovide analysis of the algorithms developed and conduct experiments on real and syntheticdata to obtain a comparative performance analysis.,IEEE Transactions on Knowledge and Data Engineering,2001,523
The theory of joins in relational databases,Alfred V Aho; Catriel Beeri; Jeffrey D Ullman,Abstract Answering queries in a relational database often requires that the natural join of twoor more relations be computed. However; the result of a join may not be what one expects. Inthis paper we give efficient algorithms to determine whether the join of several relations hasthe intuitively expected value (is lossless) and to determine whether a set of relations has asubset with a lossy join. These algorithms assume that all data dependencies are functional.We then discuss the extension of our techniques to the case where data dependencies aremultivalued.,ACM Transactions on Database Systems (TODS),1979,514
Principles of optimal page replacement,Alfred V Aho; Peter J Denning; Jeffrey D Ullman,ABSTP~ CT. A formal model is presented for paging algorithms under/-order nonstationaryassumptions about program behavior. When processing a program under paging in a givenmemory; a given paging policy generates a certain (expected) number of page calls; ie; its"cost." Under usual assumptions about memory system organization; minimum cost is alwaysachieved by a demand paging algorithm. The minimum cost for/-order program behaviorassumptions is expressed as a dynamic programming problem whose solution yields anoptimal replacement algorithm. Solutions are exhibited in several 0-order cases of interest.Paging algorithms that implement and approximate the minimum cost are discussed.,Journal of the ACM (JACM),1971,514
Foundations of computer science,Alfred V Aho; Jeffrey D Ullman,Google; Inc. (search) …,*,1992,506
On the semantics of updates in databases,Ronald Fagin; Jeffrey D Ullman; Moshe Y Vardi,Abstract We suggest here a methodology for updating databases with integrity constraintsand rules for deriving inexphcit information. First we consider the problem of updatingarbitrary theories by inserting into them or deleting from them arbitrary sentences. Thesolution involves two key ideas when replacing an old theory by a new one we wish tominimize the change in the theory; and when there are several theories that involve minimalchanges; we look for a new theory that reflects that ambiguity. The methodology is alsoadapted to updating databases; where different facts can carry different priorities; and toupdating user views.,Proceedings of the 2nd ACM SIGACT-SIGMOD symposium on Principles of database systems,1983,493
Implementation of logical query languages for databases,Jeffrey D Ullman,Abstract We examine methods of implementing queries about relational databases in thecase where these queries are expressed in first-order logic as a collection of Horn clauses.Because queries may be defined recursively; straightforward methods of query evaluationdo not always work; and a variety of strategies have been proposed to handle subsets ofrecursive queries. We express such query evaluation techniques as “capture rules” on agraph representing clauses and predicates. One essential property of capture rules is thatthey can be applied independently; thus providing a clean interface for query-evaluationsystems that use several different strategies in different situations. Another is that there be anefficient test for the applicability of a given rule. We define basic capture rules correspondingto application of operators from relational algebra; a top-down capture rule corresponding …,ACM Transactions on Database Systems (TODS),1985,492
Computing Iceberg Queries Efficiently.,Min Fang; Narayanan Shivakumar; Hector Garcia-Molina; Rajeev Motwani; Jeffrey D Ullman,Many applications compute aggregate functions (such as COUNT; SUM) over an attribute(or set of attributes) to find aggregate values above some specified threshold. We call suchqueries iceberg queries because the number of above-threshold results is often very small(the tip of an iceberg); relative to the large amount of input data (the iceberg). Such icebergqueries are common in many applications; including data warehousing; information-retrieval; market basket analysis in data mining; clustering and copy detection. We proposeefficient algorithms to evaluate iceberg queries using very little memory and significantlyfewer passes over data; as compared to current techniques that use sorting or hashing. Wepresent an experimental case study using over three gigabytes of Web data to illustrate thesavings obtained by our algorithms.,*,1999,481
Einführung in die Automatentheorie; formale Sprachen und Komplexitätstheorie,John E Hopcroft; Jeffrey D Ullman; Rajeev Motwani,*,*,2002,475
Monotone data flow analysis frameworks,John B Kam; Jeffrey D Ullman,Summary We consider a generalization of Kildall's lattice theoretic approach to data flowanalysis; which we call monotone data flow analysis frameworks. Many flow analysisproblems which appear in practice meet the monotonicity condition but not Kildall's conditioncalled distributivity. We show that the maximal fixed point solution exists for every instance ofevery monotone framework; and that it can be obtained by Kildall's algorithm. However;whenever the framework is monotone but not distributive; there are instances in which thedesired solution—the “meet over all paths solution”—differs from the maximal fixed point.Finally; we show the nonexistence of an algorithm to compute the meet over all pathssolution for monotone frameworks.,Acta Informatica,1977,465
Equivalences among relational expressions,Alfred V.  Aho; Yehoshua Sagiv; Jeffrey D.  Ullman,Many database queries can be formulated in terms of expressions whose operandsrepresent tables of information (relations) and whose operators are the relational operationsselect; project; and join. This paper studies the equivalence problem for these relationalexpressions; with expression optimization in mind. A matrix; called a tableau; is proposed asa natural representative for the value of an expression. It is shown how tableaux can bemade to reflect functional dependencies among attributes. A polynomial time algorithm ispresented for the equivalence of tableaux that correspond to an important subset ofexpressions; although the equivalence problem is shown to be NP-complete under slightlymore general circumstances.,SIAM Journal on Computing,1979,424
An optimal synchronizer for the hypercube,David Peleg; Jeffrey D Ullman,The synchronizer is a simulation methodology introduced by Awerbuch [J. Assoc. Comput.Math.; 32 (1985); pp. 804–823] for simulating a synchronous network by an asynchronousone; thus enabling the execution of a synchronous algorithm on an asynchronous network.In this paper a novel technique for constructing network synchronizers is presented. Thistechnique is developed from some basic relationships between synchronizers and thestructure of a t-spanning subgraph over the network. As a special result; a synchronizer forthe hypercube with optimal time and communication complexities is obtained.,SIAM Journal on computing,1989,419
Optimizing joins in a map-reduce environment,Foto N Afrati; Jeffrey D Ullman,Abstract Implementations of map-reduce are being used to perform many operations on verylarge data. We examine strategies for joining several relations in the map-reduceenvironment. Our new approach begins by identifying the" map-key;" the set of attributes thatidentify the Reduce process to which a Map process must send a particular tuple. Eachattribute of the map-key gets a" share;" which is the number of buckets into which its valuesare hashed; to form a component of the identifier of a Reduce process. Relations have theirtuples replicated in limited fashion; the degree of replication depending on the shares forthose map-key attributes that are missing from their schema. We study the problem ofoptimizing the shares; given a fixed number of Reduce processes. An algorithm for detectingand fixing problems where an attribute is" mistakenly" included in the map-key is given …,Proceedings of the 13th International Conference on Extending Database Technology,2010,384
Global data flow analysis and iterative algorithms,John B Kam; Jeffrey D Ullman,Abstract Kildall has developed data propagation algorithms for code optimization in ageneral lattice theoretic framework. In another direction; Hecht and Ullman gave a strongupper bound on the number of iterations required for propagation algorithms when the datais represented by bit vectors and depth-first ordering of the flow graph is used. The presentpaper combines the ideas of these two papers by considering conditions under which thebound of Hecht and Ullman applies to the depth-first version of Kildall's general datapropagation algorithm. It is shown that the following condition is necessary and sufficient: Letƒ and g be any two functions which could be associated with blocks of a flow graph; let x bean arbitrary lattice element; and let 0 be the lattice zero. Then (*)(∀ ƒ; g; x)[ƒ g (0)≥ g (0)∧ƒ (x)∧ x]. Then it is shown that several of the particular instances of the techniques Kildall …,Journal of the ACM (JACM),1976,379
A survey of deductive database systems,Raghu Ramakrishnan; Jeffrey D Ullman,Abstract The area of deductive databases has matured in recent years; and it now seemsappropriate to reflect upon what has been achieved and what the future holds. In this paper;we provide an overview of the area; with a focus on implementation techniques; and brieflydescribe a number of projects that have led to implemented systems.,The journal of logic programming,1995,375
Inferring a tree from lowest common ancestors with an application to the optimization of relational expressions,Alfred V.  Aho; Yehoshua Sagiv; Thomas G.  Szymanski; Jeffrey D.  Ullman,Page 1. SIAM J. COMPUT. Vol. 10; No. 3; August 1981 1981 Society for Industrial and AppliedMathematics 0097-5397/81/1003-0001 $01.00/0 INFERRING A TREE FROM LOWESTCOMMON ANCESTORS WITH AN APPLICATION TO THE OPTIMIZATION OF RELATIONALEXPRESSIONS* A. V.AHOY'; Y. SAGIV$; T. G. SZYMANSKH" AND J. D. ULLMAN Abstract.We present an algorithm for constructing a tree to satisfy a set of lineage constraints on commonancestors. We then apply this algorithm to synthesize a relational algebra expression froma simple tableau; a problem arising in the theory of relational databases. Key words; treealgorithms; lowest common ancestors; relational databases; relational algebra; tableaux; queryoptimization; join minimization 1. A tree discovery problem …,SIAM Journal on Computing,1981,363
The generation of optimal code for arithmetic expressions,Ravi Sethi; Jeffrey D Ullman,Abstract The problem of evaluating arithmetic expressions on a machine with N≥ 1 generalpurpose registers is considered. It is initially assumed that no algebraic laws apply to theoperators and operands in the expression. An algorithm for evaluation of expressions underthis assumption is proposed; and it is shown to take the shortest possible number ofinstructions. It is then assumed that certain operators are commutative or both commutativeand associative. In this case a procedure is given for finding an expression equivalent to agiven one and having the shortest possible evaluation sequence. It is then shown that thealgorithms presented here also minimize the number of storage references in the evaluation.,Journal of the ACM (JACM),1970,361
Elements of ML Programming: ML97 Edition,Jeffrey D Ullman,ml97 of elements of ml programming appeared at the end of 1997 here is the table ofcontents special thanks to referee matthias blume find helpful customer reviews and reviewratings for elements of ml programming ml97 edition 2nd edition at amazon read honest andElements of ML Programming; ML97 Edition (2nd Edition): 0 of 0 review helpful Good but notthe best quality By Malory Renee Bradley My boyfriend needed this book for a class he istaking Good but not the best quality 2 of 2 review helpful Great intro book By Sean FritzExamples and exposition are overall great Jokes are clever and the tone is light through thebook It reads much like the Perl book by,*,1998,360
Efficient optimization of a class of relational expressions,Alfred V Aho; Yehoshua Sagiv; Jeffrey D Ullman,Abstract The design of several database query languages has been influenced by Codd'srelational algebra. This paper discusses the difficulty of optimizing queries based on therelational algebra operations select; project; and join. A matrix; called a tableau; is proposedas a useful device for representing the value of a query; and optimization of queries iscouched in terms of finding a minimal tableau equivalent to a given one. Functionaldependencies can be used to imply additional equivalences among tableaux. Although theoptimization problem is NP-complete; a polynomial time algorithm exists to optimizetableaux that correspond to an important subclass of queries.,ACM Transactions on Database Systems (TODS),1979,344
Scalable techniques for mining causal structures,Craig Silverstein; Sergey Brin; Rajeev Motwani; Jeff Ullman,Abstract Mining for association rules in market basket data has proved a fruitful area ofresearch. Measures such as conditional probability (confidence) and correlation have beenused to infer rules of the form “the existence of item A implies the existence of item B.”However; such rules indicate only a statistical relationship between A and B. They do notspecify the nature of the relationship: whether the presence of A causes the presence of B;or the converse; or some other attribute or phenomenon causes both to appear together. Inapplications; knowing such causal relationships is extremely useful for enhancingunderstanding and effecting change. While distinguishing causality from correlation is a trulydifficult problem; recent work in statistics and Bayesian learning provide some avenues ofattack. In these fields; the goal has generally been to learn complete causal models …,Data Mining and Knowledge Discovery,2000,340
Compiladores: principios; técnicas y herramientas,Alfred V Aho; Ravi Sethi; Jeffrey D Ullman,Esta nueva edición se ha revisado por completo para incluir los desarrollos más recientesen la compilación. El libro ofrece una introducción detallada al diseño de compiladores ycontinúa haciendo énfasis en la capacidad de aplicar la tecnología de compiladores a unaamplia gama de problemas en el diseño y desarrollo de software.,*,1990,340
The Asilomar report on database research,Phil Bernstein; Michael Brodie; Stefano Ceri; David DeWitt; Mike Franklin; Hector Garcia-Molina; Jim Gray; Jerry Held; Joe Hellerstein; HV Jagadish; Michael Lesk; Dave Maier; Jeff Naughton; Hamid Pirahesh; Mike Stonebraker; Jeff Ullman,Abstract The database research community is rightly proud of success in basic research;and its remarkable record of technology transfer. Now the field needs to radically broaden itsresearch focus to attack the issues of capturing; storing; analyzing; and presenting the vastarray of online data. The database research community should embrace a broader researchagenda—broadening the definition of database management to embrace all the content ofthe Web and other online data stores; and rethinking our fundamental assumptions in light oftechnology shifts. To accelerate this transition; we recommend changing the way researchresults are evaluated and presented. In particular; we advocate encouraging morespeculative and long-range work; moving conferences to a poster format; and publishing allresearch literature on the Web.,ACM Sigmod record,1998,339
Answering queries using templates with binding patterns,Anand Rajaraman; Yehoshua Sagiv; Jeffrey D Ullman,ABSTRACT When integrating heterogeneous information resources; it is often the case thatthe source is rather limited in the kinds of queries it can answer. If a query is asked of theentire system; we have a new kind of optimization problem; in which we must try to expressthe given query in terms of the limit ed query templates that this source can answer. For thecase of conjunctive queries; we show how to decide with a nondeterministic polynomial-timealgorithm whether the given query can be answered. We then extend our results to allowarithmetic comparisons in the given query and in the templates.,Proceedings of the fourteenth ACM SIGACT-SIGMOD-SIGART symposium on Principles of database systems,1995,339
A syntax-directed compiler for ALGOL 60,Edgar T Irons,Abstract: Attribute grammars are an extension of context free grammars devised by Knuth asa mechanism for including the semantics of a context-free language with the syntax of thelanguage. The circularity problem for a grammar is to determine whether the semantics forall possible sentences (programs) in fact will be well defined. It is proved that this problem is;in general; computationally intractable. Specifically; it is shown that any deterministicalgorithm which solves the problem must for infinitely many cases use an exponentialamount of time. An improved version of Knuth's circularity testing algorithm is also given;which actually solves the problem within exponential time.,Communications of the,1961,323
A simplied universal relation assumption and its properties,Ronald Fagin; Alberto O Mendelzon; Jeffrey D Ullman,Abstract One problem concerning the universal relation assumption is the inability of knownmethods to obtain a database scheme design in the general case; where the real-worldconstraints are given by a set of dependencies that includes embedded multivalueddependencies. We propose a simpler method of describing the real world; where constraintsare given by functional dependencies and a single join dependency. The relationshipbetween this method of defining the real world and the classical methods is exposed. Wecharacterize in terms of hypergraphs those multivalued dependencies that are theconsequence of a given join dependency. Also characterized in terms of hypergraphs arethose join dependencies that are equivalent to a set of multivalued dependencies.,ACM Transactions on Database Systems (TODS),1982,322
On the foundations of the universal relation model,David Maier; Jeffrey D Ullman; Moshe Y Vardi,Abstract The universal relation model aims at achieving complete access-pathindependence in relational databases by relieving the user of the need for logical navigationamong relations. We clarify the assumptions underlying it and explore the approachessuggested for implementing it. The essential idea of the universal relation model is thataccess paths are embedded in attribute names. Thus attribute names must play unique“roles.” Furthermore; it assumes that for every set of attributes there is a basic relationshipthat the user has in mind. The user's queries refer to these basic relationships rather than tothe underlying database. Two fundamentally different approaches to the universal relationmodel have been taken. According to the first approach; the user's view of the database is auniversal relation or many universal relations; about which the user poses queries. The …,ACM Transactions on Database Systems (TODS),1984,314
Integrating and accessing heterogeneous information sources in TSIMMIS,Hector Garcia-Molina; Joachim Hammer; Kelly Ireland; Yannis Papakonstantinou; Jeffrey Ullman; Jennifer Widom,Abstract The goal of the TSIMMIS Project is to develop tools that facilitate the rapidintegration of heterogeneous information sources that may include both structured andunstructured data. This paper gives an overview of the project; describing components thatextract properties from unstructured objects; that translate information into a common objectmodel; that combine information from several sources; and that allow browsing ofinformation.,Proceedings of the AAAI symposium on information gathering,1995,306
Bounds on the complexity of the longest common subsequence problem,JD Ullman; AV Aho; DS Hirschberg,Abstract The problem of finding a longest common subsequence of two strings is discussed.This problem arises in data processing applications such as comparing two files and ingenetic applications such as studying molecular evolution. The difficulty of computing alongest common subsequence of two strings is examined using the decision tree model ofcomputation; in which vertices represent “equal-unequal” comparisons. It is shown thatunless a bound on the total number of distinct symbols is assumed; every solution to theproblem can consume an amount of time that is proportional to the product of the lengths ofthe two strings. A general lower bound as a function of the ratio of alphabet size to stringlength is derived. The case where comparisons between symbols of the same string areforbidden is also considered and it is shown that this problem is of linear complexity for a …,Journal of the ACM (JACM),1976,294
Database systems: Achievements and opportunities,Avi Silberschatz; Michael Stonebraker; Jeff Ullman,I~ 0 October 1991/Vol. 34; No. 10/GOMMUNIGATION $ OF THE AOM he history of databasesystem research is one of exceptional productivity and startling economic impact. Barely 20years old as a basic science research field; database research has fueled an informationservices industry estimated at $10 billion per year in the US alone. Achievements indatabase research underpin fundamental advances in communications systems;transportation and logistics; financial management; knowledge-based systems; accessibilityto scientific literature; and a host of other civilian and defense applications. They also serveas the foundation for considerable progress in basic science in various fields ranging fromcomputing to biology.-...--.-As impressive as the accomplishments of basic databaseresearch have been; there is a growing awareness and concern that only the surface has …,Communications of the ACM,1991,284
