On supporting containment queries in relational database management systems,Chun Zhang; Jeffrey Naughton; David DeWitt; Qiong Luo; Guy Lohman,Abstract Virtually all proposals for querying XML include a class of query we term“containment queries”. It is also clear that in the foreseeable future; a substantial amount ofXML data will be stored in relational database systems. This raises the question of how tosupport these containment queries. The inverted list technology that underlies much ofInformation Retrieval is well-suited to these queries; but should we implement thistechnology (a) in a separate loosely-coupled IR engine; or (b) using the native tables andquery execution machinery of the RDBMS? With option (b); more than twenty years of workon RDBMS query optimization; query execution; scalability; and concurrency control andrecovery immediately extend to the queries and structures that implement these newoperations. But all this will be irrelevant if the performance of option (b) lags that of (a) by …,Acm Sigmod Record,2001,1174
Robust query processing through progressive optimization,Volker Markl; Vijayshankar Raman; David Simmen; Guy Lohman; Hamid Pirahesh; Miso Cilimdzic,Abstract Virtually every commercial query optimizer chooses the best plan for a query usinga cost model that relies heavily on accurate cardinality estimation. Cardinality estimationerrors can occur due to the use of inaccurate statistics; invalid assumptions about attributeindependence; parameter markers; and so on. Cardinality estimation errors may cause theoptimizer to choose a sub-optimal plan. We present an approach to query processing that isextremely robust because it is able to detect and recover from cardinality estimation errors.We call this approach" progressive query optimization"(POP). POP validates cardinalityestimates against actual values as measured during query execution. If there is significantdisagreement between estimated and actual values; execution might be stopped and re-optimization might occur. Oscillation between optimization and execution steps can occur …,Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,235
Automating physical database design in a parallel database,Jun Rao; Chun Zhang; Nimrod Megiddo; Guy Lohman,Abstract Physical database design is important for query performance in a shared-nothingparallel database system; in which data is horizontally partitioned among multipleindependent nodes. We seek to automate the process of data partitioning. Given a workloadof SQL statements; we seek to determine automatically how to partition the base data acrossmultiple nodes to achieve overall optimal (or close to optimal) performance for that workload.Previous attempts use heuristic rules to make those decisions. These approaches fail toconsider all of the interdependent aspects of query performance typically modeled bytoday's sophisticated query optimizers. We present a comprehensive solution to the problemthat has been tightly integrated with the optimizer of a commercial shared-nothing paralleldatabase system. Our approach uses the query optimizer itself both to recommend …,Proceedings of the 2002 ACM SIGMOD international conference on Management of data,2002,228
Alert: An architecture for transforming a passive DBMS into an active DBMS,Ulf Schreier; Hamid Pirahesh; Rakesh Agrawal; C Mohan,Note: OCR errors may be found in this Reference List extracted from the full text article. ACMhas opted to expose the complete List rather than only correct and linked references …[ADL91] R. Agxaual; LG DeMichiel; and BG Lindsay. Polyglot: An Object-Oriented Type Systemfor Multi-Language Support. Technical Report; IBM Almaden Research Center; 1991. underpreparation … [BW77] DG Bobrov and R. Winograd. An Overview of KRL; a Knowledge RepresentationLanguage. Cognitive Science; 1:3- 46; 1977 … [CBB+89] S. Chakravarthy; B. Blaustein; A.Buchmann; M. Carey; U. Dayal; D. Goldhirsch; M. HSU; R. Jauhari; R. Ladin; N. Livny; D.McCarthy; R. McKee; and A. Rosenthal. HiPA C: A Research Project in Active; Time-ConstrainedDatabase Management - Final Techntcal Report. Technical Report XAIT- 89-02; Xerox AdvancedInformation Technology; July 1989 … [For81] CL Forgy. OPS5 User's Manual. Technical …,Proceedings of the 17th International Conference on Very Large Data Bases,1991,212
Optimization of data repartitioning during parallel query optimization,*,Query evaluation is optimized using parallel optimization techniques to make repartitioningmore efficient. Efficiency is improved by recognizing the possible partitioning requirementsfor achieving parallelism for a query operation; and by recognizing when the partitioningproperty of data satisfies the partitioning requirements of a query operation. A data basemanagement system in accordance with the invention uses parallel query processingtechniques to optimize data repartitioning; or to avoid it altogether.,*,2000,186
R* optimizer validation and performance evaluation for local queries,Lothar F Mackert; Guy M Lohman,Abstract Few database query optimizer models have been validated against actualperformance. This paper presents the methodology and results of a thorough validation ofthe optimizer and evaluation of the performance of the experimental distributed relationaldatabase management system R*; which inherited and extended to a distributedenvironment the optimization algorithms of System R. Optimizer estimated costs and actualR* resources consumed were written to database tables using new SQL commands;permitting automated control from SQL application programs of test data collection andreduction. A number of tests were run over a wide variety of dynamically-created testdatabases; SQL queries; and system parameters. The results for single-table access;sorting; and local 2-table joins are reported here. The tests confirmed the accuracy of the …,ACM SIGMOD Record,1986,176
Query processing in R,Guy M Lohman; C Mohan; Laura M Haas; Bruce G Lindsay; Patricia G Selinger; Paul F Wilms; Dean Daniels,Abstract This chapter describes how statements in the SQL language are processed by theR* distributed relational database management system. R* is an experimental adaptation ofSystem R to the distributed environment. The R* prototype is currently operational onmultiple machines running the MVS operating system; and is undergoing evaluation. The R*system is a confederation of autonomous; locally-administered databases that may begeographically dispersed; yet which appear to the user as a single database. Namingconventions permit R* to access tables at remote sites without resorting to a centralized orreplicated catalog; and without the user having to specify either the current location of or thecommunication commands required to access that table. SQL data definition statementsaffecting remote sites are interpreted through a distributed recursive call mechanism …,Research Report RJ,1985,168
Extensibility in the Starburst database system,P Schwarz; Walter Chang; Johann Christoph Freytag; G Lohman; John McPherson; C Mohan; Hamid Pirahesh,Abstract The goal of the Starburst project is to examine how traditional relational databasesystems must be adapted for new applications and technologies. We believe thatextensibility is an important requirement for future database systems; and have identifiedsome of the problems of building an extensible relational database system. We focus on fivepotential areas for extensibility: external data storage; storage management; accessmethods; abstract data types; and complex objects. Our approach emphasizes extensionswritten by knowledgeable programmers that are invoked as needed from within the primarydatabase system. We show by an example how this method could be used to implementsupport for complex objects. Although many questions remain unanswered; extensiblerelational database systems are a promising area of research.,Proceedings on the 1986 international workshop on Object-oriented database systems,1986,164
Fatma zcan; Hamid Pirahesh; Norman Seemann; Tuong C. Truong; Bert Van der Linden; Brian Vickery; and Chun Zhang. System RX: One Part Relational; One Part...,Kevin S Beyer; Roberta Cochrane; Vanja Josifovski; Jim Kleewein; George Lapis; Guy M Lohman; Bob Lyle,*,Proceedings of the ACM SIGMOD International Conference on Management of Data,2005,162
Relational database query optimization to perform query evaluation plan; pruning based on the partition properties,*,A relational data base management system includes a query processor that uses a queryoperator partition property to perform QEP pruning and to ensure that data input to a queryoperator is partitioned appropriately for the operation. The partition property indicates thegroup of network nodes across which a table is distributed. The query processor also makesuse of partition classes that are designated" interesting classes" to perform preoptimizationplanning and query pruning; and to perform look-ahead partitioning based on partitionclasses that are identified as being of interest to future operations; thereby more efficientlyevaluating complex query statements in an MPP; shared-nothing environment.,*,2000,158
DB2 with BLU acceleration: So much more than just a column store,Vijayshankar Raman; Gopi Attaluri; Ronald Barber; Naresh Chainani; David Kalmuk; Vincent KulandaiSamy; Jens Leenstra; Sam Lightstone; Shaorong Liu; Guy M Lohman; Tim Malkemus; Rene Mueller; Ippokratis Pandis; Berni Schiefer; David Sharpe; Richard Sidle; Adam Storm; Liping Zhang,Abstract DB2 with BLU Acceleration deeply integrates innovative new techniques fordefining and processing column-organized tables that speed read-mostly BusinessIntelligence queries by 10 to 50 times and improve compression by 3 to 10 times; comparedto traditional row-organized tables; without the complexity of defining indexes ormaterialized views on those tables. But DB2 BLU is much more than just a column store.Exploiting frequency-based dictionary compression and main-memory query processingtechnology from the Blink project at IBM Research-Almaden; DB2 BLU performs most SQLoperations-predicate application (even range predicates and IN-lists); joins; and grouping-on the compressed values; which can be packed bit-aligned so densely that multiple valuesfit in a register and can be processed simultaneously via SIMD (single-instruction …,Proceedings of the VLDB Endowment,2013,153
LEO: An autonomic query optimizer for DB2,Volker Markl; Guy M Lohman; Vijayshankar Raman,SQL has emerged as an industry standard for querying relational database managementsystems; largely because a user need only specify what data is wanted; not the details ofhow to access that data. A query optimizer uses a mathematical model of query execution todetermine automatically the best way to access and process any given SQL query. Thismodel is heavily dependent upon the optimizer's estimates for the number of rows that willresult at each step of the query execution plan (QEP); especially for complex queriesinvolving many predicates and/or operations. These estimates rely upon statistics on thedatabase and modeling assumptions that may or may not be true for a given database. Inthis paper we discuss an autonomic query optimizer that automatically self-validates itsmodel without requiring any user interaction to repair incorrect statistics or cardinality …,IBM Systems Journal,2003,128
System; method; and computer program product for progressive query processing,*,A method; system; and computer program product to make query processing more robust inthe face of optimization errors. The invention validates the statistics and assumptions usedfor compiling a query as the query is executed and; when necessary; progressively re-optimizes the query in mid-execution based on the knowledge learned during its partialexecution. The invention selectively places a number of CHECK operators in a queryexecution plan to validate the optimizer's cardinality estimates against actual cardinalities.Errors beyond a threshold trigger re-optimization; and the optimizer decides whether the oldplan is still optimal and whether to re-use previously computed results. The inventionaddresses arbitrary SQL queries whose plans can contain sub-queries; updates; triggerchecking; and view maintenance operations. The invention can handle concurrent update …,*,2010,126
Recommending materialized views and indexes with the IBM DB2 design advisor,Daniel C Zilio; Calisto Zuzarte; Sam Lightstone; Wenbin Ma; Guy M Lohman; Roberta J Cochrane; Hamid Pirahesh; Latha Colby; Jarek Gryz; Eric Alton; Gary Valentin,Materialized views (MVs) and indexes both significantly speed query processing indatabase systems; but consume disk space and need to be maintained when updates occur.Choosing the best set of MVs and indexes to create depends upon the workload; thedatabase; and many other factors; which makes the decision intractable for humans andcomputationally challenging for computer algorithms. Even heuristic-based algorithms canbe impractical in real systems. In this paper; we present an advanced tool that uses thequery optimizer itself to both suggest and evaluate candidate MVs and indexes; and asimple; practical; and effective algorithm for rapidly finding good solutions even for largeworkloads. The algorithm trades off the cost for updates and storing each MV or indexagainst its benefit to queries in the workload. The tool autonomically captures the …,Autonomic Computing; 2004. Proceedings. International Conference on,2004,121
SQAK: doing more with keywords,Sandeep Tata; Guy M Lohman,Abstract Today's enterprise databases are large and complex; often relating hundreds ofentities. Enabling ordinary users to query such databases and derive value from them hasbeen of great interest in database research. Today; keyword search over relationaldatabases allows users to find pieces of information without having to write complicated SQLqueries. However; in order to compute even simple aggregates; a user is required to write aSQL statement and can no longer use simple keywords. This not only requires the ordinaryuser to learn SQL; but also to learn the schema of the complex database in detail in order tocorrectly construct the required query. This greatly limits the options of the user who wishesto examine a database in more depth. As a solution to this problem; we propose aframework called SQAK 1 (SQL Aggregates using Keywords) that enables users to pose …,Proceedings of the 2008 ACM SIGMOD international conference on Management of data,2008,118
Learning from empirical results in query optimization,*,An optimizer function of a Relational Database Management System (RDBMS) generatesalternative query execution plans (QEPs) for executing a query; provides an executionmodel of each of the QEPs; chooses one of the QEPs for execution based on the modelassociated therewith; and exploits an empirical measurement from the execution of thechosen QEP to validate the model associated therewith; by determining whether the modelis in error; and by computing one or more adjustments to the model to correct the determinederror.,*,2004,118
GPU join processing revisited,Tim Kaldewey; Guy Lohman; Rene Mueller; Peter Volk,Abstract Until recently; the use of graphics processing units (GPUs) for query processingwas limited by the amount of memory on the graphics card; a few gigabytes at best.Moreover; input tables had to be copied to GPU memory before they could be processed;and after computation was completed; query results had to be copied back to CPU memory.The newest generation of Nvidia GPUs and development tools introduces a commonmemory address space; which now allows the GPU to access CPU memory directly; liftingsize limitations and obviating data copy operations. We confirm that this new technology cansustain 98% of its nominal rate of 6.3 GB/sec in practice; and exploit it to process databasehash joins at the same rate; ie; the join is processed" on the fly" as the GPU reads the inputtables from CPU memory at PCI-E speeds. Compared to the fastest published results for …,Proceedings of the Eighth International Workshop on Data Management on New Hardware,2012,116
Query optimization in the IBM DB2 family,Peter Gassner; Guy M Lohman; K Bernhard Schiefer; Yun Wang,*,Data Engineering Bulletin,1994,115
Query optimization in the IBM DB2 family,Peter Gassner; Guy M.  Lohman; K. Bernhard  Schiefer; Yun Wang,*,Data Engineering Bulletin,1993,115
Dynamic faceted search for discovery-driven analysis,Debabrata Dash; Jun Rao; Nimrod Megiddo; Anastasia Ailamaki; Guy Lohman,Abstract We propose a dynamic faceted search system for discovery-driven analysis on datawith both textual content and structured attributes. From a keyword query; we want todynamically select a small set of" interesting" attributes and present aggregates on them to auser. Similar to work in OLAP exploration; we define" interestingness" as how surprising anaggregated value is; based on a given expectation. We make two new contributions byproposing a novel" navigational" expectation that's particularly useful in the context offaceted search; and a novel interestingness measure through judicious application of p-values. Through a user survey; we find the new expectation and interestingness metric quiteeffective. We develop an efficient dynamic faceted search system by improving a popularopen source engine; Solr. Our system exploits compressed bitmaps for caching the …,Proceedings of the 17th ACM conference on Information and knowledge management,2008,106
System for adapting query optimization effort to expected execution time,*,A system for the automatic adjustment of resources devoted to query optimization accordingto estimated query execution time. The disclosed system permits the query optimizer toautomatically trade off the time spent estimating the execution cost of alternate queryexecution plans against the potential savings in execution time that one of those alternateplans may yield. The number of alternate plans considered is adjusted by selecting compile-time parameters and heuristic criteria for limiting the primitive database operators used inthe alternate plans; thereby establishing a new search space. The parameters and criteriaare adjusted according to the estimate of execution cost for the optimal plan from a firstsearch space. The first search space may be relatively small and quickly evaluated.Evaluation of larger subsequent search spaces is optional according to an automatic …,*,1994,98
Platform-independent method and system for graphically presenting the evaluation of a query in a database management system,*,A method and system for graphically representing a plan for a query in a relational databasemanagement system is disclosed. The method includes receiving and processing an inputquery to form a plurality of plans; selecting at least one plan of the plurality of plans; andtransforming the selected plan into a self-describing formatted file which is platformindependent. The method further includes generating a graph representing the selectedplan from the self-describing formatted file.,*,2004,94
Main-memory scan sharing for multi-core CPUs,Lin Qiao; Vijayshankar Raman; Frederick Reiss; Peter J Haas; Guy M Lohman,Abstract Computer architectures are increasingly based on multi-core CPUs and largememories. Memory bandwidth; which has riot kept pace with the increasing number of cores;has become the primary processing bottleneck; replacing disk I/O as the limiting factor. Toaddress this challenge; we provide novel algorithms for increasing the throughput ofBusiness Intelligence (BI) queries; as well as for ensuring fairness and avoiding starvationamong a concurrent set of such queries. To maximize throughput; we propose a novelFullSharing scheme that allows all concurrent queries; when performing base-table I/O; toshare the cache belonging to a given core. We then generalize this approach to aBatchSharing scheme that avoids thrashing on" agg-tables"---hash tables that are used foraggregation processing---caused by execution of too many queries on a core. This …,Proceedings of the VLDB Endowment,2008,88
Quickly finding known software problems via automated symptom matching,Mark Brodie; Sheng Ma; Guy Lohman; Laurent Mignet; M Wilding; J Champlin; P Sohn,We present an architecture for and prototype of a system for quickly detecting softwareproblem recurrences. Re-discovery of the same problem is very common in many largesoftware products and is a major cost component of product support. At run-time; when aproblem occurs; the system collects the problem symptoms; including the program call-stack;and compares it against a database of symptoms to find the closest matches. The databaseis populated off-line using solved cases and indexed to allow for efficient matching. Thusproblems that occur repeatedly can be easily and automatically resolved without requiringany human problem-solving expertise. We describe a prototype implementation of thesystem; including the matching algorithm; and present some experimental resultsdemonstrating the value of automatically detecting re-occurrence of the same problem for …,Autonomic Computing; 2005. ICAC 2005. Proceedings. Second International Conference on,2005,86
Method for determining optimal database materializations using a query optimizer,*,A method for determining optimal database materializations utilizing a query optimizer in adatabase management system. The method takes one or more queries as inputs and usingthe query optimizer in the database management system generates a series of virtualmaterializations by materializing some subsets of the database. The virtual materializationsare used to consider the relative performance benefits; ie cost-benefits; for the queriesbased on the various virtual materializations. If the query optimizer decides to use any of thematerializations in its plan; then those materializations are recommended to the user; orcreated automatically for the user.,*,2002,86
Statistical learning techniques for costing XML queries,Ning Zhang; Peter J Haas; Vanja Josifovski; Guy M Lohman; Chun Zhang,Abstract Developing cost models for query optimization is significantly harder for XMLqueries than for traditional relational queries. The reason is that XML query operators aremuch more complex than relational operators such as table scans and joins. In this paper;we propose a new approach; called COMET; to modeling the cost of XML operators; to ourknowledge; COMET is the first method ever proposed for addressing the XML query costingproblem. As in relational cost estimation; COMET exploits a set of system catalog statisticsthat summarizes the XML data; the set of" simple path" statistics that we propose is new; andis well suited to the XML setting. Unlike the traditional approach; COMET uses a newstatistical learning technique called" transform regression" instead of detailed analyticalmodels to predict the overall cost. Besides rendering the cost estimation problem …,Proceedings of the 31st international conference on Very large data bases,2005,82
Index scans using a finite LRU buffer: A validated I/O model,Lothar F Mackert; Guy M Lohman,Abstract Indexes are commonly employed to retrieve a portion of a file or to retrieve itsrecords in a particular order. An accurate performance model of indexes is essential to thedesign; analysis; and tuning of file management and database systems; and particularly todatabase query optimization. Many previous studies have addressed the problem ofestimating the number of disk page fetches when randomly accessing k records out of Ngiven records stored on T disk pages. This paper generalizes these results; relaxing twoassumptions that usually do not hold in practice: unlimited buffer and unique records foreach key value. Experiments show that the performance of an index scan is very sensitive tobuffer size limitations and multiple records per key value. A model for these more practicalsituations is presented and a formula derived for estimating the performance of an index …,ACM Transactions on Database Systems (TODS),1989,79
Automatically and adaptively determining execution plans for queries with parameter markers,*,A method for automatically and adaptively determining query execution plans for parametricqueries. A first classifier trained by an initial set of training points is generated using a set ofrandom decision trees (RDTs). A query workload and/or database statistics are dynamicallyupdated. A new set of training points collected off-line is used to modify the first classifier intoa second classifier. A database query is received at a runtime subsequent to the off linephase. The query includes predicates having parameter markers bound to actual values.The predicates are associated with selectivities. The query execution plan is determined byidentifying an optimal average of posterior probabilities obtained across a set of RDTs andmapping the selectivities to a plan. The determined query execution plan is included in anaugmented set of training points that includes the initial set and the new set.,*,2008,78
NUMA-aware algorithms: the case of data shuffling.,Yinan Li; Ippokratis Pandis; Rene Mueller; Vijayshankar Raman; Guy M Lohman,ABSTRACT In recent years; a new breed of non-uniform memory access (NUMA) systemshas emerged: multi-socket servers of multicores. This paper makes the case that datamanagement systems need to employ designs that take into consideration thecharacteristics of modern NUMA hardware. To prove our point; we focus on a primitive that isused as the building block of numerous data management operations: data shuffling. Weperform a comparison of different data shuffling algorithms and show that a naıve datashuffling algorithm can be up to 3× slower than the highest performing; NUMA-aware one.To achieve the highest performance; we employ a combination of thread binding; NUMA-aware thread allocation; and relaxed global coordination among threads. The importance ofsuch NUMA-aware algorithm designs will only increase; as future server systems are …,CIDR,2013,77
Method for recommending indexes and materialized views for a database workload,*,The invention herein provides method and apparatus; including software for determining aset of materialized views or indices of the contents or a subset of the contents of a databasein a data processing system to be created for one or more users of the database. Themethod and apparatus provide method and means for evaluating a workload presented by auser to the database; evaluating the data processing system characteristics; evaluating thedatabase characteristics; and; using the above evaluations for recommending a set ofsuitable materialized views or indices to the user. Another aspect of the invention; whichmay be used for a workload presented by a user of a database in a data processing system;provides method and apparatus; including software for determining a set of materializedviews or indices of the contents or a subset of the contents of the database; by: generating …,*,2006,77
Optimization of SQL queries using early-out join transformations of column-bound relational tables,*,A method and apparatus for optimizing SQL queries in a relational database managementsystem uses early-out join transformations. An early-out join comprises a many-to-oneexistential join; wherein the join scans an inner table for a match for each row of the outertable and terminates the scan for each row of the outer table when a single match is found inthe inner table. To transform a many-to-many join to an early-out join; the query must includea requirement for distinctiveness; either explicitly or implicitly; in one or more result columnsfor the join operation. Distinctiveness can be specified using the DISTINCT keyword in theSELECT clause or can be implied from the predicates present in the query. The early-outjoin transformation also requires that no columns of the inner table be referenced after thejoin; or if an inner table column is referenced after the join; that each referenced column …,*,1996,76
Toward autonomic computing with DB2 universal database,Sam S Lightstone; Guy Lohman; Danny Zilio,Abstract As the cost of both hardware and software falls due to technological advancementsand economies of scale; the cost of ownership for database applications is increasinglydominated by the cost of people to manage them. Databases are growing rapidly in scaleand complexity; while skilled database administrators (DBAs) are becoming rarer and moreexpensive. This paper describes the self-managing or autonomic technology in IBM's DB2Universal Database® for UNIX and Windows to illustrate how self-managing technology canreduce complexity; helping to reduce the total cost of ownership (TCO) of DBMSs andimprove system performance.,ACM Sigmod Record,2002,73
Automated statistics collection in DB2 UDB,Ashraf Aboulnaga; P Haas; M Kandil; S Lightstone; G Lohman; V Markl; I Popivanov; V Raman,Abstract The use of inaccurate or outdated database statistics by the query optimizer in arelational DBMS often results in a poor choice of query execution plans and henceunacceptably long query processing times. Configuration and maintenance of thesestatistics has traditionally been a time-consuming manual operation; requiring that thedatabase administrator (DBA) continually monitor query performance and data changes inorder to determine when to refresh the statistics values and when and how to adjust the setof statistics that the DBMS maintains. In this paper we describe the new Automated StatisticsCollection (ASC) component of IBM® DB2® Universal Database TM (DB2 UDB). Thisautonomic technology frees the DBA from the tedious task of manually supervising thecollection and maintenance of database statistics. ASC monitors both the update-delete …,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,68
ROX: relational over XML,Alan Halverson; Vanja Josifovski; Guy Lohman; Hamid Pirahesh; Mathias Mörschel,Abstract An increasing percentage of the data needed by business applications is beinggenerated in XML format. Storing the XML in its native format will facilitate new applicationsthat exchange business objects in XML format and query portions of XML documents usingXQuery. This paper explores the feasibility of accessing natively-stored XML data throughtraditional SQL interfaces; called Relational Over XML (ROX); in order to avoid the costlyconversion of legacy applications to XQuery. It describes the forces that are driving theindustry to evolve toward the ROX scenario as well as some of the issues raised by ROX.The impact of denormalization of data in XML documents is discussed both from a semanticand performance perspective. We also weigh the implications of ROX for manageability andquery optimization. We experimentally compared the performance of a prototype of the …,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,64
