Children's geographies: Playing; living; learning,Sarah L Holloway; Gill Valentine,*,*,2000,1175
Geographies of education and learning,Sarah L Holloway; Heike Jöns,In the twenty-first century Anglophone geographers have exhibited a growing interest ineducation and learning (Holloway et al. 2010). Geographies of education and learningconsider the importance of spatiality in the production; consumption and implications offormal education systems from pre-school to tertiary education and of informal learning envi-ronments in homes; neighbourhoods; community organisations and workspaces. Betweenthem; these geographies foreground the wider political; economic; social and culturalprocesses shaping and being reshaped through formal and informal spaces of educationacross the globe; and the ways they are experienced; embraced and contested by edu-cators and diverse subjects of education; including children; young people; parents andworkers (sub-ject positions that clearly are not mutually exclusive). In so doing …,Transactions of the Institute of British Geographers,2012,67
Theorising other childhoods in a globalised world,Louise Holt; Sarah L Holloway,This special edition emerged from a day-long conference session held at the AnnualMeeting of the Association of American Geographers; Colorado; in March 2005. The specialedition; like the conference session; is inspired by collective endeavours to critiquedominant conceptualisations of the ubiquitous; normally developing; middle-class; white;child resident in Northern European or English speaking nations of the Global North.Although this process began early in explorations of 'new'geographies of childhood; it isquestionable whether this the critique has been as holistic and complete as might bedesired. In this editorial we point to some potential ways in which children's geographerscan reproduce; rather than transform; dominant representations of childhood beforesuggesting how such problems might be; at least partially; overcome. We end by …,*,2006,66
Key concepts in geography,Nicholas Clifford; Sarah Holloway; Stephen P Rice; Gill Valentine," This book clearly outlines key concepts that all geographers should readily be able toexplain. It does so in a highly accessible way. It is likely to be a text that my students willreturn to throughout their degree."-Dr Karen Parkhill; Bangor University" The editors havedone a fantastic job. This second edition is really accessible to the student and provides thekey literature in the key geographical terms of scale; space; time; place and landscape."-DrElias Symeonakis; Manchester Metropolitan University" An excellent introductory text foraccessible overviews of key concepts across human and physical geography."-ProfessorPatrick Devine-Wright; Exeter University Including ten new chapters on nature; globalization;development and risk; and a new section on practicing geography; this is a completelyrevised and updated edition of the best-selling; standard student resource. Key Concepts …,*,2008,64
Articulating Otherness? white rural residents talk about Gypsy‐Travellers,Sarah L Holloway,Abstract This paper combines insights from geographical research on the racialization ofethnic minority groups with more recent interest in whiteness in an exploration of the wayswhite rural residents racialize Gypsy-Travellers. Focusing on the white rural residents ofAppleby; Cumbria; and their racialization of and relations with Gypsy-Travellers who attendthe New Fair there each year; the paper contributes both to our understanding of the wayswhite people racialize ethnic minority groups; and in doing so also highlights the chaoticnature of whiteness as a social construction.,Transactions of the Institute of British Geographers,2005,61
Drinking places: where people drink and why,Gill Valentine; Sarah L Holloway; Mark Jayne; Charlotte Knell,*,Joseph Rowntree Foundation,2007,58
Where do you want to go tomorrow? Connecting children and the Internet,Nick Bingham; Gill Valentine; Sarah L Holloway,In the late 1990s; use of either of the words 'childhood'or 'internet'is enough to signify at astroke many of society's contemporary hopes and fears about what it means to be modern.By providing a critical review of the burgeoning (popular; policy; and academic) literaturethat is emerging as debates about 'childhood'and 'the Internet'take centre stage in theongoing struggle to define the future of our 'virtual geographies'; what we seek to do in thispaper is to unpack some of the assumptions that underpin both terms. Specifically; we arguethat there is now a dominant story in circulation concerning what has been called the rise ofa 'digital generation'; albeit one; as we show; that can be read in two diametrically opposedways. In the central part of the paper; by characterising the Internet as the latest in a long lineof 'frontier'technologies; we identify three senses (in terms of time; in terms of space; and …,Environment and Planning D: Society and Space,1999,58
Masculinities; femininities and the geographies of public and private drinking landscapes,Sarah L Holloway; Gill Valentine; Mark Jayne,Abstract Geographers have been slow to address issues about abstinence; drinking anddrunkenness; but the importance of alcohol on the social and political agenda hasunderpinned recent growth in this field. Explorations of the gendered geographies ofdrinking are one important strand in this emerging field; but there is currently a paucity ofresearch on women and gender (as opposed to men); and a dearth of research which looksbeyond a rather narrowly specified range of public drinking environments. This paperaddressed these short-comings through a quantitative and qualitative examination ofdifferent men's and women's alcohol consumption in private as well as diverse publicdrinking environments in 21st Century Britain. The paper emphasises the importance ofgendered moralities in shaping gender and intra-gender differences in drinking levels …,Geoforum,2009,56
Mother and worker? The negotiation of motherhood and paid employment in two urban neighborhoods,Sarah L Holloway,Geographers have shown considerable interest in the geographies of working mothers andchildcare; however; the question “Why do some mothers with young children work outsidethe home and others do not?” has received less attention. This paper provides an analysis ofhow; within two urban neighborhoods; some mothers come to care for their preschool-agedchildren full time and others employ a range of strategies that enable them to undertake full-or part-time employment. In doing so; the paper makes three principal contributions tocurrent knowledge in the field. First; it illustrates the importance of studying a diverse groupof mothers; including those not in paid work; second; it highlights the significance of place-rooted cultures in shaping mothers' employment and childcare choices; and finally; it showshow the spatial prescription in dominant childrearing ideologies is beginning to be …,Urban Geography,1999,56
Placing cyberspace: processes of Americanization in British children’s use of the Internet,Sarah L Holloway; Gill Valentine,Abstract This paper counters the notion that cyberspace is a placeless electronic spherethrough an analysis of British children's use of the Internet. It demonstrates that rather thanbeing accessible from everywhere but existing nowhere; cyberspace is shaped throughplace-routed cultures; and in particular through processes of Americanization.,Area,2001,52
Contemporary cultures of abstinence and the nighttime economy: Muslim attitudes towards alcohol and the implications for social cohesion,Gill Valentine; Sarah L Holloway; Mark Jayne,This paper draws on original empirical work with the British Pakistani community to exploreMuslim attitudes to alcohol and alcohol-related practices; before considering how thePakistani Muslim community's culture of abstention shapes its members' access to; and useof; public space in the nighttime economy. We foreground the active role played by alcohol;as a nonhuman actor; in shaping emergent social relations by exploring its agency ingenerating new exclusions with the mainstream nighttime economy. By using the lens of afaith-based culture of abstention in this way; this paper provides a new perspective ondebates about access to public space and social cohesion in the contemporary urbannighttime economy.,Environment and Planning A,2010,49
Parents' and children's fears about information and communication technologies and the transformation of culture and society1,Gill Valentine; Sarah Holloway,There is a long history of different groups being threatened by the advent of particular newtechnologies. Perhaps most famously; in the early nineteenth century a group of weaversfrom Yorkshire; known as Luddites; sabotaged machines that were being introduced as partof the large-scale mechanization brought about by the development of industrial capitalism.Their actions led to the introduction of a parliamentary bill that imposed the death penalty forthe crime of breaking machines. It was not the technology per se which the Luddites wereopposed to; but rather the changes its introduction wrought; the relocation of work fromhome to factory threatened the cultural stability of their craft-based communities and way oflife (Bryson and de Castell 1998). The Amish community in Pennsylvania; USA; are a morecontemporary example of people who shun technologies; such as the radio and the …,Children; Technology; and Culture: The Impacts of Technologies in Children's Everyday Lives,2001,49
The politics of aspiration: neo-liberal education policy;‘low’parental aspirations; and primary school Extended Services in disadvantaged communities,Sarah L Holloway; Helena Pimlott-Wilson,Geographical research on education has grown rapidly in both volume and scope during thefirst decade of the twenty-first century; and one relatively new theme to emerge from thisgrowing literature is that of education and aspiration. Much of the nascent interest inaspiration concerns access to quality schooling and University education. In this paper bycontrast we highlight the importance of studying the ways aspirations are (re) producedwithin the school community. Our empirical focus is on low-income England under NewLabour. Here we pursue a two-fold approach: firstly examining how education professionalsdefine parental aspirations for primary-aged children as low; before secondly consideringtheir alternative understandings of appropriate aspirations and the practices through whichthey seek to promote these; both in school and through the use of Extended Services for …,Children's Geographies,2011,48
Outsiders in rural society? Constructions of rurality and nature—society relations in the racialisation of English Gypsy-Travellers; 1869–1934,Sarah L Holloway,In this paper I explore what Little (1999 Progress in Human Geography 23 page 438) terms“the complexity and fluidity of rural otherness” through an examination of the racialisation ofGypsy-Travellers in late-19th-century and early-20th century England. Drawing on social-constructionist and psychoanalytic accounts of difference; I explore both the specificity ofracialisation in different places; and the ways in which processes of racialisation canproduce highly spatialised understandings of difference. In so doing; I consider theimportance of nature–society relations in the othering of this minority group; and thecontested construction of their place in the rural idyll.,Environment and Planning D: Society and Space,2003,46
Children at home in the wired world: Reshaping and rethinking home in urban geography,Sarah L Holloway; Gill Valentine,This paper is concerned with two developments which place questions about the homecenter-stage in urban geography; namely the growth of new information andcommunications technologies (ICT) and the rise of “critical geographies.” The paper drawson an empirical investigation into British children's domestic use of ICT to move beyondUtopian and dystopian hyperbole about the future of the home in the wired world andconsider how children's ICT usage is shaped within and reshapes the home environment. Inso doing; the paper both broadens and deepens the conceptualization of home in urbangeography. In terms of breadth; the analysis illustrates the importance of including children'sas well as adults' voices and experiences in studies of domestic life. In terms of depth; ithighlights the importance of studying the microgeographies of home as well as how …,Urban Geography,2001,46
Enriching children; institutionalizing childhood? Geographies of play; extracurricular activities; and parenting in England,Sarah L Holloway; Helena Pimlott-Wilson,Geographical research on children; youth; and families has done much to highlight the waysin which children's lives have changed over the last twenty-five years. A key strand ofresearch concerns children's play and traces; in the Global North; a decline in children'sindependent access to; and mobility through; public space. This article shifts the terrain ofthat debate from an analysis of what has been lost to an exploration of what has replaced it.Specifically; it focuses on children's participation in enrichment activities; including bothindividual and collective extracurricular sporting; cultural; and leisure opportunities inEngland. The research reveals that middle-class children have much higher participationrates in enrichment activities than their working-class counterparts. Parents valueenrichment activities in very similar ways across the class spectrum—seeing them as fun …,Annals of the Association of American Geographers,2014,45
Neoliberalism; policy localisation and idealised subjects: a case study on educational restructuring in England,Sarah L Holloway; Helena Pimlott‐Wilson,Abstract Debate about neoliberalism has been a significant feature of twenty-first centurygeography. Appreciation of the contingent nature of neoliberalisation has promoted interestin the localisation of policy; and this paper furthers debate in three ways. First; it highlightsthe importance of the peopling of the state and more specifically the importance of everydaypublic sector workers in the localised production of roll-out neoliberalisation. Second; itillustrates the significance of these actors' ideas about idealised policy subjects–and theways they relate these to their own client groups in different socio-economicneighbourhoods–in the localised emergence of policy. Third; it explores the consequencesof this for geographically and socially uneven service provision under neoliberalisation.These arguments are illustrated through a case study focus on educational restructuring …,Transactions of the Institute of British Geographers,2012,45
Educational mobility and the gendered geography of cultural capital: The case of international student flows between Central Asia and the UK,Sarah L Holloway; Sarah L O'Hara; Helena Pimlott-Wilson,International student mobility from East to West has grown rapidly as the middle classeshave sought to reproduce their advantage in the context of changing socioeconomiccircumstances. Existing research shows that middle-class students and their parents areincreasingly using overseas educational qualifications—an institutionalised form of culturalcapital—to ensure that they stand out in the competition for lucrative employment. This papermakes two unique contributions to these debates. Firstly; it broadens the spatial frame awayfrom East Asia to the emerging educational markets in post-Soviet Central Asia; andspecifically Kazakhstan. This shift allows examination of similarities in students' accrual ofcultural capital between regions; but also highlights spatial specificity in these flows.Secondly; it moves beyond narrowly class-based approaches to spotlight the importance …,Environment and Planning A,2012,43
Introduction,G Rose; N Gregson; J Foord; S Bowlby; C Dwyer; S.L Holloway; N Laurie; Maddrell A; T. Skelton,*,*,1997,42
Editorial introduction: Geographies of education and aspiration,Sarah L Holloway; Gavin Brown; Helena Pimlott-Wilson,Geographies of children; youth and families have grown from diverse roots–indevelopmental psychology; feminism and action research with children–into the vibrant fieldof research represented in the pages of this journal (Holloway and Pimlott-Wilson 2011).The development of the field in the past two decades has also been shaped through itsengagement with research in the new social studies of childhood; and a key legacy of thishas been the emphasis placed on diverse children's agency within geographical researchon/with children (Holloway and Valentine 2000; Ansell 2009). Children's geographies has;to a large extent; been a success in early twenty-first century geography; but Aitken's (2004)editorial in this journal reminds us of the need to be alert to dangers lurking under thesurface. The potential dangers facing the sub-discipline are disparate; but here we want …,Children's Geographies,2011,41
Generational patterns of alcohol consumption: Continuity and change,Gill Valentine; Sarah L Holloway; Mark Jayne,Abstract In most contemporary western societies there is growing concern about rising levelsof alcohol consumption; particularly by young people; even in countries; such as France;which have previously been assumed to have 'sensible'drinking cultures. Recent popularand policy debates about British drinking cultures have hinted at a shift in generationalattitudes towards alcohol; as well as patterns of consumption. Previous intergenerationalstudies of work and care have found that in particular historical periods differentnormativities develop; reflecting both social and economic conditions. In this paper; we drawon a research project about alcohol consumption conducted in an urban and rural area–including intergenerational interviews with case study families–to identify the differentnormativities in terms of attitudes towards and consumption of alcohol experienced by …,Health & Place,2010,40
The place of drink: Geographical contributions to alcohol studies,Mark Jayne; Gill Valentine; Sarah L Holloway,This paper considers how geographies of alcohol; drinking and drunkenness have beenconsidered within and beyond the discipline of geography. We argue that while there hasbeen a large amount of relevant; detailed and rich research considering'geographical'issues; alcohol studies has tended to under-theorize the role of space andplace. While geographers; on the other hand; have been relatively slow to engage with thealcohol; drinking and drunkenness; we show that geography have much to offer futureresearch agendas. Despite recent progress; however; a failing of geographers' engagementwith alcohol; drinking and drunkenness has been an inability to transcend disciplinaryboundaries. We conclude by arguing that geographical research into alcohol; drinking anddrunkenness must continue to pursue theoretical and empirical advances; but also offer …,*,2008,38
What use are units? Critical geographies of alcohol policy,Mark Jayne; Gill Valentine; Sarah L Holloway,Abstract: This paper interrogates the multiple spatialities bound up with the consumption ofunits as the dominant means of diagnosing “health-related” alcohol problems andmeasuring “drunkenness” in international alcohol policy and research. In order to questionthe power afforded to units; we work at the intersection of theoretical debates concerningbiopower and governmentality; emotional; embodied and affective geographies and actornetwork theory. Presenting empirical research from the UK we contribute to geographicalagendas that seek to consider the ontological and epistemological understandings ofalcohol; drinking and drunkenness. The paper concludes by calling for dialogue betweensocial; health and medical scientists in order to develop more pertinent ways ofunderstanding and representing the risks and benefits of alcohol consumption.,Antipode,2012,35
Geographies of children; youth and families defining achievements; debating the agenda,Sarah L Holloway; Helena Pimlott-Wilson,*,*,2011,34
Gender in feminist geography,Nicky Gregson; Uma Kothari; Julia Cream; Claire Dwyer; Sarah Holloway; Avril Maddrell; Gilian Rose,*,Feminist Geographies: explorations in diversity and difference,1997,34
