Learning influence probabilities in social networks,Amit Goyal; Francesco Bonchi; Laks VS Lakshmanan,Abstract Recently; there has been tremendous interest in the phenomenon of influencepropagation in social networks. The studies in this area assume they have as input to theirproblems a social graph with edges labeled with probabilities of influence between users.However; the question of where these probabilities come from or how they can be computedfrom real social network data has been largely ignored until now. Thus it is interesting to askwhether from a social graph and a log of actions by its users; one can build models ofinfluence. This is the main problem attacked in this paper. In addition to proposing modelsand algorithms for learning the model parameters and for testing the learned models tomake predictions; we also develop techniques for predicting the time by which a user maybe expected to perform an action. We validate our ideas and techniques using the Flickr …,Proceedings of the third ACM international conference on Web search and data mining,2010,815
Sparsification of influence networks,Michael Mathioudakis; Francesco Bonchi; Carlos Castillo; Aristides Gionis; Antti Ukkonen,Abstract We present Spine; an efficient algorithm for finding the" backbone" of an influencenetwork. Given a social graph and a log of past propagations; we build an instance of theindependent-cascade model that describes the propagations. We aim at reducing thecomplexity of that model; while preserving most of its accuracy in describing the data. Weshow that the problem is inapproximable and we present an optimal; dynamic-programmingalgorithm; whose search space; albeit exponential; is typically much smaller than that of thebrute force; exhaustive-search approach. Seeking a practical; scalable approach tosparsification; we devise Spine; a greedy; efficient algorithm with practically littlecompromise in quality.,Proceedings of the 17th ACM SIGKDD international conference on Knowledge discovery and data mining,2011,134
K-nearest neighbors in uncertain graphs,Michalis Potamias; Francesco Bonchi; Aristides Gionis; George Kollios,Abstract Complex networks; such as biological; social; and communication networks; oftenentail uncertainty; and thus; can be modeled as probabilistic graphs. Similar to the problemof similarity search in standard graphs; a fundamental problem for probabilistic graphs is toefficiently answer k-nearest neighbor queries (k-NN); which is the problem of computing thek closest nodes to some specific node. In this paper we introduce a framework forprocessing k-NN queries in probabilistic graphs. We propose novel distance functions thatextend well-known graph concepts; such as shortest paths. In order to compute them inprobabilistic graphs; we design algorithms based on sampling. During k-NN queryprocessing we efficiently prune the search space using novel techniques.,Proceedings of the VLDB Endowment,2010,127
Denser than the densest subgraph: extracting optimal quasi-cliques with quality guarantees,Charalampos Tsourakakis; Francesco Bonchi; Aristides Gionis; Francesco Gullo; Maria Tsiarli,Abstract Finding dense subgraphs is an important graph-mining task with many applications.Given that the direct optimization of edge density is not meaningful; as even a single edgeachieves maximum density; research has focused on optimizing alternative densityfunctions. A very popular among such functions is the average degree; whose maximizationleads to the well-known densest-subgraph notion. Surprisingly enough; however; densestsubgraphs are typically large graphs; with small edge density and large diameter. In thispaper; we define a novel density function; which gives subgraphs of much higher qualitythan densest subgraphs: the graphs found by our method are compact; dense; and withsmaller diameter. We show that the proposed function can be derived from a generalframework; which includes other important density functions as subcases and for which …,Proceedings of the 19th ACM SIGKDD international conference on Knowledge discovery and data mining,2013,121
Anonymity preserving pattern discovery,Maurizio Atzori; Francesco Bonchi; Fosca Giannotti; Dino Pedreschi,Abstract It is generally believed that data mining results do not violate the anonymity of theindividuals recorded in the source database. In fact; data mining models and patterns; inorder to ensure a required statistical significance; represent a large number of individualsand thus conceal individual identities: this is the case of the minimum support threshold infrequent pattern mining. In this paper we show that this belief is ill-founded. By shifting theconcept of k-anonymity from the source data to the extracted patterns; we formallycharacterize the notion of a threat to anonymity in the context of pattern discovery; andprovide a methodology to efficiently and effectively identify all such possible threats thatarise from the disclosure of the set of extracted patterns. On this basis; we obtain a formalnotion of privacy protection that allows the disclosure of the extracted knowledge while …,The VLDB Journal—The International Journal on Very Large Data Bases,2008,120
Topic-aware social influence propagation models,Nicola Barbieri; Francesco Bonchi; Giuseppe Manco,We study social influence from a topic modeling perspective. We introduce novel topic-aware influence-driven propagation models that experimentally result to be more accurate indescribing real-world cascades than the standard propagation models studied in theliterature. In particular; we first propose simple topic-aware extensions of the well-knownIndependent Cascade and Linear Threshold models. Next; we propose a different approachexplicitly modeling authoritativeness; influence and relevance under a topic-awareperspective. We devise methods to learn the parameters of the models from a dataset of pastpropagations. Our experimentation confirms the high accuracy of the proposed models andlearning schemes.,Data Mining (ICDM); 2012 IEEE 12th International Conference on,2012,119
Learning and predicting the evolution of social networks,Björn Bringmann; Michele Berlingerio; Francesco Bonchi; Arisitdes Gionis,With the increasing availability of large social network data; there is also an increasinginterest in analyzing how those networks evolve over time. Traditionally; the analysis ofsocial networks has focused only on a single snapshot of a network. Researchers havealready verified that social networks follow power-law degree distribution; have a smalldiameter; and exhibit small-world structure and community structure. Attempts to explain theproperties of social networks have led to dynamic models inspired by the preferentialattachment models which assumes that new network nodes have a higher probability offorming links with high-degree nodes; creating a rich-get-richer effect. Although some efforthas been devoted to analyzing global properties of social network evolution; not much hasbeen done to study graph evolution at a microscopic level. A first step in this direction …,IEEE Intelligent Systems,2010,119
A classification-based methodology for planning audit strategies in fraud detection,Francesco Bonchi; Fosca Giannotti; Gianni Mainetto; Dino Pedreschi,ABSTRACT Planning adequate audit strategies is a key success factor in a posterion'frauddetection; eg; in the fiscal and insurance domains; where audits are intended to detect taxevasion and fraudulent claims. A case study is presented in this paper; which illustrates howtechniques based on classification can be used to support the task of planning auditstrategies. The proposed approach is sensible to some conflicting issues of audit planning;eg; the trade-off between maximizing audit benefits vs. minimizing audit costs. Amethodological scenario; common to a whole class of similar applications; is then abstractedaway from the case study. The limitations of available systems to support the identifiedoverall KDD process; bring us to point out the key aspects of a logic-based databaselanguage; integrated with mining mechanisms; which is used to provide a uniform; highly …,Proceedings of the fifth ACM SIGKDD international conference on Knowledge discovery and data mining,1999,110
On minimizing budget and time in influence propagation over social networks,Amit Goyal; Francesco Bonchi; Laks VS Lakshmanan; Suresh Venkatasubramanian,Abstract In recent years; study of influence propagation in social networks has gainedtremendous attention. In this context; we can identify three orthogonal dimensions—thenumber of seed nodes activated at the beginning (known as budget); the expected numberof activated nodes at the end of the propagation (known as expected spread or coverage);and the time taken for the propagation. We can constrain one or two of these and try tooptimize the third. In their seminal paper; Kempe et al. constrained the budget; left timeunconstrained; and maximized the coverage: this problem is known as InfluenceMaximization (or MAXINF for short). In this paper; we study alternative optimization problemswhich are naturally motivated by resource and time constraints on viral marketingcampaigns. In the first problem; termed minimum target set selection (or MINTSS for short) …,Social network analysis and mining,2013,109
Web log data warehousing and mining for intelligent web caching,Francesco Bonchi; Fosca Giannotti; Cristian Gozzi; Giuseppe Manco; Mirco Nanni; Dino Pedreschi; Chiara Renso; Salvatore Ruggieri,Abstract We introduce intelligent web caching algorithms that employ predictive models ofweb requests; the general idea is to extend the least recently used (LRU) policy of web andproxy servers by making it sensitive to web access models extracted from web log datausing data mining techniques. Two approaches have been studied in particular; frequentpatterns and decision trees. The experimental results of the new algorithms show substantialimprovement over existing LRU-based caching techniques; in terms of hit rate. We designedand developed a prototypical system; which supports data warehousing of web log data;extraction of data mining models and simulation of the web caching algorithms.,Data & Knowledge Engineering,2001,107
Anonymization of moving objects databases by clustering and perturbation,Osman Abul; Francesco Bonchi; Mirco Nanni,Abstract Preserving individual privacy when publishing data is a problem that is receivingincreasing attention. Thanks to its simplicity the concept of k-anonymity; introduced bySamarati and Sweeney [1]; established itself as one fundamental principle for privacypreserving data publishing. According to the k-anonymity principle; each release of datamust be such that each individual is indistinguishable from at least k− 1 other individuals. Inthis article we tackle the problem of anonymization of moving objects databases. Wepropose a novel concept of k-anonymity based on co-localization; that exploits the inherentuncertainty of the moving object's whereabouts. Due to sampling and imprecision of thepositioning systems (eg; GPS); the trajectory of a moving object is no longer a polyline in athree-dimensional space; instead it is a cylindrical volume; where its radius δ represents …,Information Systems,2010,104
The role of information diffusion in the evolution of social networks,Lilian Weng; Jacob Ratkiewicz; Nicola Perra; Bruno Gonçalves; Carlos Castillo; Francesco Bonchi; Rossano Schifanella; Filippo Menczer; Alessandro Flammini,Abstract Every day millions of users are connected through online social networks;generating a rich trove of data that allows us to study the mechanisms behind humaninteractions. Triadic closure has been treated as the major mechanism for creating sociallinks: if Alice follows Bob and Bob follows Charlie; Alice will follow Charlie. Here we presentan analysis of longitudinal micro-blogging data; revealing a more nuanced view of thestrategies employed by users when expanding their social circles. While the networkstructure affects the spread of information among users; the network is in turn shaped by thiscommunication activity. This suggests a link creation mechanism whereby Alice is morelikely to follow Charlie after seeing many messages by Charlie. We characterize users with aset of parameters associated with different link creation strategies; estimated by a …,Proceedings of the 19th ACM SIGKDD international conference on Knowledge discovery and data mining,2013,103
On closed constrained frequent pattern mining,Francesco Bonchi; Claudio Lucchese,Constrained frequent patterns and closed frequent patterns are two paradigms aimed atreducing the set of extracted patterns to a smaller; more interesting; subset. Although a lot ofwork has been done with both these paradigms; there is still confusion around the miningproblem obtained by joining closed and constrained frequent patterns in a uniqueframework. In this paper; we shed light on this problem by providing a formal definition and athorough characterization. We also study computational issues and show how to combinethe most recent results in both paradigms; providing a very efficient algorithm which exploitsthe two requirements (satisfying constraints and being closed) together at mining time inorder to reduce the computation as much as possible.,Data Mining; 2004. ICDM'04. Fourth IEEE International Conference on,2004,90
Pushing tougher constraints in frequent pattern mining,Francesco Bonchi; Claudio Lucchese,Abstract In this paper we extend the state-of-art of the constraints that can be pushed in afrequent pattern computation. We introduce a new class of tough constraints; namely LooseAnti-monotone constraints; and we deeply characterize them by showing that they are asuperclass of convertible anti-monotone constraints (eg constraints on average or median)and that they model tougher constraints (eg constraints on variance or standard deviation).Then we show how these constraints can be exploited in a level-wise Apriori-likecomputation by means of a new data-reduction technique: the resulting algorithmoutperforms previous proposals for convertible constraints; and it is to treat much tougherconstraints with the same effectiveness of easier ones.,Pacific-Asia Conference on Knowledge Discovery and Data Mining,2005,89
Extending the state-of-the-art of constraint-based pattern discovery,Francesco Bonchi; Claudio Lucchese,Abstract In the last years; in the context of the constraint-based pattern discovery paradigm;properties of constraints have been studied comprehensively and on the basis of thisproperties; efficient constraint-pushing techniques have been defined. In this paper wereview and extend the state-of-the-art of the constraints that can be pushed in a frequentpattern computation. We introduce novel data reduction techniques which are able to exploitconvertible anti-monotone constraints (eg; constraints on average or median) as well astougher constraints (eg; constraints on variance or standard deviation). A thoroughexperimental study is performed and it confirms that our framework outperforms previousalgorithms for convertible constraints; and exploit the tougher ones with the sameeffectiveness. Finally; we highlight that the main advantage of our approach; ie; pushing …,Data & Knowledge Engineering,2007,86
Exante: Anticipated data reduction in constrained pattern mining,Francesco Bonchi; Fosca Giannotti; Alessio Mazzanti; Dino Pedreschi,Abstract Constraint pushing techniques have been proven to be effective in reducing thesearch space in the frequent pattern mining task; and thus in improving efficiency. But whilepushing anti-monotone constraints in a level-wise computation of frequent itemsets hasbeen recognized to be always profitable; the case is different for monotone constraints. Infact; monotone constraints have been considered harder to push in the computation andless effective in pruning the search space. In this paper; we show that this prejudice is illfounded and introduce ExAnte; a pre-processing data reduction algorithm which reducesdramatically both the search space and the input dataset in constrained frequent patternmining. Experimental results show a reduction of orders of magnitude; thus enabling a mucheasier mining task. ExAnte can be used as a pre-processor with any constrained pattern …,European Conference on Principles of Data Mining and Knowledge Discovery,2003,86
Cascade-based community detection,Nicola Barbieri; Francesco Bonchi; Giuseppe Manco,Abstract Given a directed social graph and a set of past informa-tion cascades observedover the graph; we study the novel problem of detecting modules of the graph (communitiesof nodes); that also explain the cascades. Our key observation is that both informationpropagation and social ties forma-tion in a social network can be explained according to thesame latent factor; which ultimately guide a user behavior within the network. Based on thisobservation; we propose the Community-Cascade Network (CCN) model; a stochas-ticmixture membership generative model that can fit; at the same time; the social graph and theobserved set of cas-cades. Our model produces overlapping communities and for eachnode; its level of authority and passive interest in each community it belongs. For learningthe parameters of the CCN model; we devise a Generalized Expectation Maximization …,Proceedings of the sixth ACM international conference on Web search and data mining,2013,82
ExAMiner: Optimized level-wise frequent pattern mining with monotone constraints,Francesco Bonchi; Fosca Giannotti; Alessio Mazzanti; Dino Pedreschi,The key point is that; in frequent pattern mining; the most appropriate way of exploitingmonotone constraints in conjunction with frequency is to use them in order to reduce theproblem input together with the search space. Following this intuition; we introduceExAMiner; a level-wise algorithm which exploits the real synergy of antimonotone andmonotone constraints: the total benefit is greater than the sum of the two individual benefits.ExAMiner generalizes the basic idea of the preprocessing algorithm ExAnte [F. Bonchi etal.;(2003)]; embedding such ideas at all levels of an Apriori-like computation. The resultingalgorithm is the generalization of the Apriori algorithm when a conjunction of monotoneconstraints is conjoined to the frequency antimonotone constraint. Experimental resultsconfirm that this is; so far; the most efficient way of attacking the computational problem in …,Data Mining; 2003. ICDM 2003. Third IEEE International Conference on,2003,82
Topic-aware social influence propagation models,Nicola Barbieri; Francesco Bonchi; Giuseppe Manco,Abstract The study of influence-driven propagations in social networks and its exploitationfor viral marketing purposes has recently received a large deal of attention. However;regardless of the fact that users authoritativeness; expertise; trust and influence are evidentlytopic-dependent; the research on social influence has surprisingly largely overlooked thisaspect. In this article; we study social influence from a topic modeling perspective. Weintroduce novel topic-aware influence-driven propagation models that; as we show in ourexperiments; are more accurate in describing real-world cascades than the standard (ie;topic-blind) propagation models studied in the literature. In particular; we first proposesimple topic-aware extensions of the well-known Independent Cascade and LinearThreshold models. However; these propagation models have a very large number of …,Knowledge and information systems,2013,79
From" dango" to" japanese cakes": Query reformulation models and patterns,Paolo Boldi; Francesco Bonchi; Carlos Castillo; Sebastiano Vigna,Understanding query reformulation patterns is a key step towards next generation websearch engines: it can help improving users' web-search experience by predicting theirintent; and thus helping them to locate information more effectively. As a step in thisdirection; we build an accurate model for classifying user query reformulations into broadclasses (generalization; specialization; error correction or parallel move); achieving 92\%accuracy. We apply the model to automatically label two large query logs; creatingannotated query-flow graphs. We study the resulting reformulation patterns; finding resultsconsistent with previous studies done on smaller manually annotated datasets; anddiscovering new interesting patterns; including connections between reformulation typesand topical categories. Finally; applying our findings to a third query log that is publicly …,Web Intelligence and Intelligent Agent Technologies; 2009. WI-IAT'09. IEEE/WIC/ACM International Joint Conferences on,2009,79
Identity obfuscation in graphs through the information theoretic lens,Francesco Bonchi; Aristides Gionis; Tamir Tassa,Abstract Analyzing the structure of social networks is of interest in a wide range ofdisciplines. Unfortunately; sharing social-network datasets is often restrained by privacyconsiderations. One way to address the privacy concern is to anonymize the data beforepublishing. Randomly adding or deleting edges from the social graph is one of theanonymization approaches that have been proposed in the literature. Recent studies havequantified the level of anonymity that is obtained by random perturbation by means of aposteriori belief probabilities and; by conducting experiments on small datasets; arrived atthe conclusion that random perturbation cannot achieve meaningful levels of anonymitywithout deteriorating the graph properties. We offer a new information-theoretic perspectiveon the question of anonymizing a social network by means of random edge additions and …,Information Sciences,2014,78
Do you want to take notes?: identifying research missions in Yahoo! search pad,Debora Donato; Francesco Bonchi; Tom Chi; Yoelle Maarek,Abstract Addressing user's information needs has been one of the main goals of Web searchengines since their early days. In some cases; users cannot see their needs immediatelyanswered by search results; simply because these needs are too complex and involvemultiple aspects that are not covered by a single Web or search results page. This typicallyhappens when users investigate a certain topic in domains such as education; travel orhealth; which often require collecting facts and information from many pages. We refer to thistype of activities as" research missions". These research missions account for 10% of users'sessions and more than 25% of all query volume; as verified by a manual analysis that wasconducted by Yahoo! editors.,Proceedings of the 19th international conference on World wide web,2010,77
Who to follow and why: link prediction with explanations,Nicola Barbieri; Francesco Bonchi; Giuseppe Manco,Abstract User recommender systems are a key component in any on-line social networkingplatform: they help the users growing their network faster; thus driving engagement andloyalty. In this paper we study link prediction with explanations for user recommendation insocial networks. For this problem we propose WTFW (" Who to Follow and Why"); astochastic topic model for link prediction over directed and nodes-attributed graphs. Ourmodel not only predicts links; but for each predicted link it decides whether it is a" topical" ora" social" link; and depending on this decision it produces a different type of explanation.,Proceedings of the 20th ACM SIGKDD international conference on Knowledge discovery and data mining,2014,68
Influence Propagation in Social Networks: A Data Mining Perspective.,Francesco Bonchi,Abstract—With the success of online social networks and mi-croblogs such as Facebook;Flickr and Twitter; the phenomenon of influence exerted by users of such platforms on otherusers; and how it propagates in the network; has recently attracted the interest of computerscientists; information technologists; and marketing specialists. One of the key problems inthis area is the identification of influential users; by targeting whom certain desirablemarketing outcomes can be achieved. In this article we take a data mining perspective andwe discuss what (and how) can be learned from the available traces of past propagations.While doing this we provide a brief overview of some recent progresses in this area anddiscuss some open problems. By no means this article must be intended as an exhaustivesurvey: it is instead (admittedly) a rather biased and personal perspective of the author on …,IEEE Intelligent Informatics Bulletin,2011,66
FP-Bonsai: the art of growing and pruning small fp-trees,Francesco Bonchi; Bart Goethals,Abstract In the context of mining frequent itemsets; numerous strategies have beenproposed to push several types of constraints within the most well known algorithms. In thispaper; we integrate the recently proposed ExAnte data reduction technique within the FP-growth algorithm. Together; they result in a very efficient frequent itemset mining algorithmthat effectively exploits monotone constraints.,Pacific-Asia Conference on Knowledge Discovery and Data Mining,2004,63
Blocking anonymity threats raised by frequent itemset mining,Maurizio Atzori; Francesco Bonchi; Fosca Giannotti; Dino Pedreschi,In this paper we study when the disclosure of data mining results represents; per se; a threatto the anonymity of the individuals recorded in the analyzed database. The novelty of ourapproach is that we focus on an objective definition of privacy compliance of patterns withoutany reference to a preconceived knowledge of what is sensitive and what is not; on the basisof the rather intuitive and realistic constraint that the anonymity of individuals should beguaranteed. In particular; the problem addressed here arises from the possibility of inferringfrom the output of frequent itemset mining (ie; a set of item-sets with support larger than athreshold a); the existence of patterns with very low support (smaller than an anonymitythreshold k)[M. Atzori et. al; 2005]. In the following we develop a simple methodology toblock such inference opportunities by introducing distortion on the dangerous patterns.,Data Mining; Fifth IEEE International Conference on,2005,59
Injecting uncertainty in graphs for identity obfuscation,Paolo Boldi; Francesco Bonchi; Aristides Gionis; Tamir Tassa,Abstract Data collected nowadays by social-networking applications create fascinatingopportunities for building novel services; as well as expanding our understanding aboutsocial structures and their dynamics. Unfortunately; publishing social-network graphs isconsidered an ill-advised practice due to privacy concerns. To alleviate this problem; severalanonymization methods have been proposed; aiming at reducing the risk of a privacybreach on the published data; while still allowing to analyze them and draw relevantconclusions. In this paper we introduce a new anonymization approach that is based oninjecting uncertainty in social graphs and publishing the resulting uncertain graphs. Whileexisting approaches obfuscate graph data by adding or removing edges entirely; wepropose using a finer-grained perturbation that adds or removes edges partially: this way …,Proceedings of the VLDB Endowment,2012,58
Online Topic-aware Influence Maximization Queries.,Cigdem Aslay; Nicola Barbieri; Francesco Bonchi; Ricardo A Baeza-Yates,ABSTRACT Influence maximization is the key algorithmic problem behind viral marketing: itrequires to identify a set of influential users in a social network; who; when convinced toadopt a product; shall influence other users in the network; leading to a large number ofadoptions. Although real world users evidently have different degrees of interest andauthoritativeness on different topics; the bulk of the literature on influence maximization istopic-blind; in the sense that it treats all items as they were the same. In this paper we studyTopic-aware Influence Maximization (TIM) queries: given a directed social graph; where thearcs are associated with a topic-dependent user-to-user social influence strength; and givena budget k; the problem requires to find a set of k users (named seed set) that we shall targetin a viral marketing campaign for a given new item (described as a distribution over topics …,EDBT,2014,53
Overlapping correlation clustering,Francesco Bonchi; Aristides Gionis; Antti Ukkonen,We introduce a new approach to the problem of overlapping clustering. The main idea is toformulate overlapping clustering as an optimization problem in which each data point ismapped to a small set of labels; representing membership to different clusters. The objectiveis to find a mapping so that the distances between data points agree as much as possiblewith distances taken over their label sets. To define distances between label sets; weconsider two measures: a set-intersection indicator function and the Jaccard coefficient. Tosolve the main optimization problem we propose a local-search algorithm. The iterative stepof our algorithm requires solving non-trivial optimization sub problems; which; for themeasures of set-intersection and Jaccard; we solve using a greedy method and non-negative least squares; respectively. Since our frameworks uses pair wise similarities of …,Data Mining (ICDM); 2011 IEEE 11th International Conference on,2011,51
Core decomposition of uncertain graphs,Francesco Bonchi; Francesco Gullo; Andreas Kaltenbrunner; Yana Volkovich,Abstract Core decomposition has proven to be a useful primitive for a wide range of graphanalyses. One of its most appealing features is that; unlike other notions of densesubgraphs; it can be computed linearly in the size of the input graph. In this paper weprovide an analogous tool for uncertain graphs; ie; graphs whose edges are assigned aprobability of existence. The fact that core decomposition can be computed efficiently indeterministic graphs does not guarantee efficiency in uncertain graphs; where even thesimplest graph operations may become computationally intensive. Here we show that coredecomposition of uncertain graphs can be carried out efficiently as well.,Proceedings of the 20th ACM SIGKDD international conference on Knowledge discovery and data mining,2014,49
