Gene selection via discretized gene-expression profiles and greedy feature-elimination,George Potamias; Lefteris Koumakis; Vassilis Moustakis,Abstract Analysis and interpretation of gene-expression profiles; and the identification ofrespective molecular-or; gene-markers is the key towards the understanding of the geneticbasis of major diseases. The problem is challenging because of the huge number of genes(thousands to tenths of thousands!) and the small number of samples (about 50 to 100cases). In this paper we present a novel gene-selection methodology; based on thediscretization of the continuous gene-expression values. With a specially devised gene-ranking metric we measure the strength of each gene with respect to its power todiscriminate between sample categories. Then; a greedy feature-elimination algorithm isapplied on the rank-ordered genes to form the final set of selected genes. Unseen samplesare classified according to a specially devised prediction/matching metric. The …,Hellenic Conference on Artificial Intelligence,2004,47
Psycho-emotional tools for better treatment adherence and therapeutic outcomes for cancer patients.,Eleni Kazantzaki; Haridimos Kondylakis; Lefteris Koumakis; Kostas Marias; Manolis Tsiknakis; Chiara Fioretti; Alessandra Gorini; Ketti Mazzocco; Chiara Renzi; Gabriella Pravettoni,Abstract. Personalized medicine should target not only the genetic and clinical aspects ofthe individual patients but also the different cognitive; psychological; family and socialfactors involved in various clinical choices. To this direction; in this paper; we presentinstruments to assess the psycho-emotional status of cancer patients and to evaluate theresilience in their family constructing in such a way an augmented patient profile. Using thisprofile; 1) information provision can be tailored according to patients characteristics; 2) areasof functioning can be monitored both by the patient and by the clinicians; providingsuggestions and alerts; 3) personalized decision aids can be develop to increase patient'sparticipation in the consultation process with their physicians and improve their satisfactionand involvement in the decision-making process. Our preliminary evaluation shows …,pHealth,2016,3
An algorithmic approach for the effect of transcription factor binding sites over functional gene regulatory networks,L. Koumakis; G. Potamias; K. Marias; Tsiknakis,Demand for analyzing very large datasets is increasing; especially with the introduction ofchromatin immunoprecipitation sequencing which is a recent method of Next GenerationSequencing used to analyze protein interactions with DNA. The development of newtechnologies is revolutionizing genome-wide analysis and scientists' abilities to have abetter understanding of the biological meaning but inferring gene regulatory networks fromsuch data is still a major challenge in systems biology. Complex reactions at the molecularlevel in living cells and such knowledge; as it relates to specific phenotype; necessarilyimplies that a key molecular target should be considered within the framework of its generegulatory network. The objective of our study is to explore the effect of proteins underspecific conditions (eg treatment or starvation); in functional sub-pathways for specific …,Bioinformatics and Bioengineering (BIBE); 2015 IEEE 15th International Conference,2015,3
Scientific discovery workflows in bioinformatics: a scenario for the coupling of molecular regulatory pathways and gene-expression profiles.,Alexandros Kanterakis; G Potamias; Giorgos Zacharioudakis; Lefteris Koumakis; Stelios Sfakianakis; Manolis Tsiknakis,Abstract Scientific workflow technologies and tools have become an important weapon inthe arsenal of the bioinformaticians and computational biologists. To support this view wepresent a typical exploratory data analysis scenario involving the combination of informationfrom Gene Regulatory Networks and gene expression data. We further describe theimplementation of this scenario using the Workflow Environment implemented in the contextof a large EU funded project. In this process desirable features that similar environmentsshould offer are identified and analyzed. The ICT platform presented is evaluated using thechosen scenario as a benchmark. Finally we conclude with an outlook to future work.,Studies in health technology and informatics,2010,3
A new gene expression signature related to breast cancer Estrogen Receptor status,E Christodoulou; Marina Ioannou; Maria Kafousi; Elias Sanidas; Georgios Papagiannakis; Vasiliki Danilatou; Georgia Tsiliki; Thanasis Margaritis; Haridimos Kondylakis; Dimitris Manakanatas; Lefteris Koumakis; Alexandros Kanterakis; Stamatis Vassilaros; Manolis Tsiknakis; Anastasia Analyti; George Potamias; Dimitris Tsiftsis; Efstathios Stathopoulos; Dimitris Kafetzopoulos,The aim of this study is to identify a gene expression signature which is characteristic of ERstatus in breast cancer patients. To our knowledge; this is the first microarray study in Greeceinvolving clinical samples. We identified 97 genes that are characteristic for ER status andcan well distinguish the ER+ from the ER− samples. We shrank our list to a 11-gene listcorrelating to the same patient ER status. We found a significant overlap of these genes withpublished ER status characteristic signatures like the ones of West et. al.[1] and of Van't Veeret. al.[2]. This fact is very important given the minimal overlap of such genes reported byothers [3]. In order to obtain a molecular insight into how the expression of estrogen receptoractivates cancer cells; we found associations with biological pathways. Interestingly; the vastmajority of these genes are highly related to breast cancer.,BioInformatics and BioEngineering; 2008. BIBE 2008. 8th IEEE International Conference on,2008,3
Artificial Intelligence and innovations 2007: from Theory to Applications,George Potamias; Lefteris Koumakis; Alexandros Kanterakis; Vassilis Moustakis; Dimitrsi Kafetzopoulos; Manolis Tsiknakis,*,Eds. C. Boukis; L. Pnevmatikakis; L. Polymenakos; Boston: Springer,2007,3
Donor’s support tool: Enabling informed secondary use of patient’s biomaterial and personal data,Haridimos Kondylakis; Lefteris Koumakis; Stephanie Hänold; Iheanyi Nwankwo; Nikolaus Forgó; Kostas Marias; Manolis Tsiknakis; Norbert Graf,Abstract Purpose Biomedical research is being catalyzed by the vast amount of data rapidlycollected through the application of information technologies (IT). Despite IT advances; themethods for involving patients and citizens in biomedical research remain static; paper-based and organized around national boundaries and anachronistic legal frameworks. Thepurpose of this paper is to study the current practices for obtaining consent for biobankingand the legal requirements for reusing the available biomaterial and data in EU and finally topresent a novel tool to this direction enabling the secondary use of data and biomaterial.Method We review existing European legislation for secondary use of patient's biomaterialand data for research; identify types and scopes of consent; formal requirements for consent;and consider their implications for implementing electronic consent tools. To this direction …,International journal of medical informatics,2017,2
The INTEGRATE project: Delivering solutions for efficient multi-centric clinical research and trials,Haridimos Kondylakis; Brecht Claerhout; Mehta Keyur; Lefteris Koumakis; Jasper van Leeuwen; Kostas Marias; David Perez-Rey; Kristof De Schepper; Manolis Tsiknakis; Anca Bucur,Abstract The objective of the INTEGRATE project (http://www. fp7-integrate. eu/) that hasrecently concluded successfully was the development of innovative biomedical applicationsfocused on streamlining the execution of clinical research; on enabling multidisciplinarycollaboration; on management and large-scale sharing of multi-level heterogeneousdatasets; and on the development of new methodologies and of predictive multi-scalemodels in cancer. In this paper; we present the way the INTEGRATE consortium hasapproached important challenges such as the integration of multi-scale biomedical data inthe context of post-genomic clinical trials; the development of predictive models and theimplementation of tools to facilitate the efficient execution of postgenomic multi-centricclinical trials in breast cancer. Furthermore; we provide a number of key “lessons learned” …,Journal of biomedical informatics,2016,2
Big Data in Support of the Digital Cancer Patient,Haridimos Kondylakis; Lefteris Koumakis; Manolis Tsiknakis; Kostas Marias; Stephan Kiefer,Semantic Integration Layer [2] pushes selected data to the Semantic Data Warehouse.Using this architecture we can select which of the available data should be semanticallylinked and integrated by establishing the appropriate mappings to a modular ontology [3].Then these data are queried; transformed into triples and loaded to the SemanticWarehouse where they are available for further reasoning and querying. A benefit of theapproach is that we can recreate from scratch the resulting triples at any time. However; forreasons of efficiency the data integration engine periodically transforms only the newlyinserted information by checking the data timestamps. In addition to off-line transformation;on-line transformation is also possible by issuing transformation events through an eventbus. As such; our architecture adopts a variation of the command-query responsibility …,ERCIM News,2016,2
PMIR: A Personal Medical Information Recommender.,Haridimos Kondylakis; Lefteris Koumakis; Stefan Rüping; Eleni Kazantzaki; Kostas Marias; Manolis Tsiknakis,Abstract. Patients today have ample opportunities to inform themselves in the internet abouttheir disease and possible treatments. While this type of patient empowerment is widelyregarded as having a positive influence on the treatment; there exists the problem that thequality of information that can be found on online is very diverse. This paper presents aplatform which will empower patient with high quality knowledge about his/her condition;and will provide intelligent and personalized recommendations; according to his/herpersonalized preferences and medical conditions. We also introduce the EURECA projectand its vision in the field of personalized medicine and show project's approach on creatinga personal medical information recommender.,MIE,2014,2
A semantic infrastructure for the integration of bioinformatics services,Giorgos Zacharioudakis; Lefteris Koumakis; Stelios Sfakianakis; Manolis Tsiknakis,Web services integration has been a vigorous research area for the last years. With theintroduction of the Semantic Web the publication of expressive metadata in a sharedknowledge framework enables the deployment of services that can intelligently use webresources. Syntactic and semantic interoperability of services is crucial for servicesintegration and complex scientific workflows creation. In this paper we propose a semanticbased infrastructure for bioinformatics services integration that is designed and implementedin the context of the ACGT European project. This infrastructure features the integration ofmany different service registries in unified" meta-repository" and provides a knowledgebased querying facility.,Intelligent Systems Design and Applications; 2009. ISDA'09. Ninth International Conference on,2009,2
Supporting genotype-to-phenotype association studies with grid-enabled knowledge discovery workflows,Lefteris Koumakis; Vassilis Moustakis; Manolis Tsiknakis; Dimitris Kafetzopoulos; George Potamias,Web Services and Grid-enabled scientific workflows are of paramount importance for therealization of efficient and secure knowledge discovery scenarios. This paper presents aGrid-enabled Genotype-to-Phenotype discovery scenario (GG2P); which is realized by arespective scientific workflow. GG2P supports the seamless integration of SNP genotypedata sources; and the discovery of indicative and predictive genotype-to-phenotypeassociation models–all wrapped around custom-made Web Services. GG2P is applied on awhole-genome SNP-genotyping experiment (breast cancer vs. normal/control phenotypes).A set of about 100 indicative SNPs are induced with very high classification performance.The biological relevance of the findings is supported by the relevant literature.,Engineering in Medicine and Biology Society; 2009. EMBC 2009. Annual International Conference of the IEEE,2009,2
Building a System for Advancing Clinico-Genomic Trials on Cancer,Stelios Sfakianakis; Norbert Graf; Alexander Hoppe; Stefan Rüping; Dennis Wegener; Lefteris Koumakis; George Zacharioudakis,Abstract The analysis of clinico-genomic data poses complex computational problems. In theproject ACGT; a grid-based software system to support clinicians and bio-statisticians in theirdaily work is being developed. Starting with a detailed user requirements analysis; and withthe continuous integration of usability analysis in the development process; the projectstrives to develop an architecture that will substantially improve the way clinico-genomictrials are conducted today. In this paper; results of the initial requirements analysis andapproaches to address these requirements are presented. We also discuss the importanceof appropriate metadata to tailor the system to the needs of the users.,George Potamias Vassilis Moustakis (eds.),2009,2
iManagecancer: developing a platform for empowering patients and strengthening self-management in cancer diseases,Haridimos Kondylakis; Anca Bucur; Feng Dong; Chiara Renzi; Andrea Manfrinati; Norbert Graf; Stefan Hoffman; Lefteris Koumakis; Gabriella Pravettoni; Kostas Marias; Manolis Tsiknakis; Stephan Kiefer,Cancer research has led to more cancer patients being cured; and many more enabled tolive with their cancer. As such; some cancers are now considered a chronic disease; wherepatients and their families face the challenge to take an active role in their own care and insome cases in their treatment. To this direction the iManageCancer project aims to provide acancer specific self-management platform designed according to the needs of patientgroups while focusing; in parallel; on the wellbeing of the cancer patient. In this paper; wepresent the use-case requirements collected using a survey; a workshop and the analysis ofthree white papers and then we explain the corresponding system architecture. We describein detail the main technological components of the designed platform; show the currentstatus of development and we discuss further directions of research.,Computer-Based Medical Systems (CBMS); 2017 IEEE 30th International Symposium on,2017,1
