Observation of room-temperature magnetic skyrmions and their current-driven dynamics in ultrathin metallic ferromagnets,Seonghoon Woo; Kai Litzius; Benjamin Krüger; Mi-Young Im; Lucas Caretta; Kornel Richter; Maxwell Mann; Andrea Krone; Robert M Reeve; Markus Weigand; Parnika Agrawal; Ivan Lemesh; Mohamad-Assaad Mawass; Peter Fischer; Mathias Kläui; Geoffrey SD Beach,Abstract Magnetic skyrmions 1; 2 are topologically protected spin textures that exhibitfascinating physical behaviours 1; 2; 3; 4; 5; 6 and large potential in highly energy-efficientspintronic device applications 7; 8; 9; 10; 11; 12; 13. The main obstacles so far are thatskyrmions have been observed in only a few exotic materials and at low temperatures 1; 2;3; 4; 6; 7; 8; and fast current-driven motion of individual skyrmions has not yet beenachieved. Here; we report the observation of stable magnetic skyrmions at room temperaturein ultrathin transition metal ferromagnets with magnetic transmission soft X-ray microscopy.We demonstrate the ability to generate stable skyrmion lattices and drive trains of individualskyrmions by short current pulses along a magnetic racetrack at speeds exceeding 100 ms−1 as required for applications. Our findings provide experimental evidence of recent …,Nature materials,2016,314
Element-specific imaging of magnetic domains at 25 nm spatial resolution using soft x-ray microscopy,Peter Fischer; T Eimüller; G Schütz; Gregory Denbeaux; A Pearson; L Johnson; D Attwood; S Tsunashima; M Kumazawa; N Takagi; M Köhler; G Bayreuther,The combination of magnetic circular dichroism as a magnetic contrast mechanism and atransmission x-ray microscope allows imaging of magnetic structures with lateral resolutionsdown to 25 nm. Results on magneto-optical Tb 25 (Fe 75 Co 25) 75 layers system withthermomagnetically written bits of various sizes were obtained at the x-ray microscope XM-1at the Advanced Light Source in Berkeley; CA. The results prove the thermal stability of thebits in the recording process. Furthermore the capability of soft x-ray microscopy with respectto the achievable lateral resolution; element specificity and sensitivity to thin magnetic layersis demonstrated. The potential of imaging in applied magnetic fields for both out-of-planeand in-plane magnetized thin magnetic films is outlined.,Review of Scientific Instruments,2001,94
Imaging of magnetic domains by transmission X-ray microscopy,P Fischer; Th Eimüller; G Schütz; P Guttmann; G Schmahl; K Pruegl; G Bayreuther,Abstract The combination of the high-resolution transmission x-ray microscope (TXM) basedon the zone plate technique with the x-ray magnetic circular dichroism (X-MCD) providing ahuge magnetic contrast is a new technique to image magnetic domain structures. It isinherently element specific and contains information on the local spin and orbital momentsof the absorbing species that can be obtained by applying magneto-optical sum rules. Alateral spatial resolution depending on the quality of the zone plates down to 30 nm can beachieved. We report on first results at the Fe edges of Fe both in amorphous and inmultilayered Gd-Fe systems. With a TXM set-up at BESSY I adapted to record magneticimages in varying magnetic fields the evolution of magnetic domains within a completehysteresis loop and magnetic aftereffects have been studied.,Journal of Physics D: Applied Physics,1998,91
Spatially resolved ferromagnetic resonance: Imaging of ferromagnetic eigenmodes,Aleksandar Puzic; Bartel Van Waeyenberge; Kang Wei Chou; Peter Fischer; Hermann Stoll; Gisela Schütz; Tolek Tyliszczak; Karsten Rott; Hubert Brückl; Günter Reiss; Ingo Neudecker; Thomas Haug; Matthias Buess; Christian H Back,Fast magnetization dynamics of ferromagnetic elements on sub-micron length scales iscurrently attracting substantial scientific interest. Studying the ferromagnetic eigenmodes insuch systems provides valuable information in order to trace back the dynamical response tothe underlying micromagnetic properties. The inherent time structure of third generationsynchrotron sources allows for time-resolved imaging (time resolution: 70–100 ps) ofmagnetization dynamics at soft x-ray microscopes (lateral resolution down to 20 nm).Stroboscopic pump-and-probe experiments were performed on micron-sized Permalloysamples at a full-field magnetic transmission x-ray microscope (XM-1; beamline 6.1. 2) at theALS at Berkeley; CA. Complementary to these time-domain experiments a frequency-domain “spatially resolved ferromagnetic resonance”(SR-FMR) technique was applied to …,Journal of applied physics,2005,89
Dynamic switching of the spin circulation in tapered magnetic nanodisks,V Uhlíř; M Urbánek; L Hladik; J Spousta; MY Im; P Fischer; N Eibagi; JJ Kan; EE Fullerton; T Šikola,Abstract Magnetic vortices are characterized by the sense of in-plane magnetizationcirculation and by the polarity of the vortex core. With each having two possible states; thereare four possible stable magnetization configurations that can be utilized for a multibitmemory cell. Dynamic control of vortex core polarity has been demonstrated using bothalternating and pulsed magnetic fields and currents. Here; we show controlled dynamicswitching of spin circulation in vortices using nanosecond field pulses by imaging theprocess with full-field soft X-ray transmission microscopy. The dynamic reversal process iscontrolled by far-from-equilibrium gyrotropic precession of the vortex core; and the reversalis achieved at significantly reduced field amplitudes when compared with static switching.We further show that both the field pulse amplitude and duration required for efficient …,Nature nanotechnology,2013,83
Tunable negligible-loss energy transfer between dipolar-coupled magnetic disks by stimulated vortex gyration,Hyunsung Jung; Ki-Suk Lee; Dae-Eun Jeong; Youn-Seok Choi; Young-Sang Yu; Dong-Soo Han; Andreas Vogel; Lars Bocklage; Guido Meier; Mi-Young Im; Peter Fischer; Sang-Koog Kim,Abstract A wide variety of coupled harmonic oscillators exist in nature. Coupling betweendifferent oscillators allows for the possibility of mutual energy transfer between them and theinformation-signal propagation. Low-energy input signals and their transport with negligibleenergy loss are the key technological factors in the design of information-signal processingdevices. Here; utilizing the concept of coupled oscillators; we experimentally demonstrated arobust new mechanism for energy transfer between spatially separated dipolar-coupledmagnetic disks-stimulated vortex gyration. Direct experimental evidence was obtained by astate-of-the-art experimental time-resolved soft X-ray microscopy probe. The rate of energytransfer from one disk to the other was deduced from the two normal modes' frequencysplitting caused by dipolar interaction. This mechanism provides the advantages of …,Scientific reports,2011,83
Tunable negligible-loss energy transfer between dipolar-coupled magnetic disks by stimulated vortex gyration,Hyunsung Jung; Ki-Suk Lee; Dae-Eun Jeong; Youn-Seok Choi; Young-Sang Yu; Dong-Soo Han; Andreas Vogel; Lars Bocklage; Guido Meier; Mi-Young Im; Peter Fischer; Sang-Koog Kim,Abstract A wide variety of coupled harmonic oscillators exist in nature. Coupling betweendifferent oscillators allows for the possibility of mutual energy transfer between them and theinformation-signal propagation. Low-energy input signals and their transport with negligibleenergy loss are the key technological factors in the design of information-signal processingdevices. Here; utilizing the concept of coupled oscillators; we experimentally demonstrated arobust new mechanism for energy transfer between spatially separated dipolar-coupledmagnetic disks-stimulated vortex gyration. Direct experimental evidence was obtained by astate-of-the-art experimental time-resolved soft X-ray microscopy probe. The rate of energytransfer from one disk to the other was deduced from the two normal modes' frequencysplitting caused by dipolar interaction. This mechanism provides the advantages of …,Scientific reports,2011,83
High-resolution X-ray lensless imaging by differential holographic encoding,Diling Zhu; Manuel Guizar-Sicairos; Benny Wu; Andreas Scherz; Yves Acremann; Tolek Tyliszczak; Peter Fischer; Nina Friedenberger; Katharina Ollefs; Michael Farle; James R Fienup; Joachim Stöhr,Abstract We demonstrate in the soft x-ray regime a novel technique for high-resolutionlensless imaging based on differential holographic encoding. We have achieved superiorresolution over x-ray Fourier transform holography while maintaining the signal-to-noiseratio and algorithmic simplicity. We obtain a resolution of 16 nm by synthesizing images inthe Fourier domain from a single diffraction pattern; which allows resolution improvementbeyond the reference fabrication limit. Direct comparisons with iterative phase retrieval andimages from state-of-the-art zone-plate microscopes are presented.,Physical review letters,2010,76
Disorder-induced magnetic memory: Experiments and theories,MS Pierce; CR Buechler; LB Sorensen; SD Kevan; EA Jagla; JM Deutsch; T Mai; O Narayan; JE Davies; Kai Liu; GT Zimanyi; Helmut G Katzgraber; O Hellwig; EE Fullerton; P Fischer; JB Kortright,Abstract Beautiful theories of magnetic hysteresis based on random microscopic disorderhave been developed over the past ten years. Our goal was to directly compare thesetheories with precise experiments. To do so; we first developed and then applied coherent x-ray speckle metrology to a series of thin multilayer perpendicular magnetic materials. Todirectly observe the effects of disorder; we deliberately introduced increasing degrees ofdisorder into our films. We used coherent x rays; produced at the Advanced Light Source atLawrence Berkeley National Laboratory; to generate highly speckled magnetic scatteringpatterns. The apparently “random” arrangement of the speckles is due to the exactconfiguration of the magnetic domains in the sample. In effect; each speckle pattern acts asa unique fingerprint for the magnetic domain configuration. Small changes in the domain …,Physical Review B,2007,75
Disorder-induced magnetic memory: Experiments and theories,MS Pierce; CR Buechler; LB Sorensen; SD Kevan; EA Jagla; JM Deutsch; T Mai; O Narayan; JE Davies; Kai Liu; GT Zimanyi; Helmut G Katzgraber; O Hellwig; EE Fullerton; P Fischer; JB Kortright,Abstract Beautiful theories of magnetic hysteresis based on random microscopic disorderhave been developed over the past ten years. Our goal was to directly compare thesetheories with precise experiments. To do so; we first developed and then applied coherent x-ray speckle metrology to a series of thin multilayer perpendicular magnetic materials. Todirectly observe the effects of disorder; we deliberately introduced increasing degrees ofdisorder into our films. We used coherent x rays; produced at the Advanced Light Source atLawrence Berkeley National Laboratory; to generate highly speckled magnetic scatteringpatterns. The apparently “random” arrangement of the speckles is due to the exactconfiguration of the magnetic domains in the sample. In effect; each speckle pattern acts asa unique fingerprint for the magnetic domain configuration. Small changes in the domain …,Physical Review B,2007,75
Characterizing the nano and micro structure of concrete to improve its durability,Paulo JM Monteiro; AP Kirchheim; S Chae; Peter Fischer; Alastair A MacDowell; Eirc Schaible; HR Wenk,Abstract New and advanced methodologies have been developed to characterize the nanoand microstructure of cement paste and concrete exposed to aggressive environments. Highresolution full-field soft X-ray imaging in the water window is providing new insight on thenano scale of the cement hydration process; which leads to a nano-optimization of cement-based systems. Hard X-ray microtomography images of ice inside cement paste andcracking caused by the alkali–silica reaction (ASR) enables three-dimensional structuralidentification. The potential of neutron diffraction to determine reactive aggregates bymeasuring their residual strains and preferred orientation is studied. Results of experimentsusing these tools are shown on this paper.,Cement and Concrete Composites,2009,68
Symmetry breaking in the formation of magnetic vortex states in a permalloy nanodisk,Mi-Young Im; Peter Fischer; Keisuke Yamada; Tomonori Sato; Shinya Kasai; Yoshinobu Nakatani; Teruo Ono,Abstract The magnetic vortex in nanopatterned elements is currently attracting enormousinterest. A priori; one would assume that the formation of magnetic vortex states shouldexhibit a perfect symmetry; because the magnetic vortex has four degenerate states. Herewe show the first direct observation of an asymmetric phenomenon in the formation processof vortex states in a permalloy nanodisk using high-resolution full-field magnetictransmission soft X-ray microscopy. Micromagnetic simulations confirm that the intrinsicDzyaloshinskii–Moriya interaction; which arises from the spin-orbit coupling due to the lackof inversion symmetry near the disk surface; as well as surface-related extrinsic factors; isdecisive for the asymmetric formation of vortex states.,Nature communications,2012,65
Probing the spin polarization of current by soft X-ray imaging of current-induced magnetic vortex dynamics,Shinya Kasai; Peter Fischer; Mi-Young Im; Keisuke Yamada; Yoshinobu Nakatani; Kensuke Kobayashi; Hiroshi Kohno; Teruo Ono,Abstract Time-resolved soft x-ray transmission microscopy is applied to image the current-induced resonant dynamics of the magnetic vortex core realized in a micron sized Permalloydisk. The high spatial resolution better than 25 nm enables us to observe the resonantmotion of the vortex core. The result also provides the spin polarization of the current to be0.67±0.16 for Permalloy by fitting the experimental results with an analytical model in theframework of the spin-transfer torque.,Physical review letters,2008,63
Realization of ground-state artificial skyrmion lattices at room temperature,Dustin A Gilbert; Brian B Maranville; Andrew L Balk; Brian J Kirby; Peter Fischer; Daniel T Pierce; John Unguris; Julie A Borchers; Kai Liu,Abstract The topological nature of magnetic skyrmions leads to extraordinary properties thatprovide new insights into fundamental problems of magnetism and exciting potentials fornovel magnetic technologies. Prerequisite are systems exhibiting skyrmion lattices atambient conditions; which have been elusive so far. Here; we demonstrate the realization ofartificial Bloch skyrmion lattices over extended areas in their ground state at roomtemperature by patterning asymmetric magnetic nanodots with controlled circularity on anunderlayer with perpendicular magnetic anisotropy (PMA). Polarity is controlled by a tailoredmagnetic field sequence and demonstrated in magnetometry measurements. The vortexstructure is imprinted from the dots into the interfacial region of the underlayer viasuppression of the PMA by a critical ion-irradiation step. The imprinted skyrmion lattices …,Nature communications,2015,60
Spin‐dependent x‐ray absorption in Co/Pt multilayers,S Rüegg; G Schütz; P Fischer; R Wienke; WB Zeper; H Ebert,Spin‐dependent absorption spectroscopy or circular magnetic x‐ray dichroism studies at theL 2; 3 edges of 5 d atoms in ferromagnetic hosts have been used to investigate the spin‐density distribution of the empty d‐projected states and thus the local magnetic moment ofthe absorbing 5 d atoms. This method was applied to study the average polarization of the Ptatom in Co/Pt multilayers with different modulation lengths. The spin‐dependent absorptionprofiles for vapor‐deposited [25 (4 Å Co+ x Å Pt); x= 9; 16; 23; 30; 40] multilayers indicate asignificant average Pt polarization decreasing with the layer thickness. The experimentalresults are discussed in comparison with spin‐polarized relativistic band‐structurecalculations (linear muffin‐tin‐orbital calculations).,Journal of Applied Physics,1991,60
Interface-induced phenomena in magnetism,Frances Hellman; Axel Hoffmann; Yaroslav Tserkovnyak; Geoffrey SD Beach; Eric E Fullerton; Chris Leighton; Allan H MacDonald; Daniel C Ralph; Dario A Arena; Hermann A Dürr; Peter Fischer; Julie Grollier; Joseph P Heremans; Tomas Jungwirth; Alexey V Kimel; Bert Koopmans; Ilya N Krivorotov; Steven J May; Amanda K Petford-Long; James M Rondinelli; Nitin Samarth; Ivan K Schuller; Andrei N Slavin; Mark D Stiles; Oleg Tchernyshyov; Andre Thiaville; Barry L Zink,Abstract This article reviews static and dynamic interfacial effects in magnetism; focusing oninterfacially driven magnetic effects and phenomena associated with spin-orbit coupling andintrinsic symmetry breaking at interfaces. It provides a historical background and literaturesurvey; but focuses on recent progress; identifying the most exciting new scientific resultsand pointing to promising future research directions. It starts with an introduction andoverview of how basic magnetic properties are affected by interfaces; then turns to adiscussion of charge and spin transport through and near interfaces and how these can beused to control the properties of the magnetic layer. Important concepts include spinaccumulation; spin currents; spin-transfer torque; and spin pumping. An overview isprovided to the current state of knowledge and existing review literature on interfacial …,Reviews of modern physics,2017,59
Observation of coupled vortex gyrations by 70-ps-time-and 20-nm-space-resolved full-field magnetic transmission soft x-ray microscopy,Hyunsung Jung; Young-Sang Yu; Ki-Suk Lee; Mi-Young Im; Peter Fischer; Lars Bocklage; Andreas Vogel; Markus Bolte; Guido Meier; Sang-Koog Kim,We employed time-and space-resolved full-field magnetic transmission soft x-raymicroscopy to observe vortex-core gyrations in a pair of dipolar-coupled vortex-statePermalloy (Ni 80 Fe 20) disks. The 70 ps temporal and 20 nm spatial resolution of themicroscope enabled us to simultaneously measure vortex gyrations in both disks and toresolve the phases and amplitudes of both vortex-core positions. We observed theircorrelation for a specific vortex-state configuration. This work provides a robust and directmethod of studying vortex gyrations in dipolar-coupled vortex oscillators.,Applied Physics Letters,2010,58
Logic operations based on magnetic-vortex-state networks,Hyunsung Jung; Youn-Seok Choi; Ki-Suk Lee; Dong-Soo Han; Young-Sang Yu; Mi-Young Im; Peter Fischer; Sang-Koog Kim,Logic operations based on coupled magnetic vortices were experimentally demonstrated.We utilized a simple chain structure consisting of three physically separated but dipolar-coupled vortex-state Permalloy disks as well as two electrodes for application of the logicalinputs. We directly monitored the vortex gyrations in the middle disk; as the logical output; bytime-resolved full-field soft X-ray microscopy measurements. By manipulating the relativepolarization configurations of both end disks; two different logic operations areprogrammable: the XOR operation for the parallel polarization and the OR operation for theantiparallel polarization. This work paves the way for new-type programmable logic gatesbased on the coupled vortex-gyration dynamics achievable in vortex-state networks. Theadvantages are as follows: a low-power input signal by means of resonant vortex …,ACS nano,2012,56
Time-resolved imaging of current-induced domain-wall oscillations,Lars Bocklage; Benjamin Krüger; René Eiselt; Markus Bolte; Peter Fischer; Guido Meier,Abstract Current-induced domain-wall dynamics is investigated via high-resolution soft x-raytransmission microscopy by a stroboscopic pump-and-probe measurement scheme at atemporal resolution of 200 ps. A 180 domain wall in a restoring potential of a permalloymicrostructure is displaced from its equilibrium position by nanosecond current pulsesleading to oscillations with velocities up to 325 m/s. The motion of the wall is described withan analytical model of a rigid domain wall in a nonharmonic potential allowing one todetermine the mass of the domain wall. We show that Oersted fields dominate the domain-wall dynamics in our geometry.,Physical Review B,2008,54
Soft X-ray microscopy to 25 nm with applications to biology and magnetic materials,G Denbeaux; E Anderson; W Chao; T Eimüller; L Johnson; M Köhler; C Larabell; M Legros; P Fischer; A Pearson; G Schütz; D Yager; D Attwood,Abstract We report both technical advances in soft X-ray microscopy (XRM) and applicationsfurthered by these advances. With new zone plate lenses we record test pattern featureswith good modulation to 25 nm and smaller. In combination with fast cryofixation; sub-cellular images show very fine detail previously seen only in electron microscopy; but seenhere in thick; hydrated; and unstained samples. The magnetic domain structure is studied athigh spatial resolution with X-ray magnetic circular dichroism (X-MCD) as a huge element-specific magnetic contrast mechanism; occurring eg at the L 2; 3 edges of transition metals. Itcan be used to distinguish between in-plane and out-of-plane contributions by tilting thesample. As XRM is a photon based technique; the magnetic images can be obtained inunlimited varying external magnetic fields. The images discussed have been obtained at …,Nuclear Instruments and Methods in Physics Research Section A: Accelerators; Spectrometers; Detectors and Associated Equipment,2001,52
Single-element objective lens for soft x-ray differential interference contrast microscopy,Chang Chang; Anne Sakdinawat; Peter Fischer; Erik Anderson; David Attwood,High-resolution soft x-ray differential interference contrast (DIC) imaging was demonstratedthrough the use of a single-element objective; the XOR pattern; in a full-field soft x-raymicroscope. DIC images of the magnetic domains in a 59 nm thick amorphous Gd_25Fe_75layer were obtained and magnetic phase contributions were directly imaged. With itselemental; chemical; and magnetic specificity; compatibility with various sampleenvironments; and ease of implementation; we expect this soft x-ray DIC technique tobecome one of the standard modes of operation for existing full-field soft x-ray microscopes.,Optics letters,2006,51
Magnetic Microstructure of Rolled‐Up Single‐Layer Ferromagnetic Nanomembranes,Robert Streubel; Jehyun Lee; Denys Makarov; Mi‐Young Im; Daniil Karnaushenko; Luyang Han; Rudolf Schäfer; Peter Fischer; Sang‐Koog Kim; Oliver G Schmidt,Inorganic nanomembranes are stretchable;[1] shapeable;[2] and transferrable to virtuallyany substrate.[3; 4] These properties build the core concept for new technologies thattransform otherwise rigid high-speed devices into their flexible counterparts. Whereassemiconductor nanomembranes have been implemented in a wealth of differentapplications;[1; 5] magnetic nanomembrane devices are much more scarce. We recentlydemonstrated flexible and stretchable magnetoelectronic devices based on thin-multilayergiant magnetoresistive (GMR) and spin-valve nanomembranes.[6–10] By proper strainengineering; magnetic nanomembranes can also be rolled up into microtubes.[11–14] In thisway; compact three-dimensional GMR sensors [15; 16] for magnetofluidic applications;[15]spin-wave filters;[13; 17] and remotely controlled microrobots [18] have been realized …,Advanced Materials,2014,48
Wave modes of collective vortex gyration in dipolar-coupled-dot-array magnonic crystals,Dong-Soo Han; Andreas Vogel; Hyunsung Jung; Ki-Suk Lee; Markus Weigand; Hermann Stoll; Gisela Schütz; Peter Fischer; Guido Meier; Sang-Koog Kim,Abstract Lattice vibration modes are collective excitations in periodic arrays of atoms ormolecules. These modes determine novel transport properties in solid crystals. Analogously;in periodical arrangements of magnetic vortex-state disks; collective vortex motions havebeen predicted. Here; we experimentally observe wave modes of collective vortex gyrationin one-dimensional (1D) periodic arrays of magnetic disks using time-resolved scanningtransmission x-ray microscopy. The observed modes are interpreted based onmicromagnetic simulation and numerical calculation of coupled Thiele equations.Dispersion of the modes is found to be strongly affected by both vortex polarization andchirality ordering; as revealed by the explicit analytical form of 1D infinite arrays. A thoroughunderstanding thereof is fundamental both for lattice vibrations and vortex dynamics …,Scientific reports,2013,48
Direct observation of field and temperature induced domain replication in dipolar coupled perpendicular anisotropy films,Thomas Hauet; CM Günther; B Pfau; ME Schabes; J-U Thiele; RL Rick; P Fischer; S Eisebitt; O Hellwig,Abstract Dipolar interactions in a soft/Pd/hard [CoNi/Pd] 30/Pd/[Co/Pd] 20 multilayer system;where a thick Pd layer between two ferromagnetic units prevents direct exchange coupling;are directly revealed by combining magnetometry and state-of-the-art layer resolving soft x-ray imaging techniques with sub-100-nm spatial resolution. The domains forming in the softlayer during external magnetic field reversal are found to match the domains previouslytrapped in the hard layer. The low Curie temperature of the soft layer allows varying itsintrinsic parameters via temperature and thus studying the competition with dipolar fieldsdue to the domains in the hard layer. Micromagnetic simulations elucidate the role of[CoNi/Pd] magnetization; exchange; and anisotropy in the duplication process. Finally;thermally driven domain replication in remanence during temperature cycling is …,Physical Review B,2008,48
