TRUESET: Faster Verifiable Set Computations.,Ahmed E Kosba; Dimitrios Papadopoulos; Charalampos Papamanthou; Mahmoud F Sayed; Elaine Shi; Nikos Triandopoulos,Abstract Verifiable computation (VC) enables thin clients to efficiently verify thecomputational results produced by a powerful server. Although VC was initially consideredto be mainly of theoretical interest; over the last two years impressive progress has beenmade on implementing VC. Specifically; we now have open-source implementations of VCsystems that handle all classes of computations expressed either as circuits or in the RAMmodel. Despite this very encouraging progress; new enhancements in the design andimplementation of VC protocols are required to achieve truly practical VC for real-worldapplications. In this work; we show that for functions that can be expressed efficiently interms of set operations (eg; a subset of SQL queries) VC can be enhanced to becomedrastically more practical: We present the design and prototype implementation of a novel …,USENIX Security Symposium,2014,35
NSEC5 from Elliptic Curves: Provably Preventing DNSSEC Zone Enumeration with Shorter Responses,Sharon Goldberg; Moni Naor; Dimitrios Papadopoulos; Leonid Reyzin,*,*,*,3
A Zero-Knowledge Version of vSQL,Yupeng Zhang; Daniel Genkin; Jonathan Katz; Dimitrios Papadopoulos; Charalampos Papamanthou,Abstract Zero-knowledge arguments of knowledge are powerful cryptographic primitives thatallow a computationally strong prover to convince a weaker verifier for the validity of a an NPstatement; without revealing anything about the corresponding witness (beyond itsexistence). All state-of-the art implementations of such arguments follow the quadraticarithmetic program paradigm. One notable exception to this is the vSQL system of [Zhang etal. IEEE S&P 2017] which takes an entirely different approach resulting is significantly lesscryptographic operations. However; it has the notable downside that is not zero-knowledge(ie; it does not hide the witness from the verifier); a property that has proven to be of utmostimportance in many application (eg; in cryptocurrencies). In this work; we present a zero-knowledge version of the argument upon which vSQL is based. Our construction utilizes …,*,2017,2
Can NSEC5 be practical for DNSSEC deployments?,Dimitrios Papadopoulos; Duane Wessels; Shumon Huque; Moni Naor; Jan Vcelák; Leonid Reyzin; Sharon Goldberg,ABSTRACT NSEC5 is a new proposal for providing authenticated denial of existence forDNSSEC; ie; for securely responding to DNS queries for names that do not exist in a zone.NSEC5 simultaneously guarantees two security properties:(1) privacy against zoneenumeration; and (2) integrity of zone contents; even if an adversary compromises theauthoritative nameserver responsible for responding to DNS queries for the zone. Bycontrast; today's DNSSEC protocol can guarantee one of these properties; but not both. Thispaper argues that NSEC5 not only improves DNS security; but is also practical andperformant. To that end; we present a new version of NSEC5 that uses elliptic curvecryptography to achieve small DNSSEC responses and fast queryprocessing times. We alsoextend widely-used DNS software to present the first implementations of NSEC5 for an …,IACR Cryptology ePrint Archive,2017,2
Secure Computation in Online Social Networks.,Foteini Baldimtsi; Dimitrios Papadopoulos; Stavros Papadopoulos; Alessandra Scafuro; Nikos Triandopoulos,Abstract Apart from their numerous other benefits; online social networks (OSNs) allow usersto jointly compute on each other's data (eg; profiles; geo-locations; medical records; etc.).Privacy issues naturally arise in this setting due to the sensitive nature of the exchangedinformation. Ideally; nothing about a user's data should be revealed to the OSN provider or“non-friend” users; and even her “friends” should only learn the output of a joint computation.In this work we propose the first security framework to capture these strong privacyguarantees for general-purpose computation. We also achieve two additional attractiveproperties: users do not need to be online while their friends compute on their data; and anyuser value uploaded at the server can be repeatedly used in multiple computations. Weformalize our framework in the setting of secure multi-party computation (MPC) and …,IACR Cryptology ePrint Archive,2016,1
Stretching NSEC3 to the Limit: Efficient Zone Enumeration Attacks on NSEC3 Variants,Sharon Goldberg; Moni Naor; Dimitrios Papadopoulos; Leonid Reyzin; Sachin Vasant; Asaf Ziv,Recently; in a paper proposing NSEC5; a denial of existence mechanism for DNSSEC [3]; wealso proved that security against (1) network attackers that tamper with DNS messages and(2) privacy against zone enumeration cannot be satisfied simultaneously; unless the DNSSECnameserver performs online public-key cryptographic operations for each denial- of-existenceresponse it sends. This explains why NSEC3 with precomputed responses is vulnerable to zoneenumeration; indeed; zone enumeration attacks have been demonstrated by Bernstein [2] andWander et al. [6]. More importantly; our results in [3] show that any hash-based denial of existencescheme that provides integrity against network attackers will still be vulnerable to zoneenumeration. Nevertheless; one might still be tempted to attempt to modify NSEC3 using onlyhash- based techniques; in order to make zone enumeration more difficult. We …,*,2015,1
vRAM: Faster verifiable RAM with program-independent preprocessing,Yupeng Zhang; Daniel Genkin; Jonathan Katz; Dimitrios Papadopoulos; Charalampos Papamanthou,Abstract—We study the problem of verifiable computation (VC) for RAM programs; where acomputationally weak verifier outsources the execution of a program to a powerful (butuntrusted) prover. Existing efficient implementations of VC protocols require an expensivepreprocessing phase that binds the parties to a single circuit.(While there are schemes thatavoid preprocessing entirely; their performance remains significantly worse thanconstructions with preprocessing.) Thus; a prover and verifier are forced to choose betweentwo approaches:(1) Allow verification of arbitrary RAM programs; at the expense ofefficiency; by preprocessing a universal circuit which can handle all possible instructionsduring each CPU cycle; or (2) Sacrifice expressiveness by preprocessing an efficient circuitwhich is tailored to the verification of a single specific RAM program. We present vRAM; a …,Proceeding of IEEE Symposium on Security and Privacy (S&P),2018,*
Server-Aided Secure Computation with Off-line Parties,Foteini Baldimtsi; Dimitrios Papadopoulos; Stavros Papadopoulos; Alessandra Scafuro; Nikos Triandopoulos,Abstract Online social networks (OSNs) allow users to jointly compute on each other's data(eg; profiles; geo-locations; etc.). Privacy issues naturally arise in this setting due to thesensitive nature of the exchanged information. Ideally; nothing about a user's data should berevealed to the OSN provider or non-friends; and even her friends should only learn theoutput of a specific computation. A natural approach for achieving these strong privacyguarantees is via secure multi-party computation (MPC). However; existing MPC-basedapproaches do not capture two key properties of OSN setting: Users does not need to beonline while their friends query the OSN server on their data; and; once uploaded; user'sdata can be repeatedly queried by the server on behalf of user's friends. In this work; wepresent two concrete MPC constructions that achieve these properties. The first is an …,European Symposium on Research in Computer Security,2017,*
Authenticated hierarchical set operations and applications,*,Methods and apparatus are provided for authenticated hierarchical set operations. A thirdparty server processes a query (possibly from a client) on data sets outsourced by a sourceof the data. The query comprises a hierarchical set operation between at least two of thedata sets. Authenticated Set Operation techniques for flat set operations can be iterativelyapplied for hierarchical set operations. In addition; bilinear accumulators are extended toprovide an extractable accumulation scheme comprising a primary bilinear accumulator anda secondary bilinear accumulator. The client receives (i) an encoding of an answer to thequery;(ii) a verification comprising; for example; one or more of subset witnesses;completeness witnesses; and/or accumulation values; and (iii) at least one argument for atleast one intersection operation; union operation and/or set difference operation.,*,2016,*
Function-specific schemes for verifiable computation,Dimitrios Papadopoulos,Abstract An integral component of modern computing is the ability to outsource data andcomputation to powerful remote servers; for instance; in the context of cloud computing orremote file storage. While participants can benefit from this interaction; a fundamentalsecurity issue that arises is that of integrity of computation: How can the end-user be certainthat the result of a computation over the outsourced data has not been tampered with (noteven by a compromised or adversarial server)?,*,2016,*
Searchable Encryption with Optimal Locality: Achieving Sublogarithmic Read Efficiency,Ioannis Demertzis; Dimitrios Papadopoulos; Charalampos Papamanthou,Abstract. We propose the first linear-space searchable encryption scheme with constantlocality and sublogarithmic read efficiency; strictly improving the previously best known readefficiency bound (Asharov et al.; STOC 2016) from Θ (log N log log N) to O (logγ N) where γ=2 3+ δ for any fixed δ> 0. Our scheme employs four different allocation algorithms for storingthe keyword lists; depending on the size of the list considered each time. For ourconstruction we develop (i) new probability bounds for the offline two-choice allocationproblem;(ii) and a new I/O-efficient oblivious RAM with O (n1/3) bandwidth overhead andzero failure probability; both of which can be of independent interest.,*,*,*
bernstein. eps,Dimitrios Papadopoulos,Die vorliegende Arbeit entstand während meiner Zeit als wissenschaftlicher Mitarbeiter amLehrstuhl für Computergestützte Analyse Technischer Systeme (CATS) der RWTH Aachenund im Anschluss am Lehr-und Forschungsgebiet Mathematik-Kontinuierliche Optimierungder RWTH Aachen. Mein erster und besonders herzlicher Dank gilt meinem Doktorvater;Herrn Professor Marek Behr; Ph. D. Seine Ideen und seine Unterstützung waren die Basisfür das Gelingen dieser Arbeit. Herrn Professor Dr. Michael Herty danke ich sehr herzlich fürdie fruchtbaren Diskussionen während der Entstehung dieser Arbeit und für die Übernahmedes Mitberichts. Allen Mitarbeitern des Lehrstuhls sei für die stets gute Arbeitsatmosphäregedankt. Mein besonderer Dank gilt Mehdi Behbahani; Eric Borrmann; Stefanie Elgeti; MikeNicolai; Markus Probst; Eva Schlauch und Cristoph Stolz für die schöne Zeit und für die …,*,*,*
Stateful Multi-Client Verifiable Computation,Christian Cachin; Esha Ghosh; Dimitrios Papadopoulos; Björn Tackmann,Abstract. This paper develops a cryptographic protocol for outsourcing arbitrary statefulcomputation among multiple clients to an untrusted server; while guaranteeing integrity ofthe data. The clients communicate only with the server and store only a short authenticator toensure that the server does not cheat. Our contribution is two-fold. First; we extend the recenthash&prove scheme of Fiore et al.(CCS 2016) to stateful computations that support arbitraryupdates by the untrusted server; in a way that can be verified by the clients. We use thisscheme to generically instantiate authenticated data types. Second; we describe a protocolfor multi-client verifiable computation based on an authenticated data type; and prove that itachieves a computational version of fork linearizability. This is the strongest guarantee thatcan be achieved in the setting where clients do not communicate directly; it ensures …,*,*,*
Measuring the Performance Impact of NSEC5,Sharon Goldberg; Moni Naor; Dimitrios Papadopoulos; Leonid Reyzin; Jan Vcelák,While DNSSEC provides authenticity and integrity to the domain name system (DNS); it alsointroduces a new vulnerability—zone enumeration [12; 5; 4; 19]—which allows an adversarythat asks a small number of targeted DNS queries (one per record in the zone) to discoverthe full contents of a zone. An enumerated zone can be used as “a source of probable e-mailaddresses for spam; or as a key for multiple WHOIS queries to reveal registrant data thatmany registries may have legal obligations to protect”[12](eg; EU data protection laws[13];[3; pg. 37]); or to create a toehold for more complex attacks. As the Internet of thingsbecomes increasingly ubiquitous; it also becomes increasingly important to keep the namesand addresses of these “things”(eg; thermostats; fridges; baby monitors) away from remoteattackers. NSEC5 was introduced in [8] as an extension to DNSSEC that solves the zone …,*,*,*
NSEC5 from Elliptic Curves,Sharon Goldberg; Moni Naor; Dimitrios Papadopoulos; Leonid Reyzin,While DNSSEC securely provides authenticity and integrity to the domain name system(DNS); it also creates a new security vulnerability called zone enumeration [27; 10; 7; 42]that allows an adversary that asks a small number of targeted DNS queries to learn the IPaddresses of all domain names in a zone. An enumerated zone can be used as “a source ofprobable e-mail addresses for spam; or as a key for multiple WHOIS queries to revealregistrant data that many registries may have legal obligations to protect”[27](eg; per EUdata protection laws; see [34];[2; pg. 37]); or to create a toehold for more complex attacks. Asthe Internet of things becomes increasingly ubiquitous; it also becomes increasinglyimportant to keep the names and addresses of these 'things'(eg; thermostats; fridges; babymonitors) away from remote attackers. In [20] we solved DNSSEC's zone enumeration …,*,*,*
