Vertebrate pigmentation: from underlying genes to adaptive function,Joanna K Hubbard; J Albert C Uy; Mark E Hauber; Hopi E Hoekstra; Rebecca J Safran,Animal coloration is a powerful model for studying the genetic mechanisms that determinephenotype. Genetic crosses of laboratory mice have provided extensive information aboutthe patterns of inheritance and pleiotropic effects of loci involved in pigmentation. Recently;the study of pigmentation genes and their functions has extended into wild populations;providing additional evidence that pigment gene function is largely conserved acrossdisparate vertebrate taxa and can influence adaptive coloration; often in predictable ways.These new and integrative studies; along with those using a genetic approach to understandcolor perception; raise some important questions. Most notably; how does selection shapeboth phenotypic and genetic variation; and how can we use this information to furtherunderstand the phenotypic diversity generated by evolutionary processes?,Trends in Genetics,2010,199
Are yolk androgens and carotenoids in barn swallow eggs related to parental quality?,Rebecca J Safran; Kevin M Pilz; Kevin J McGraw; Stephanie M Correa; Hubert Schwabl,Abstract Recently; evidence is mounting that females can adaptively engineer the quality oftheir offspring via the deposition of yolk compounds; including carotenoids and androgens.In this study; we simultaneously consider how both carotenoids and androgens in egg yolkrelate to parental quality in barn swallows (Hirundo rustica erythrogaster). First; we found norelationship between concentrations or amounts of yolk androgens and carotenoids. Yolkcarotenoids decreased with laying order; whereas we found no relationship between yolkandrogens and laying order. Second; we tested the Investment Hypothesis; which predictsthat high-quality females or females paired to high quality mates; allocate differentially moreof these yolk compounds to their offspring. For carotenoids; we mostly found evidence tocounter predictions of the Investment hypothesis:(1) Carotenoid concentrations varied …,Behavioral Ecology and Sociobiology,2008,68
European barn swallows use melanin pigments to color their feathers brown,Kevin J McGraw; Rebecca J Safran; Matthew R Evans; Kazumasa Wakamatsu,The barn swallow (Hirundo rustica) has figured largely in studies of sexual selection andexaggerated traits (Møller; 1994; 2001). In addition to the elongate tail streamers that confera series of reproductive advantages to individuals in European populations; these birdsdevelop a brown patch of feathers on the face and throat that has also been the focus ofseveral empirical tests of honest advertisement theory (eg Camplani et al.; 1999; Saino etal.; 1999). Researchers studying this trait have assumed that these feathers containcarotenoids; and several conclusions have been drawn about the physiological and sexualfunctions of carotenoids in relation to this color ornament (Camplani et al.; 1999; Saino et al.;1999). However; to date there is no biochemical evidence in the primary literaturesupporting the idea that brown feathers in barn swallows contain carotenoids. Here; we …,Behavioral Ecology,2004,55
The sexual signals of the East-Mediterranean barn swallow: a different swallow tale,Yoni Vortman; Arnon Lotem; Roi Dor; Irby J Lovette; Rebecca J Safran,Abstract The differential functions of distinct morphological traits as sexual signals amongclosely related populations are associated with a potential role of sexual selection inpopulation divergence and speciation. The cosmopolitan barn swallow Hirundo rusticacomplex consists of 6 subspecies; which differ substantially in tail streamer length andventral coloration. Two of these subspecies—the European and North American subspecies—have been extensively studied. Though they are closely related; differentially exaggeratedtraits in these two subspecies appear to be the result of stronger sexual selection on taillength in Europe and ventral color in North America. The nonmigratory East-Mediterraneansubspecies H. r. transitiva possesses both elongated long tail streamers and dark (brown-red) ventral coloration. We explored whether the expression of both traits is related to …,Behavioral Ecology,2011,45
Environmental harshness is positively correlated with intraspecific divergence in mammals and birds,Carlos A Botero; Roi Dor; Christy M McCain; Rebecca J Safran,Abstract Life on Earth is conspicuously more diverse in the tropics. Although this intriguinggeographical pattern has been linked to many biotic and abiotic factors; their relativeimportance and potential interactions are still poorly understood. The way in whichlatitudinal changes in ecological conditions influence evolutionary processes is particularlycontroversial; as there is evidence for both a positive and a negative latitudinal gradient inspeciation rates. Here; we identify and address some methodological issues (how patternsare analysed and how latitude is quantified) that could lead to such conflicting results. Toaddress these issues; we assemble a comprehensive data set of the environmentalcorrelates of latitude (including climate; net primary productivity and habitat heterogeneity)and combine it with biological; historical and molecular data to explore global patterns in …,Molecular ecology,2014,43
Phylogeny of the genus Hirundo and the Barn Swallow subspecies complex,Roi Dor; Rebecca J Safran; Frederick H Sheldon; David W Winkler; Irby J Lovette,Abstract The cosmopolitan Barn Swallow complex (Hirundo rustica and related Hirundospecies) provides a model system for studies of mate choice; sexual selection; and relatedtopics in behavioral ecology; but the phylogenetic and phylogeographic relationships withinthis group are not yet completely resolved. We reconstructed the phylogeny of all 14 speciesof Hirundo as well as all six Barn Swallow (H. rustica) subspecies using maximum likelihoodand Bayesian methods based on sequences of mitochondrial DNA from six protein-codinggenes (5217 bp) and one nuclear intron (1039 bp) for most taxa. We found four well-supported clades within the genus; but low support values for one node decreased ourability to determine the relationships among them. H. rustica is recently derived and has awide geographic distribution; and its six subspecies form a monophyletic group with …,Molecular phylogenetics and evolution,2010,42
Foraging site selection by nonbreeding White-faced Ibis,Rebecca J Safran; Mark A Colwell; Craig R Isola; Oriane E Taft,Abstract We examined foraging site selection by White-faced Ibis (Plegadis chihi) winteringin the Grasslands Ecological Area; which contains the second largest population ofnonbreeding ibis in California. We compared habitat variables at White-faced Ibis foragingsites with paired; random locations in managed wetlands of the Grasslands. We contrastedthe density and biomass of benthic macroinvertebrates between a subsample of birdforaging locations and random sites. Compared to random locations; the foraging locationsof White-faced Ibis were closer to emergent vegetation> 10 cm in height. Moreover; ibisselected foraging locations with significantly higher chironomid and lower oligochaetebiomasses relative to random sites. These findings suggest that ibis foraged close tovegetation where prey abundance may be greater and illustrate the importance of …,The Condor,2000,42
Co‐evolution of plumage characteristics and winter sociality in New and Old World sparrows,EA Tibbetts; RJ Safran,Abstract Understanding the evolution of phenotypic diversity; including the stunning array ofavian plumage characters; is a central goal of evolutionary biology. Here; we applied acomparative analysis to test factors associated with the origin and maintenance of blackchest and throat patches; which in some taxa are referred to as 'badges-of-status'.Specifically; we tested whether the evolution of black colour patches in Old and New Worldsparrows is consistent with a signalling function during the nonbreeding season or breedingseason. We found no positive associations between patch evolution and polygyny orsummer sociality. Instead; patch evolution is significantly associated with sociality during thenonbreeding season. Additionally; unlike typical plumage characteristics under sexualselection; these patches are visible throughout the nonbreeding season. Further; the …,Journal of Evolutionary Biology,2009,38
An experimental analysis of the heritability of variation in glucocorticoid concentrations in a wild avian population,Brittany R Jenkins; Maren N Vitousek; Joanna K Hubbard; Rebecca J Safran,Glucocorticoid hormones (CORT) are predicted to promote adaptation to variableenvironments; yet little is known about the potential for CORT secretion patterns to respondto selection in free-living populations. We assessed the heritable variation underlyingdifferences in hormonal phenotypes using a cross-foster experimental design with nestlingNorth American barn swallows (Hirundo rustica erythrogaster). Using a bivariate animalmodel; we partitioned variance in baseline and stress-induced CORT concentrations intotheir additive genetic and rearing environment components and estimated their geneticcorrelation. Both baseline and stress-induced CORT were heritable with heritability of 0.152and 0.343; respectively. We found that the variation in baseline CORT was best explainedby rearing environment; whereas the variation in stress-induced CORT was contributed to …,Proceedings of the Royal Society of London B: Biological Sciences,2014,37
Pterin‐based ornamental coloration predicts yolk antioxidant levels in female striped plateau lizards (Sceloporus virgatus),Stacey L Weiss; Eileen A Kennedy; Rebecca J Safran; Kevin J McGraw,Summary 1. Maternal investment in egg quality can have important consequences foroffspring fitness. For example; yolk antioxidants can affect embryonic development as wellas juvenile and adult phenotype. Thus; females may be selected to advertise their yolkantioxidant deposition to discriminatory males via ornamental signals; perhaps dependingon the reproductive costs associated with signal production.,Journal of Animal Ecology,2011,35
Variation in the temporal and spatial use of signals and its implications for multimodal communication,J Albert C Uy; Rebecca J Safran,Abstract The use of signals across multiple sensory modalities in communication is commonin animals and plants. Determining the information that each signal component conveys hasprovided unique insights into why multimodal signals evolve. However; how these complexsignals are assessed by receivers will also influence their evolution; a hypothesis that hasreceived less attention. Here; we explore multimodal signal assessment in a closely relatedcomplex of island flycatchers that have diverged in visual and acoustic signals. Using fieldexperiments that manipulated song and plumage colour; we tested if song; a possible long-range signal; is assessed before plumage colour in conspecific recognition. We find thatdivergent song and colour are assessed in sequence; and this pattern of sequentialassessment is likely mediated by habitat structure and the extent of differences in signal …,Behavioral Ecology and Sociobiology,2013,34
Multiple Sexual Signals and Behavioral Reproductive Isolation in a Diverging Population,Yoni Vortman; Arnon Lotem; Roi Dor; Irby Lovette; Rebecca J Safran,Abstract Sexual trait divergence has been shown to play a role in the evolution ofreproductive isolation. While variation in multiple sexual signals is common among closelyrelated species; little is known about the role of these different axes of phenotype variationwith respect to the evolution of behavioral reproductive isolation. Here we study a uniquepopulation of barn swallows (Hirundo rustica transitiva) that can be distinguishedphenotypically from its neighboring populations only on the basis of two features of maleplumage: exaggerated expression of both long tail streamers and dark ventral coloration.Using phenotype manipulation experiments; we conducted a paternity study to examinewhether both traits are sexually selected. Our results show that an exaggerated form of thelocal male phenotype (with both tail elongation and color darkening) is favored by local …,The American Naturalist,2013,31
Positive carotenoid balance correlates with greater reproductive performance in a wild bird,Rebecca J Safran; Kevin J McGraw; Matthew R Wilkins; Joanna K Hubbard; Julie Marling,Background Carotenoids can confer somatic and reproductive benefits; but most evidence isfrom captive animal experimentation or single time-point sampling. Another perhaps moreinformative means by which to assess physiological contributions to animal performance isby tracking an individual's ability to increase or sustain carotenoids or other health-relatedmolecules over time; as these are likely to be temporally variable. Methodology/PrincipalFindings In a field study of North American barn swallows (Hirundo rustica erythrogaster);we analyzed within-individual changes in carotenoid concentrations by repeatedly samplingthe carotenoid profiles of individuals over the course of the breeding season. Our resultsdemonstrate that carotenoid concentrations of individuals are temporally dynamic and thatseason-long balance of these molecules; rather than single time-point samples; predict …,PloS One,2010,31
Stress and success: Individual differences in the glucocorticoid stress response predict behavior and reproductive success under high predation risk,Maren N Vitousek; Brittany R Jenkins; Rebecca J Safran,Abstract A fundamental element of how vertebrates respond to stressors is by rapidlyelevating circulating glucocorticoid hormones. Individual variation in the magnitude of theglucocorticoid stress response has been linked with reproductive success and survival. Butwhile the adaptive value of this response is believed to stem in part from changes in theexpression of hormone-mediated behaviors; it is not clear how the behavior of stronger andweaker glucocorticoid responders differs during reproduction; or during exposure toecologically relevant stressors. Here we report that in a population of barn swallows(Hirundo rustica erythrogaster) experiencing high rates of nest predation; circulating levelsof corticosterone (the primary avian glucocorticoid) during exposure to a standardizedstressor predict aspects of subsequent behavior and fitness. Individuals that mounted a …,Hormones and behavior,2014,28
Geographic variation in sexual selection and implications for speciation in the Barn Swallow,Elizabeth SC Scordato; Rebecca J Safran,Barn Swallows (Hirundo rustica); a group of passerine birds comprised of six closely relatedsubspecies; are well known throughout their nearly worldwide distribution; in part becauseof their close association with human settlements. A tractable species for both individual-based and population-level studies; Barn Swallows are a prominent model system inevolutionary; ecological; and behavioral research. Here we review work on sexual selectionand population divergence in this species complex; focusing on comparative studies amongpopulations and subspecies. We summarize variation in the targets of mate choice and inthe information conveyed by sexually selected traits; and conclude that the benefitsadvertised by different traits may vary geographically. Finally; we consider the role of sexualselection as a driver of population divergence in this widespread and phenotypically …,*,2014,27
The Role of Ecology in Speciation by Sexual Selection: A Systematic Empirical Review,Elizabeth SC Scordato; Laurel B Symes; Tamra C Mendelson; Rebecca J Safran,Theoretical and empirical research indicates that sexual selection interacts with theecological context in which mate choice occurs; suggesting that sexual and natural selectionact together during the evolution of premating reproductive isolation. However; the relativeimportance of natural and sexual selection to speciation remains poorly understood. Here;we applied a recent conceptual framework for examining interactions between mate choicedivergence and ecological context to a review of the empirical literature on speciation bysexual selection. This framework defines two types of interactions between mate choice andecology: internal interactions; wherein natural and sexual selection jointly influencedivergence in sexual signal traits and preferences; and external interactions; wherein sexualselection alone acts on traits and preferences but ecological context shapes the …,Journal of Heredity,2014,27
Morphological and genetic predictors of parental care in the North American barn swallow Hirundo rustica erythrogaster,Sarah E Maguire; Rebecca J Safran,Abstract Sexually dimorphic traits often signal the fitness benefits an individual can provideto potential mates. In species with altricial young; these signals may also predict the level ofparental care an individual is expected to provide to shared offspring. In this study; we testedthree hypotheses that traditionally relate sexually dimorphic traits to parental care in twopopulations of North American barn swallows Hirundo rustica erythrogaster. The goodparent hypothesis predicts a positive relationship between an individual's ornamentationand his or her care whereas the differential allocation (more care given by individuals whenpaired to high quality mates) and reproductive compensation (more care given byindividuals when paired to low quality mates) hypotheses predict that an individual's level ofparental investment is relative to the quality of their mate. Male and female North …,Journal of Avian Biology,2010,27
Female plumage colour influences seasonal oxidative damage and testosterone profiles in a songbird,Maren N Vitousek; Rosemary A Stewart; Rebecca J Safran,Across diverse taxa; morphological traits mediate social interactions and mate selection.Physiological constraints on signal elaboration have been widely documented; but thepotential for trait display to influence physiological state remains poorly understood. Wetested for the presence of causal links between ventral plumage colour—a trait known tocovary with reproductive performance—and physiological measures in female NorthAmerican barn swallows; Hirundo rustica erythrogaster. Naturally darker swallows havelower levels of plasma oxidative damage. Females manipulated to display darker ventralplumage during reproduction rapidly decreased oxidative damage; adopting thephysiological state of naturally darker individuals. These results support the presence of asocial mechanism that links static plumage traits with the physiological state of their …,Biology letters,2013,26
Low variation in the polymorphic Clock gene Poly-Q region despite population genetic structure across barn swallow (Hirundo rustica) populations,Roi Dor; Irby J Lovette; Rebecca J Safran; Shawn M Billerman; Gernot H Huber; Yoni Vortman; Arnon Lotem; Andrew McGowan; Matthew R Evans; Caren B Cooper; David W Winkler,Recent studies of several species have reported a latitudinal cline in the circadian clockgene; Clock; which influences rhythms in both physiology and behavior. Latitudinal variationin this gene may hence reflect local adaptation to seasonal variation. In some birdpopulations; there is also an among-individual association between Clock poly-Q genotypeand clutch initiation date and incubation period. We examined Clock poly-Q allele variationin the Barn Swallow (Hirundo rustica); a species with a cosmopolitan geographic distributionand considerable variation in life-history traits that may be influenced by the circadian clock.We genotyped Barn Swallows from five populations (from three subspecies) and comparedvariation at the Clock locus to that at microsatellite loci and mitochondrial DNA (mtDNA). Wefound very low variation in the Clock poly-Q region; as> 96% of individuals were …,PLoS One,2011,26
Population genetics and morphological comparisons of migratory European (Hirundo rustica rustica) and sedentary East-Mediterranean (Hirundo rustica transitiva)...,Roi Dor; Rebecca J Safran; Yoni Vortman; Arnon Lotem; Andrew McGowan; Matthew R Evans; Irby J Lovette,Abstract Speciation processes are largely determined by the relative strength of divergentselection versus the magnitude of gene flow. The barn swallow (Hirundo rustica) has abroad geographic distribution that encompasses substantial geographic variation inmorphology and behavior. The European (H. r. rustica) and East-Mediterranean (H. r.transitiva) subspecies are closely related; despite differing in morphological and life-historytraits. To explore patterns of genetic differentiation and gene flow; we comparedmorphological and genetic variation among the nonmigratory breeding population of H. r.transitiva from Israel and the migratory population of H. r. rustica that passes through Israeland compared it with the genetic differentiation between H. r. transitiva from Israel and abreeding population of H. r. rustica from the United Kingdom that uses a different …,Journal of Heredity,2011,26
Age before beauty? Relationships between fertilization success and age-dependent ornaments in barn swallows,Jan T Lifjeld; Oddmund Kleven; Frode Jacobsen; Kevin J McGraw; Rebecca J Safran; Raleigh J Robertson,Abstract When males become more ornamented and reproduce more successfully as theygrow older; phenotypic correlations between ornament exaggeration and reproductivesuccess can be confounded with age effects in cross-sectional studies; and thus sayrelatively little about sexual selection on these traits. This is exemplified here in a correlativestudy of male fertilization success in a large colony of American barn swallows (Hirundorustica erythrogaster). Previous studies of this species have indicated that two sexuallydimorphic traits; tail length and ventral plumage coloration; are positively correlated withmale fertilization success; and a mechanism of sexual selection by female choice has beeninvoked. However; these studies did not control for potential age-related variation in traitexpression. Here; we show that male fertilization success was positively correlated with …,Behavioral ecology and sociobiology,2011,26
Genomic approaches to understanding population divergence and speciation in birds,David PL Toews; Leonardo Campagna; Scott A Taylor; Christopher N Balakrishnan; Daniel T Baldassarre; Petra E Deane-Coe; Michael G Harvey; Daniel M Hooper; Darren E Irwin; Caroline D Judy; Nicholas A Mason; John E McCormack; Kevin G McCracken; Carl H Oliveros; Rebecca J Safran; Elizabeth SC Scordato; Katherine Faust Stryjewski; Anna Tigano; J Albert C Uy; Benjamin M Winger,ABSTRACT The widespread application of high-throughput sequencing in studyingevolutionary processes and patterns of diversification has led to many important discoveries.However; the barriers to utilizing these technologies and interpreting the resulting data canbe daunting for first-time users. We provide an overview and a brief primer of relevantmethods (eg; whole-genome sequencing; reduced-representation sequencing; sequence-capture methods; and RNA sequencing); as well as important steps in the analysis pipelines(eg; loci clustering; variant calling; whole-genome and transcriptome assembly). We alsoreview a number of applications in which researchers have used these technologies toaddress questions related to avian systems. We highlight how genomic tools are advancingresearch by discussing their contributions to 3 important facets of avian evolutionary …,The Auk,2015,24
Group breeding in vertebrates: linking individual-and population-level approaches,Rebecca J Safran; Veronica AJ Doerr; Paul W Sherman; Erik D Doerr; Samuel M Flaxman; David W Winkler,Background: Why individuals breed in groups and why patterns of group breeding are sovariable are long-standing questions in evolutionary ecology. Researchers have tended tostudy either population-level patterns such as breeding group size or else the decisions thatindividuals make when joining groups; but have rarely explicitly linked the two; usingknowledge of individual decisions to predict larger-scale population patterns. Aim: Wedescribe an integrated method designed to categorize and explain a diversity of vertebratesocial systems; with a focus on colonial breeding. This approach places group breedingwithin an evolutionary context by first elucidating the process of group formation; identifyingdecision rules that individuals use when joining groups; and verifying their fitnessconsequences; then using these individual-level processes to predict and understand …,Evolutionary Ecology Research,2007,24
A review of the status of the White-faced Ibis in winter in California,WD Shuford; CM Hickey; RJ Safran; GW Page,*,Western Birds,1996,24
Nest-site selection in the barn swallow; Hirundo rustica: What predicts seasonal reproductive success?,Rebecca J Safran,Despite hundreds of studies; we know very little about the causes and fitness-relatedconsequences of nest-site selection. For example; it is not typically known whether the rarelyreported fitness consequences of site selection are the result of nest; individual; or nest-sitevariables or combinations of these factors. Reuse of previously constructed nest sites is aprevalent behavior in many animals and offers the opportunity to experimentally tease apartwhether seasonal reproductive success is a function of nest; individual; or nest-sitecharacteristics. I used observational and experimental data to test three hypotheses relatedto these factors in association with barn swallow (Hirundo rustica L.; 1758) nest reuse. Whileboth nest and individual characteristics explain variation in seasonal reproductive success;nest location per se is not an important factor defining the outcome of nest-site selection …,Canadian journal of zoology,2006,23
Signaling stress? An analysis of phaeomelanin-based plumage color and individual corticosterone levels at two temporal scales in North American barn swallows; H...,Brittany R Jenkins; Maren N Vitousek; Rebecca J Safran,Abstract Sexually selected traits confer greater reproductive benefits to individuals with moreelaborate forms of the signal. However; whether these signals convey reliable informationabout the physiology underlying trait development remains unknown in many species. Thesteroid hormone corticosterone (CORT) mediates important physiological and behavioralprocesses during the vertebrate stress response; and CORT secretion itself can bemodulated by melanocortins. Thus; sexually selected melanin-based plumage colorationcould function as an honest signal of an individual's ability to respond to stressors. Thishypothesis was tested in North American barn swallows; Hirundo rustica erythrogaster;where males with darker ventral plumage color exhibit higher phaeomelanin content andare more successful at reproduction. Because reproductive behavior occurs months after …,Hormones and behavior,2013,22
