A graphical query language supporting recursion,Isabel F Cruz; Alberto O Mendelzon; Peter T Wood,Abstract We define a language G for querying data represented as a labeled graph G. Byconsidering G as a relation; this graphical query language can be viewed as a relationalquery language; and its expressive power can be compared to that of other relational querylanguages. We do not propose G as an alternative to general purpose relational querylanguages; but rather as a complementary language in which recursive queries are simpleto formulate. The user is aided in this formulation by means of a graphical interface. Theprovision of regular expressions in G allows recursive queries more general than transitiveclosure to be posed; although the language is not as powerful as those based on function-free Horn clauses. However; we hope to be able to exploit well-known graph algorithms inevaluating recursive queries efficiently; a topic which has received widespread attention …,ACM SIGMOD Record,1987,284
Integrating and exchanging XML data using ontologies,Huiyong Xiao; Isabel F Cruz,Abstract While providing a uniform syntax and a semistructured data model; XML does notexpress semantics but only structure such as nesting information. In this paper; we considerthe problem of data integration and interoperation of heterogeneous XML sources and usean ontology-based framework to address this problem at a semantic level. Ontologies areextensively used for domain knowledge representation; by virtue of their conceptualizationof the domain; which carries explicit semantics. In our approach; the global ontology isexpressed in RDF Schema (RDFS) and constructed using the global-as-view approach bymerging individual local ontologies; which represent XML source schemas. We provide aformal model for the mappings between XML schemas and local RDFS ontologies andthose between local ontologies and the global RDFS ontology. We consider two cases of …,*,2006,45
A visual approach to multimedia querying and presentation,Isabel F Cruz; Wendy T Lucas,Abstract Multimedia data has become readily available from a variety of resources; such asthe Web; to users (ranging from naive to sophisticated) who need to select and to presentthe data in a way that is meaningful to their particular applications. Delaunay”” is ourframework for querying and presenting multimedia data stored in distributed datarepositories; including the Web. It is unique in combining user-defined layouts with ad hocquerying capabilities; thereby enabling users to tailor; in a simple way; the layout of virtualdocuments composed of retrieved mdimedia objects. In this paper; we focus on the object-oriented data models; on the declarative query languages; and on how the results of thequeries to disparate resources are integrated to form coherent user-defined documents.,Proceedings of the fifth ACM international conference on Multimedia,1997,42
A new model for algorithm animation over the WWW,James E Baker; Isabel F Cruz; Giuseppe Liotta; Roberto Tamassia,Algorithm animation helps the end user to understand algorithms by visually following theirstep-by-step execution; a complex task if relying on the textual program alone. There is astrong educational component associated with algorithm animation: it can be used bystudents individually or in class demonstrations[Stasko et al. 1993; van Dam 1984].Algorithm animation is also a powerful software tool that can assist the algorithm designer incode debugging and in demonstrating a complex algorithm to a larger audience than merelyspecialists in the particular area of the algorithm. We propose a new model; called Mocha;for providing algorithm animation over the World-Wide Web. Mocha is a distributed modelwith a client-server architecture that optimally partitions the software components of a typicalalgorithm animation system and leverages the power of the Java language; an emerging …,ACM Computing Surveys (CSUR),1995,42
AgreementMakerLight results for OAEI 2013.,Daniel Faria; Catia Pesquita; Emanuel Santos; Isabel F Cruz; Francisco M Couto,Abstract. AgreementMakerLight (AML) is an automated ontology matching framework basedon element-level matching and the use of external resources as background knowledge.This paper describes the configuration of AML for the OAEI 2013 competition and discussesits results. Being a newly developed and still incomplete system; our focus in this year'sOAEI were the anatomy and large biomedical ontologies tracks; wherein backgroundknowledge plays a critical role. Nevertheless; AML was fairly successful in other tracks aswell; showing that in many ontology matching tasks; a lightweight approach based solely onelement-level matching can compete with more complex approaches.,OM,2013,41
A data model for trip planning in multimodal transportation systems,Joel Booth; Prasad Sistla; Ouri Wolfson; Isabel F Cruz,Abstract This paper introduces the problem of modeling urban transportation systems in adatabase where certain aspects of the data are probabilistic in nature. The transportationnetwork is composed of multiple modes (eg; automobile; bus; train; pedestrian) that the usercan alternate between. A trip--a path between an origin and destination subject to someconstraints--is the central concept. How these trips and the network can be represented asboth a graph and relational model; as well as the requirements for querying are the maincontributions of this paper. A set of operators are defined to work over these transportationconcepts and they are integrated within a SQL-like syntax to express queries over theuncertain transportation network. Additionally; the paper shows how this model can beintegrated within other moving objects and spatio-temporal data models; and how these …,Proceedings of the 12th International Conference on Extending Database Technology: Advances in Database Technology,2009,41
Semantic data integration in hierarchical domains,Isabel F Cruz; Afsheen Rajendran,A major challenge in building the Semantic Web is resolving differences amongheterogeneous databases. This article describes one approach for handling semantic dataintegration problems in hierarchical domains. It also describes a declarative approach forspecifying pairwise mappings between a centrally maintained ontology and each local datarepository maintained by an autonomous agency. In this context; it outlines a method forspecifying the mappings' semantics and encoding them to resolve heterogeneities. Itfocuses on XML-based applications in which entities in the centrally maintained ontologyare hierarchically related to those in the local data repositories.,IEEE Intelligent Systems,2003,41
Measuring structural similarity among web documents: preliminary results,Isabel F Cruz; Slava Borisov; Michael A Marks; Timothy R Webb,Abstract When we describe a Web page informally; we often use phrases like “it looks like anewspaper site”;“there are several unordered lists” or “it's just a collection of links”.Unfortunately; no Web search or classification tools provide the capability to retrieveinformation using such informal descriptions that are based on the appearance; ie; structure;of the Web page. In this paper; we take a look at the concept of structurally similar Webpages. We note that some structural properties can be identified with semantic properties ofthe data and provide measures for comparison between HTML documents.,*,1998,41
Ontology driven data integration in heterogeneous networks,Isabel F Cruz; Huiyong Xiao,Abstract We propose a layered framework for the integration of syntactically; schematically;and semantically heterogeneous networked data sources. Their heterogeneity stems fromdifferent models (eg; relational; XML; or RDF); different schemas within the same model; anddifferent terms associated with the same meaning. We use a semantic based approach thatuses a global ontology to mediate among the schemas of the data sources. In ourframework; a query is expressed in terms of one of the data sources or of the global ontologyand is then translated into subqueries on the other data sources using mappings based on acommon vocabulary. Metadata representation; global conceptualization; declarativemediation; mapping support; and query processing are addressed in detail in our discussionof a case study.,*,2009,38
Interactive user feedback in ontology matching using signature vectors,Isabel F Cruz; Cosmin Stroe; Matteo Palmonari,When compared to a gold standard; the set of mappings that are generated by an automaticontology matching process is neither complete nor are the individual mappings alwayscorrect. However; given the explosion in the number; size; and complexity of availableontologies; domain experts no longer have the capability to create ontology mappingswithout considerable effort. We present a solution to this problem that consists of making theontology matching process interactive so as to incorporate user feedback in the loop. Ourapproach clusters mappings to identify where user feedback will be most beneficial inreducing the number of user interactions and system iterations. This feedback process hasbeen implemented in the Agreement Maker system and is supported by visual analytictechniques that help users to better understand the matching process. Experimental …,Data Engineering (ICDE); 2012 IEEE 28th International Conference on,2012,37
Using agreementmaker to align ontologies for oaei 2010,Isabel F Cruz; Cosmin Stroe; Michele Caci; Federico Caimi; Matteo Palmonari; Flavio Palandri Antonelli; Ulas C Keles,Abstract. The AgreementMaker system is unique in that it features a powerful user interface;a flexible and extensible architecture; an integrated evaluation engine that relies on inherentquality measures; and semi-automatic and automatic methods. This paper describes theparticipation of AgreementMaker in the 2010 OAEI competition in three tracks: benchmarks;anatomy; and conference. After its successful participation in 2009; where it ranked first inthe conference track; second in the anatomy track; and obtained good results in thebenchmarks track; the goal in this year's participation is to increase the values of precision;recall; and F-measure for each of those tracks.,Ontology Matching,2010,36
Using a layered approach for interoperability on the semantic web,Isabel F Cruz; Huiyong Xiao,In this paper; we further develop a proposed layered approach for the semantic Web. Ourobjective is to build a specific solution to the problem of providing data interoperabilityamong different databases; so as to allow for schematic data integration. In particular; wesolve the problem of translating queries on a database schema into queries on anotherdatabase schema; using their relationship with an ontology. We use RDF schema to modelthe databases and the ontology. A common vocabulary expresses the mappings betweeneach database schema and the ontology.,Web Information Systems Engineering; 2003. WISE 2003. Proceedings of the Fourth International Conference on,2003,35
Delaunay: a database visualization system,Isabel F Cruz; Michael Averbuch; Wendy T Lucas; Melissa Radzyminski; Kirby Zhang,Abstract Visual query systems have traditionally supported a set of pre-defined visualdisplays. We describe the Delaunay system; which supports visualizations of object-orienteddatabases specified by the user with a visual constraint-based query language. Thehighlights of our approach are the expressiveness of the visual query language; theefficiency of the query engine; and the overall flexibility and extensibility of the framework.The user interface is implemented using Java and is available on the WWW.,ACM SIGMOD Record,1997,34
Expressing constraints for data display specification: A visual approach,Isabel F Cruz,Abstract In this paper we introduce a constraint-based language that has a visual syntax;and allows for the declarative specification of the display of data. Other features of theproposed language include:(1) simplicity and genericity of the basic constructs;(2) ability tospecify a variety of displays (graphs; bar charts; pie charts; etc.);(3) compatibility with theobject-oriented framework of the database language doodLE. We provide the syntax and thesemantics of the language; and examples of applications that demonstrate theexpressiveness of our language.,Principles and Practice of Constraint Programming,1995,32
Drawing graphs by example efficiently: Trees and planar acyclic digraphs,Isabel F Cruz; Ashim Garg,Abstract Constraint-based graph drawing systems provide expressive power and flexibility.Previously proposed approaches make use of general constraint solvers; which areinefficient; and of textual specification of constraints; which can be long and difficult tounderstand. In this paper we propose the use of a constraint-based visual language forconstructing planar drawings of trees; series-parallel graphs; and acyclic digraphs in lineartime. A graph drawing system based on our approach can therefore provide the power ofconstraint-based graph drawing; the simplicity of visual specifications; and thecomputational efficiency that is typical of the algorithmic-based approaches.,International Symposium on Graph Drawing,1994,32
Structure-based methods to enhance geospatial ontology alignment,William Sunna; Isabel F Cruz,Abstract In geospatial applications with heterogeneous classification schemes that describerelated domains; an ontology-driven approach to data sharing and interoperability relies onthe alignment of concepts across different ontologies. To enable scalability both in the sizeand the number of the ontologies involved; the alignment method should be automatic. Inthis paper; we propose two fully automatic alignment methods that use the structure of theontology graphs for contextual information; thus providing the matching process with moresemantics. We have tested our methods on a set of geospatial ontologies pertaining to thedomain of wetlands and on four sets that belong to an ontology repository that is becomingthe standard for testing ontology alignment techniques. We have compared the effectivenessand efficiency of the proposed methods against two previous approaches. The …,International Conference on GeoSpatial Sematics,2007,31
The Mocha algorithm animation system,James E Baker; Isabel F Cruz; Giuseppe Liotta; Roberto Tamassia,Abstract We describe the implementation of a new system; called Mocha; for providingalgorithm animation over the World Wide Web. Mocha is a distributed system with a client-server architecture that optimally partitions the software components of a typical algorithmanimation system; and leverages the power of the Java language; an emerging standard fordistributing interactive platform-independent applications across the Web.,Proceedings of the workshop on Advanced visual interfaces,1996,31
Ontology-based query rewriting in peer-to-peer networks,Huiyong Xiao; Isabel F Cruz,Abstract—We describe an ontology-based approach to the problem of data interoperability;specifically focusing on the issue of query processing in a peer-to-peer (P2P)heterogeneous setting. In particular; we discuss the mechanisms for metadatarepresentation; P2P ontology mapping; and query answering. Our contributions includePML; a P2P mapping language; RDFMS; a meta-ontology for mapping representation; and aquery rewriting algorithm that considers integrity constraints specified on local data sources.,In Proceedings of the 2nd International Conference on Knowledge Engineering and Decision Support,2006,27
Animating geometric algorithms over the Web,James E Baker; Isabel F Cruz; Giuseppe Liotta; Roberto Tamassia,Abstract Extensive work has been done on the animation of geometric algorithms; asconfirmed by the videos and demonstrations presented at the A (} M ComputationalGeometry Symposium. Mocha is a new distributed model for algorithm animation over theWorld Wide Web with a client-server architecture that optimally partitions the softwarecomponents of a typical algorithm animation system; and leverages the power of the; Javalanguage; an emerging standard for distributing interactive platform-independentapphcations across the Web. Algorithm Animation on the Internet Following the event-drivenapproach advocated by Brown and the conceptual framework pioneered by Stasko we viewalgorithm animation as an event driven system of communicating processes: the algorithmaugmented with annotations of interesting events; called algorithm operations; ancl the …,Proceedings of the twelfth annual symposium on Computational geometry,1996,27
Ranking continuous nearest neighbors for uncertain trajectories,Goce Trajcevski; Roberto Tamassia; Isabel F Cruz; Peter Scheuermann; David Hartglass; Christopher Zamierowski,Abstract This article addresses the problem of performing Nearest Neighbor (NN) queries onuncertain trajectories. The answer to an NN query for certain trajectories is timeparameterized due to the continuous nature of the motion. As a consequence of uncertainty;there may be several objects that have a non-zero probability of being a nearest neighbor toa given querying object; and the continuous nature further complicates the semantics of theanswer. We capture the impact that the uncertainty of the trajectories has on the semantics ofthe answer to continuous NN queries and we propose a tree structure for representing theanswers; along with efficient algorithms to compute them. We also address the issue ofperforming NN queries when the motion of the objects is restricted to road networks. Finally;we formally define and show how to efficiently execute several variants of continuous NN …,The VLDB Journal—The International Journal on Very Large Data Bases,2011,26
An ontology-based framework for semantic interoperability between XML sources,Isabel F Cruz; Huiyong Xiao; Feihong Hsu,*,Eighth International Database Engineering & Applications Symposium (IDEAS 2004),2004,26
A constraint and attribute based security framework for dynamic role assignment in collaborative environments,Isabel F Cruz; Rigel Gjomemo; Benjamin Lin; Mirko Orsini,Abstract We investigate a security framework for collaborative applications that relies on therole-based access control (RBAC) model. In our framework; roles are pre-defined andorganized in a hierarchy (partial order). However; we assume that users are not previouslyidentified; therefore the actions that they can perform are dynamically determined based ontheir own attribute values and on the attribute values associated with the resources. Thosevalues can vary over time (eg; the user's location or whether the resource is open for visiting)thus enabling or disabling a user's ability to perform an action on a particular resource. Inour framework; constraint values form partial orders and determine the association of actionswith the resources and of users with roles. We have implemented our framework byexploring the capabilities of semantic web technologies; and in particular of OWL 1.1; to …,International Conference on Collaborative Computing: Networking; Applications and Worksharing,2008,22
