Consistent query answers in inconsistent databases,Marcelo Arenas; Leopoldo Bertossi; Jan Chomicki,Abstract In this paper we consider the problem of the logical characterization of the notion ofconsistent answer in a relational database that may violate given integrity constraints. Thisnotion is captured in terms of the possible repaired versions of the database. A rnethod forcomputing consistent answers is given and its soundness and completeness (for someclasses of constraints and queries) proved. The method is based on an iterative procedurewhose termination for several classes of constraints is proved as well.,Proceedings of the eighteenth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,1999,824
A direct mapping of relational data to RDF. W3C Recommendation 27 September 2012,Marcelo Arenas; Alexandre Bertails; Eric Prud’hommeaux; Juan Sequeda,Search all the public and authenticated articles in CiteULike. Include unauthenticated resultstoo (may include "spam") Enter a search phrase. You can also specify a CiteULike article id(123456);. a DOI (doi:10.1234/12345678). or a PubMed ID (pmid:12345678). Click Help foradvanced usage. CiteULike; Group: Mostrare; Search; Register; Log in …,*,2012,112
Querying semantic web data with SPARQL,Marcelo Arenas; Jorge Pérez,Abstract The Semantic Web is the initiative of the W3C to make information on the Webreadable not only by humans but also by machines. RDF is the data model for SemanticWeb data; and SPARQL is the standard query language for this data model. In the last tenyears; we have witnessed a constant growth in the amount of RDF data available on theWeb; which have motivated the theoretical study of some fundamental aspects of SPARQLand the development of efficient mechanisms for implementing this query language. Someof the distinctive features of RDF have made the study and implementation of SPARQLchallenging. First; as opposed to usual database applications; the semantics of RDF is openworld; making RDF databases inherently incomplete. Thus; one usually obtains partialanswers when querying RDF with SPARQL; and the possibility of adding optional …,Proceedings of the thirtieth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,2011,102
Counting beyond a Yottabyte; or how SPARQL 1.1 property paths will prevent adoption of the standard,Marcelo Arenas; Sebastián Conca; Jorge Pérez,Abstract SPARQL-the standard query language for querying RDF-provides only limitednavigational functionalities; although these features are of fundamental importance for graphdata formats such as RDF. This has led the W3C to include the property path feature in theupcoming version of the standard; SPARQL 1.1. We tested several implementations ofSPARQL 1.1 handling property path queries; and we observed that their evaluation methodsfor this class of queries have a poor performance even in some very simple scenarios. Toformally explain this fact; we conduct a theoretical study of the computational complexity ofproperty paths evaluation. Our results imply that the poor performance of the testedimplementations is not a problem of these particular systems; but of the specification itself. Infact; we show that any implementation that adheres to the SPARQL 1.1 specification (as …,Proceedings of the 21st international conference on World Wide Web,2012,97
Relational and XML data exchange,Marcelo Arenas; Pablo Barcelo; Leonid Libkin; Filip Murlak,Abstract Data exchange is the problem of finding an instance of a target schema; given aninstance of a source schema and a specification of the relationship between the source andthe target. Such a target instance should correctly represent information from the sourceinstance under the constraints imposed by the target schema; and it should allow one toevaluate queries on the target instance in a way that is semantically consistent with thesource data. Data exchange is an old problem that re-emerged as an active research topicrecently; due to the increased need for exchange of data in various formats; often in e-business applications. In this lecture; we give an overview of the basic concepts of dataexchange in both relational and XML contexts. We give examples of data exchangeproblems; and we introduce the main tasks that need to addressed. We then discuss …,Synthesis Lectures on Data Management,2010,95
Efficient incremental validation of XML documents,Denilson Barbosa; Alberto O Mendelzon; Leonid Libkin; Laurent Mignet; Marcelo Arenas,We discuss incremental validation of XML documents with respect to DTDs and XMLschema definitions. We consider insertions and deletions of subtrees; as opposed to leafnodes only; and we also consider the validation of ID and IDREF attributes. For arbitraryschemas; we give a worst-case n log n time and linear space algorithm; and show that itoften is far superior to revalidation from scratch. We present two classes of schemas; whichcapture most real-life DTDs; and show that they admit a logarithmic time incrementalvalidation algorithm that; in many cases; requires only constant auxiliary space. We thendiscuss an implementation of these algorithms that is independent of; and can becustomized for different storage mechanisms for XML. Finally; we present extensiveexperimental results showing that our approach is highly efficient and scalable.,Data Engineering; 2004. Proceedings. 20th International Conference on,2004,95
Specifying and querying database repairs using logic programs with exceptions,Marcelo Arenas; Leopoldo Bertossi; Jan Chomicki,Abstract Databases may be inconsistent with respect to a given set of integrity constraints.Nevertheless; most of the data may be consistent. In this paper we show how to specifyconsistent data and how to query a relational database in such a way that only consistentdata is retrieved. The specification and queries are based on disjunctive extended logicprograms with positive and negative exceptions that generalize those previously introducedby Kowalski and Sadri.,*,2001,95
On verifying consistency of XML specifications,Marcelo Arenas; Wenfei Fan; Leonid Libkin,Abstract XML specifications often consist of a type definition (typically; a DTD) and a set ofintegrity constraints. It has been shown previously that such specifications can beinconsistent; and thus it is often desirable to check consistency at compile-time. It is knownthat for general keys and foreign keys; and DTDs; the consistency problem is undecidable;however; it becomes NP-complete when all keys are one-attribute (unary); and tractable; ifno foreign keys are used. In this paper; we consider a variety of constraints for XML data;and study the complexity of the consistency problem. Our main conclusion is that in thepresence of foreign keys; compile-time verification of consistency is usually infeasible. Welook at two types of constraints: absolute (that hold in the entire document); and relative (thatonly hold in a part of the document). For absolute constraints; we extend earlier …,Proceedings of the twenty-first ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,2002,94
On directly mapping relational databases to RDF and OWL,Juan F Sequeda; Marcelo Arenas; Daniel P Miranker,Abstract Mapping relational databases to RDF is a fundamental problem for thedevelopment of the Semantic Web. We present a solution; inspired by draft methods definedby the W3C where relational databases are directly mapped to RDF and OWL. Given arelational database schema and its integrity constraints; this direct mapping produces anOWL ontology; which; provides the basis for generating RDF instances. The semantics ofthis mapping is defined using Datalog. Two fundamental properties are informationpreservation and query preservation. We prove that our mapping satisfies both conditions;even for relational databases that contain null values. We also consider two desirableproperties: monotonicity and semantics preservation. We prove that our mapping ismonotone and also prove that no monotone mapping; including ours; is semantic …,Proceedings of the 21st international conference on World Wide Web,2012,86
Locally consistent transformations and query answering in data exchange,Marcelo Arenas; Pablo Barceló; Ronald Fagin; Leonid Libkin,Abstract Data exchange is the problem of taking data structured under a source schema andcreating an instance of a target schema. Given a source instance; there may be manysolutions-target instances that satisfy the constraints of the data exchange problem. Previouswork has identified two classes of desirable solutions: canonical universal solutions; andtheir cores. Query answering in data exchange amounts to rewriting a query over the targetschema to another query that; over a materialized target instance; gives the result that issemantically consistent with the source. A basic question is then whether there exists atransformation sending a source instance into a solution over which target queries can beanswered. We show that the answer is negative for many data exchange transformationsthat have structural properties similar to canonical universal solutions and cores. Namely …,Proceedings of the twenty-third ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,2004,82
The recovery of a schema mapping: bringing exchanged data back,Marcelo Arenas; Jorge Pérez; Cristian Riveros,Abstract A schema mapping is a specification that describes how data from a source schemais to be mapped to a target schema. Once the data has been transferred from the source tothe target; a natural question is whether one can undo the process and recover the initialdata; or at least part of it. In fact; it would be desirable to find a reverse schema mapping fromtarget to source that specifies how to bring the exchanged data back. In this article; weintroduce the notion of a recovery of a schema mapping: it is a reverse mapping; M′ for amapping M; that recovers sound data with respect to M. We further introduce an orderrelation on recoveries. This allows us to choose mappings that recover the maximumamount of sound information. We call such mappings maximum recoveries. We studymaximum recoveries in detail; providing a necessary and sufficient condition for their …,ACM Transactions on Database Systems (TODS),2009,81
First-order and temporal logics for nested words,Rajeev Alur; Marcelo Arenas; Pablo Barcelo; Kousha Etessami; Neil Immerman; Leonid Libkin,Nested words are a structured model of execution paths in procedural programs; reflectingtheir call and return nesting structure. Finite nested words also capture the structure of parsetrees and other tree-structured data; such as XML. We provide new temporal logics for finiteand infinite nested words; which are natural extensions of LTL; and prove that these logicsare first-order expressively-complete. One of them is based on adding a" within" modality;evaluating a formula on a subword; to a logic CaRet previously studied in the context ofverifying properties of recursive state machines. The other logic is based on the notion of asummary path that combines the linear and nesting structures. For that logic; both model-checking and satisfiability are shown to be EXPTIME-complete. Finally; we prove that first-order logic over nested words has the three-variable property; and we present a temporal …,Logic in Computer Science; 2007. LICS 2007. 22nd Annual IEEE Symposium on,2007,80
Semantics and optimization of the SPARQL 1.1 federation extension,Carlos Buil-Aranda; Marcelo Arenas; Oscar Corcho,Abstract The W3C SPARQL working group is defining the new SPARQL 1.1 query language.The current working draft of SPARQL 1.1 focuses mainly on the description of the language.In this paper; we provide a formalization of the syntax and semantics of the SPARQL 1.1federation extension; an important fragment of the language that has not yet received muchattention. Besides; we propose optimization techniques for this fragment; provide animplementation of the fragment including these techniques; and carry out a series ofexperiments that show that our optimization procedures significantly speed up the queryevaluation process.,Extended Semantic Web Conference,2011,76
On blank nodes,Alejandro Mallea; Marcelo Arenas; Aidan Hogan; Axel Polleres,Abstract Blank nodes are defined in RDF as 'existential variables' in the same way that hasbeen used before in mathematical logic. However; evidence suggests that actual usage ofRDF does not follow this definition. In this paper we thoroughly cover the issue of blanknodes; from incomplete information in database theory; over different treatments of blanknodes across the W3C stack of RDF-related standards; to empirical analysis of RDF datapublicly available on the Web. We then summarize alternative approaches to the problem;weighing up advantages and disadvantages; also discussing proposals for Skolemization.,International Semantic Web Conference,2011,75
What’s hard about xml schema constraints?,Marcelo Arenas; Wenfei Fan; Leonid Libkin,Abstract Data description for XML usually comes in the form of a type specification (eg; aDTD) together with integrity constraints. XML Schema allows one to mix DTD features withsemantic information; such as keys and foreign keys. It was shown recently [[2];[7]] that theinteraction of DTDs with constraints may be rather nontrivial. In particular; testing if a generalspecification is consistent is undecidable; but for the most common case of single-attributeconstraints it is NP-complete; and linear time if no foreign keys are present. However; XMLSchema design did not adopt the form of constraints prevalent in the database literature; andslightly changed the semantics of keys; foreign keys; and unique constraints. In this paperwe demonstrate the very costly effect of this slight change on the feasibility of consistencychecking. In particular; all the known hardness results extend to the XML Schema case …,International Conference on Database and Expert Systems Applications,2002,74
nSPARQL: A navigational language for RDF,Jorge Pérez; Marcelo Arenas; Claudio Gutierrez,Abstract Navigational features have been largely recognized as fundamental for graphdatabase query languages. This fact has motivated several authors to propose RDF querylanguages with navigational capabilities. In particular; we have argued in a previous paperthat nested regular expressions are appropriate to navigate RDF data; and we haveproposed the nSPARQL query language for RDF; that uses nested regular expressions asbuilding blocks. In this paper; we study some of the fundamental properties of nSPARQLconcerning expressiveness and complexity of evaluation. Regarding expressiveness; weshow that nSPARQL is expressive enough to answer queries considering the semantics ofthe RDFS vocabulary by directly traversing the input graph. We also show that nesting isnecessary to obtain this last result; and we study the expressiveness of the combination of …,International Semantic Web Conference,2008,72
Data sharing through query translation in autonomous sources,Anastasios Kementsietsidis; Marcelo Arenas,Abstract We consider the problem of data sharing between autonomous data sources in anenvironment where constraints cannot be placed on the shared contents of sources. Oursolutions rely on the use of mapping tables which define how data from different sources areassociated. In this setting; the answer to a local query; that is; a query posed against theschema of a single source; is augmented by retrieving related data from associated sources.This retrieval of data is achieved by translating; through mapping tables; the local query intoa set of queries that are executed against the associated sources. We consider both soundtranslations (which only retrieve correct answers) and complete translations (which retrieveall correct answers; and no incorrect answers) and we present algorithms to compute suchtranslations. Our solutions are implemented and tested experimentally and we describe …,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,70
Federating queries in SPARQL 1.1: Syntax; semantics and evaluation,Carlos Buil-Aranda; Marcelo Arenas; Oscar Corcho; Axel Polleres,Abstract Given the sustained growth that we are experiencing in the number of SPARQLendpoints available; the need to be able to send federated SPARQL queries across thesehas also grown. To address this use case; the W3C SPARQL working group is defining afederation extension for SPARQL 1.1 which allows for combining graph patterns that can beevaluated over several endpoints within a single query. In this paper; we describe the syntaxof that extension and formalize its semantics. Additionally; we describe how a queryevaluation system can be implemented for that federation extension; describing some staticoptimization techniques and reusing a query engine used for data-intensive science; so asto deal with large amounts of intermediate and final results. Finally we carry out a series ofexperiments that show that our optimizations speed up the federated query evaluation …,Web Semantics: Science; Services and Agents on the World Wide Web,2013,68
Foundations of RDF databases,Marcelo Arenas; Claudio Gutierrez; Jorge Pérez,Abstract The goal of this paper is to give an overview of the basics of the theory of RDFdatabases. We provide a formal definition of RDF that includes the features that distinguishthis model from other graph data models. We then move into the fundamental issue ofquerying RDF data. We start by considering the RDF query language SPARQL; which is aW3C Recommendation since January 2008. We provide an algebraic syntax and acompositional semantics for this language; study the complexity of the evaluation problemfor different fragments of SPARQL; and consider the problem of optimizing the evaluation ofSPARQL queries; showing that a natural fragment of this language has some goodproperties in this respect. We furthermore study the expressive power of SPARQL; bycomparing it with some well-known query languages such as relational algebra. We …,Reasoning Web International Summer School,2009,66
Foundations of Data Exchange,Marcelo Arenas; Pablo Barceló; Leonid Libkin; Filip Murlak,The problem of exchanging data between different databases with different schemas is anarea of immense importance. Consequently data exchange has been one of the most activeresearch topics in databases over the past decade. Foundational questions related to dataexchange largely revolve around three key problems: how to build target solutions; how toanswer queries over target solutions; and how to manipulate schema mappingsthemselves? The last question is also known under the name'metadata management'; sincemappings represent metadata; rather than data in the database. In this book the authorssummarize the key developments of a decade of research. Part I introduces the problem ofdata exchange via examples; both relational and XML; Part II deals with exchangingrelational data; Part III focuses on exchanging XML data; and Part IV covers metadata …,*,2014,56
Semantics of SPARQL,Jorge Perez; Marcelo Arenas; Claudio Gutierrez,Abstract The Resource Description Framework (RDF) is the standard data model forrepresenting information about World Wide Web resources. In January 2008; it was releasedthe recommendation of the W3C for querying RDF data; a query language called SPARQL.In this chapter; we give a detailed description of the semantics of this language. We start byfocusing on the deﬁnition of a formal semantics for the core part of SPARQL; and then moveto the deﬁnition for the entire language; including all the features in the speciﬁcation ofSPARQL by the W3C such as blank nodes in graph patterns and bag semantics forsolutions.,*,2008,53
Scalar aggregation in FD-inconsistent databases,Marcelo Arenas; Leopoldo Bertossi; Jan Chomicki,Abstract We consider here scalar aggregation queries in databases that may violate a givenset of functional dependencies. We show how to compute consistent answers (answers truein every minimal repair of the database) to such queries. We provide a completecharacterization of the computational complexity of this problem. We also show howtractability can be obtained in several special cases (one involves a novel application of theperfect graph theory) and present a practical hybrid query evaluation method.,International Conference on Database Theory,2001,53
On the complexity of verifying consistency of XML specifications,Marcelo Arenas; Wenfei Fan; Leonid Libkin,XML specifications often consist of a type definition (typically; a document type definition(DTD)) and a set of integrity constraints. It has been shown previously that suchspecifications can be inconsistent; and thus it is often desirable to check consistency atcompile time. It is known [W. Fan and L. Libkin; J. ACM; 49 (2002); pp. 368–406] that forgeneral keys; foreign keys; and DTDs the consistency problem is undecidable; however; itbecomes NP-complete when all keys are one-attribute (unary) and tractable; if no foreignkeys are used. In this paper; we consider a variety of previously studied constraints for XMLdata and investigate the complexity of the consistency problem. Our main conclusion is that;in the presence of foreign key constraints; compile-time verification of consistency isinfeasible. We look at absolute constraints that hold in the entire document and relative …,SIAM Journal on Computing,2008,52
Expressive languages for querying the semantic web,Marcelo Arenas; Georg Gottlob; Andreas Pieris,Abstract The problem of querying RDF data is a central issue for the development of theSemantic Web. The query language SPARQL has become the standard language forquerying RDF; since its standardization in 2008. However; the 2008 version of this languagemissed some important functionalities: reasoning capabilities to deal with RDFS and OWLvocabularies; navigational capabilities to exploit the graph structure of RDF data; and ageneral form of recursion much needed to express some natural queries. To overcomethese limitations; a new version of SPARQL; called SPARQL 1.1; was recently released;which includes entailment regimes for RDFS and OWL vocabularies; and a mechanism toexpress navigation patterns through regular expressions. Unfortunately; there are still someuseful navigation patterns that cannot be expressed in SPARQL 1.1; and the language …,Proceedings of the 33rd ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,2014,51
Coordinating peer databases using ECA rules,Vasiliki Kantere; Iluju Kiringa; John Mylopoulos; Anastasios Kementsietsidis; Marcelo Arenas,Abstract Peer databases are stand-alone; independently developed databases that arelinked to each other through acquaintances. They each contain local data; a set of mappingtables and expressions; and a set of ECA rules that are used to exchange data among them.The set of acquaintances and peers constitutes a dynamic peer-to-peer network in whichacquaintances are continuously established and abolished. We present techniques forspecifying data exchange policies on-the-fly based on constraints imposed on the way inwhich peers exchange and share data. We realize the on-the-fly specification of dataexchange policies by building coordination ECA rules at acquaintance time. Finally; wedescribe mechanisms related to establishing and abolishing acquaintances by means ofexamples. Specifically; we consider syntactical constructs and executional semantics of …,International Workshop on Databases; Information Systems; and Peer-to-Peer Computing,2003,51
Applications of annotated predicate calculus to querying inconsistent databases,Marcelo Arenas; Leopoldo Bertossi; Michael Kifer,Abstract We consider the problem of specifying and computing consistent answers toqueries against databases that do not satisfy given integrity constraints. This is done bysimultaneously embedding the database and the integrity constraints; which are mutuallyinconsistent in classical logic; into a theory in annotated predicate calculus—a logic thatallows non trivial reasoning in the presence of inconsistency. In this way; several goals areachieved:(a) A logical specification of the class of all minimal “repairs” of the originaldatabase; and the ability to reason about them;(b) The ability to distinguish betweenconsistent and inconsistent information in the database; and (c) The development ofcomputational mechanisms for retrieving consistent query answers; ie; answers that are notaffected by the violation of the integrity constraints.,*,2000,51
Data exchange beyond complete data,Marcelo Arenas; Jorge Pérez; Juan Reutter,Abstract In the traditional data exchange setting; source instances are restricted to becomplete in the sense that every fact is either true or false in these instances. Althoughnatural for a typical database translation scenario; this restriction is gradually becoming animpediment to the development of a wide range of applications that need to exchangeobjects that admit several interpretations. In particular; we are motivated by two specificapplications that go beyond the usual data exchange scenario: exchanging incompleteinformation and exchanging knowledge bases. In this article; we propose a generalframework for data exchange that can deal with these two applications. More specifically; weaddress the problem of exchanging information given by representation systems; which areessentially finite descriptions of (possibly infinite) sets of complete instances. We make …,Journal of the ACM (JACM),2013,45
Normalization theory for XML,Marcelo Arenas,Abstract Since the beginnings of the relational model; it was clear for the databasecommunity that the process of designing a database is a nontrivial and time-consuming task.Even for simple application domains; there are many possible ways of storing the data ofinterest.,ACM SIGMoD Record,2006,43
On the Semantics of SPARQL,Marcelo Arenas; Claudio Gutierrez; Jorge Pérez,Abstract The Resource Description Framework (RDF) is the standard data model forrepresenting information about World Wide Web resources. In January 2008; it was releasedthe recommendation of the W3C for querying RDF data; a query language called SPARQL.In this chapter; we give a detailed description of the semantics of this language. We start byfocusing on the definition of a formal semantics for the core part of SPARQL; and then moveto the definition for the entire language; including all the features in the specification ofSPARQL by the W3C such as blank nodes in graph patterns and bag semantics forsolutions.,*,2010,39
Faceted search over ontology-enhanced RDF data,Marcelo Arenas; Bernardo Cuenca Grau; Evgeny Kharlamov; Sarunas Marciuska; Dmitriy Zheleznyakov,Abstract An increasing number of applications rely on RDF; OWL 2; and SPARQL for storingand querying data. SPARQL; however; is not targeted towards end-users; and suitablequery interfaces are needed. Faceted search is a prominent approach for end-user dataaccess; and several RDF-based faceted search systems have been developed. There is;however; a lack of rigorous theoretical underpinning for faceted search in the context of RDFand OWL 2. In this paper; we provide such solid foundations. We formalise facetedinterfaces for this context; identify a fragment of first-order logic capturing the underlyingqueries; and study the complexity of answering such queries for RDF and OWL 2 profiles.We then study interface generation and update; and devise efficiently implementablealgorithms. Finally; we have implemented and tested our faceted search algorithms for …,Proceedings of the 23rd ACM International Conference on Conference on Information and Knowledge Management,2014,38
Everything you always wanted to know about blank nodes,Aidan Hogan; Marcelo Arenas; Alejandro Mallea; Axel Polleres,Abstract In this paper we thoroughly cover the issue of blank nodes; which have beendefined in RDF as 'existential variables'. We first introduce the theoretical precedent forexistential blank nodes from first order logic and incomplete information in database theory.We then cover the different (and sometimes incompatible) treatment of blank nodes acrossthe W3C stack of RDF-related standards. We present an empirical survey of the blank nodespresent in a large sample of RDF data published on the Web (the BTC-2012 dataset); wherewe find that 25.7% of unique RDF terms are blank nodes; that 44.9% of documents and66.2% of domains featured use of at least one blank node; and that aside from one LinkedData domain whose RDF data contains many “blank node cycles”; the vast majority of blanknodes form tree structures that are efficient to compute simple entailment over. With …,Web Semantics: Science; Services and Agents on the World Wide Web,2014,36
Foundations of schema mapping management,Marcelo Arenas; Jorge Pérez; Juan L Reutter; Cristian Riveros,Abstract In the last few years; a lot of attention has been paid to the specification andsubsequent manipulation of schema mappings; a problem which is of fundamentalimportance in metadata management. There have been many achievements in this area;and semantics have been defined for operators on schema mappings such as compositionand inverse. However; little research has been pursued towards providing formal tools tocompare schema mappings; in terms of their ability to transfer data and avoid storingredundant information; which has hampered the development of foundations for morecomplex operators as many of them involve these notions. In this paper; we address theproblem of providing foundations for metadata management by developing an order tocompare the amount of information transferred by schema mappings. From this order we …,Proceedings of the twenty-ninth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,2010,36
Managing data mappings in the hyperion project,Anastasios Kementsietsidis; Marcelo Arenas; Renée J Miller,We consider the problem of mapping data in peer-to-peer systems. Such systems rely onsimple value searches to locate data of interest. However; different peers may use differentvalues to identify or describe the same data. To accommodate this; peer-to-peer systemsoften rely on mapping tables that list pairs of corresponding values for search domains thatare used in different peers. We illustrate how such tables are used in the genomicscommunity by expert curators. We then argue why mapping tables are appropriate for datamapping in a peer-to-peer environment and motivate the problem of managing these tables.The work presented is part of the Hyperion project.,Data Engineering; 2003. Proceedings. 19th International Conference on,2003,36
