How is the weather tomorrow?: towards a benchmark for the cloud,Carsten Binnig; Donald Kossmann; Tim Kraska; Simon Loesing,Abstract Traditionally; the goal of benchmarking a software system is to evaluate itsperformance under a particular workload for a fixed configuration. The most prominentexamples for evaluating transactional database systems as well as other components on top(such as a application-servers or web-servers) are the various TPC benchmarks. In thispaper we argue that traditional benchmarks (like the TPC benchmarks) are not sufficient foranalyzing the novel cloud services. Moreover; we present some initial ideas how such a newbenchmark should look like that fits better to the characteristics of cloud computing (eg;scalability; pay-per-use and fault-tolerance). The main challenge of such a new benchmarkis to make the reported results comparable because different providers offer differentservices with different capabilities and guarantees.,Proceedings of the Second International Workshop on Testing Database Systems,2009,180
Locality-aware partitioning in parallel database systems,Erfan Zamanian; Carsten Binnig; Abdallah Salama,Abstract Parallel database systems horizontally partition large amounts of structured data inorder to provide parallel data processing capabilities for analytical workloads in shared-nothing clusters. One major challenge when horizontally partitioning large amounts of datais to reduce the network costs for a given workload and a database schema. A commontechnique to reduce the network costs in parallel database systems is to co-partition tableson their join key in order to avoid expensive remote join operations. However; existingpartitioning schemes are limited in that respect since only subsets of tables in complexschemata sharing the same join key can be co-partitioned unless tables are fully replicated.In this paper we present a novel partitioning scheme called predicate-based referencepartition (or PREF for short) that allows to co-partition sets of tables based on given join …,Proceedings of the 2015 ACM SIGMOD International Conference on Management of Data,2015,18
SQLScript: Efficiently analyzing big enterprise data in SAP HANA,Carsten Binnig; Dhbw Mannheim; Norman May,Abstract: Today; not only Internet companies such as Google; Facebook or Twitter do haveBig Data but also Enterprise Information Systems store an ever growing amount of data(called Big Enterprise Data in this paper). In aclassical SAP system landscape acentral datawarehouse (SAP BW) is used to integrate and analyze all enterprise data. In SAP BW mostof the business logic required for complex analytical tasks (eg; acomplexcurrencyconversion) is implemented in the application layer on top of astandardrelational database. While being independent from the underlying database when usingsuch an architecture; this architecture has twomajor drawbacks when analyzing BigEnterprise Data:(1) algorithms in ABAP do not scale with the amount of data and (2) datashipping is required. To this end; we present anovel programming language called …,*,2013,17
FunSQL: It is time to make SQL functional,Carsten Binnig; Robin Rehrmann; Franz Faerber; Rudolf Riewe,Abstract With the rise of cloud-computing and cloud-scale data management the importanceof shipping the code of an application to its data has increased tremendously. Especiallywhen offering data analytics on top of traditional relational databases as a service in thecloud; new data-centric programming paradigms become necessary. Traditionally; relationaldatabases offer two approaches to ship code close to the data: declarative SQL statementsand imperative stored procedures. While SQL statements can be efficiently optimized andparallelized; stored procedures allow more complex logic that can be efficientlydecomposed. In this paper; we propose a novel functional language which extends SQLcalled FunSQL. FunSQL combines the best of both worlds:(1) it allows applicationsdevelopers to implement more complex application logic as in SQL only;(2) the …,Proceedings of the 2012 Joint EDBT/ICDT Workshops,2012,11
Cost-based fault-tolerance for parallel data processing,Abdallah Salama; Carsten Binnig; Tim Kraska; Erfan Zamanian,Abstract In order to deal with mid-query failures in parallel data engines (PDEs); differentfault-tolerance schemes are implemented today:(1) fault-tolerance in parallel databases istypically implemented in a coarse-grained manner by restarting a query completely when amid-query failure occurs; and (2) modern MapReduce-style PDEs implement a fine-grainedfault-tolerance scheme; which either materializes intermediate results or implements alineage model to recover from mid-query failures. However; neither of these schemes canefficiently handle mixed workloads with both short running interactive queries as well aslong running batch queries nor do these schemes efficiently support a wide range ofdifferent cluster setups which vary in cluster size and other parameters such as the meantime between failures. In this paper; we present a novel cost-based fault-tolerance …,Proceedings of the 2015 ACM SIGMOD International Conference on Management of Data,2015,10
Estimating the impact of unknown unknowns on aggregate query results,Yeounoh Chung; Michael Lind Mortensen; Carsten Binnig; Tim Kraska,Abstract It is common practice for data scientists to acquire and integrate disparate datasources to achieve higher quality results. But even with a perfectly cleaned and merged dataset; two fundamental questions remain:(1) is the integrated data set complete and (2) what isthe impact of any unknown (ie; unobserved) data on query results? In this work; we developand analyze techniques to estimate the impact of the unknown data (aka; unknownunknowns) on simple aggregate queries. The key idea is that the overlap between differentdata sources enables us to estimate the number and values of the missing data items. Ourmain techniques are parameter-free and do not assume prior knowledge about thedistribution. Through a series of experiments; we show that estimating the impact ofunknown unknowns is invaluable to better assess the results of aggregate queries over …,Proceedings of the 2016 International Conference on Management of Data,2016,9
The case for interactive data exploration accelerators (ideas),Andrew Crotty; Alex Galakatos; Emanuel Zgraggen; Carsten Binnig; Tim Kraska,Abstract Enabling interactive visualization over new datasets at" human speed" is key todemocratizing data science and maximizing human productivity. In this work; we first arguewhy existing analytics infrastructures do not support interactive data exploration and thenoutline the challenges and opportunities of building a system specifically designed forinteractive data exploration. Finally; we present an Interactive Data Exploration Accelerator(IDEA); a new type of system for interactive data exploration that is specifically designed tointegrate with existing data management landscapes and allow users to explore their datainstantly without expensive data preparation costs.,Proceedings of the Workshop on Human-In-the-Loop Data Analytics,2016,8
Making the case for query-by-voice with echoquery,Gabriel Lyons; Vinh Tran; Carsten Binnig; Ugur Cetintemel; Tim Kraska,Abstract Recent advances in automatic speech recognition and natural languageprocessing have led to a new generation of robust voice-based interfaces. Yet; there is verylittle work on using voice-based interfaces to query database systems. In fact; one mighteven wonder who in her right mind would want to query a database system using voicecommands! With this demonstration; we make the case for querying database systems usinga voice-based interface; a new querying and interaction paradigm we call Query-by-Voice(QbV). We will demonstrate the practicality and utility of QbV for relational DBMSs using ausing a proof-of-concept system called EchoQuery. To achieve a smooth and intuitiveinteraction; the query interface of EchoQuery is inspired by casual human-to-humanconversations. Our demo will show that voice-based interfaces present an intuitive means …,Proceedings of the 2016 International Conference on Management of Data,2016,8
Spotgres-parallel data analytics on spot instances,Carsten Binnig; Abdallah Salama; Erfan Zamanian; Muhammad El-Hindi; Sebastian Feil; Tobias Ziegler,Market-based IaaS offers such as Amazon's EC2 Spot Instances represent a cost-efficientway to operate a cluster. Compared to traditional IaaS offers which follow a fixed pricingscheme; the per hour price of Spot Instances changes dynamically; whereas the Spot priceis often significantly less when compared to On-demand and even the Reserved Instances.When deploying a Parallel Data-Processing Engine (PDE) on a cluster of Spot Instances amajor obstacle is to find a bidding strategy that is optimal for a given workload and satisfiesuser constraints such as the maximal budget. Moreover; another obstacle is that existingPDEs implement rigid fault-tolerance schemes which do not adapt to different failure ratesresulting from different bidding strategies. In this paper; we present a novel PDE calledSpotgres that tackles these issues. Spotgres extends a typical PDE architecture by (1) a …,Data Engineering Workshops (ICDEW); 2015 31st IEEE International Conference on,2015,8
Distributed snapshot isolation: global transactions pay globally; local transactions pay locally,Carsten Binnig; Stefan Hildenbrand; Franz Färber; Donald Kossmann; Juchang Lee; Norman May,Abstract Modern database systems employ Snapshot Isolation to implement concurrencycontrol and isolationbecause it promises superior query performance compared to lock-based alternatives. Furthermore; Snapshot Isolation never blocks readers; which is animportant property for modern information systems; which have mixed workloads of heavyOLAP queries and short update transactions. This paper revisits the problem ofimplementing Snapshot Isolation in a distributed database system and makes threeimportant contributions. First; a complete definition of Distributed Snapshot Isolation is given;thereby extending existing definitions from the literature. Based on this definition; a set ofcriteria is proposed to efficiently implement Snapshot Isolation in a distributed system.Second; the design space of alternative methods to implement Distributed Snapshot …,The VLDB Journal,2014,8
Controlling false discoveries during interactive data exploration,Zheguang Zhao; Lorenzo De Stefani; Emanuel Zgraggen; Carsten Binnig; Eli Upfal; Tim Kraska,Abstract Recent tools for interactive data exploration significantly increase the chance thatusers make false discoveries. They allow users to (visually) examine many hypotheses andmake inference with simple interactions; and thus incur the issue commonly known instatistics as the" multiple hypothesis testing error." In this work; we propose a solution tointegrate the control of multiple hypothesis testing into interactive data exploration systems.A key insight is that existing methods for controlling the false discovery rate (such as FDR)are not directly applicable to interactive data exploration. We therefore discuss a set of newcontrol procedures that are better suited for this task and integrate them in our system;QUDE. Via extensive experiments on both real-world and synthetic data sets wedemonstrate how QUDE can help experts and novice users alike to efficiently control …,Proceedings of the 2017 ACM International Conference on Management of Data,2017,7
RODI: Benchmarking relational-to-ontology mapping generation quality,Christoph Pinkel; Carsten Binnig; Ernesto Jiménez-Ruiz; Evgeny Kharlamov; Wolfgang May; Andriy Nikolov; Ana Sasa Bastinos; Martin G Skjæveland; Alessandro Solimando; Mohsen Taheriyan; Christian Heupel; Ian Horrocks,Abstract Accessing and utilizing enterprise or Web data that is scattered across multiple datasources is an important task for both applications and users. Ontology-based dataintegration; where an ontology mediates between the raw data and its consumers; is apromising approach to facilitate such scenarios. This approach crucially relies on usefulmappings to relate the ontology and the data; the latter being typically stored in relationaldatabases. A number of systems to support the construction of such mappings have recentlybeen developed. A generic and effective benchmark for reliable and comparable evaluationof the practical utility of such systems would make an important contribution to thedevelopment of ontology-based data integration systems and their application in practice.We have proposed such a benchmark; called RODI. In this paper; we present a new …,Semantic Web,2016,7
System and method of performing snapshot isolation in distributed databases,*,A system and method of performing snapshot isolation in distributed databases. Each nodestores local snapshot information that enforces snapshot isolation for that node. The methodincludes partially processing a distributed transaction by a first node; receiving a globalcommit identifier from a coordinator; and continuing to process the distributed transaction; bythe first node and a second node; in accordance with the global commit identifier.,*,2015,7
Die SIKOSA-Methodik,Daniel Weiß; Jörn Kaack; Stefan Kirn; Maike Gilliot; Lutz Lowis; Günter Müller; Andrea Herrmann; Carsten Binnig; Timea Illes; Barbara Paech; Donald Kossmann,Kernpunkte Die SIKOSA-Methodik beschreibt einen durchgängigen Lösungsansatz zurSoftwareentwicklung. Die Methodik überführt funktionale und nicht funktionaleProzessanforderungen in entsprechende testbare Unternehmenssoftware-Anforderungenund erhöht die Validität. Die Methodik wird vor dem Hintergrund eines industriellenBeschaffungsprozesses veranschaulicht.,Wirtschaftsinformatik,2007,6
The end of a myth: distributed transactions can scale,Erfan Zamanian; Carsten Binnig; Tim Harris; Tim Kraska,Abstract The common wisdom is that distributed transactions do not scale. But what ifdistributed transactions could be made scalable using the next generation of networks and aredesign of distributed databases? There would no longer be a need for developers to worryabout co-partitioning schemes to achieve decent performance. Application developmentwould become easier as data placement would no longer determine how scalable anapplication is. Hardware provisioning would be simplified as the system administrator canexpect a linear scale-out when adding more machines rather than some complex sub-linearfunction; which is highly application specific. In this paper; we present the design of ournovel scalable database system NAM-DB and show that distributed transactions with thevery common Snapshot Isolation guarantee can indeed scale using the next generation …,Proceedings of the VLDB Endowment,2017,5
Vistrees: fast indexes for interactive data exploration,Muhammad El-Hindi; Zheguang Zhao; Carsten Binnig; Tim Kraska,Abstract Visualizations are arguably the most important tool to explore; understand andconvey facts about data. As part of interactive data exploration; visualizations might be usedto quickly skim through the data and look for patterns. Unfortunately; database systems arenot designed to efficiently support these workloads. As a result; visualizations often take verylong to produce; creating a significant barrier to interactive data analysis. In this paper; wefocus on the interactive computation of histograms for data exploration. To address thisissue; we present a novel multi-dimensional index structure called VisTree. As a keycontribution; this paper presents several techniques to better align the design of multi-dimensional indexes with the needs of visualization tools for data exploration. Ourexperiments show that the VisTree achieves a speed increase of up to three orders of …,Proceedings of the Workshop on Human-In-the-Loop Data Analytics,2016,5
Generic node including stored script,*,Methods and apparatus; including computer program products; are provided for providingfor processing calculation plans. In one aspect; there is provided a computer-implementedmethod. The method may include generating a calculation plan including a plurality ofnodes; determining whether at least one of the nodes includes a function node; andcompiling the function node into executable code to enable execution of the plurality ofnodes including the function node at the database. Related apparatus; systems; methods;and articles are also described.,*,2015,5
XDB-A novel Database Architecture for Data Analytics as a Service,Carsten Binnig; Abdallah Salama; Erfan Zamanian; Harald Kornmayer; Sven Listing; Alexander C Mueller,Parallel shared-nothing database systems are major platforms for efficiently analyzing largeamounts of structured data. However; in order to offer SQL-like services for data analytics inthe cloud; providers such as Amazon and Google do not use these systems as a basis. Amajor reason for this trend is that existing parallel shared-nothing database systems areexpensive and that they do not fulfill many of the requirements such as elasticity and fault-tolerance needed for providing a service for data analytics in the cloud. In this paper; wepresent an overview of an elastic and fault-tolerant database system called XDB; whichsupports complex analytics. XDB builds on the following novel concepts:(1) a partitioningscheme that supports elasticity with regard to data and queries;(2) a cost-based fault-tolerance scheme that allows to recover from mid-query faults; and (3) adaptive …,Big Data (BigData Congress); 2014 IEEE International Congress on,2014,5
Data warehousing,CARSTEN BINNIG,Page 1. DATA WAREHOUSING INTRODUCTION TO DATA SCIENCE CARSTEN BINNIG BROWNUNIVERSITY Page 2. DATA WAREHOUSES Definition: A data warehouse is a database thatis optimized for analytical workloads which integrates data from independent and heterogeneousdata sources DB1 Data Warehouse Heterogeneous Data Sources Decision Support / Data MiningData Loading + Integration CSV Web Page 3. ENTERPRISE SCENARIO: WHOLEFOODS DBDB DB DB DB DB DB DB DB DB DB Data Warehouse Business Questions: • What are thebestselling products? • Is there difference between states? • … Page 4. OTHER APPLICATIONDOMAINS Restaurant Chains (McDonalds; etc.) Retailers (Nike; …) Insurance Companies Banks …Page 5. HISTORY OF DATABASES Age of Online Transaction Processing - OLTP (> 1970) • Goal:have access to up-to-date business transactions …,*,2002,5
Automatic result verification for the functional testing of a query language,Carsten Binnig; Donald Kossmann; Eric Lo; Angel Saenz-Badillos,Functional testing of a query language is a challenging task in practice. In order to revealerrors in the query processing functionality; it is necessary to verify the actual result of a testquery with the expected correct result. However; automatically computing the expectedquery result of an arbitrary test query is not trivial. One solution is to first generate a set of testdatabase instances and test queries and then to compute the expected result for each testquery over the individual test database instances. The problem of this solution is that manytest queries might return an empty query result; which is not interesting for the functionaltesting of a query language. In this paper; we present a new approach to verify the result of atest query so as to facilitate the functional testing of a query language. Instead of firstgenerating the database instance and then computing the expected result for each test …,Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,2008,4
Generating Meaningful Test Databases,Carsten Binnig,Testing is one of the most time-consuming and cost-intensive tasks in software developmentprojects today. A recent report of the NIST [RTI02] estimated the costs for the economy of theUnites States of America caused by software errors in the year 2000 to range from $22.2 to$59.5 billion. Consequently; in the past few years; many techniques and tools have beendeveloped to reduce the high testing costs. Many of these techniques and tools are devotedto automate various testing tasks (eg; test case generation; test case execution; and testresult checking). However; almost no research work has been carried out to automate thetesting of database applications (eg; an E-Shop application) and relational databasemanagement systems (DBMSs). The testing of a database application and of a DBMSrequires different solutions because the application logic of a database application or of a …,*,2008,3
Durchgängige Qualität von Unternehmenssoftware,Andrea Herrmann; B Paech; S Kirn; D Kossmann; G Müller; C Binnig; M Gilliot; T Illes; L Lowis; D Weiß,Kurzfassung: IT-Systeme; die in einem dynamischen Umfeld betrieben werden; müssen sichständig ändernde betriebliche Anforderungen anpassen. Wichtig ist hierbei; dass dieQualität des Systems nicht leidet. Daher wurde eine Methodik entwickelt; mit der klardefiniert wird; welche Qualität des IT-Systems gewünscht wird; wie diese durch das IT-System sichergestellt wird; und wie diese Qualität geprüft wird. Die durch die SIKOSA-Methodik unterstützte durchgängige Nachverfolgbarkeit der Qualitäts-anforderungen ist dieGrundlage für das Änderungsmanagement; denn sie stellt auch bei Änderungen am IT-System sicher; dass die Qualität des Systems erhalten bleibt oder sich sogar verbessert.,Industrie Management,2006,3
Revisiting reuse in main memory database systems,Kayhan Dursun; Carsten Binnig; Ugur Cetintemel; Tim Kraska,Abstract Reusing intermediates in databases to speed-up analytical query processing wasstudied in prior work. Existing solutions require intermediate results of individual operators tobe materialized using materialization operators. However; inserting such materializationoperations into a query plan not only incurs additional execution costs but also ofteneliminates important cache-and register-locality opportunities; resulting in even higherperformance penalties. This paper studies a novel reuse model for intermediates; whichcaches internal physical data structures materialized during query processing (due topipeline breakers) and externalizes them so that they become reusable for upcomingoperations. We focus on hash tables; the most commonly used internal data structure inmain memory databases to perform join and aggregation operations. As queries arrive …,Proceedings of the 2017 ACM International Conference on Management of Data,2017,2
Rethinking Distributed Query Execution on High-Speed Networks.,Abdallah Salama; Carsten Binnig; Tim Kraska; Ansgar Scherp; Tobias Ziegler,Abstract In modern high-speed RDMA-capable networks; the bandwidth to transfer dataacross machines is getting close to the bandwidth of the local memory bus. Recent work hasstarted to investigate how to redesign individual distributed query operators to best leverageRDMA. However; all these novel RDMA-based query operators are still designed for aclassical shared-nothing architecture that relies on a shuffle-based execution model toredistribute the data. In this paper; we revisit query execution for distributed databasesystems on fast networks in a more holistic manner by reconsidering all aspects from theoverall database architecture; over the partitioning scheme to the execution model. Ourexperiments show that in the best case our prototype database system called I-Store; whichis designed for fast networks from scratch; provides 3× speed-up over a shuffle-based …,IEEE Data Eng. Bull.,2017,2
Towards a Benchmark for Interactive Data Exploration.,Philipp Eichmann; Emanuel Zgraggen; Zheguang Zhao; Carsten Binnig; Tim Kraska,Abstract Existing benchmarks for analytical database systems such as TPC-DS and TPC-Hare designed for static reporting scenarios. The main metric of these benchmarks is theperformance of running different SQL queries over a predefined database. In this paper; weargue that such benchmarks are not suitable for evaluating modern interactive dataexploration (IDE) systems; which allow data scientists of varying skill levels to manipulate;analyze; and explore large data sets; as well as to build models and apply machine learningat interactive speeds. While query performance is still important for data exploration; webelieve that a much better metric would reflect the number and complexity of insights usersgain in a given amount of time. This paper discusses challenges of creating such a metricand presents ideas towards a new benchmark that simulates typical user behavior and …,IEEE Data Eng. Bull.,2016,2
Development of a UIML Renderer for Different Target Languages: Experiences and Design Decisions,Carsten Binnig; Andreas Schmidt,Abstract Generic development of user interfaces allows to considerably reduce the timeconsuming manual coding expenditure that may reach up to 50% of the development work.With UIML; the specification of an XML meta language was made available recently; whichclaims to define user interfaces independently of the platform and target language. Thepresent article describes our experience gained from the development of a UIML rendererfor various target languages. Division into target language-dependent and independentgeneration steps as well as various types of final target code generation play an importantrole in minimizing the expenditure of incorporating new target languages.,*,2002,2
