High weight fraction surfactant solubilization of single-wall carbon nanotubes in water,MF Islam; E Rojas; DM Bergey; AT Johnson; AG Yodh,We report a simple process to solubilize high weight fraction single-wall carbon nanotubesin water by the nonspecific physical adsorption of sodium dodecylbenzene sulfonate. Thediameter distribution of nanotubes in the dispersion; measured by atomic force microscopy;showed that even at 20 mg/mL∼ 63±5% of single-wall carbon nanotube bundles exfoliatedinto single tubes. A measure of the length distribution of the nanotubes showed that ourdispersion technique reduced nanotube fragmentation.,Nano letters,2003,1861
Thermal properties of carbon nanotubes and nanotube-based materials,J Hone; MC Llaguno; MJ Biercuk; AT Johnson; B Batlogg; Z Benes; JE Fischer,Abstract. The thermal properties of carbon nanotubes are directly related to their uniquestructure and small size. Because of these properties; nanotubes may prove to be an idealmaterial for the study of low-dimensional phonon physics; and for thermal management;both on the macro-and the micro-scale. We have begun to explore the thermal properties ofnanotubes by measuring the specific heat and thermal conductivity of bulk SWNT samples.In addition; we have synthesized nanotube-based composite materials and measured theirthermal conductivity. The measured specific heat of single-walled nanotubes differs from thatof both 2D graphene and 3D graphite; especially at low temperatures; where 1Dquantization of the phonon bandstructure is observed. The measured specific heat showsonly weak effects of intertube coupling in nanotube bundling; suggesting that this …,Applied physics A,2002,465
Photoluminescence and band gap modulation in graphene oxide,Zhengtang Luo; Patrick M Vora; Eugene J Mele; AT Charlie Johnson; James M Kikkawa,We report broadband visible photoluminescence from solid graphene oxide; andmodifications of the emission spectrum by progressive chemical reduction. The data suggesta gapping of the two-dimensional electronic system by removal of π-electrons. We discusspossible gapping mechanisms; and propose that a Kekule pattern of bond distortions mayaccount for the observed behavior.,Applied physics letters,2009,455
Nonvolatile molecular memory elements based on ambipolar nanotube field effect transistors,M Radosavljević; M Freitag; KV Thadani; AT Johnson,We have fabricated air-stable n-type; ambipolar carbon nanotube field effect transistors(CNFETs) and used them in nanoscale memory cells. n-Type transistors are achieved byannealing nanotubes in hydrogen gas and contacting them by cobalt electrodes. Scanninggate microscopy reveals that the bulk response of these devices is similar to gold-contactedp-CNFETs; confirming that Schottky barrier formation at the contact interface determinesaccessibility of electron and hole transport regimes. The transfer characteristics andCoulomb blockade (CB) spectroscopy in ambipolar devices show strongly enhanced gatecoupling; most likely due to reduction of defect density at the silicon/silicon-dioxide interfaceduring hydrogen anneal. The CB data in the “on”-state indicates that these CNFETs arenearly ballistic conductors at high electrostatic doping. Due to their nanoscale …,Nano Letters,2002,433
Mapping the one-dimensional electronic states of nanotube peapod structures,DJ Hornbaker; S-J Kahng; S Misra; BW Smith; AT Johnson; EJ Mele; DE Luzzi; A Yazdani,Arrays of C 60 molecules nested inside single-walled nanotubes represent a class ofnanoscale materials having tunable properties. We report electronic measurements of thissystem made with a scanning tunneling microscope and demonstrate that the encapsulatedC 60 molecules modify the local electronic structure of the nanotube. Our measurementsand calculations also show that a periodic array of C 60 molecules gives rise to a hybridelectronic band; which derives its character from both the nanotube states and the C 60molecular orbitals.,Science,2002,418
Zero-dimensional states and single electron charging in quantum dots,AT Johnson; LP Kouwenhoven; W De Jong; NC Van der Vaart; CJPM Harmans; CT Foxon,Abstract We observe new transport effects in lateral quantum dots where zero-dimensional(0D) states and single electron charging coexist. In linear transport we see coherentresonant tunneling; described by a Landauer formula despite the many-body charginginteraction. In the nonlinear regime; Coulomb oscillations of a quantum dot with about 25electrons show structure due to 0D excited states as the bias voltage increases; and thecurrent-voltage characteristic has a double-staircase shape.,Physical Review Letters,1992,371
Electrospun polyaniline/polyethylene oxide nanofiber field-effect transistor,NJ Pinto; AT Johnson Jr; AG MacDiarmid; CH Mueller; N Theofylaktos; DC Robinson; FA Miranda,We report on the observation of field-effect transistor (FET) behavior in electrospuncamphorsulfonic-acid-doped polyaniline/polyethylene oxide (PEO) nanofibers. Saturationchannel currents are observed at surprisingly low source–drain voltages. The hole mobilityin the depletion regime is 1.4× 10− 4 cm 2/V s; while the one-dimensional (1-D) chargedensity (at zero gate bias) is calculated to be approximately 1 hole per 50 two-ring repeatunits of polyaniline; consistent with the rather high channel conductivity (∼ 10− 3 S/cm).Reducing or eliminating the PEO content in the fiber is expected to enhance deviceparameters. Electrospinning is thus proposed as a simple method of fabricating one-dimensional polymer FETs.,Applied physics letters,2003,358
Probing the structure of DNA− carbon nanotube hybrids with molecular dynamics,Robert R Johnson; AT Charlie Johnson; Michael L Klein,DNA− carbon nanotube hybrids (DNA− CN) are novel nanoscale materials that consist ofsingle-wall carbon nanotubes (SWCN) coated with a self-assembled monolayer of single-stranded DNA (ssDNA). Recent experiments on DNA− CN have shown that this materialoffers a remarkable set of technologically useful properties such as facilitation of SWCNsorting; chemical sensing; and detection of DNA hybridization. Despite the importance ofDNA− CN; a detailed understanding of its microscopic structure and physical properties islacking. To address this; we have performed classical all-atom molecular dynamics (MD)simulations exploring the self-assembly mechanisms; structure; and energetic properties ofthis nanomaterial. MD reveals that SWCN induces ssDNA to undergo a spontaneousconformational change that enables the hybrid to self-assemble via the π− π stacking …,Nano Letters,2008,349
Controlled fabrication of nanogaps in ambient environment for molecular electronics,DR Strachan; DE Smith; DE Johnston; T-H Park; Michael J Therien; DA Bonnell; AT Johnson,We have developed a controlled and highly reproducible method of making nanometer-spaced electrodes using electromigration in ambient lab conditions. This advance will makefeasible single molecule measurements of macromolecules with tertiary and quaternarystructures that do not survive the liquid-helium temperatures at which electromigration istypically performed. A second advance is that it yields gaps of desired tunneling resistance;as opposed to the random formation at liquid-helium temperatures. Nanogap formationoccurs through three regimes: First it evolves through a bulk-neck regime whereelectromigration is triggered at constant temperature; then to a few-atom regimecharacterized by conductance quantum plateaus and jumps; and finally to a tunnelingregime across the nanogap once the conductance falls below the conductance quantum.,Applied Physics Letters,2005,301
Single electron charging effects in semiconductor quantum dots,LP Kouwenhoven; NC Van der Vaart; AT Johnson; W Kool; CJPM Harmans; JG Williamson; AAM Staring; CT Foxon,Abstract We have studied charging effects in a lateral split-gate quantum dot defined bymetal gates in the two dimensional electron gas (2 DEG) of a GaAs/AlGaAs heterostructure.The gate structure allows an independent control of the conductances of the two tunnelbarriers separating the quantum dot from the two 2 DEG leads; and enables us to vary thenumber of electrons that are localized in the dot. We have measured Coulomb oscillations inthe conductance and the Coulomb staircase in current-voltage characteristics and studiedtheir dependence on the conductances of the tunnel barriers. We show experimentally thatat zero magnetic field charging effects start to affect the transport properties when bothbarrier conductances are smaller than the first quantized conductance value of a pointcontact at 2 e 2/h. The experiments are described by a simple model in terms of …,Zeitschrift für Physik B Condensed Matter,1991,268
Photoconductivity of self-assembled porphyrin nanorods,Alexander D Schwab; Deirdre E Smith; Brooks Bond-Watts; Danvers E Johnston; James Hone; Alan T Johnson; Julio C de Paula; Walter F Smith,The photoconductivity of nanorods self-assembled from meso-tetrakis (4-sulfonatophenyl)porphine is described. The nanorods are insulating in the dark. Upon illumination with 488nm light; the nanorods become photoconductive; exhibiting a rapid turn on/off (< 100 ms) ofthe current when the light is turned on/off. This photoconductivity grows over hundreds ofseconds with light exposure and decays slowly when the light is off. The nanorods can betrained via an applied bias to exhibit a short-circuit photocurrent (with corresponding open-circuit photovoltage) that flows in the direction opposite that of the training bias. A qualitativemodel is proposed; in which conduction occurs through the tightly coupled LUMOs of close-packed porphyrin molecules.,Nano Letters,2004,241
Effect of substrate roughness and feedstock concentration on growth of wafer-scale graphene at atmospheric pressure,Zhengtang Luo; Ye Lu; Daniel W Singer; Matthew E Berck; Luke A Somers; Brett R Goldsmith; AT Charlie Johnson,The growth of large-area graphene on catalytic metal substrates is a topic of bothfundamental and technological interest. We have developed an atmospheric pressurechemical vapor deposition (CVD) method that is potentially more cost-effective andcompatible with industrial production than approaches based on synthesis under highvacuum. Surface morphology of the catalytic Cu substrate and the concentration of carbonfeedstock gas were found to be crucial factors in determining the homogeneity andelectronic transport properties of the final graphene film. The use of an electropolished metalsurface and low methane concentration enabled the growth of graphene samples withsingle layer content exceeding 95%. Field effect transistors fabricated from CVD graphenemade with the optimized process had room temperature hole mobilities that are a factor of …,Chemistry of Materials,2011,237
Fabrication and electrical characterization of polyaniline-based nanofibers with diameter below 30 nm,Yangxin Zhou; Marcus Freitag; James Hone; Cristian Staii; AT Johnson Jr; Nicholas J Pinto; AG MacDiarmid,We fabricate and electrically characterize electrospun nanofibers of doped polyaniline/polyethylene oxide (PAn/PEO) blend with sub-30 nm diameter. Fiber diameters near 5 nmare obtained for optimized process parameters. Scanning conductance microscopy (SCM)shows that fibers with diameter below 15 nm are electrically insulating; the small diametermay allow complete dedoping in air or be smaller than phase-separated grains of PAn andPEO. Electrical contacts to nanofibers are made by shadow mask evaporation with nochemical or thermal damage to the fibers. Single fiber I–V characteristics show that thinfibers conduct more poorly than thick ones; in agreement with SCM data. I–V s of asymmetricfibers are rectifying; consistent with formation of Schottky barriers at the nanofiber-metalcontacts.,Applied Physics Letters,2003,232
Surface potentials and layer charge distributions in few-layer graphene films,Sujit S Datta; Douglas R Strachan; EJ Mele; AT Charlie Johnson,Graphene-derived nanomaterials are emerging as ideal candidates for postsiliconelectronics. Elucidating the electronic interaction between an insulating substrate and few-layer graphene (FLG) films is crucial for device applications. Here; we report electrostaticforce microscopy (EFM) measurements revealing that the FLG surface potential increaseswith film thickness; approaching a “bulk” value for samples with five or more graphenelayers. This behavior is in sharp contrast with that expected for conventional conducting orsemiconducting films; and derives from unique aspects of charge screening by graphene'srelativistic low energy carriers. EFM measurements resolve previously unseen electronicperturbations extended along crystallographic directions of structurally disordered FLGs;likely resulting from long-range atomic defects. These results have important implications …,Nano letters,2008,205
DNA-decorated graphene chemical sensors,Ye Lu; Brett R Goldsmith; Nicholas J Kybert; AT Charlie Johnson,Graphene is a two-dimensional material with exceptional electronic properties andenormous potential for applications. Graphene's promise as a chemical sensor material hasbeen noted but there has been little work on practical chemical sensing using graphene;and in particular; how chemical functionalization may be used to sensitize graphene tochemical vapors. Here we show one route towards improving the ability of graphene to workas a chemical sensor by using single stranded DNA as a sensitizing agent. The resultingdevices show fast response times; complete and rapid recovery to baseline at roomtemperature; and discrimination between several similar vapor analytes.,Applied Physics Letters,2010,201
Controlled creation of a carbon nanotube diode by a scanned gate,Marcus Freitag; Marko Radosavljevic; Yangxin Zhou; AT Johnson; Walter F Smith,We use scanning gate microscopy to precisely locate the gating response in field-effecttransistors (FETs) made from semiconducting single-wall carbon nanotubes. A dramaticincrease in transport current occurs when the device is electrostatically doped with holesnear the positively biased electrode. We ascribe this behavior to the turn-on of a reversebiased Schottky barrier at the interface between the p-doped nanotube and the electrode. Bypositioning the gate near one of the contacts; we convert the nanotube FET into a rectifyingnanotube diode. These experiments both clarify a longstanding debate over the gatingmechanism for nanotube FETs and indicate a strategy for diode fabrication based oncontrolled placement of acceptor impurities near a contact.,Applied Physics Letters,2001,173
Subband population in a single-wall carbon nanotube diode,RD Antonov; AT Johnson,Abstract We observe current rectification in a molecular diode consisting of asemiconducting single-wall carbon nanotube and an impurity. One-half of the nanotube hasno impurity; and it has a current-voltage (I− V) characteristic of a typical semiconductingnanotube. The other half of the nanotube has the impurity on it; and its I− V characteristic isthat of a diode. Current in the nanotube diode is carried by holes transported through themolecule's one-dimensional subbands. At 77 K we observe a stepwise increase in thecurrent through the diode as a function of gate voltage; showing that we can control thenumber of occupied one-dimensional subbands through electrostatic doping.,Physical Review Letters,1999,171
Role of single defects in electronic transport through carbon nanotube field-effect transistors,Marcus Freitag; AT Johnson; Sergei V Kalinin; Dawn A Bonnell,Abstract The influence of defects on electron transport in single-wall carbon nanotube field-effect transistors (CNFETs) is probed by combined scanning gate microscopy (SGM) andscanning impedance microscopy (SIM). SGM images are used to quantify the depletionsurface potential; and from this the Fermi level; at individual defects along the CNFET length.SIM is used to measure the voltage distribution along the CNFET. When the CNFET is in theconducting state; SIM reveals a uniform potential drop along its length; consistent withdiffusive transport. In contrast; when the CNFET is “off;” potential steps develop at theposition of depleted defects. High-resolution imaging of a second set of weak defects isachieved in a new “tip-gated” SIM mode.,Physical review letters,2002,146
Free energy landscape of a DNA− carbon nanotube hybrid using replica exchange molecular dynamics,Robert R Johnson; Axel Kohlmeyer; AT Charlie Johnson; Michael L Klein,The DNA− carbon nanotube hybrid (DNA-CN) consists of a single-wall carbon nanotube(SWCN) coated with a self-assembled monolayer of single-stranded DNA (ssDNA). Recentexperiments have demonstrated that this nanomaterial is ideal for numerousnanotechnological applications. Despite this importance; the structure of this materialremains poorly understood. Molecular dynamics (MD) simulations have providedinformation about the self-assembly mechanisms and ssDNA conformations thatcharacterize DNA-CN. However; MD simulations of biopolymers at low temperatures (T∼300 K) result in kinetic trapping that limits conformational sampling. Here; we present resultsof a large-scale replica exchange molecular dynamics (REMD) simulation that providesextensive sampling of the entire ensemble of oligonucleotide conformations in a (GT) 7 …,Nano letters,2009,145
Growth mechanism of hexagonal-shape graphene flakes with zigzag edges,Zhengtang Luo; Seungchul Kim; Nicole Kawamoto; Andrew M Rappe; AT Charlie Johnson,The properties of a graphene nanostructure are strongly influenced by the arrangement ofthe atoms on its edge. Growing graphene nanostructures with specified edge types inpractical; scalable ways has proven challenging; with limited success to date. Here wereport a method for producing graphene flakes with hexagonal shape over large areas; by abrief chemical vapor deposition growth at atmospheric pressure on polished Cu catalyst foil;with limited carbon feedstock. Raman spectra show evidence that the edges of thehexagonal crystallites are predominantly oriented along the zigzag direction. Densityfunctional theory calculations demonstrate that the edge selectivity derives from favorablekinetics of sequential incorporation of carbon atoms to the vacancies in nonzigzag portionsof the edges; driving the edges to pure zigzag geometry. This work represents an …,Acs Nano,2011,133
Atomic resolution STM imaging of a twisted single-wall carbon nanotube,W Clauss; DJ Bergeron; AT Johnson,Abstract We present atomically resolved scanning tunneling microscopy images of single-wall carbon nanotubes (SWNT's) embedded in a crystalline nanotube rope. Although theymay be interpreted as of a chiral nanotube; the images are more consistently explained asan achiral armchair tube with a quenched twist distortion. The existence of quenched twistsin SWNT's in ropes might explain the fact that both as-grown bulk nanotube material andindividual ropes have insulatorlike conductivity at low temperature.,Physical Review B,1998,124
Size-selective nanoparticle growth on few-layer graphene films,Zhengtang Luo; Luke A Somers; Yaping Dan; Thomas Ly; Nicholas J Kybert; EJ Mele; AT Charlie Johnson,We observe that gold atoms deposited by physical vapor deposition onto few-layergraphenes condense upon annealing to form nanoparticles with an average diameter that isdetermined by the graphene film thickness. The data are well described by a theoreticalmodel in which the electrostatic interactions arising from charge transfer between thegraphene and the gold particle limit the size of the growing nanoparticles. The modelpredicts a nanoparticle size distribution characterized by a mean diameter D̅ that follows aD̅∝ m 1/3 scaling law where m is the number of carbon layers in the few-layer graphenefilm.,Nano letters,2010,115
Seeded growth of highly crystalline molybdenum disulphide monolayers at controlled locations,Gang Hee Han; Nicholas J Kybert; Carl H Naylor; Bum Su Lee; Jinglei Ping; Joo Hee Park; Jisoo Kang; Si Young Lee; Young Hee Lee; Ritesh Agarwal; AT Charlie Johnson,Abstract Monolayer transition metal dichalcogenides are materials with an atomic structurecomplementary to graphene but diverse properties; including direct energy bandgaps; whichmakes them intriguing candidates for optoelectronic devices. Various approaches havebeen demonstrated for the growth of molybdenum disulphide (MoS 2) on insulatingsubstrates; but to date; growth of isolated crystalline flakes has been demonstrated atrandom locations only. Here we use patterned seeds of molybdenum source material togrow flakes of MoS 2 at predetermined locations with micrometre-scale resolution. MoS 2flakes are predominantly monolayers with high material quality; as confirmed by atomic forcemicroscopy; transmission electron microscopy and Raman and photoluminescencespectroscopy. As the monolayer flakes are isolated at predetermined locations; transistor …,Nature communications,2015,112
Biomimetic chemical sensors using nanoelectronic readout of olfactory receptor proteins,Brett R Goldsmith; Joseph J Mitala Jr; Jesusa Josue; Ana Castro; Mitchell B Lerner; Timothy H Bayburt; Samuel M Khamis; Ryan A Jones; Joseph G Brand; Stephen G Sligar; Charles W Luetje; Alan Gelperin; Paul A Rhodes; Bohdana M Discher; AT Charlie Johnson,We have designed and implemented a practical nanoelectronic interface to G-proteincoupled receptors (GPCRs); a large family of membrane proteins whose roles in thedetection of molecules outside eukaryotic cells make them important pharmaceutical targets.Specifically; we have coupled olfactory receptor proteins (ORs) with carbon nanotubetransistors. The resulting devices transduce signals associated with odorant binding to ORsin the gas phase under ambient conditions and show responses that are in excellentagreement with results from established assays for OR–ligand binding. The work representssignificant progress on a path toward a bioelectronic nose that can be directly compared tobiological olfactory systems as well as a general method for the study of GPCR function inmultiple domains using electronic readout.,Acs Nano,2011,111
The Nature of DNA‐Base–Carbon‐Nanotube Interactions,Robert R Johnson; AT Johnson; Michael L Klein,Inorganic nanostructures and biological molecules; two classes of matter that in most caseshave never encountered one another in nature; can be combined to produce novel hybridmaterials important for future advancements in nanotechnology. One such hybrid organic–inorganic nanomaterial of particular contemporary interest is the DNA–carbon-nanotubehybrid (DNA–CN). This material consists of single-walled carbon nanotubes (CNT) wrappedwith a self-assembled coating of single-stranded DNA (ssDNA). DNA–CN holds aremarkable set of technologically useful properties with potential applications in CNTsolubilization [1] and sorting;[2] chemical [3] and biological [4] sensing; and ultrafast DNAsequencing.[5] To realize such applications; a detailed understanding of the fundamentalmolecular interactions and physical properties of DNA–CN is needed. To better …,Small,2010,105
Functionalized carbon nanotubes for detecting viral proteins,Yian-Biao Zhang; Mandakini Kanungo; Alexander J Ho; Paul Freimuth; Daniel van der Lelie; Michelle Chen; Samuel M Khamis; Sujit S Datta; AT Charlie Johnson; James A Misewich; Stanislaus S Wong,We investigated the biocompatibility; specificity; and activity of a ligand− receptor-proteinsystem covalently bound to oxidized single-walled carbon nanotubes (SWNTs) as a modelproof-of-concept for employing such SWNTs as biosensors. SWNTs were functionalizedunder ambient conditions with either the Knob protein domain from adenovirus serotype 12(Ad 12 Knob) or its human cellular receptor; the CAR protein; via diimide-activatedamidation. We confirmed the biological activity of Knob protein immobilized on the nanotubesurfaces by using its labeled conjugate antibody and evaluated the activity and specificity ofbound CAR on SWNTs; first; in the presence of fluorescently labeled Knob; which interactsspecifically with CAR; and second; with a negative control protein; YieF; which is notrecognized by biologically active CAR proteins. In addition; current− gate voltage (I− V g) …,Nano letters,2007,105
Electrical wind force–driven and dislocation-templated amorphization in phase-change nanowires,Sung-Wook Nam; Hee-Suk Chung; Yu Chieh Lo; Liang Qi; Ju Li; Ye Lu; AT Charlie Johnson; Yeonwoong Jung; Pavan Nukala; Ritesh Agarwal,Phase-change materials undergo rapid and reversible crystalline-to-amorphous structuraltransformation and are being used for nonvolatile memory devices. However; thetransformation mechanism remains poorly understood. We have studied the effect ofelectrical pulses on the crystalline-to-amorphous phase change in a single-crystalline Ge 2Sb 2 Te 5 (GST) nanowire memory device by in situ transmission electron microscopy. Weshow that electrical pulses produce dislocations in crystalline GST; which become mobileand glide in the direction of hole-carrier motion. The continuous increase in the density ofdislocations moving unidirectionally in the material leads to dislocation jamming; whicheventually induces the crystalline-to-amorphous phase change with a sharp interfacespanning the entire nanowire cross section. The dislocation-templated amorphization …,Science,2012,102
Clean electromigrated nanogaps imaged by transmission electron microscopy,Douglas R Strachan; Deirdre E Smith; Michael D Fischbein; Danvers E Johnston; Beth S Guiton; Marija Drndić; Dawn A Bonnell; Alan T Johnson,Electromigrated nanogaps have shown great promise for use in molecular scale electronics.We have fabricated nanogaps on free-standing transparent SiN x membranes which permitthe use of transmission electron microscopy (TEM) to image the gaps. The electrodes areformed by extending a recently developed controlled electromigration procedure and yield ananogap with approximately 5 nm separation clear of any apparent debris. The gaps arestable; on the order of hours as measured by TEM; but over time (months) relax to about 20nm separation determined by the surface energy of the Au electrodes. A major benefit ofelectromigrated nanogaps on SiN x membranes is that the junction pinches in away fromresidual metal left from the Au deposition which could act as a parasitic conductance path.This work has implications to the design of clean metallic electrodes for use in nanoscale …,Nano letters,2006,101
Continuous growth of hexagonal graphene and boron nitride in-plane heterostructures by atmospheric pressure chemical vapor deposition,Gang Hee Han; Julio A Rodríguez-Manzo; Chan-Woo Lee; Nicholas J Kybert; Mitchell B Lerner; Zhengqing John Qi; Eric N Dattoli; Andrew M Rappe; Marija Drndic; AT Charlie Johnson,Graphene–boron nitride monolayer heterostructures contain adjacent electrically active andinsulating regions in a continuous; single-atom thick layer. To date structures were grown atlow pressure; resulting in irregular shapes and edge direction; so studies of the graphene–boron nitride interface were restricted to the microscopy of nanodomains. Here we reporttemplated growth of single crystalline hexagonal boron nitride directly from the orientededge of hexagonal graphene flakes by atmospheric pressure chemical vapor deposition;and physical property measurements that inform the design of in-plane hybrid electronics.Ribbons of boron nitride monolayer were grown from the edge of a graphene template andinherited its crystallographic orientation. The relative sharpness of the interface was tunedthrough control of growth conditions. Frequent tearing at the graphene–boron nitride …,Acs Nano,2013,96
